Price,Close,High,Low,Open,Volume
Ticker,1326.T,1326.T,1326.T,1326.T,1326.T
Date,,,,,
2022-01-04,19510.0,19530.0,19420.0,19425.0,11829
2022-01-05,19685.0,19695.0,19655.0,19690.0,11772
2022-01-06,19520.0,19645.0,19515.0,19640.0,6560
2022-01-07,19380.0,19425.0,19370.0,19390.0,4495
2022-01-11,19465.0,19480.0,19390.0,19405.0,6665
2022-01-12,19605.0,19625.0,19585.0,19605.0,3505
2022-01-13,19540.0,19560.0,19520.0,19560.0,1101
2022-01-14,19410.0,19420.0,19365.0,19420.0,5876
2022-01-17,19470.0,19470.0,19370.0,19400.0,3640
2022-01-18,19470.0,19530.0,19450.0,19475.0,2682
2022-01-19,19345.0,19445.0,19340.0,19405.0,8668
2022-01-20,19670.0,19670.0,19610.0,19630.0,14581
2022-01-21,19590.0,19590.0,19510.0,19585.0,4183
2022-01-24,19545.0,19565.0,19465.0,19505.0,8961
2022-01-25,19585.0,19645.0,19560.0,19645.0,5346
2022-01-26,19660.0,19680.0,19630.0,19680.0,7494
2022-01-27,19420.0,19520.0,19405.0,19515.0,10660
2022-01-28,19385.0,19410.0,19350.0,19355.0,8225
2022-01-31,19280.0,19320.0,19255.0,19265.0,3923
2022-02-01,19355.0,19370.0,19285.0,19335.0,3139
2022-02-02,19285.0,19305.0,19260.0,19305.0,4272
2022-02-03,19335.0,19335.0,19300.0,19305.0,1615
2022-02-04,19385.0,19410.0,19370.0,19380.0,1831
2022-02-07,19495.0,19535.0,19470.0,19470.0,4684
2022-02-08,19620.0,19640.0,19575.0,19585.0,5274
2022-02-09,19715.0,19715.0,19675.0,19695.0,3046
2022-02-10,19795.0,19810.0,19770.0,19790.0,3464
2022-02-14,20000.0,20070.0,19965.0,20060.0,11570
2022-02-15,20215.0,20250.0,20140.0,20195.0,10155
2022-02-16,20030.0,20035.0,19990.0,20000.0,8726
2022-02-17,20185.0,20190.0,20120.0,20155.0,11700
2022-02-18,20345.0,20415.0,20305.0,20385.0,13589
2022-02-21,20315.0,20475.0,20290.0,20455.0,16983
2022-02-22,20465.0,20470.0,20395.0,20425.0,16397
2022-02-24,20755.0,20845.0,20490.0,20500.0,25364
2022-02-25,20600.0,20705.0,20540.0,20575.0,24699
2022-02-28,20575.0,20695.0,20540.0,20635.0,20444
2022-03-01,20475.0,20515.0,20450.0,20475.0,4667
2022-03-02,20795.0,20840.0,20735.0,20810.0,14554
2022-03-03,20800.0,20835.0,20750.0,20815.0,7952
2022-03-04,20850.0,21000.0,20825.0,20875.0,19870
2022-03-07,21300.0,21450.0,21295.0,21350.0,29990
2022-03-08,21515.0,21550.0,21365.0,21545.0,34563
2022-03-09,22155.0,22275.0,22005.0,22100.0,45365
2022-03-10,21460.0,21540.0,21355.0,21520.0,31493
2022-03-11,21620.0,21665.0,21580.0,21635.0,21140
2022-03-14,21690.0,21740.0,21610.0,21650.0,11621
2022-03-15,21290.0,21550.0,21270.0,21550.0,22915
2022-03-16,21170.0,21260.0,21130.0,21170.0,33622
2022-03-17,21445.0,21470.0,21370.0,21370.0,11792
2022-03-18,21420.0,21535.0,21370.0,21485.0,5182
2022-03-22,21770.0,21775.0,21595.0,21595.0,13071
2022-03-23,21720.0,21755.0,21650.0,21755.0,7613
2022-03-24,21955.0,22030.0,21930.0,22000.0,9972
2022-03-25,22245.0,22385.0,22195.0,22380.0,24606
2022-03-28,22250.0,22375.0,22225.0,22355.0,8768
2022-03-29,22195.0,22285.0,22105.0,22205.0,23978
2022-03-30,21900.0,22015.0,21810.0,22015.0,20756
2022-03-31,21900.0,22060.0,21880.0,22035.0,8029
2022-04-01,22135.0,22190.0,21995.0,22000.0,11441
2022-04-04,21990.0,22035.0,21920.0,22035.0,18765
2022-04-05,22080.0,22150.0,22020.0,22150.0,2931
2022-04-06,22205.0,22260.0,22150.0,22180.0,20579
2022-04-07,22205.0,22235.0,22170.0,22220.0,5095
2022-04-08,22350.0,22390.0,22300.0,22370.0,7561
2022-04-11,22705.0,22705.0,22550.0,22575.0,10537
2022-04-12,22920.0,22950.0,22815.0,22860.0,15925
2022-04-13,23125.0,23130.0,23000.0,23010.0,14463
2022-04-14,23075.0,23170.0,23050.0,23140.0,16349
2022-04-15,23435.0,23445.0,23210.0,23300.0,10075
2022-04-18,23455.0,23510.0,23395.0,23485.0,15925
2022-04-19,23630.0,23630.0,23440.0,23465.0,9812
2022-04-20,23315.0,23540.0,23255.0,23535.0,22952
2022-04-21,23380.0,23450.0,23325.0,23380.0,5994
2022-04-22,23300.0,23430.0,23300.0,23395.0,7608
2022-04-25,22970.0,23190.0,22950.0,23180.0,15103
2022-04-26,22780.0,22790.0,22600.0,22630.0,50048
2022-04-27,22625.0,22660.0,22570.0,22650.0,7705
2022-04-28,22740.0,22770.0,22585.0,22590.0,13018
2022-05-02,22930.0,23020.0,22880.0,23020.0,11409
2022-05-06,22860.0,22890.0,22750.0,22790.0,32504
2022-05-09,22870.0,22975.0,22870.0,22955.0,8484
2022-05-10,22655.0,22695.0,22460.0,22565.0,17951
2022-05-11,22345.0,22370.0,22265.0,22295.0,12520
2022-05-12,22355.0,22510.0,22345.0,22450.0,10095
2022-05-13,21955.0,22010.0,21820.0,21865.0,18343
2022-05-16,21745.0,21945.0,21720.0,21895.0,6830
2022-05-17,22065.0,22060.0,21945.0,21945.0,8673
2022-05-18,21815.0,21935.0,21755.0,21920.0,6756
2022-05-19,21770.0,21850.0,21665.0,21665.0,5660
2022-05-20,22005.0,22020.0,21910.0,21980.0,11293
2022-05-23,22115.0,22160.0,21960.0,22035.0,6001
2022-05-24,22080.0,22120.0,22040.0,22115.0,4102
2022-05-25,22030.0,22100.0,22020.0,22085.0,2755
2022-05-26,21890.0,22035.0,21890.0,21990.0,4860
2022-05-27,21925.0,21960.0,21885.0,21955.0,3532
2022-05-30,22065.0,22065.0,21910.0,21950.0,2507
2022-05-31,22095.0,22130.0,22075.0,22075.0,2348
2022-06-01,22075.0,22120.0,22040.0,22040.0,2769
2022-06-02,22400.0,22420.0,22350.0,22390.0,6460
2022-06-03,22625.0,22690.0,22600.0,22650.0,6512
2022-06-06,22610.0,22620.0,22560.0,22560.0,3426
2022-06-07,22805.0,22840.0,22650.0,22660.0,6553
2022-06-08,22960.0,22970.0,22900.0,22965.0,6953
2022-06-09,23080.0,23230.0,23080.0,23215.0,8389
2022-06-10,23000.0,23140.0,22995.0,23135.0,5118
