Price,Close,High,Low,Open,Volume
Ticker,1364.T,1364.T,1364.T,1364.T,1364.T
Date,,,,,
2022-01-04,17484.67578125,17489.338361458333,17363.448695833333,17363.448695833333,176
2022-01-05,17624.548828125,17694.48751395089,17531.29724702381,17694.48751395089,1069
2022-01-06,17260.873046875,17531.30271643706,17251.547885855616,17531.30271643706,502
2022-01-07,17246.884765625,17344.798953264395,17158.295738713165,17344.798953264395,282
2022-01-11,17190.93359375,17246.884557439993,17120.99488913751,17144.307790675008,120
2022-01-12,17470.6875,17470.6875,17251.54623698959,17251.54623698959,11
2022-01-13,17326.146484375,17396.08518116338,17326.146484375,17396.08518116338,3
2022-01-14,17065.041015625,17158.292605874318,16953.13910732582,17158.292605874318,77
2022-01-17,17172.28125,17204.919308308443,17144.305771449905,17176.943829758347,30
2022-01-18,17069.70703125,17288.848312448783,17069.70703125,17270.197990644632,69
2022-01-19,16626.76171875,16873.878480133553,16589.461075522293,16859.89073892316,774
2022-01-20,16822.587890625,16822.587890625,16524.182783917684,16617.43437976372,59
2022-01-21,16580.1328125,16580.1328125,16430.930267505624,16482.21864234744,91
2022-01-24,16645.41015625,16682.710795255603,16645.41015625,16682.710795255603,29
2022-01-25,16314.3681640625,16957.804233408206,16314.3681640625,16953.141653195555,697
2022-01-26,16407.619140625,16468.232681070618,16407.619140625,16468.232681070618,38
2022-01-27,15983.32421875,16570.80929796893,15852.77197892357,16570.80929796893,1420
2022-01-28,16244.4287109375,16281.72935091669,16076.575831031141,16076.575831031141,23
2022-01-31,16384.306640625,16412.282121513945,16085.901511142927,16174.490533957918,312
2022-02-01,16412.279296875,16580.13215332031,16384.303820800782,16496.205725097658,689
2022-02-02,16743.326171875,16743.326171875,16524.184893657755,16524.184893657755,141
2022-02-03,16598.78515625,16636.085797050564,16533.50903484902,16533.50903484902,8
2022-02-04,16640.748046875,16640.748046875,16486.882906626506,16505.533226656626,119
2022-02-07,16570.810546875,16617.436350327098,16486.884100661227,16580.13570756542,346
2022-02-08,16580.1328125,16580.1328125,16440.25542656777,16570.807653437852,20
2022-02-09,16810.87109375,16890.922860863095,16763.78181897759,16763.78181897759,46
2022-02-10,16952.138671875,16952.138671875,16952.138671875,16952.138671875,15
2022-02-14,16622.515625,16674.31383233003,16528.33706621813,16575.426345609067,71
2022-02-15,16391.77734375,17041.609367144858,16391.77734375,16664.89515068407,62
2022-02-16,16749.65625,16820.290167275794,16711.98482745291,16768.491961273543,139
2022-02-17,16664.89453125,16693.148096434375,16608.387400881253,16693.148096434375,152
2022-02-18,16622.515625,16622.515625,16434.158507436263,16471.82993094901,36
2022-02-21,16481.244140625,16495.370921316964,16321.140626116072,16363.520968191964,175
2022-02-22,16231.6748046875,16292.890868644836,16170.458740730164,16292.890868644836,177
2022-02-24,16043.3173828125,16132.78701306593,15878.504906029864,16132.78701306593,238
2022-02-25,16175.1650390625,17079.27906744678,16048.024003820961,16099.82220336381,161
2022-02-28,16236.3818359375,16269.344328063824,16175.165779131472,16179.87470657809,174
2022-03-01,16424.73828125,16424.73828125,16330.559736059347,16330.559736059347,4
2022-03-02,16137.49609375,16137.496093749998,16033.89967879158,16043.317534696891,32
2022-03-03,16255.2177734375,16255.2177734375,16142.203513135502,16142.203513135502,39
2022-03-04,15906.7587890625,16010.355205095471,15850.251653044515,16010.355205095471,412
2022-03-07,15445.2822265625,15916.174977372333,15402.901878989616,15633.639326886434,1587
2022-03-08,15172.1650390625,15633.639953348074,15172.1650390625,15313.432869966247,299
2022-03-09,15148.6201171875,15435.864701318193,15148.6201171875,15256.925452187597,407
2022-03-10,15784.3251953125,15784.3251953125,15511.207396586926,15511.207396586926,385
2022-03-11,15515.9169921875,15515.9169921875,15068.568854324734,15412.320581314018,244
2022-03-14,15619.5126953125,15737.23588415266,15143.91101239825,15143.91101239825,420
2022-03-15,15680.728515625,15784.324920232733,15610.094603392456,15610.094603392456,23
