Price,Close,High,Low,Open,Volume
Ticker,1466.T,1466.T,1466.T,1466.T,1466.T
Date,,,,,
2022-01-04,1838.0,1879.0,1838.0,1873.0,1291
2022-01-05,1828.0,1833.0,1825.0,1830.0,1579
2022-01-06,1891.0,1895.0,1828.0,1828.0,8722
2022-01-07,1886.0,1919.0,1865.0,1887.0,1508
2022-01-11,1923.0,1941.0,1908.0,1914.0,1269
2022-01-12,1858.0,1898.0,1858.0,1898.0,1091
2022-01-13,1882.0,1882.0,1867.0,1877.0,635
2022-01-14,1940.0,1969.0,1922.0,1922.0,1653
2022-01-17,1923.0,1935.0,1887.0,1935.0,2396
2022-01-18,1935.0,1945.0,1891.0,1911.0,1198
2022-01-19,2040.0,2040.0,1981.0,2000.0,7647
2022-01-20,2011.0,2074.0,1993.0,2050.0,848
2022-01-21,2008.0,2081.0,1993.0,2061.0,4046
2022-01-24,2029.0,2085.0,2015.0,2062.0,7889
2022-01-25,2100.0,2122.0,2060.0,2060.0,4337
2022-01-26,2105.0,2119.0,2081.0,2082.0,1051
2022-01-27,2216.0,2220.0,2075.0,2078.0,3385
2022-01-28,2135.0,2183.0,2110.0,2145.0,3441
2022-01-31,2069.0,2147.0,2069.0,2135.0,3732
2022-02-01,2085.0,2094.0,2033.0,2050.0,1543
2022-02-02,2011.0,2057.0,2008.0,2057.0,2462
2022-02-03,2040.0,2040.0,2017.0,2035.0,761
2022-02-04,2015.0,2062.0,2015.0,2060.0,712
2022-02-07,2037.0,2053.0,2029.0,2038.0,849
2022-02-08,2017.0,2025.0,1990.0,2025.0,1217
2022-02-09,1976.0,1998.0,1962.0,1991.0,1018
2022-02-10,1955.0,1972.0,1940.0,1950.0,655
2022-02-14,2017.0,2038.0,2008.0,2030.0,1927
2022-02-15,2049.0,2055.0,2006.0,2006.0,1685
2022-02-16,1972.0,1992.0,1966.0,1966.0,1619
2022-02-17,2004.0,2024.0,1984.0,1990.0,603
2022-02-18,2022.0,2058.0,2011.0,2054.0,762
2022-02-21,2045.0,2088.0,2036.0,2088.0,612
2022-02-22,2110.0,2131.0,2085.0,2111.0,2022
2022-02-24,2160.0,2191.0,2120.0,2140.0,5083
2022-02-25,2125.0,2147.0,2113.0,2131.0,977
2022-02-28,2103.0,2137.0,2088.0,2096.0,2634
2022-03-01,2074.0,2074.0,2045.0,2048.0,572
2022-03-02,2149.0,2155.0,2133.0,2133.0,3361
2022-03-03,2090.0,2114.0,2085.0,2105.0,697
2022-03-04,2184.0,2194.0,2110.0,2110.0,1227
2022-03-07,2288.0,2325.0,2234.0,2234.0,7750
2022-03-08,2376.0,2388.0,2305.0,2388.0,3241
2022-03-09,2385.0,2385.0,2322.0,2352.0,1386
2022-03-10,2185.0,2246.0,2185.0,2229.0,6042
2022-03-11,2262.0,2289.0,2230.0,2230.0,4504
2022-03-14,2238.0,2243.0,2200.0,2243.0,424
2022-03-15,2206.0,2245.0,2186.0,2245.0,2810
2022-03-16,2130.0,2166.0,2129.0,2166.0,2552
2022-03-17,2028.0,2080.0,2019.0,2080.0,2072
2022-03-18,1995.0,2022.0,1995.0,2022.0,988
