Price,Close,High,Low,Open,Volume
Ticker,1477.T,1477.T,1477.T,1477.T,1477.T
Date,,,,,
2022-01-04,1804.9097900390625,1804.9097900390625,1787.0765679845945,1794.58529306016,940
2022-01-05,1811.4798583984375,1811.4798583984375,1804.9097241969923,1808.6640865978181,1483
2022-01-06,1780.50634765625,1801.1553406179987,1776.7519852995683,1801.1553406179987,1154
2022-01-07,1774.875,1786.1380883130619,1761.7347303014278,1777.6907720782656,1470
2022-01-11,1766.427490234375,1772.9976243638334,1752.3486313855358,1772.9976243638334,1530
2022-01-12,1781.445068359375,1781.445068359375,1772.0591617821392,1772.0591617821392,47
2022-01-13,1766.427490234375,1783.3221208529822,1766.427490234375,1783.3221208529822,84
2022-01-14,1743.9013671875,1766.4275420058532,1734.5154610131863,1766.4275420058532,2068
2022-01-17,1751.41015625,1755.164518857181,1751.41015625,1752.3487469017953,47
2022-01-18,1742.9627685546875,1760.7959902038738,1739.2084061022272,1760.7959902038738,435
2022-01-19,1703.5419921875,1730.761120437328,1702.6034015581956,1727.0067579201102,383
2022-01-20,1726.068115234375,1726.068115234375,1705.4191220124303,1708.2348938154228,528
2022-01-21,1728.8839111328125,1728.8839111328125,1702.6033739386112,1705.419145780847,132
2022-01-24,1725.1295166015625,1727.0066977948177,1708.2348858622654,1708.2348858622654,71
2022-01-25,1711.0506591796875,1725.1295181416706,1700.7261626075665,1725.1295181416706,804
2022-01-26,1705.419189453125,1727.0067741297466,1703.5420081768968,1727.0067741297466,53
2022-01-27,1669.752685546875,1713.8664439621102,1662.2439607102394,1713.8664439621102,315
2022-01-28,1688.5245361328125,1692.278898636721,1679.1386298730413,1689.4631267587895,538
2022-01-31,1701.664794921875,1705.4191574037766,1683.8315731328428,1698.8490230604489,1040
2022-02-01,1708.2347412109375,1717.6206463824262,1707.2961506937886,1708.2347412109375,48
2022-02-02,1728.8839111328125,1728.8839111328125,1716.6822331497906,1716.6822331497906,49
2022-02-03,1720.4366455078125,1728.8839612795366,1720.4366455078125,1722.3138267904178,56
2022-02-04,1733.5770263671875,1733.5770263671875,1715.7438030315207,1728.8840728578016,239
2022-02-07,1734.5155029296875,1736.3926842099145,1720.4366433279854,1736.3926842099145,116
2022-02-08,1725.1295166015625,1725.1295166015625,1725.1295166015625,1725.1295166015625,22
2022-02-09,1753.51904296875,1753.51904296875,1744.0559072808453,1744.0559072808453,136
2022-02-10,1757.30419921875,1758.2505127347536,1753.5189451547355,1757.30419921875,420
2022-02-14,1731.7537841796875,1757.3042498479124,1720.3980216604764,1751.6263685883068,824
2022-02-15,1726.075927734375,1738.3780039737098,1717.5591057225276,1738.3780039737098,271
2022-02-16,1746.894775390625,1746.894775390625,1739.3242671549126,1743.109521272769,250
2022-02-17,1732.7000732421875,1757.3042250195206,1731.75375971229,1757.3042250195206,2209
2022-02-18,1730.8074951171875,1731.7538086738398,1714.720164654097,1731.7538086738398,252
2022-02-21,1721.3443603515625,1727.0222416941185,1705.2570298809871,1709.0422841093578,301
2022-02-22,1701.471923828125,1702.418237467629,1690.1161601540775,1699.579296549117,769
2022-02-24,1679.70654296875,1702.418068056778,1670.243407515405,1684.4381106954227,1373
2022-02-25,1690.115966796875,1693.90122092184,1681.5991450157037,1693.90122092184,1306
2022-02-28,1692.9549560546875,1701.4717780806754,1687.277074704029,1701.4717780806754,8210
2022-03-01,1710.9349365234375,1720.3980722342972,1710.9349365234375,1710.9349365234375,18845
2022-03-02,1686.3306884765625,1692.0085695825442,1685.384374958899,1691.0622560648806,132
2022-03-03,1706.203369140625,1708.095996283321,1697.686546998492,1697.686546998492,25449
2022-03-04,1682.54541015625,1697.6864262206484,1656.994945547578,1682.54541015625,17966
2022-03-07,1653.209716796875,1665.5117925372067,1644.6928951304917,1657.9412843893103,231
2022-03-08,1624.8204345703125,1644.693019966921,1624.8204345703125,1639.0151384250328,226
2022-03-09,1624.8204345703125,1640.9077656056622,1624.8204345703125,1630.4983161122007,463
2022-03-10,1672.135986328125,1673.0822998461374,1652.263402449862,1652.263402449862,243
2022-03-11,1653.209716796875,1676.8675547590512,1647.5318356859527,1676.8675547590512,311
2022-03-14,1658.8876953125,1663.619263182758,1656.048754590345,1660.7803224606032,315
2022-03-15,1675.9212646484375,1675.9212646484375,1668.3507563948026,1668.3507563948026,60
2022-03-16,1694.84765625,1697.6865970477386,1683.4918930590452,1683.4918930590452,91
2022-03-17,1724.1832275390625,1725.129541055824,1715.666405888211,1723.2369140223013,384
2022-03-18,1731.7537841796875,1733.6464112662227,1726.075902920082,1726.075902920082,539
2022-03-22,1746.894775390625,1750.6800295084813,1746.894775390625,1746.894775390625,111
2022-03-23,1780.015869140625,1783.8011235141298,1762.0359108664773,1762.0359108664773,565
2022-03-24,1784.747314453125,1784.747314453125,1762.0357897729157,1762.0357897729157,912
2022-03-25,1783.8011474609375,1790.425342703498,1746.8949168238148,1746.8949168238148,1318
2022-03-28,1785.6937255859375,1790.4252934862711,1776.23058978527,1790.4252934862711,245
2022-03-29,1788.5325927734375,1795.1567875614871,1784.7473386088375,1795.1567875614871,498
2022-03-30,1781.908447265625,1806.5126000159735,1773.391625159735,1799.8884050447257,433
2022-03-31,1771.4989013671875,1788.5325446495642,1771.4989013671875,1788.5325446495642,62
2022-04-01,1768.6600341796875,1770.5526612895642,1751.626390190798,1760.1432121852429,141
2022-04-04,1774.337890625,1774.337890625,1767.7136958333333,1771.4989500000001,18
2022-04-05,1765.8211669921875,1781.908498095546,1763.928539803557,1781.908498095546,28
2022-04-06,1751.62646484375,1762.035914391714,1741.217015295786,1762.035914391714,63
2022-04-07,1733.646484375,1737.4317387076965,1727.0222892927811,1737.4317387076965,61
2022-04-08,1736.4853515625,1738.3779786486716,1731.7537838470707,1738.3779786486716,106
2022-04-11,1731.7537841796875,1738.3779789825605,1728.9148435498846,1738.3779789825605,125
2022-04-12,1719.4517822265625,1751.6264440844068,1715.6665278903454,1728.914918067105,2064
2022-04-13,1715.66650390625,1737.4317160352316,1715.66650390625,1727.0222667561534,92
2022-04-14,1744.0560302734375,1747.8412848155394,1735.5392075537084,1735.5392075537084,20
2022-04-15,1738.3779296875,1741.216870236799,1729.8611080396024,1735.5389891382008,148
2022-04-18,1721.3443603515625,1728.9148688083037,1711.8812247806356,1728.9148688083037,444
2022-04-19,1731.7537841796875,1736.4853518960253,1726.075902920082,1735.5390383527579,5083
2022-04-20,1744.0560302734375,1756.3581075352686,1741.217089366861,1745.9486575444885,42
2022-04-21,1758.2506103515625,1759.1969239201046,1750.6801018032243,1750.6801018032243,16
2022-04-22,1743.1094970703125,1746.8947511356116,1736.4853024560387,1746.8947511356116,266
2022-04-25,1727.022216796875,1727.022216796875,1717.5590813623717,1719.4517084492722,25
2022-04-26,1737.4317626953125,1737.4317626953125,1728.914940329159,1728.914940329159,32
2022-04-27,1719.4517822265625,1735.5391131554845,1705.2570784657487,1735.5391131554845,149
2022-04-28,1741.2169189453125,1741.2169189453125,1719.451707458496,1723.2369616301162,23
2022-05-02,1745.9486083984375,1760.1433125317583,1736.4854723095573,1760.1433125317583,217
2022-05-06,1755.4117431640625,1761.0896248131107,1741.2170390414421,1742.1633526496169,110
2022-05-09,1728.914794921875,1748.7873787715519,1728.914794921875,1748.7873787715519,57
2022-05-10,1725.1295166015625,1725.1295166015625,1706.2032465346226,1719.4516355814806,156
2022-05-11,1715.66650390625,1719.4517581895511,1711.8812496229489,1716.6128174770752,24
2022-05-12,1693.9013671875,1706.2034441559008,1693.9013671875,1706.2034441559008,2073
2022-05-13,1710.9349365234375,1713.7738772366954,1692.954978672804,1696.7402329571478,30
2022-05-16,1724.1832275390625,1727.9684816061076,1724.1832275390625,1724.1832275390625,15
2022-05-17,1716.61279296875,1720.3980471980085,1712.8275387394915,1720.3980471980085,567
2022-05-18,1724.1832275390625,1732.7000491899141,1724.1832275390625,1726.075854572585,28
2022-05-19,1709.98876953125,1709.98876953125,1697.686692052608,1700.5256330092175,54
2022-05-20,1713.77392578125,1713.77392578125,1708.096044193902,1709.9886713896847,231
2022-05-23,1735.5390625,1735.5390625,1726.07592693566,1726.07592693566,45
2022-05-24,1724.1832275390625,1737.4316167737206,1724.1832275390625,1737.4316167737206,17
2022-05-25,1731.7537841796875,1731.7537841796875,1720.3980216604764,1725.1295893768142,21
2022-05-26,1727.9686279296875,1735.5391367048449,1724.1833735421087,1727.9686279296875,128
2022-05-27,1725.1295166015625,1740.2705326551143,1725.1295166015625,1740.2705326551143,67
2022-05-30,1751.62646484375,1751.62646484375,1738.3780745099778,1743.109642486325,112
2022-05-31,1744.0560302734375,1752.5728529931666,1744.0560302734375,1751.6265393576411,21
2022-06-01,1760.1431884765625,1766.7673832719045,1745.0021718014953,1745.0021718014953,27
2022-06-02,1745.002197265625,1762.0358412736407,1745.002197265625,1762.0358412736407,13
2022-06-03,1754.4654541015625,1760.1433358300467,1751.6265132373205,1760.1433358300467,96
2022-06-06,1762.982177734375,1762.982177734375,1746.8948470733528,1746.8948470733528,77
2022-06-07,1770.5526123046875,1773.391552890959,1762.9821040746301,1769.6062987759303,61
2022-06-08,1787.5863037109375,1787.5863037109375,1778.1231681698525,1778.1231681698525,208
2022-06-09,1792.31787109375,1792.31787109375,1782.854735554712,1788.5326168781348,179
2022-06-10,1769.6063232421875,1786.639966995321,1768.6600097003468,1786.639966995321,75
2022-06-13,1746.894775390625,1780.0157489218666,1741.2168942138408,1780.0157489218666,82
2022-06-14,1718.50537109375,1725.1295658061158,1714.720116972398,1723.2369387454398,137
2022-06-15,1703.364501953125,1718.505519748264,1703.364501953125,1718.505519748264,138
2022-06-16,1712.82763671875,1727.9686545018992,1712.82763671875,1722.2907728332184,35
2022-06-17,1697.6865234375,1699.5791505539298,1678.7602522732022,1683.4918200642767,137
2022-06-20,1689.1695556640625,1702.4179443359374,1680.652734375,1702.4179443359374,251
2022-06-21,1715.66650390625,1718.5054446187257,1698.6328596313947,1698.6328596313947,38
2022-06-22,1720.39794921875,1723.2368897290119,1720.39794921875,1723.2368897290119,18
2022-06-23,1724.1832275390625,1730.8074221563916,1720.3979734720174,1720.3979734720174,36
2022-06-24,1736.4853515625,1736.4853515625,1727.0222161316417,1727.0222161316417,20
2022-06-27,1750.6800537109375,1750.6800537109375,1749.733740168391,1750.6800537109375,58
2022-06-28,1765.8211669921875,1765.8211669921875,1753.5190902660897,1753.5190902660897,28
2022-06-29,1766.767333984375,1780.0157232054685,1758.2505123422436,1780.0157232054685,45
2022-06-30,1750.6800537109375,1764.8747568491344,1750.6800537109375,1763.928443306588,14
2022-07-01,1734.5927734375,1756.357985542826,1727.0222648791257,1748.7874769844518,774
2022-07-04,1754.4654541015625,1754.4654541015625,1750.6801996159065,1752.5728268587345,37
2022-07-05,1766.767333984375,1767.7136475001676,1760.1431393738285,1764.8747069527903,13
