Price,Close,High,Low,Open,Volume
Ticker,1478.T,1478.T,1478.T,1478.T,1478.T
Date,,,,,
2022-01-04,2046.787841796875,2046.787841796875,2015.581211025084,2028.4310001664096,10036
2022-01-05,2080.748291015625,2080.748291015625,2055.9665513343625,2055.9665513343625,4024
2022-01-06,2077.994384765625,2091.76201540674,2062.391070039028,2065.144596167251,14950
2022-01-07,2075.240966796875,2091.762124427279,2057.8019670758927,2091.762124427279,4224
2022-01-11,2083.50146484375,2083.50146484375,2064.226781688808,2066.9803078537993,9213
2022-01-12,2106.447509765625,2106.447509765625,2083.5014584609885,2083.5014584609885,3990
2022-01-13,2106.447509765625,2107.3653518178107,2092.679878982843,2100.9404574525124,14506
2022-01-14,2091.76220703125,2110.1190495677242,2073.4053644947758,2102.7763125531346,83189
2022-01-17,2100.9404296875,2120.2151125286696,2091.762009286943,2091.762009286943,18338
2022-01-18,2098.187255859375,2119.2976263251517,2088.0909917235685,2116.544099742659,17759
2022-01-19,2063.30908203125,2088.090819226465,2056.8841872028606,2084.4194507531,20507
2022-01-20,2079.830078125,2084.419288359168,2060.555395141494,2076.1587099376657,13713
2022-01-21,2077.07666015625,2077.9945022508837,2048.623555222603,2065.144712926011,1974
2022-01-24,2086.25537109375,2086.25537109375,2055.9665777606688,2070.652053316102,11791
2022-01-25,2065.14501953125,2089.008917534722,2050.4595438368056,2089.008917534722,31378
2022-01-26,2069.73388671875,2084.4193599726304,2065.1446763269123,2065.1446763269123,12770
2022-01-27,2040.363037109375,2079.830248353506,2032.1024580117662,2078.9124062315495,44969
2022-01-28,2076.158935546875,2081.66598842631,2019.2527224593834,2019.2527224593834,1719
2022-01-31,2083.50146484375,2083.50146484375,2065.144623743805,2078.9122545687637,16457
2022-02-01,2088.090576171875,2092.6797862293956,2075.2407880108176,2092.6797862293956,60894
2022-02-02,2104.6123046875,2106.447989209687,2088.0911439878164,2093.5981975543777,48046
2022-02-03,2109.201171875,2117.4617508771216,2104.611961318266,2110.119013986347,28472
2022-02-04,2120.21533203125,2124.804542706642,2107.365542140152,2114.7082792207793,66318
2022-02-07,2130.3115234375,2130.3115234375,2111.036839253016,2118.3795760852004,30249
2022-02-08,2111.954345703125,2120.214923326475,2100.022400247175,2100.9402422053254,9850
2022-02-09,2137.959228515625,2144.4604077509025,2134.244268952609,2143.531667860149,2890
2022-02-10,2144.46044921875,2150.9616285797424,2135.1730501316183,2150.032888671029,91010
2022-02-14,2130.529296875,2140.745435613285,2121.241898022014,2136.1017361867916,4756
2022-02-15,2120.313232421875,2144.460470285637,2120.313232421875,2130.529371518082,10609
2022-02-16,2159.3203125,2166.7502318548386,2142.602993951613,2166.7502318548386,36911
2022-02-17,2146.318115234375,2154.6767751379275,2136.1019753522555,2152.81929515936,5715
2022-02-18,2146.318115234375,2150.0330751915094,2128.6720554379867,2128.6720554379867,7523
2022-02-21,2138.8876953125,2141.6739146290165,2120.3128998690568,2126.8140782742616,6562
2022-02-22,2107.310791015625,2111.9544904228874,2094.3084326752905,2110.0970106599825,16663
2022-02-24,2082.23486328125,2107.3108406713454,2062.7313253111756,2107.3108406713454,36710
2022-02-25,2072.01904296875,2094.3088040764374,2062.731642507214,2087.807623753362,12462
2022-02-28,2085.94970703125,2087.8071867347508,2057.1587716269896,2072.947349106745,5993
2022-03-01,2089.664794921875,2107.3108531901044,2086.8785751953124,2098.952194010417,1283
2022-03-02,2047.8717041015625,2072.0189441499256,2046.9429640997025,2071.0902041480654,5938
2022-03-03,2083.16357421875,2088.736013561288,2062.7312966294444,2062.7312966294444,22579
2022-03-04,2062.7314453125,2086.8786842040467,2049.7290859093596,2081.3062444598436,5338
2022-03-07,2029.296875,2046.0141947940504,2014.4370351830662,2033.0118349542333,31089
2022-03-08,1976.358642578125,2021.8669007953845,1974.50116265089,2021.8669007953845,19349
2022-03-09,1987.5032958984375,2009.7930524879525,1981.002116893162,1981.002116893162,3246
2022-03-10,2052.514892578125,2052.514892578125,2019.0802608438207,2033.9400971701782,32326
2022-03-11,2039.51318359375,2046.9431041168602,2028.3683028090848,2043.2281438553052,2008
2022-03-14,2051.58642578125,2064.5887842968395,2039.5128071596312,2039.5128071596312,33276
2022-03-15,2077.591064453125,2085.0209833246604,2054.3725679795766,2061.802486851112,33070
2022-03-16,2097.0947265625,2105.453385791491,2088.736067333509,2104.524645877159,104035
2022-03-17,2126.814697265625,2131.4583974779953,2115.669816755936,2124.9572171806767,96664
2022-03-18,2137.959228515625,2140.7454481878867,2124.0281301543155,2133.315529061855,88148
2022-03-22,2182.5390625,2187.1827626329787,2152.819381648936,2152.819381648936,5759
2022-03-23,2213.1875,2217.8312001678555,2187.182779060008,2201.113879563575,4369
2022-03-24,2215.044921875,2218.759881911688,2195.5413816823902,2197.398861700734,26907
2022-03-25,2210.40087890625,2228.9756762079833,2205.7571795808167,2225.2607167476363,5219
2022-03-28,2216.90234375,2224.332263628509,2203.89998396261,2220.617303689254,7423
2022-03-29,2233.61962890625,2235.4771088471284,2219.688529349662,2221.5460092905405,3966
2022-03-30,2224.33203125,2247.5505284446767,2202.0422739431106,2246.6217885568894,10167
2022-03-31,2206.686279296875,2227.1185596607347,2202.0425792141796,2205.757539280336,1433
2022-04-01,2205.75732421875,2205.75732421875,2177.895126439145,2190.8974854029602,3912
2022-04-04,2200.184814453125,2211.329693209325,2192.754895282325,2211.329693209325,3274
2022-04-05,2182.5390625,2209.4725232712767,2173.2516622340427,2209.4725232712767,3591
2022-04-06,2146.318115234375,2175.1090549021665,2146.318115234375,2173.251574923599,13768
2022-04-07,2131.458251953125,2132.3869919321896,2109.168492455576,2125.8858120787377,2041
2022-04-08,2130.529296875,2140.745435613285,2115.6694587102224,2136.1017361867916,1586
2022-04-11,2135.17333984375,2136.10207987848,2120.3134992880737,2129.600899635371,4203
2022-04-12,2138.8876953125,2141.6739146290165,2113.8117214638514,2131.457777135123,60902
2022-04-13,2140.745361328125,2142.6028410342665,2122.17056426671,2138.8878816219835,3294
2022-04-14,2161.177734375,2163.963954058337,2145.389156169424,2145.389156169424,1456
2022-04-15,2160.249267578125,2165.8217076492638,2145.3894273884216,2152.8193474832733,1494
2022-04-18,2149.10400390625,2150.9614835984767,2129.60046713787,2147.2465242140233,12543
2022-04-19,2165.8212890625,2167.678768727219,2154.676411074185,2166.7500288948595,40755
2022-04-20,2188.111572265625,2193.6840126024645,2176.966691591946,2179.752911760366,1742
2022-04-21,2196.469970703125,2198.327450593783,2183.467611468519,2188.111311195164,2370
2022-04-22,2182.5390625,2185.325282579787,2164.893001994681,2184.3965425531915,30541
2022-04-25,2155.605712890625,2164.8931136355222,2138.8883915498104,2144.4608319967483,7878
2022-04-26,2155.605712890625,2162.106893412053,2146.3183121457278,2146.3183121457278,2711
2022-04-27,2131.458251953125,2141.674391722835,2121.242112183415,2133.3157319112543,7723
2022-04-28,2191.826171875,2191.826171875,2142.602956998146,2143.531696901483,29399
2022-05-02,2187.1826171875,2191.8263170116775,2163.9641180666135,2191.8263170116775,1849
2022-05-06,2218.759765625,2222.474725466984,2183.4676471261514,2187.182606968135,13059
2022-05-09,2192.7548828125,2210.4009407428,2185.324963683953,2210.4009407428,21856
2022-05-10,2174.180419921875,2180.6816001608554,2157.463099307354,2165.8217596146146,23568
