Price,Close,High,Low,Open,Volume
Ticker,1494.T,1494.T,1494.T,1494.T,1494.T
Date,,,,,
2022-01-04,17121.759765625,17130.77833805883,16932.369744514584,17045.10189993745,96
2022-01-05,17392.31640625,17392.31640625,17135.287099753696,17135.287099753696,644
2022-01-06,17306.640625,17419.372781233717,17252.529190007815,17392.317063737624,329
2022-01-07,17369.771484375,17477.994359667056,17270.567182023948,17383.299343786508,598
2022-01-11,17532.10546875,17550.14261429398,17369.771158854168,17410.354736328125,615
2022-01-12,17721.494140625,17721.494140625,17572.68770127624,17572.68770127624,938
2022-01-13,17784.626953125,17807.173386889102,17716.98765183269,17716.98765183269,210
2022-01-14,17649.34765625,17680.91266227804,17563.671211316745,17680.91266227804,1138
2022-01-17,17716.98828125,17816.192593336407,17716.98828125,17748.55328964113,345
2022-01-18,17581.705078125,17865.79007938734,17563.667935187706,17820.697222044113,673
2022-01-19,17261.55078125,17455.450123881597,17216.45791087056,17315.66222570533,118
2022-01-20,17293.11328125,17360.752577004565,17135.288257822685,17207.436839960887,344
2022-01-21,17288.603515625,17288.603515625,16972.953477520216,17148.815641607165,799
2022-01-24,17396.826171875,17505.04904075136,17189.39900652864,17505.04904075136,61
2022-01-25,17216.455078125,17216.455078125,17090.19506183702,17175.871501461006,82
2022-01-26,17220.96484375,17288.604140072664,17220.96484375,17288.604140072664,1014
2022-01-27,16981.970703125,17342.71357520413,16927.85927231313,17342.71357520413,75
2022-01-28,17275.07421875,17315.657791699294,17225.472074034195,17225.472074034195,44
2022-01-31,17279.583984375,17329.186130467933,17252.52826832431,17275.074698366552,110
2022-02-01,17311.150390625,17468.97541372265,17311.150390625,17468.97541372265,175
2022-02-02,17640.328125,17676.402415644174,17487.01238976227,17505.049535084356,53
2022-02-03,17744.0390625,17753.057633815122,17676.399777636594,17676.399777636594,53
2022-02-04,17870.30078125,17906.37506998328,17744.04077068351,17816.189348150077,18
2022-02-07,18014.599609375,18014.599609375,17820.70028942428,17847.756008487173,89
2022-02-08,18023.6171875,18059.69147759257,18023.6171875,18037.145046284713,57
2022-02-09,18068.7109375,18095.766656398177,18023.618072669702,18032.63664563576,23
2022-02-10,18104.78515625,18113.80372917964,18023.61799988325,18077.729437461083,63
2022-02-14,18118.3125,18136.349645345945,17888.338896839225,17964.99676455948,275
2022-02-15,17924.412109375,18158.89498476808,17924.412109375,18086.746407724055,1528
2022-02-16,18249.08203125,18249.08203125,18154.387017003337,18154.387017003337,271
2022-02-17,18158.896484375,18190.46148943848,18037.14575055873,18154.38719793736,72
2022-02-18,18023.6171875,18059.69147759257,17933.431462268574,17974.015038622718,412
