Price,Close,High,Low,Open,Volume
Ticker,1515.T,1515.T,1515.T,1515.T,1515.T
Date,,,,,
2022-01-04,2834.334228515625,2891.1082577462926,2834.334228515625,2891.1082577462926,61800
2022-01-05,2960.98388671875,2974.0855853325497,2856.1702978083517,2873.6392292934183,81600
2022-01-06,2891.1083984375,2952.249663661254,2886.741165207232,2886.741165207232,47600
2022-01-07,2987.187744140625,2991.55497768469,2912.9447738915155,2921.6792409796462,47800
2022-01-11,2895.4755859375,2982.8202491633674,2882.37388645362,2974.0857828407807,43800
2022-01-12,2965.351318359375,2969.71855152338,2895.4755877352954,2921.678986719325,41000
2022-01-13,3017.758056640625,3057.063154339273,2969.718492786722,2978.452958941977,73800
2022-01-14,2956.61669921875,3017.757960354736,2917.3116027741876,3017.757960354736,72800
2022-01-17,2899.8427734375,2960.984036732869,2882.3738410673946,2956.6168036403424,53000
2022-01-18,2864.90478515625,2904.2098812940644,2856.170319347847,2904.2098812940644,39400
2022-01-19,2777.560302734375,2838.7015672599746,2764.4586031931753,2812.498168177575,58600
2022-01-20,2799.396240234375,2821.232404354768,2764.458377641746,2795.0290074102963,34200
2022-01-21,2795.029296875,2799.396530151367,2738.2552642822266,2795.029296875,36400
2022-01-24,2821.232666015625,2843.0688321612565,2786.294800182614,2795.029266640867,44600
2022-01-25,2729.52099609375,2795.0295,2707.684828125,2790.66226640625,74600
2022-01-26,2729.52099609375,2768.8260984375,2729.52099609375,2768.8260984375,26200
2022-01-27,2655.27783203125,2760.0914306640625,2646.5433654785156,2746.989730834961,65400
2022-01-28,2768.82568359375,2768.82568359375,2690.2154906841483,2698.949956562993,45400
2022-01-31,2781.927490234375,2799.396422669128,2746.9896253648694,2760.091324690934,28400
2022-02-01,2764.45849609375,2847.4359233066743,2760.0912630825433,2838.7014572842613,62400
2022-02-02,2834.334228515625,2838.7014615333687,2764.4585002317267,2768.8257332494704,55400
2022-02-03,2816.865478515625,2838.701645015746,2795.029312015504,2812.498245215601,41400
2022-02-04,2821.232666015625,2873.6394647651414,2808.130966328246,2825.599899244751,100400
2022-02-07,2703.3173828125,2799.3965143502624,2703.3173828125,2790.6620478468294,85000
2022-02-08,2720.78662109375,2760.0917247692614,2681.481517418238,2746.990023544091,76400
2022-02-09,2799.396240234375,2812.4979387066105,2733.887747873196,2733.887747873196,43600
2022-02-10,2829.96728515625,2847.436219015239,2790.6621839735244,2821.232818226755,44000
2022-02-14,2799.396240234375,2825.5996371788465,2768.825610465825,2825.5996371788465,36800
2022-02-15,2821.232666015625,2838.7015989321303,2777.5603337243615,2803.7637330991197,50000
2022-02-16,2834.334228515625,2856.170393604343,2825.5997624801375,2847.435927568856,34000
2022-02-17,2834.334228515625,2864.9048596398306,2799.396364373676,2821.2325294623943,34000
2022-02-18,2821.232666015625,2843.0688321612565,2790.6620334117406,2795.029266640867,41400
2022-02-21,2781.927490234375,2816.8653551038806,2768.8257909083104,2777.560257125687,24800
2022-02-22,2773.193115234375,2781.9275817390503,2746.9897157203495,2777.5603484867124,37800
2022-02-24,2812.498046875,2812.498046875,2751.356784986413,2755.724017978455,60600
2022-02-25,2773.193115234375,2812.498214505413,2751.356948972687,2812.498214505413,47400
2022-02-28,2908.5771484375,2921.6788473043352,2786.2946256803675,2786.2946256803675,100200
2022-03-01,2978.452880859375,3026.492443453881,2960.983949006827,2991.5545797487857,75400
2022-03-02,2952.249267578125,3026.492222532013,2943.5148022894323,2974.0854307998566,50400
2022-03-03,3135.67333984375,3144.4078059714484,3000.289114864424,3013.3908140559715,111400
2022-03-04,3218.65087890625,3375.8712746194456,3161.8768471209296,3201.1819460492284,287600
2022-03-07,3179.345947265625,3305.995717142964,3161.8770134894403,3266.6906161465486,109400
2022-03-08,2908.5771484375,3074.5320007507507,2886.7409836594406,3061.430301883915,120000
2022-03-09,2912.944580078125,3017.7581781618956,2912.944580078125,2943.5152128525583,90200
2022-03-10,3004.65625,3004.65625,2891.1081940406975,2895.4754269622094,54600
2022-03-11,2995.921875,3026.492506377551,2921.6789130830903,2921.6789130830903,64400
2022-03-14,3013.390869140625,3039.5942680027174,2965.351304560122,2995.9219365658964,41400
2022-03-15,2847.43603515625,3004.6564297354294,2834.334335607985,3004.6564297354294,100000
2022-03-16,2847.43603515625,2891.1083669838,2825.599869242475,2864.9049678872702,94600
2022-03-17,2912.944580078125,2921.679046585106,2838.7016147687873,2886.7411805571824,143800
