Price,Close,High,Low,Open,Volume
Ticker,1651.T,1651.T,1651.T,1651.T,1651.T
Date,,,,,
2022-01-04,1038.5599365234375,1038.5599365234375,1026.0694606721534,1032.5460037061525,6990
2022-01-05,1056.6016845703125,1056.6016845703125,1038.5598869791381,1039.9477175630748,52310
2022-01-06,1055.6766357421875,1063.0784000593983,1051.9757535835822,1054.7514152025362,59930
2022-01-07,1064.466064453125,1065.8538950456323,1054.2886401080711,1058.4521318855932,8710
2022-01-11,1070.942626953125,1088.5218147821613,1059.8399820084705,1088.5218147821613,10690
2022-01-12,1079.732421875,1079.732421875,1072.79326749277,1073.2558777849185,7040
2022-01-13,1086.6712646484375,1088.0590951269157,1079.7321122560463,1079.7321122560463,30960
2022-01-14,1081.1201171875,1087.1340502313328,1070.4800818022572,1086.671439997192,36720
2022-01-17,1084.8209228515625,1094.9983472876966,1083.8957024482777,1086.2087534564898,31180
2022-01-18,1081.1201171875,1095.9236446800119,1076.031404611949,1095.9236446800119,50470
2022-01-19,1064.0037841796875,1085.2838598632814,1064.0037841796875,1085.2838598632814,49860
2022-01-20,1071.867919921875,1071.867919921875,1057.527002564267,1061.6904947003466,24170
2022-01-21,1093.6104736328125,1093.6104736328125,1053.3633876742444,1058.9147098754263,18390
2022-01-24,1065.85400390625,1089.9097366333008,1057.9896297454834,1089.9097366333008,20590
2022-01-25,1057.9893798828125,1076.9563954382106,1053.3632785278373,1076.9563954382106,29320
2022-01-26,1065.85400390625,1071.4053268432617,1055.6765785217285,1071.4053268432617,9890
2022-01-27,1062.6156005859375,1073.2556348974206,1050.5877357120871,1073.2556348974206,22260
2022-01-28,1073.7183837890625,1073.7183837890625,1062.1531276086546,1064.00356859752,820
2022-01-31,1064.9288330078125,1073.7184280673903,1058.4522892797024,1060.3027303448766,1950
2022-02-01,1064.9288330078125,1087.1341257899041,1061.6905611437573,1061.6905611437573,18380
2022-02-02,1076.9566650390625,1081.5827675521168,1066.779239510343,1081.5827675521168,19920
2022-02-03,1076.494140625,1089.4472286944026,1076.031530336807,1077.419361201386,45110
2022-02-04,1086.208740234375,1088.5217912144312,1082.045248470274,1088.5217912144312,30740
2022-02-07,1093.6104736328125,1093.6104736328125,1082.045219047017,1086.6713208813353,27680
2022-02-08,1103.7880859375,1103.7880859375,1095.923711477761,1095.923711477761,39100
2022-02-09,1101.9375,1107.4888224181361,1101.0122795969774,1103.7879408060453,14840
2022-02-10,1103.975830078125,1107.6820015597134,1100.7329300317351,1107.2187301245149,26600
2022-02-14,1096.10009765625,1106.7553395185043,1091.0041124177806,1106.7553395185043,2450
2022-02-15,1084.9818115234375,1099.343227474431,1082.665454111987,1097.4901415452705,22200
