Price,Close,High,Low,Open,Volume
Ticker,1681.T,1681.T,1681.T,1681.T,1681.T
Date,,,,,
2022-01-04,1653.7724609375,1654.684635488486,1641.9141917746829,1641.9141917746829,6110
2022-01-05,1636.441162109375,1658.7894388494417,1636.441162109375,1658.7894388494417,4740
2022-01-06,1616.829345703125,1635.0728362047116,1616.829345703125,1634.1606616796323,3430
2022-01-07,1633.24853515625,1640.0898442954133,1627.3194005689752,1627.3194005689752,3310
2022-01-11,1648.29931640625,1651.9480143949743,1631.8801754569902,1631.8801754569902,6650
2022-01-12,1682.505859375,1682.9619466234074,1672.0158526616292,1672.4719399100366,4880
2022-01-13,1678.8572998046875,1690.2594819549504,1660.1577210782566,1685.6986090948453,5440
2022-01-14,1652.8603515625,1668.3673195407355,1645.5629548668599,1668.3673195407355,2960
2022-01-17,1660.1575927734375,1667.4549887856285,1657.421069268866,1667.4549887856285,1560
2022-01-18,1660.1575927734375,1673.3841230455337,1657.421069268866,1670.1915122902,5590
2022-01-19,1600.8663330078125,1629.143744018207,1597.217634812923,1617.741562159177,5010
2022-01-20,1665.302734375,1668.5570948274358,1634.153855758829,1634.153855758829,2700
2022-01-21,1640.1976318359375,1646.7063525971912,1637.4081800811146,1640.1976318359375,1710
2022-01-24,1629.039794921875,1645.7765051436752,1627.1801604527861,1636.4783327982307,5160
2022-01-25,1591.8470458984375,1605.3293952941895,1583.4786911010742,1605.3293952941895,6560
2022-01-26,1596.4962158203125,1626.7152763993226,1596.4962158203125,1610.4434745490864,2360
2022-01-27,1567.671875,1623.9258183199881,1562.092971530249,1599.7505699510675,45990
2022-01-28,1582.5489501953125,1591.8471226406434,1572.7858691277152,1572.7858691277152,43870
2022-01-31,1605.79443359375,1607.1891595059624,1580.6893671739288,1580.6893671739288,2670
2022-02-01,1629.9696044921875,1634.6186906430494,1628.1099700318427,1631.8292389525323,2870
2022-02-02,1643.9168701171875,1644.8466873514167,1640.1976011802708,1641.5923270316146,2750
2022-02-03,1623.92578125,1634.6186793229315,1617.8819692957343,1627.180141533066,1330
2022-02-04,1632.759033203125,1636.4783020714692,1622.5310438151782,1625.3204954664363,4670
2022-02-07,1626.2503662109375,1639.7327163024518,1626.2503662109375,1639.7327163024518,730
