Price,Close,High,Low,Open,Volume
Ticker,1757.T,1757.T,1757.T,1757.T,1757.T
Date,,,,,
2022-01-04,51.0,56.0,51.0,56.0,3287200
2022-01-05,53.0,54.0,51.0,51.0,1594200
2022-01-06,51.0,53.0,51.0,53.0,1739600
2022-01-07,51.0,53.0,51.0,53.0,1119700
2022-01-11,50.0,53.0,50.0,53.0,2287600
2022-01-12,51.0,52.0,51.0,51.0,513900
2022-01-13,52.0,52.0,50.0,51.0,950800
2022-01-14,54.0,56.0,52.0,52.0,4270700
2022-01-17,51.0,55.0,51.0,54.0,3313000
2022-01-18,51.0,52.0,51.0,51.0,704300
2022-01-19,49.0,53.0,49.0,53.0,2998100
2022-01-20,50.0,50.0,48.0,50.0,914300
2022-01-21,49.0,50.0,48.0,49.0,702100
2022-01-24,49.0,49.0,48.0,49.0,457800
2022-01-25,46.0,49.0,46.0,48.0,2102900
2022-01-26,46.0,47.0,44.0,46.0,2073800
2022-01-27,43.0,46.0,41.0,45.0,3870800
2022-01-28,40.0,43.0,38.0,42.0,4011300
2022-01-31,41.0,41.0,39.0,40.0,1174500
2022-02-01,45.0,45.0,41.0,42.0,1616000
2022-02-02,44.0,45.0,43.0,45.0,1139900
2022-02-03,45.0,46.0,43.0,44.0,1696100
2022-02-04,43.0,44.0,42.0,43.0,896200
2022-02-07,45.0,45.0,43.0,44.0,833900
2022-02-08,45.0,45.0,43.0,44.0,508100
2022-02-09,44.0,45.0,44.0,45.0,455400
2022-02-10,49.0,50.0,44.0,45.0,2950000
2022-02-14,45.0,47.0,44.0,45.0,2434800
2022-02-15,45.0,46.0,44.0,45.0,764800
2022-02-16,47.0,47.0,45.0,46.0,753900
2022-02-17,50.0,50.0,46.0,46.0,1504200
2022-02-18,50.0,50.0,47.0,48.0,1150600
2022-02-21,47.0,48.0,46.0,48.0,1286200
2022-02-22,43.0,46.0,43.0,46.0,1921000
2022-02-24,41.0,44.0,41.0,44.0,1940500
2022-02-25,46.0,46.0,41.0,41.0,1759900
2022-02-28,46.0,46.0,44.0,45.0,955600
2022-03-01,46.0,47.0,44.0,44.0,818200
2022-03-02,47.0,47.0,45.0,46.0,577500
2022-03-03,45.0,47.0,45.0,46.0,1023700
2022-03-04,45.0,46.0,43.0,45.0,1132400
2022-03-07,45.0,45.0,43.0,44.0,662700
2022-03-08,43.0,45.0,43.0,43.0,542000
2022-03-09,42.0,44.0,42.0,43.0,569900
2022-03-10,43.0,44.0,42.0,43.0,451300
2022-03-11,43.0,44.0,42.0,43.0,433500
2022-03-14,44.0,44.0,42.0,42.0,607400
2022-03-15,44.0,44.0,42.0,43.0,305800
2022-03-16,43.0,44.0,42.0,43.0,435900
2022-03-17,42.0,43.0,42.0,42.0,574400
2022-03-18,42.0,44.0,42.0,42.0,903000
2022-03-22,42.0,43.0,42.0,42.0,256200
2022-03-23,42.0,43.0,41.0,42.0,1571000
2022-03-24,44.0,46.0,42.0,42.0,2290400
2022-03-25,44.0,46.0,44.0,44.0,687100
2022-03-28,43.0,44.0,43.0,44.0,495900
2022-03-29,43.0,44.0,43.0,43.0,621500
2022-03-30,45.0,48.0,43.0,43.0,2303000
2022-03-31,48.0,48.0,45.0,45.0,1972000
2022-04-01,47.0,49.0,45.0,47.0,1845800
2022-04-04,48.0,48.0,46.0,48.0,1165000
2022-04-05,47.0,48.0,46.0,47.0,479400
2022-04-06,48.0,48.0,46.0,47.0,916200
2022-04-07,48.0,49.0,46.0,46.0,1341600
2022-04-08,47.0,49.0,47.0,48.0,834600
2022-04-11,47.0,48.0,47.0,48.0,231500
2022-04-12,46.0,47.0,44.0,47.0,1298500
2022-04-13,46.0,47.0,46.0,47.0,80500
2022-04-14,48.0,48.0,46.0,46.0,876000
2022-04-15,47.0,48.0,47.0,47.0,324600
2022-04-18,48.0,48.0,46.0,48.0,347800
2022-04-19,47.0,48.0,46.0,48.0,1003300
2022-04-20,47.0,48.0,47.0,48.0,321000
2022-04-21,47.0,48.0,47.0,47.0,314100
2022-04-22,46.0,47.0,46.0,47.0,729000
2022-04-25,46.0,47.0,45.0,46.0,471900
2022-04-26,47.0,47.0,45.0,47.0,433800
2022-04-27,47.0,47.0,45.0,46.0,380800
2022-04-28,46.0,47.0,46.0,46.0,271900
2022-05-02,48.0,49.0,46.0,46.0,1839000
2022-05-06,48.0,48.0,46.0,47.0,963100
2022-05-09,47.0,49.0,47.0,48.0,833700
2022-05-10,48.0,48.0,46.0,47.0,717800
2022-05-11,46.0,47.0,45.0,46.0,967800
2022-05-12,44.0,46.0,44.0,46.0,963400
2022-05-13,44.0,45.0,44.0,44.0,352300
2022-05-16,43.0,47.0,39.0,44.0,2553700
2022-05-17,43.0,44.0,42.0,42.0,634500
2022-05-18,44.0,45.0,42.0,42.0,716700
2022-05-19,44.0,45.0,43.0,43.0,466300
2022-05-20,42.0,44.0,42.0,44.0,737200
2022-05-23,41.0,43.0,41.0,42.0,830600
2022-05-24,39.0,42.0,39.0,42.0,2397200
2022-05-25,40.0,40.0,38.0,40.0,2360100
2022-05-26,41.0,41.0,39.0,40.0,396500
2022-05-27,42.0,42.0,40.0,40.0,1112500
2022-05-30,40.0,42.0,40.0,41.0,810000
2022-05-31,41.0,41.0,40.0,41.0,216600
2022-06-01,41.0,41.0,40.0,41.0,385800
2022-06-02,40.0,41.0,40.0,41.0,505700
2022-06-03,40.0,41.0,39.0,40.0,741300
2022-06-06,40.0,41.0,39.0,39.0,619300
2022-06-07,40.0,41.0,39.0,40.0,677500
2022-06-08,39.0,40.0,39.0,40.0,419400
2022-06-09,39.0,40.0,39.0,40.0,531000
2022-06-10,39.0,40.0,39.0,40.0,526600
2022-06-13,40.0,40.0,38.0,40.0,1127100
2022-06-14,38.0,39.0,37.0,38.0,2045700
2022-06-15,38.0,39.0,37.0,38.0,543800
2022-06-16,35.0,38.0,33.0,38.0,3992500
2022-06-17,35.0,36.0,31.0,33.0,5161900
2022-06-20,36.0,36.0,33.0,35.0,1894400
2022-06-21,36.0,39.0,35.0,35.0,1824800
2022-06-22,37.0,38.0,36.0,37.0,1017600
2022-06-23,37.0,38.0,37.0,38.0,585500
2022-06-24,38.0,40.0,37.0,37.0,2182400
2022-06-27,37.0,39.0,37.0,38.0,1313500
2022-06-28,38.0,38.0,37.0,37.0,370900
2022-06-29,37.0,38.0,37.0,37.0,842100
2022-06-30,37.0,38.0,37.0,38.0,708300
2022-07-01,37.0,38.0,36.0,37.0,589700
2022-07-04,37.0,38.0,37.0,37.0,392400
2022-07-05,38.0,38.0,36.0,37.0,527200
2022-07-06,38.0,38.0,37.0,38.0,370500
2022-07-07,37.0,38.0,36.0,38.0,309600
2022-07-08,35.0,37.0,35.0,36.0,675100
2022-07-11,36.0,37.0,36.0,36.0,178500
2022-07-12,36.0,37.0,36.0,37.0,277900
2022-07-13,36.0,37.0,36.0,36.0,336600
2022-07-14,36.0,37.0,36.0,36.0,612900
2022-07-15,36.0,37.0,36.0,36.0,119000
2022-07-19,36.0,37.0,36.0,37.0,171900
2022-07-20,36.0,37.0,36.0,37.0,87000
2022-07-21,36.0,37.0,35.0,36.0,491800
2022-07-22,37.0,37.0,35.0,36.0,368100
2022-07-25,37.0,37.0,35.0,36.0,319500
2022-07-26,36.0,37.0,36.0,37.0,181900
2022-07-27,37.0,37.0,35.0,36.0,350200
2022-07-28,37.0,37.0,36.0,36.0,235500
2022-07-29,37.0,37.0,36.0,37.0,79300
2022-08-01,36.0,37.0,34.0,36.0,1845500
2022-08-02,36.0,37.0,36.0,36.0,118700
2022-08-03,35.0,37.0,35.0,36.0,590300
2022-08-04,34.0,36.0,34.0,36.0,740000
2022-08-05,34.0,35.0,34.0,34.0,356800
2022-08-08,32.0,35.0,30.0,34.0,2173400
2022-08-09,32.0,33.0,31.0,33.0,684800
2022-08-10,33.0,34.0,32.0,33.0,506800
2022-08-12,33.0,33.0,32.0,32.0,391600
2022-08-15,33.0,34.0,32.0,34.0,407200
2022-08-16,33.0,34.0,33.0,33.0,164700
2022-08-17,34.0,34.0,33.0,33.0,198600
2022-08-18,34.0,34.0,32.0,33.0,627400
2022-08-19,34.0,34.0,33.0,34.0,401100
2022-08-22,33.0,34.0,33.0,34.0,256700
2022-08-23,33.0,34.0,32.0,33.0,748700
2022-08-24,32.0,34.0,32.0,33.0,1453200
2022-08-25,33.0,33.0,31.0,32.0,2835600
2022-08-26,32.0,33.0,31.0,32.0,422300
2022-08-29,31.0,32.0,31.0,31.0,347600
2022-08-30,31.0,33.0,31.0,31.0,919800
2022-08-31,31.0,32.0,30.0,32.0,698900
2022-09-01,31.0,32.0,30.0,31.0,526100
2022-09-02,32.0,32.0,30.0,31.0,566800
2022-09-05,31.0,32.0,31.0,31.0,97900
2022-09-06,32.0,34.0,31.0,31.0,1872300
2022-09-07,31.0,33.0,31.0,32.0,532000
2022-09-08,33.0,33.0,31.0,32.0,576800
2022-09-09,31.0,33.0,31.0,32.0,388300
2022-09-12,31.0,33.0,31.0,31.0,1582500
2022-09-13,31.0,31.0,30.0,31.0,2182900
2022-09-14,30.0,31.0,29.0,30.0,1372400
2022-09-15,30.0,31.0,29.0,30.0,832600
2022-09-16,27.0,30.0,27.0,29.0,5523400
2022-09-20,26.0,28.0,26.0,27.0,1047600
2022-09-21,22.0,27.0,21.0,26.0,3794800
2022-09-22,25.0,27.0,22.0,23.0,3055700
2022-09-26,24.0,25.0,23.0,25.0,1075200
2022-09-27,23.0,24.0,23.0,23.0,117000
2022-09-28,21.0,24.0,21.0,23.0,1058200
2022-09-29,22.0,24.0,21.0,22.0,2497000
2022-09-30,20.0,22.0,20.0,22.0,1620000
2022-10-03,21.0,21.0,17.0,20.0,2784700
