Price,Close,High,Low,Open,Volume
Ticker,1850.T,1850.T,1850.T,1850.T,1850.T
Date,,,,,
2022-01-04,288.92559814453125,288.92559814453125,284.07785320922034,284.07785320922034,7900
2022-01-05,291.8341979980469,291.8341979980469,287.9560026758137,288.92555150637196,8000
2022-01-06,291.8341979980469,291.8341979980469,286.0169050146971,288.92555150637196,30500
2022-01-07,288.92559814453125,293.77334307984216,287.95604915746907,293.77334307984216,7800
2022-01-11,288.92559814453125,290.8646961186556,288.92559814453125,290.8646961186556,6200
2022-01-12,290.86468505859375,292.80378295898436,289.89513610839845,291.83423400878905,8200
2022-01-13,292.80377197265625,295.7124187141065,290.8646741450228,290.8646741450228,10600
2022-01-14,289.8951416015625,292.8037885072638,287.9560436644283,292.8037885072638,14100
2022-01-17,292.80377197265625,292.80377197265625,289.895125231206,289.895125231206,8400
2022-01-18,288.92559814453125,292.80379409278,286.9865001704069,291.8342451057178,14700
2022-01-19,289.8951416015625,289.8951416015625,286.0169457272941,288.9255926329954,13600
2022-01-20,290.86468505859375,290.86468505859375,287.95603820800784,287.95603820800784,8700
2022-01-21,290.86468505859375,290.86468505859375,286.9864892578125,289.89513610839845,7400
2022-01-24,291.8341979980469,291.8341979980469,288.92555150637196,291.8341979980469,7100
2022-01-25,289.8951416015625,292.8037885072638,286.0169457272941,292.8037885072638,11300
2022-01-26,295.7124328613281,295.7124328613281,288.9255901399206,289.8951391001217,8400
2022-01-27,296.6819763183594,300.5601720872268,287.9560358384076,300.5601720872268,14400
2022-01-28,293.7733459472656,295.71244394031686,288.92560096463745,289.8951499611631,14000
2022-01-31,295.7124328613281,298.62107974193134,293.77333494092596,294.7428839011271,18300
2022-02-01,298.6210632324219,300.56016104561945,292.80376979282926,300.56016104561945,12200
2022-02-02,300.5601806640625,300.5601806640625,293.773337874874,298.62108272429435,12700
2022-02-03,298.6210632324219,301.5297099522182,298.6210632324219,300.56016104561945,6800
2022-02-04,297.6515197753906,300.56016654844,297.6515197753906,299.5906176240902,7500
2022-02-07,307.3470458984375,319.9511834273955,298.6211045322358,301.529751654303,20800
2022-02-08,312.1947326660156,319.95112353970546,308.3165372291707,308.3165372291707,25000
2022-02-09,308.3165588378906,318.98159703668557,306.3774609835643,308.3165588378906,15600
2022-02-10,311.2252197265625,312.1947686976733,308.31657281323015,309.28612178434093,10600
2022-02-14,306.3774719238281,308.31656984739664,305.40792296204387,308.31656984739664,17500
2022-02-15,307.3470458984375,308.3165949391266,305.4079478170594,306.37749685774844,7700
2022-02-16,306.3774719238281,307.3470208856124,304.43837400025956,307.3470208856124,18500
