Price,Close,High,Low,Open,Volume
Ticker,2012.T,2012.T,2012.T,2012.T,2012.T
Date,,,,,
2024-01-19,201.8000030517578,203.60000610351562,200.60000610351562,203.60000610351562,22270
2024-01-22,201.0,210.10000610351562,200.60000610351562,205.8000030517578,45270
2024-01-23,201.10000610351562,201.39999389648438,200.8000030517578,201.3000030517578,2271850
2024-01-24,201.10000610351562,201.5,200.6999969482422,201.3000030517578,26480
2024-01-25,200.89999389648438,200.89999389648438,200.39999389648438,200.60000610351562,11300
2024-01-26,200.89999389648438,203.89999389648438,195.10000610351562,203.89999389648438,3474060
2024-01-29,201.1999969482422,201.60000610351562,201.10000610351562,201.39999389648438,8290
2024-01-30,200.1999969482422,200.39999389648438,200.0,200.3000030517578,11010
2024-01-31,200.6999969482422,200.89999389648438,199.8000030517578,199.8000030517578,7460
2024-02-01,199.8000030517578,200.10000610351562,199.3000030517578,200.10000610351562,18430
2024-02-02,199.10000610351562,199.5,198.89999389648438,199.5,17760
2024-02-05,201.60000610351562,202.3000030517578,201.0,201.0,983370
2024-02-06,202.0,202.3000030517578,201.89999389648438,202.3000030517578,24090
2024-02-07,201.5,201.6999969482422,201.0,201.6999969482422,1130
2024-02-08,202.3000030517578,202.39999389648438,201.5,202.39999389648438,2270
2024-02-09,203.39999389648438,203.39999389648438,203.0,203.0,7670
2024-02-13,203.60000610351562,203.6999969482422,203.3000030517578,203.6999969482422,12130
2024-02-14,204.89999389648438,205.5,204.8000030517578,204.8000030517578,455830
2024-02-15,204.60000610351562,205.39999389648438,204.5,205.0,9740
2024-02-16,204.6999969482422,204.8000030517578,204.1999969482422,204.60000610351562,10010
2024-02-19,204.39999389648438,206.89999389648438,204.1999969482422,206.89999389648438,59530
2024-02-20,205.0,205.0,204.8000030517578,205.0,7160
2024-02-21,204.6999969482422,205.89999389648438,204.10000610351562,205.89999389648438,4020
2024-02-22,204.8000030517578,205.89999389648438,204.6999969482422,205.89999389648438,17850
2024-02-26,205.10000610351562,205.39999389648438,204.8000030517578,205.39999389648438,7060
2024-02-27,205.39999389648438,205.5,205.1999969482422,205.5,2880
2024-02-28,205.5,205.60000610351562,205.1999969482422,205.60000610351562,1110
2024-02-29,204.8000030517578,205.89999389648438,204.3000030517578,205.89999389648438,1012620
2024-03-01,205.1999969482422,205.39999389648438,204.89999389648438,205.0,3550
2024-03-04,205.1999969482422,205.3000030517578,204.6999969482422,205.1999969482422,2155080
2024-03-05,205.60000610351562,205.6999969482422,205.5,205.60000610351562,13360
2024-03-06,204.60000610351562,205.39999389648438,204.60000610351562,205.39999389648438,16710
2024-03-07,202.89999389648438,204.1999969482422,202.89999389648438,204.1999969482422,12620
2024-03-08,201.89999389648438,202.5,201.60000610351562,202.5,3580
2024-03-11,201.10000610351562,202.39999389648438,200.5,202.39999389648438,31410
2024-03-12,201.89999389648438,201.89999389648438,200.10000610351562,200.10000610351562,9450
2024-03-13,202.0,204.39999389648438,201.60000610351562,204.39999389648438,4530
2024-03-14,202.3000030517578,202.3000030517578,201.8000030517578,202.10000610351562,850
2024-03-15,202.89999389648438,203.3000030517578,202.8000030517578,202.8000030517578,1270
2024-03-18,204.3000030517578,204.5,202.10000610351562,202.10000610351562,5400
2024-03-19,205.6999969482422,205.8000030517578,204.1999969482422,204.3000030517578,11390
2024-03-21,206.6999969482422,208.89999389648438,205.89999389648438,208.89999389648438,16770
2024-03-22,207.39999389648438,208.89999389648438,207.3000030517578,208.89999389648438,13620
2024-03-25,207.39999389648438,207.60000610351562,207.0,207.60000610351562,51620
2024-03-26,207.60000610351562,207.60000610351562,207.10000610351562,207.5,5810
2024-03-27,208.1999969482422,208.1999969482422,207.60000610351562,207.89999389648438,18210
2024-03-28,207.60000610351562,208.89999389648438,207.39999389648438,208.89999389648438,16890
2024-03-29,207.39999389648438,208.89999389648438,207.10000610351562,208.89999389648438,8330
2024-04-01,207.5,208.3000030517578,207.5,208.3000030517578,2980
2024-04-02,208.3000030517578,208.3000030517578,207.5,207.5,1610
2024-04-03,208.10000610351562,208.3000030517578,207.60000610351562,208.3000030517578,10490
2024-04-04,208.3000030517578,208.3000030517578,208.0,208.3000030517578,15690
2024-04-05,207.60000610351562,208.89999389648438,207.0,208.89999389648438,10460
2024-04-08,208.5,209.3000030517578,208.10000610351562,209.3000030517578,10970
2024-04-09,208.5,208.5,207.89999389648438,207.89999389648438,3090
2024-04-10,208.39999389648438,208.8000030517578,208.10000610351562,208.8000030517578,6120
2024-04-11,210.3000030517578,210.3000030517578,209.60000610351562,210.0,17380
2024-04-12,210.3000030517578,210.5,210.1999969482422,210.39999389648438,12250
2024-04-15,211.39999389648438,211.5,210.5,211.0,13520
2024-04-16,212.1999969482422,212.3000030517578,211.6999969482422,211.89999389648438,111030
2024-04-17,212.60000610351562,213.1999969482422,212.39999389648438,213.1999969482422,16230
2024-04-18,212.0,212.60000610351562,211.89999389648438,212.60000610351562,13400
2024-04-19,212.0,213.1999969482422,211.39999389648438,213.1999969482422,16930
2024-04-22,212.6999969482422,219.5,212.5,219.5,15220
2024-04-23,213.0,214.3000030517578,212.6999969482422,214.3000030517578,13140
