Price,Close,High,Low,Open,Volume
Ticker,2122.T,2122.T,2122.T,2122.T,2122.T
Date,,,,,
2022-01-04,909.3618774414062,909.3618774414062,882.6970701150152,882.6970701150152,600
2022-01-05,856.9517822265625,902.0061141247402,856.9517822265625,902.0061141247402,20300
2022-01-06,856.9517822265625,856.9517822265625,856.9517822265625,856.9517822265625,600
2022-01-07,815.5753173828125,850.5154098975214,795.3468427690335,843.1596009470564,14700
2022-01-11,797.1858520507812,812.8169471890318,783.3937092817366,804.541661527605,8200
2022-01-12,804.5416259765625,815.5753397042411,787.0715792410715,792.5884361049108,7800
2022-01-13,793.5079345703125,799.0247915893414,782.4742205322549,795.3468869099887,6300
2022-01-14,794.4274291992188,809.1390482584635,784.3131910959879,784.3131910959879,15000
2022-01-17,786.152099609375,805.4610985471492,782.474195049799,783.393671189693,3900
2022-01-18,761.3262329101562,782.4741838243272,733.7419491090636,781.5547076976242,14300
2022-01-19,753.0509643554688,764.0846781189189,742.0172505920187,747.5341074737437,6800
2022-01-20,741.0977783203125,753.0509682932208,731.9030168026908,742.9367306238369,5500
2022-01-21,737.419921875,737.419921875,708.9161593087593,731.9030646041147,9800
2022-01-24,744.7756958007812,760.4067906509212,733.7419817889179,733.7419817889179,8200
2022-01-25,720.8692626953125,788.9104941231865,720.8692626953125,786.1520658220564,13900
2022-01-26,743.856201171875,769.6015332272675,722.7082498406598,722.7082498406598,13000
2022-01-27,742.0172729492188,742.0172729492188,721.7887971067369,734.6614635519526,10100
2022-01-28,741.0977783203125,750.2925398379342,733.7419691062152,738.339349865026,9300
2022-01-31,745.6951293945312,751.2119860854896,735.5808921277744,751.2119860854896,3000
2022-02-01,738.33935546875,764.0846879134884,734.6614508337874,738.33935546875,39400
2022-02-02,718.1109008789062,749.3730911860546,717.1914246934019,728.2251389194543,33800
2022-02-03,708.9161376953125,732.822518473624,697.882423489938,731.9030422898427,14400
2022-02-04,691.4461059570312,705.2382490279826,681.3318677050001,701.5603442090622,9800
2022-02-07,702.4797973632812,725.466701727263,700.6408450141628,702.4797973632812,7600
2022-02-08,742.0172729492188,742.0172729492188,696.9629403909638,711.674559185496,16400
2022-02-09,775.118408203125,809.1390263567616,772.3599797041815,778.796312868383,39100
2022-02-10,742.0172729492188,770.5210343636248,720.8693209320786,765.0041773156753,56500
2022-02-14,757.6483764648438,764.0847097600548,733.7419956540598,737.4199003941804,29000
