Price,Close,High,Low,Open,Volume
Ticker,2160.T,2160.T,2160.T,2160.T,2160.T
Date,,,,,
2022-01-04,1472.0,1501.0,1443.0,1500.0,422600
2022-01-05,1430.0,1451.0,1416.0,1450.0,489400
2022-01-06,1371.0,1423.0,1359.0,1400.0,629800
2022-01-07,1375.0,1388.0,1339.0,1387.0,514500
2022-01-11,1448.0,1452.0,1365.0,1380.0,628800
2022-01-12,1420.0,1453.0,1405.0,1425.0,560500
2022-01-13,1395.0,1428.0,1395.0,1405.0,391000
2022-01-14,1402.0,1405.0,1347.0,1381.0,604100
2022-01-17,1379.0,1414.0,1376.0,1400.0,292900
2022-01-18,1404.0,1446.0,1394.0,1411.0,614500
2022-01-19,1410.0,1422.0,1378.0,1379.0,474100
2022-01-20,1454.0,1455.0,1398.0,1401.0,538500
2022-01-21,1396.0,1462.0,1378.0,1457.0,697900
2022-01-24,1348.0,1369.0,1326.0,1366.0,762100
2022-01-25,1246.0,1364.0,1234.0,1348.0,1548300
2022-01-26,1260.0,1274.0,1220.0,1258.0,727400
2022-01-27,1193.0,1260.0,1189.0,1247.0,1120600
2022-01-28,1185.0,1217.0,1150.0,1200.0,1050400
2022-01-31,1041.0,1112.0,918.0,935.0,4188000
2022-02-01,1090.0,1107.0,1031.0,1042.0,1490500
2022-02-02,1159.0,1176.0,1095.0,1095.0,1187200
2022-02-03,1164.0,1194.0,1126.0,1141.0,953200
2022-02-04,1152.0,1183.0,1125.0,1153.0,630100
2022-02-07,1131.0,1189.0,1129.0,1163.0,580300
2022-02-08,1109.0,1148.0,1106.0,1147.0,431500
2022-02-09,1145.0,1153.0,1074.0,1123.0,814300
2022-02-10,1170.0,1192.0,1161.0,1161.0,631900
2022-02-14,1142.0,1149.0,1111.0,1130.0,585900
2022-02-15,1211.0,1355.0,1140.0,1172.0,3873300
2022-02-16,1255.0,1291.0,1225.0,1250.0,1322000
2022-02-17,1245.0,1269.0,1212.0,1233.0,903800
2022-02-18,1204.0,1243.0,1142.0,1215.0,1591700
2022-02-21,1298.0,1310.0,1204.0,1205.0,2141800
2022-02-22,1118.0,1265.0,1110.0,1257.0,2652900
2022-02-24,1051.0,1099.0,1033.0,1095.0,1533100
2022-02-25,1185.0,1191.0,1106.0,1132.0,1376300
2022-02-28,1266.0,1278.0,1158.0,1158.0,1339000
2022-03-01,1433.0,1462.0,1392.0,1446.0,2780500
2022-03-02,1471.0,1483.0,1380.0,1393.0,1666600
2022-03-03,1457.0,1483.0,1434.0,1475.0,1170300
2022-03-04,1436.0,1445.0,1370.0,1428.0,1305900
2022-03-07,1377.0,1415.0,1346.0,1390.0,955600
2022-03-08,1348.0,1430.0,1334.0,1380.0,1273200
2022-03-09,1287.0,1367.0,1282.0,1362.0,898100
2022-03-10,1305.0,1336.0,1294.0,1332.0,555800
2022-03-11,1281.0,1312.0,1255.0,1290.0,707100
2022-03-14,1299.0,1307.0,1275.0,1283.0,426800
2022-03-15,1213.0,1259.0,1205.0,1255.0,741300
2022-03-16,1208.0,1246.0,1188.0,1241.0,711200
2022-03-17,1269.0,1281.0,1232.0,1243.0,775100
2022-03-18,1325.0,1331.0,1260.0,1272.0,775900
2022-03-22,1351.0,1400.0,1294.0,1301.0,675400
2022-03-23,1416.0,1425.0,1375.0,1381.0,796600
2022-03-24,1445.0,1456.0,1384.0,1386.0,705900
2022-03-25,1407.0,1461.0,1342.0,1457.0,998500
2022-03-28,1348.0,1384.0,1332.0,1380.0,566600
2022-03-29,1383.0,1393.0,1352.0,1352.0,379400
2022-03-30,1390.0,1425.0,1380.0,1413.0,472500
2022-03-31,1393.0,1403.0,1370.0,1382.0,238500
2022-04-01,1385.0,1397.0,1364.0,1395.0,298000
2022-04-04,1406.0,1406.0,1366.0,1385.0,275900
2022-04-05,1459.0,1474.0,1413.0,1430.0,605100
2022-04-06,1440.0,1460.0,1423.0,1430.0,321900
2022-04-07,1365.0,1419.0,1356.0,1410.0,567800
2022-04-08,1346.0,1378.0,1335.0,1378.0,328000
2022-04-11,1324.0,1339.0,1291.0,1331.0,424900
2022-04-12,1294.0,1312.0,1264.0,1294.0,472100
2022-04-13,1300.0,1329.0,1297.0,1301.0,475400
2022-04-14,1332.0,1344.0,1293.0,1313.0,452500
2022-04-15,1305.0,1338.0,1287.0,1315.0,463900
2022-04-18,1305.0,1318.0,1291.0,1294.0,288900
2022-04-19,1300.0,1319.0,1294.0,1315.0,226000
2022-04-20,1288.0,1317.0,1281.0,1315.0,264200
2022-04-21,1254.0,1300.0,1251.0,1288.0,474800
2022-04-22,1221.0,1240.0,1206.0,1227.0,469900
2022-04-25,1191.0,1215.0,1179.0,1195.0,638900
2022-04-26,1196.0,1213.0,1180.0,1207.0,331400
2022-04-27,1156.0,1165.0,1135.0,1156.0,526600
2022-04-28,1150.0,1181.0,1141.0,1156.0,333300
2022-05-02,1149.0,1160.0,1130.0,1145.0,266900
2022-05-06,1108.0,1140.0,1102.0,1140.0,535700
2022-05-09,1055.0,1102.0,1051.0,1088.0,648500
2022-05-10,1044.0,1052.0,1018.0,1038.0,645500
2022-05-11,1052.0,1065.0,1012.0,1046.0,571800
2022-05-12,997.0,1028.0,997.0,1022.0,721300
2022-05-13,1014.0,1044.0,1011.0,1020.0,605100
2022-05-16,1018.0,1034.0,1001.0,1030.0,482700
2022-05-17,1069.0,1123.0,1031.0,1053.0,943900
2022-05-18,1118.0,1141.0,1080.0,1091.0,867800
2022-05-19,1132.0,1137.0,1062.0,1065.0,650000
2022-05-20,1210.0,1225.0,1141.0,1149.0,880500
2022-05-23,1182.0,1228.0,1168.0,1220.0,892200
2022-05-24,1200.0,1218.0,1160.0,1168.0,597000
2022-05-25,1165.0,1207.0,1161.0,1199.0,474100
2022-05-26,1222.0,1236.0,1179.0,1181.0,665700
2022-05-27,1235.0,1241.0,1205.0,1231.0,569000
2022-05-30,1272.0,1284.0,1250.0,1254.0,601000
2022-05-31,1239.0,1276.0,1239.0,1274.0,418900
2022-06-01,1211.0,1255.0,1211.0,1231.0,354300
2022-06-02,1184.0,1203.0,1174.0,1199.0,393000
2022-06-03,1197.0,1216.0,1183.0,1208.0,427000
2022-06-06,1218.0,1231.0,1189.0,1196.0,365100
2022-06-07,1168.0,1215.0,1168.0,1215.0,422800
2022-06-08,1207.0,1215.0,1180.0,1185.0,405400
2022-06-09,1254.0,1266.0,1202.0,1208.0,490400
