Price,Close,High,Low,Open,Volume
Ticker,2239.T,2239.T,2239.T,2239.T,2239.T
Date,,,,,
2023-03-13,10000.0,10000.0,10000.0,10000.0,0
2023-03-14,9999.990234375,9999.990234375,9999.990234375,9999.990234375,0
2023-03-15,10012.990234375,10012.990234375,10012.990234375,10012.990234375,0
2023-03-16,9864.3701171875,9864.3701171875,9864.3701171875,9864.3701171875,0
2023-03-17,10275.0,10275.0,10165.0,10235.0,280
2023-03-20,10010.0,10165.0,10010.0,10145.0,1010
2023-03-22,10385.0,10490.0,10370.0,10480.0,110
2023-03-23,10250.0,10300.0,10085.0,10300.0,540
2023-03-24,10105.0,10205.0,10100.0,10205.0,340
2023-03-27,10350.0,10350.0,10310.0,10325.0,350
2023-03-28,10310.0,10310.0,10290.0,10310.0,80
2023-03-29,10330.0,10330.0,10300.0,10300.0,50
2023-03-30,10510.0,10510.0,10510.0,10510.0,50
2023-03-31,10695.0,10720.0,10680.0,10680.0,520
2023-04-03,10900.0,10970.0,10890.0,10935.0,460
2023-04-04,11025.0,11040.0,11015.0,11030.0,370
2023-04-05,10910.0,10945.0,10910.0,10945.0,120
2023-04-06,10790.0,10815.0,10790.0,10815.0,40
2023-04-07,10895.0,10910.0,10895.0,10895.0,100
2023-04-10,10915.0,10930.0,10915.0,10930.0,230
2023-04-11,10975.0,10975.0,10950.0,10965.0,250
2023-04-12,10945.0,10970.0,10945.0,10955.0,120
2023-04-13,10825.0,10825.0,10825.0,10825.0,20
2023-04-14,11115.0,11135.0,11110.0,11110.0,220
2023-04-17,11125.0,11125.0,11120.0,11120.0,20
2023-04-18,11150.0,11160.0,11150.0,11160.0,120
2023-04-19,11130.0,11150.0,11130.0,11150.0,60
2023-04-20,11100.0,11110.0,11100.0,11105.0,240
2023-04-21,11045.0,11050.0,11025.0,11025.0,120
2023-04-24,10985.0,10990.0,10985.0,10990.0,40
2023-04-25,11010.0,11050.0,11010.0,11050.0,70
2023-04-26,10805.0,10825.0,10800.0,10810.0,250
2023-04-27,10690.0,10690.0,10670.0,10675.0,440
2023-04-28,11015.0,11020.0,10990.0,10990.0,240
2023-05-01,11240.0,11240.0,11175.0,11175.0,600
2023-05-02,11210.0,11210.0,11165.0,11175.0,160
2023-05-08,10995.0,11040.0,10995.0,11040.0,340
2023-05-09,11005.0,11005.0,11005.0,11005.0,110
2023-05-10,10940.0,10950.0,10940.0,10950.0,50
2023-05-11,11065.0,11065.0,11040.0,11040.0,60
2023-05-12,11010.0,11010.0,11010.0,11010.0,10
2023-05-15,10980.0,10980.0,10900.0,10920.0,80
2023-05-16,10965.0,10975.0,10965.0,10975.0,120
2023-05-17,10910.0,10910.0,10880.0,10910.0,1960
2023-05-18,11105.0,11105.0,11100.0,11105.0,1090
2023-05-19,11365.0,11380.0,11355.0,11355.0,160
2023-05-22,11275.0,11285.0,11275.0,11285.0,50
2023-05-23,11355.0,11360.0,11355.0,11360.0,100
2023-05-24,11080.0,11100.0,11080.0,11100.0,800
2023-05-25,10975.0,10985.0,10960.0,10985.0,1120
2023-05-26,11010.0,11010.0,10965.0,10965.0,1000
2023-05-29,11410.0,11440.0,11240.0,11240.0,370
2023-05-30,11400.0,11400.0,11380.0,11380.0,30
2023-05-31,11270.0,11365.0,11270.0,11365.0,380
2023-06-01,11250.0,11250.0,11200.0,11205.0,1020
2023-06-02,11445.0,11445.0,11425.0,11425.0,220
2023-06-05,11735.0,11735.0,11695.0,11720.0,1910
2023-06-06,11710.0,11730.0,11670.0,11685.0,3660
2023-06-07,11760.0,11780.0,11760.0,11780.0,1080
2023-06-08,11640.0,11665.0,11640.0,11640.0,190
2023-06-09,11780.0,11780.0,11735.0,11735.0,70
2023-06-12,11880.0,11885.0,11855.0,11875.0,590
2023-06-13,12105.0,12180.0,12035.0,12180.0,420
2023-06-14,12220.0,12220.0,12180.0,12215.0,2920
2023-06-15,12200.0,12240.0,12195.0,12195.0,5680
2023-06-16,12505.0,12505.0,12435.0,12445.0,650
2023-06-19,12365.0,12440.0,12365.0,12440.0,400
2023-06-20,12350.0,12385.0,12335.0,12350.0,390
2023-06-21,12300.0,12320.0,12285.0,12320.0,510
2023-06-22,12125.0,12185.0,12115.0,12180.0,200
2023-06-23,12120.0,12250.0,12110.0,12250.0,140
2023-06-26,12095.0,12095.0,12075.0,12075.0,70
2023-06-27,12025.0,12025.0,11965.0,12000.0,250
2023-06-28,12185.0,12185.0,12150.0,12175.0,470
2023-06-29,12220.0,12260.0,12220.0,12240.0,370
2023-06-30,12340.0,12340.0,12300.0,12320.0,290
2023-07-03,12580.0,12595.0,12570.0,12590.0,3230
2023-07-04,12615.0,12615.0,12580.0,12580.0,2280
2023-07-05,12605.0,12605.0,12605.0,12605.0,220
2023-07-06,12475.0,12540.0,12475.0,12520.0,250
2023-07-07,12345.0,12360.0,12330.0,12360.0,170
2023-07-10,12250.0,12270.0,12175.0,12175.0,180
2023-07-11,12370.0,12550.0,12370.0,12550.0,100
2023-07-12,12520.0,12520.0,12520.0,12520.0,90
2023-07-13,12765.0,12770.0,12720.0,12740.0,500
2023-07-14,12880.0,12900.0,12840.0,12870.0,3970
2023-07-18,12955.0,12955.0,12930.0,12940.0,2830
2023-07-19,13160.0,13160.0,13130.0,13155.0,520
2023-07-20,13180.0,13180.0,13135.0,13145.0,280
2023-07-21,13045.0,13050.0,13010.0,13020.0,340
2023-07-24,13010.0,13015.0,13000.0,13005.0,320
2023-07-25,13115.0,13125.0,13105.0,13110.0,100
2023-07-26,13195.0,13200.0,13175.0,13180.0,200
2023-07-27,13270.0,13270.0,13190.0,13205.0,190
2023-07-28,13040.0,13085.0,13015.0,13030.0,500
2023-07-31,13230.0,13280.0,13210.0,13280.0,710
2023-08-01,13315.0,13335.0,13300.0,13300.0,510
2023-08-02,13100.0,13180.0,13095.0,13145.0,760
