Price,Close,High,Low,Open,Volume
Ticker,2240.T,2240.T,2240.T,2240.T,2240.T
Date,,,,,
2023-03-13,10000.0,10000.0,10000.0,10000.0,0
2023-03-14,9999.990234375,9999.990234375,9999.990234375,9999.990234375,0
2023-03-15,9988.7001953125,9988.7001953125,9988.7001953125,9988.7001953125,0
2023-03-16,10063.240234375,10063.240234375,10063.240234375,10063.240234375,0
2023-03-17,9884.48046875,9884.48046875,9884.48046875,9884.48046875,0
2023-03-20,10050.0,10050.0,10030.0,10030.0,220
2023-03-22,10050.0,10050.0,10050.0,10050.0,0
2023-03-23,9981.0,9981.0,9863.0,9863.0,20
2023-03-24,9937.0,9996.0,9937.0,9996.0,100
2023-03-27,9815.0,9841.0,9815.0,9841.0,110
2023-03-28,9815.0,9815.0,9815.0,9815.0,0
2023-03-29,9815.0,9815.0,9815.0,9815.0,0
2023-03-30,9719.0,9731.0,9719.0,9731.0,240
2023-03-31,9635.0,9680.0,9635.0,9652.0,740
2023-04-03,9570.0,9570.0,9570.0,9570.0,30
2023-04-04,9497.0,9530.0,9497.0,9530.0,130
2023-04-05,9554.0,9630.0,9554.0,9630.0,120
2023-04-06,9590.0,9630.0,9587.0,9630.0,300
2023-04-07,9537.0,9558.0,9537.0,9558.0,130
2023-04-10,9523.0,9523.0,9523.0,9523.0,110
2023-04-11,9506.0,9507.0,9506.0,9506.0,230
2023-04-12,9506.0,9506.0,9506.0,9506.0,0
2023-04-13,9574.0,9574.0,9574.0,9574.0,30
2023-04-14,9450.0,9604.0,9450.0,9540.0,570
2023-04-17,9453.0,9479.0,9453.0,9479.0,40
2023-04-18,9453.0,9453.0,9453.0,9453.0,0
2023-04-19,9422.0,9422.0,9422.0,9422.0,20
2023-04-20,9422.0,9422.0,9422.0,9422.0,0
2023-04-21,9492.0,9492.0,9476.0,9476.0,50
2023-04-24,9510.0,9510.0,9510.0,9510.0,10
2023-04-25,9510.0,9510.0,9510.0,9510.0,0
2023-04-26,9577.0,9660.0,9567.0,9660.0,1220
2023-04-27,9632.0,9645.0,9626.0,9635.0,430
2023-04-28,9481.0,9496.0,9468.0,9486.0,1330
2023-05-01,9387.0,9411.0,9384.0,9411.0,1760
2023-05-02,9400.0,9410.0,9395.0,9410.0,190
2023-05-08,9482.0,9482.0,9466.0,9467.0,100
2023-05-09,9474.0,9475.0,9462.0,9462.0,80
2023-05-10,9498.0,9500.0,9497.0,9497.0,1030
2023-05-11,9446.0,9452.0,9440.0,9452.0,340
2023-05-12,9468.0,9482.0,9468.0,9479.0,50
2023-05-15,9481.0,9510.0,9481.0,9510.0,330
2023-05-16,9496.0,9496.0,9496.0,9496.0,10
2023-05-17,9520.0,9520.0,9520.0,9520.0,10
2023-05-18,9430.0,9430.0,9405.0,9405.0,80
2023-05-19,9300.0,9314.0,9300.0,9313.0,140
2023-05-22,9300.0,9300.0,9300.0,9300.0,0
2023-05-23,9318.0,9318.0,9318.0,9318.0,50
2023-05-24,9422.0,9430.0,9418.0,9419.0,60
2023-05-25,9465.0,9478.0,9460.0,9463.0,150
2023-05-26,9442.0,9445.0,9440.0,9445.0,110
2023-05-29,9264.0,9279.0,9250.0,9279.0,80
2023-05-30,9295.0,9302.0,9271.0,9302.0,880
2023-05-31,9319.0,9330.0,9306.0,9306.0,60
2023-06-01,9360.0,9360.0,9341.0,9356.0,50
2023-06-02,9279.0,9279.0,9277.0,9278.0,690
2023-06-05,9161.0,9161.0,9135.0,9158.0,160
2023-06-06,9161.0,9175.0,9150.0,9171.0,90
2023-06-07,9137.0,9137.0,9137.0,9137.0,10
2023-06-08,9193.0,9193.0,9180.0,9180.0,40
2023-06-09,9134.0,9134.0,9134.0,9134.0,10
2023-06-12,9077.0,9098.0,9077.0,9098.0,50
2023-06-13,9016.0,9120.0,9000.0,9120.0,180
2023-06-14,8875.0,8875.0,8875.0,8875.0,10
2023-06-15,8875.0,8875.0,8875.0,8875.0,0
2023-06-16,8843.0,8874.0,8843.0,8869.0,60
2023-06-19,8843.0,8843.0,8843.0,8843.0,0
2023-06-20,8900.0,8900.0,8900.0,8900.0,30
2023-06-21,8915.0,8924.0,8915.0,8924.0,430
2023-06-22,8987.0,8987.0,8963.0,8963.0,70
2023-06-23,8987.0,8987.0,8987.0,8987.0,0
2023-06-26,9001.0,9001.0,9001.0,9001.0,60
2023-06-27,9038.0,9040.0,9028.0,9039.0,490
2023-06-28,8977.0,8977.0,8961.0,8972.0,70
2023-06-29,8952.0,8952.0,8952.0,8952.0,10
2023-06-30,8920.0,8920.0,8920.0,8920.0,10
2023-07-03,8821.0,8821.0,8810.0,8814.0,90
2023-07-04,8808.0,8808.0,8798.0,8806.0,40
2023-07-05,8813.0,8813.0,8813.0,8813.0,20
2023-07-06,8857.0,8857.0,8835.0,8835.0,70
2023-07-07,8884.0,8888.0,8884.0,8888.0,30
2023-07-10,8936.0,8936.0,8900.0,8900.0,100
2023-07-11,8891.0,8990.0,8888.0,8990.0,60
2023-07-12,8833.0,8844.0,8833.0,8844.0,50
2023-07-13,8761.0,8764.0,8749.0,8764.0,50
2023-07-14,8701.0,8717.0,8700.0,8700.0,1410
2023-07-18,8677.0,8693.0,8677.0,8693.0,170
2023-07-19,8618.0,8621.0,8618.0,8621.0,50
2023-07-20,8603.0,8606.0,8603.0,8605.0,40
2023-07-21,8649.0,8655.0,8649.0,8655.0,40
2023-07-24,8658.0,8662.0,8655.0,8662.0,90
2023-07-25,8618.0,8618.0,8618.0,8618.0,10
2023-07-26,8593.0,8599.0,8593.0,8599.0,20
2023-07-27,8594.0,8594.0,8594.0,8594.0,40
2023-07-28,8644.0,8645.0,8639.0,8645.0,60
2023-07-31,8561.0,8563.0,8561.0,8563.0,40
2023-08-01,8551.0,8551.0,8551.0,8551.0,10
2023-08-02,8623.0,8623.0,8610.0,8610.0,40
2023-08-03,8697.0,8697.0,8689.0,8689.0,130
2023-08-04,8713.0,8713.0,8713.0,8713.0,20
2023-08-07,8743.0,8758.0,8742.0,8758.0,90
2023-08-08,8710.0,8710.0,8695.0,8695.0,120
2023-08-09,8724.0,8738.0,8724.0,8738.0,50
2023-08-10,8763.0,8770.0,8762.0,8770.0,180
2023-08-14,8824.0,8826.0,8765.0,8765.0,170
2023-08-15,8743.0,8743.0,8743.0,8743.0,230
2023-08-16,8858.0,8863.0,8853.0,8854.0,160
2023-08-17,8933.0,8940.0,8924.0,8924.0,310
2023-08-18,9002.0,9005.0,8990.0,9004.0,590
2023-08-21,9007.0,9007.0,8990.0,8994.0,140
2023-08-22,8944.0,8953.0,8944.0,8953.0,70
2023-08-23,8940.0,8962.0,8940.0,8962.0,40
2023-08-24,8797.0,8823.0,8796.0,8823.0,420
2023-08-25,8988.0,8988.0,8976.0,8985.0,190
2023-08-28,8919.0,8926.0,8910.0,8918.0,33430
2023-08-29,8860.0,8875.0,8860.0,8868.0,20630
2023-08-30,8738.0,8741.0,8728.0,8741.0,2020
2023-08-31,8700.0,8711.0,8696.0,8711.0,250
2023-09-01,8719.0,8723.0,8719.0,8723.0,30
2023-09-04,8712.0,8719.0,8712.0,8719.0,50
2023-09-05,8726.0,8731.0,8726.0,8729.0,1090
2023-09-06,8756.0,8756.0,8749.0,8755.0,70
2023-09-07,8816.0,8816.0,8815.0,8815.0,70
2023-09-08,8844.0,8844.0,8837.0,8841.0,90
2023-09-11,8813.0,8831.0,8813.0,8825.0,110
2023-09-12,8786.0,8786.0,8782.0,8784.0,130
2023-09-13,8836.0,8836.0,8824.0,8824.0,1060
2023-09-14,8795.0,8806.0,8795.0,8806.0,210
2023-09-15,8720.0,8735.0,8720.0,8733.0,120
2023-09-19,8851.0,8851.0,8835.0,8842.0,1250
2023-09-20,8874.0,8874.0,8865.0,8865.0,100
2023-09-21,8978.0,8980.0,8957.0,8967.0,690
2023-09-22,9081.0,9115.0,9081.0,9109.0,490
2023-09-25,9095.0,9125.0,9095.0,9114.0,140
2023-09-26,9119.0,9128.0,9085.0,9085.0,180
2023-09-27,9196.0,9208.0,9196.0,9208.0,270
2023-09-28,9201.0,9211.0,9197.0,9202.0,250
2023-09-29,9158.0,9169.0,9158.0,9169.0,30
2023-10-02,9153.0,9157.0,9137.0,9157.0,270
2023-10-03,9215.0,9216.0,9211.0,9211.0,60
2023-10-04,9348.0,9352.0,9319.0,9320.0,580
2023-10-05,9252.0,9278.0,9252.0,9278.0,100
2023-10-06,9274.0,9280.0,9268.0,9280.0,170
2023-10-10,9088.0,9098.0,9083.0,9096.0,180
2023-10-11,9048.0,9053.0,9043.0,9044.0,1180
2023-10-12,8987.0,8998.0,8987.0,8998.0,50
2023-10-13,9069.0,9071.0,9068.0,9071.0,200
2023-10-16,9104.0,9104.0,9093.0,9097.0,360
2023-10-17,9024.0,9024.0,9024.0,9024.0,150
2023-10-18,9037.0,9058.0,9037.0,9049.0,40
2023-10-19,9166.0,9170.0,9139.0,9149.0,2400
2023-10-20,9250.0,9265.0,9244.0,9246.0,120
2023-10-23,9328.0,9333.0,9319.0,9319.0,230
2023-10-24,9331.0,9348.0,9331.0,9333.0,2200
2023-10-25,9319.0,9319.0,9305.0,9307.0,320
2023-10-26,9492.0,9493.0,9467.0,9467.0,590
2023-10-27,9495.0,9512.0,9495.0,9501.0,2060
2023-10-30,9561.0,9569.0,9559.0,9569.0,330
2023-10-31,9508.0,9508.0,9486.0,9486.0,1980
2023-11-01,9442.0,9442.0,9434.0,9438.0,170
2023-11-02,9290.0,9296.0,9290.0,9296.0,40
2023-11-06,9057.0,9075.0,9054.0,9054.0,3280
2023-11-07,9067.0,9067.0,9063.0,9063.0,80
2023-11-08,9029.0,9031.0,9021.0,9024.0,2310
2023-11-09,9022.0,9029.0,9018.0,9029.0,50
2023-11-10,9083.0,9099.0,9083.0,9099.0,2090
2023-11-13,8973.0,8973.0,8964.0,8964.0,2120
2023-11-14,8957.0,8957.0,8951.0,8954.0,60
2023-11-15,8765.0,8776.0,8758.0,8776.0,170
2023-11-16,8777.0,8777.0,8777.0,8777.0,10
2023-11-17,8752.0,8753.0,8752.0,8753.0,20
2023-11-20,8762.0,8762.0,8756.0,8756.0,130
2023-11-21,8676.0,8683.0,8676.0,8683.0,20
2023-11-22,8709.0,8719.0,8709.0,8719.0,590
2023-11-24,8672.0,8672.0,8664.0,8670.0,330
2023-11-27,8790.0,8790.0,8685.0,8685.0,240
2023-11-28,8684.0,8687.0,8676.0,8676.0,380
2023-11-29,8669.0,8681.0,8669.0,8681.0,630
2023-11-30,8682.0,8682.0,8682.0,8682.0,90
2023-12-01,8664.0,8664.0,8664.0,8664.0,60
2023-12-04,8622.0,8625.0,8620.0,8621.0,760
2023-12-05,8674.0,8674.0,8667.0,8669.0,780
2023-12-06,8643.0,8654.0,8643.0,8654.0,30
2023-12-07,8704.0,8704.0,8692.0,8699.0,2050
2023-12-08,8632.0,8637.0,8632.0,8635.0,960
2023-12-11,8596.0,8600.0,8588.0,8592.0,770
2023-12-12,8556.0,8564.0,8553.0,8564.0,550
2023-12-13,8518.0,8518.0,8516.0,8517.0,50
2023-12-14,8379.0,8400.0,8379.0,8400.0,1560
2023-12-15,8381.0,8393.0,8381.0,8392.0,70
2023-12-18,8375.0,8392.0,8375.0,8392.0,530
2023-12-19,8355.0,8360.0,8355.0,8360.0,50
2023-12-20,8308.0,8313.0,8301.0,8312.0,260
2023-12-21,8403.0,8415.0,8403.0,8411.0,800
2023-12-22,8361.0,8361.0,8352.0,8352.0,40
2023-12-25,8361.0,8361.0,8351.0,8351.0,4430
2023-12-26,8361.0,8361.0,8361.0,8361.0,0
2023-12-27,8295.0,8300.0,8294.0,8300.0,180
2023-12-28,8270.0,8275.0,8270.0,8275.0,60
2023-12-29,8427.0,8427.0,8277.0,8283.0,50
2024-01-04,8431.0,8520.0,8420.0,8520.0,630
2024-01-05,8462.0,8462.0,8452.0,8452.0,6700
2024-01-09,8349.0,8349.0,8341.0,8341.0,290
2024-01-10,8355.0,8362.0,8355.0,8358.0,150
2024-01-11,8288.0,8301.0,8286.0,8301.0,200
2024-01-12,8321.0,8330.0,8314.0,8314.0,70
2024-01-15,8321.0,8321.0,8321.0,8321.0,0
2024-01-16,8338.0,8339.0,8333.0,8335.0,70
2024-01-17,8360.0,8362.0,8337.0,8337.0,480
2024-01-18,8393.0,8397.0,8383.0,8390.0,520
2024-01-19,8313.0,8313.0,8308.0,8308.0,410
2024-01-22,8192.0,8209.0,8187.0,8204.0,730
2024-01-23,8196.0,8197.0,8191.0,8192.0,80
2024-01-24,8152.0,8158.0,8152.0,8156.0,70
2024-01-25,8164.0,8168.0,8163.0,8166.0,320
2024-01-26,8154.0,8154.0,8142.0,8142.0,190
2024-01-29,8145.0,8158.0,8145.0,8158.0,220
2024-01-30,8071.0,8077.0,8071.0,8073.0,160
2024-01-31,8112.0,8114.0,8105.0,8114.0,130
2024-02-01,8190.0,8201.0,8190.0,8201.0,250
2024-02-02,8063.0,8074.0,8062.0,8070.0,490
2024-02-05,8045.0,8045.0,8027.0,8033.0,100
2024-02-06,8050.0,8060.0,8050.0,8060.0,20
2024-02-07,8035.0,8035.0,8032.0,8035.0,70
2024-02-08,7966.0,7970.0,7966.0,7970.0,50
2024-02-09,7967.0,7967.0,7967.0,7967.0,10
2024-02-13,7938.0,7938.0,7935.0,7935.0,30
2024-02-14,8031.0,8038.0,8030.0,8030.0,120
2024-02-15,7958.0,7964.0,7958.0,7959.0,70
2024-02-16,7912.0,7912.0,7908.0,7908.0,60
2024-02-19,7958.0,7958.0,7945.0,7945.0,1570
2024-02-20,7981.0,7981.0,7958.0,7960.0,90
2024-02-21,8011.0,8014.0,8005.0,8005.0,1700
2024-02-22,7928.0,7952.0,7927.0,7952.0,930
2024-02-26,7842.0,7842.0,7833.0,7835.0,330
2024-02-27,7940.0,7940.0,7842.0,7842.0,110
2024-02-28,7841.0,7845.0,7840.0,7845.0,160
2024-02-29,7853.0,7865.0,7853.0,7865.0,250
2024-03-01,7806.0,7829.0,7806.0,7829.0,140
2024-03-04,7762.0,7762.0,7757.0,7761.0,50
2024-03-05,7858.0,7858.0,7784.0,7784.0,150
2024-03-06,7836.0,7852.0,7836.0,7851.0,320
2024-03-07,7805.0,7805.0,7805.0,7805.0,30
2024-03-08,7720.0,7731.0,7720.0,7728.0,410
2024-03-11,7784.0,7792.0,7776.0,7776.0,250
2024-03-12,7750.0,7766.0,7750.0,7766.0,50
2024-03-13,7697.0,7701.0,7697.0,7701.0,40
2024-03-14,7707.0,7707.0,7707.0,7707.0,20
