Price,Close,High,Low,Open,Volume
Ticker,2244.T,2244.T,2244.T,2244.T,2244.T
Date,,,,,
2023-04-13,990.0,990.0,983.0,989.0,11763
2023-04-14,1002.0,1004.0,1000.0,1003.0,15005
2023-04-17,1015.0,1015.0,1011.0,1015.0,8772
2023-04-18,1016.0,1018.0,1011.0,1018.0,10325
2023-04-19,1018.0,1019.0,1015.0,1017.0,6592
2023-04-20,1015.0,1019.0,1013.0,1017.0,9446
2023-04-21,1004.0,1008.0,1003.0,1005.0,8984
2023-04-24,1004.0,1007.0,1001.0,1005.0,11676
2023-04-25,1001.0,1004.0,1000.0,1004.0,14507
2023-04-26,990.0,991.0,983.0,988.0,60799
2023-04-27,994.0,998.0,987.0,998.0,30809
2023-04-28,1024.0,1024.0,1008.0,1014.0,17652
2023-05-01,1050.0,1050.0,1039.0,1040.0,50980
2023-05-02,1054.0,1054.0,1046.0,1050.0,36399
2023-05-08,1031.0,1033.0,1026.0,1033.0,16370
2023-05-09,1035.0,1038.0,1031.0,1036.0,6930
2023-05-10,1030.0,1031.0,1026.0,1030.0,2987
2023-05-11,1034.0,1034.0,1029.0,1033.0,4622
2023-05-12,1041.0,1041.0,1037.0,1037.0,4493
2023-05-15,1046.0,1046.0,1035.0,1039.0,13254
2023-05-16,1049.0,1051.0,1046.0,1051.0,23358
2023-05-17,1063.0,1063.0,1057.0,1058.0,37503
2023-05-19,1119.0,1124.0,1118.0,1122.0,122432
2023-05-22,1109.0,1111.0,1105.0,1107.0,66071
2023-05-23,1123.0,1127.0,1120.0,1125.0,80353
2023-05-24,1104.0,1109.0,1102.0,1108.0,35068
2023-05-25,1140.0,1142.0,1137.0,1140.0,42616
2023-05-26,1155.0,1170.0,1152.0,1170.0,85171
2023-05-30,1210.0,1223.0,1203.0,1223.0,40231
2023-05-31,1202.0,1211.0,1200.0,1211.0,51517
2023-06-01,1196.0,1196.0,1188.0,1190.0,42873
2023-06-02,1212.0,1213.0,1205.0,1210.0,40833
2023-06-05,1224.0,1226.0,1221.0,1226.0,59951
2023-06-06,1224.0,1225.0,1219.0,1220.0,28834
2023-06-07,1225.0,1230.0,1223.0,1230.0,60981
2023-06-08,1201.0,1209.0,1196.0,1205.0,77006
2023-06-09,1222.0,1222.0,1216.0,1218.0,25831
2023-06-12,1236.0,1237.0,1231.0,1235.0,27357
2023-06-13,1264.0,1265.0,1255.0,1255.0,50306
2023-06-14,1277.0,1281.0,1274.0,1281.0,44567
2023-06-15,1301.0,1303.0,1290.0,1293.0,62094
2023-06-16,1307.0,1308.0,1295.0,1305.0,61330
2023-06-19,1313.0,1318.0,1308.0,1318.0,46829
2023-06-20,1310.0,1314.0,1305.0,1311.0,44364
2023-06-21,1310.0,1313.0,1307.0,1307.0,10145
2023-06-22,1278.0,1288.0,1277.0,1288.0,81093
2023-06-23,1310.0,1313.0,1303.0,1307.0,28056
2023-06-26,1301.0,1307.0,1300.0,1301.0,17951
2023-06-27,1282.0,1283.0,1278.0,1280.0,42939
2023-06-28,1305.0,1307.0,1301.0,1303.0,14830
2023-06-29,1322.0,1324.0,1316.0,1316.0,36758
2023-06-30,1323.0,1325.0,1320.0,1322.0,29334
2023-07-07,1318.0,1327.0,1318.0,1324.0,54214
2023-07-10,1301.0,1310.0,1300.0,1308.0,76421
2023-07-14,1323.0,1325.0,1315.0,1325.0,42855
2023-07-19,1365.0,1370.0,1350.0,1356.0,211678
2023-07-20,1353.0,1359.0,1351.0,1359.0,129172
2023-07-21,1331.0,1331.0,1320.0,1320.0,31758
2023-07-24,1336.0,1342.0,1335.0,1342.0,31938
2023-07-26,1352.0,1355.0,1347.0,1352.0,40075
2023-07-28,1335.0,1353.0,1319.0,1331.0,53421
2023-08-03,1359.0,1364.0,1357.0,1360.0,72180
2023-08-04,1368.0,1370.0,1360.0,1366.0,21560
2023-08-07,1359.0,1359.0,1350.0,1351.0,20851
2023-08-08,1359.0,1364.0,1359.0,1362.0,31166
2023-08-09,1353.0,1358.0,1350.0,1354.0,29060
2023-08-10,1341.0,1345.0,1337.0,1340.0,23603
2023-08-14,1328.0,1341.0,1325.0,1339.0,29798
2023-08-15,1366.0,1368.0,1361.0,1363.0,21488
2023-08-16,1340.0,1347.0,1340.0,1347.0,20727
2023-08-17,1325.0,1330.0,1325.0,1329.0,37323
2023-08-18,1298.0,1307.0,1298.0,1307.0,371242
2023-08-21,1299.0,1305.0,1299.0,1302.0,16880
2023-08-22,1337.0,1340.0,1337.0,1340.0,32598
2023-08-23,1340.0,1340.0,1331.0,1335.0,24998
2023-08-24,1377.0,1380.0,1365.0,1370.0,43271
2023-08-25,1331.0,1333.0,1326.0,1328.0,32640
2023-08-28,1351.0,1356.0,1350.0,1353.0,20251
2023-08-29,1367.0,1368.0,1359.0,1364.0,22720
2023-08-30,1410.0,1413.0,1405.0,1405.0,54946
2023-08-31,1416.0,1420.0,1416.0,1420.0,52009
2023-09-01,1417.0,1423.0,1415.0,1415.0,39567
2023-09-04,1424.0,1427.0,1420.0,1424.0,32226
2023-09-05,1428.0,1428.0,1422.0,1426.0,7722
2023-09-06,1435.0,1448.0,1435.0,1443.0,41760
2023-09-07,1425.0,1433.0,1425.0,1433.0,60206
2023-09-08,1416.0,1417.0,1403.0,1415.0,22744
2023-09-11,1405.0,1413.0,1403.0,1413.0,30839
2023-09-12,1427.0,1430.0,1424.0,1429.0,19311
2023-09-13,1416.0,1432.0,1416.0,1419.0,22677
2023-09-14,1435.0,1435.0,1429.0,1432.0,14067
2023-09-15,1447.0,1453.0,1437.0,1447.0,26562
2023-09-19,1439.0,1579.0,1427.0,1430.0,23139
2023-09-20,1450.0,1499.0,1445.0,1458.0,40484
2023-09-21,1392.0,1485.0,1392.0,1406.0,45610
2023-09-22,1349.0,1354.0,1340.0,1345.0,59550
2023-09-25,1358.0,1360.0,1353.0,1358.0,13889
2023-09-26,1359.0,1370.0,1358.0,1370.0,17810
2023-09-27,1354.0,1354.0,1348.0,1350.0,21093
2023-09-28,1358.0,1362.0,1351.0,1357.0,29436
2023-09-29,1373.0,1376.0,1367.0,1373.0,61441
2023-10-02,1386.0,1391.0,1383.0,1387.0,31977
2023-10-03,1395.0,1400.0,1392.0,1400.0,36034
2023-10-04,1358.0,1365.0,1356.0,1361.0,61861
2023-10-05,1384.0,1387.0,1379.0,1387.0,29574
2023-10-06,1383.0,1385.0,1379.0,1380.0,14588
2023-10-10,1426.0,1426.0,1415.0,1416.0,57912
2023-10-11,1438.0,1438.0,1431.0,1434.0,18820
2023-10-12,1452.0,1453.0,1436.0,1450.0,69809
2023-10-13,1447.0,1451.0,1444.0,1451.0,43711
2023-10-16,1423.0,1430.0,1420.0,1430.0,31162
2023-10-17,1435.0,1444.0,1432.0,1444.0,34462
2023-10-18,1426.0,1430.0,1422.0,1430.0,42027
2023-10-19,1398.0,1407.0,1398.0,1406.0,44096
2023-10-20,1379.0,1381.0,1376.0,1380.0,36732
2023-10-23,1368.0,1369.0,1365.0,1366.0,57238
2023-10-24,1381.0,1382.0,1372.0,1373.0,48275
2023-10-25,1381.0,1390.0,1381.0,1386.0,38427
2023-10-26,1335.0,1338.0,1331.0,1336.0,136562
2023-10-27,1339.0,1341.0,1334.0,1341.0,35647
2023-10-30,1340.0,1344.0,1326.0,1326.0,30411
2023-10-31,1335.0,1340.0,1332.0,1340.0,17976
2023-11-01,1357.0,1362.0,1356.0,1360.0,45645
2023-11-02,1390.0,1394.0,1388.0,1392.0,50545
2023-11-06,1419.0,1420.0,1415.0,1416.0,79460
2023-11-07,1427.0,1430.0,1425.0,1427.0,33915
2023-11-08,1449.0,1453.0,1448.0,1450.0,27965
2023-11-09,1460.0,1463.0,1457.0,1460.0,51369
2023-11-10,1450.0,1453.0,1446.0,1449.0,35051
