Price,Close,High,Low,Open,Volume
Ticker,2248.T,2248.T,2248.T,2248.T,2248.T
Date,,,,,
2023-05-12,34411.15234375,34411.15234375,34321.82428747837,34361.52564582132,224
2023-05-15,34202.72265625,34252.34935772454,34202.72265625,34252.34935772454,482
2023-05-16,34212.6484375,34311.901841728315,34212.6484375,34311.901841728315,153
2023-05-17,34163.0234375,34172.94877841735,34133.247414747966,34172.94877841735,25
2023-05-22,34778.39453125,34778.39453125,34738.69316762985,34738.69316762985,11
2023-05-23,34917.34765625,34917.34765625,34917.34765625,34917.34765625,1500
2023-05-24,34440.93359375,34440.93359375,34440.93359375,34440.93359375,13
2023-05-26,34331.75390625,34331.75390625,34331.75390625,34331.75390625,11
2023-05-31,34738.69140625,34738.69140625,34738.69140625,34738.69140625,1
2023-06-01,34738.69140625,34738.69140625,34738.69140625,34738.69140625,1
2023-06-08,35225.03515625,35225.03515625,35225.03515625,35225.03515625,2
2023-06-12,35641.8984375,35641.8984375,35641.8984375,35641.8984375,1
2023-06-14,36118.3125,36148.08852019786,36118.3125,36148.08852019786,7
2023-06-16,36564.95703125,36564.95703125,36525.25566639522,36555.0316900363,14
2023-06-19,36435.92578125,36435.92578125,36435.92578125,36435.92578125,1
2023-06-21,36267.19140625,36267.19140625,36267.19140625,36267.19140625,1
2023-06-22,36257.26953125,36257.26953125,36257.26953125,36257.26953125,1
2023-06-23,36078.609375,36217.56412912655,36078.609375,36217.56412912655,58
2023-06-27,35820.55078125,35820.55078125,35820.55078125,35820.55078125,13
2023-06-28,36098.46484375,36098.46484375,36088.539502852625,36088.539502852625,26
2023-06-29,36237.41796875,36277.11933053444,36237.41796875,36277.11933053444,23
2023-06-30,36356.5234375,36366.44877832378,36356.5234375,36366.44877832378,34
2023-07-07,36416.07421875,36416.07421875,36416.07421875,36416.07421875,2
2023-07-10,36435.92578125,36435.92578125,36435.92578125,36435.92578125,1
2023-07-20,37587.265625,37587.265625,37547.56426178374,37547.56426178374,25
2023-07-28,37408.60546875,37408.60546875,37408.60546875,37408.60546875,1
2023-08-10,36832.94140625,36832.94140625,36832.94140625,36832.94140625,5
2023-08-14,36693.984375,36693.984375,36693.984375,36693.984375,5
