Price,Close,High,Low,Open,Volume
Ticker,2526.T,2526.T,2526.T,2526.T,2526.T
Date,,,,,
2022-01-04,17461.736328125,17461.736328125,17377.560845022093,17377.560845022093,3
2022-01-05,17527.20703125,17527.20703125,17466.41362372432,17499.148535468918,1370
2022-01-06,17882.61328125,17882.61328125,17227.915096267,17709.58590379021,20
2022-01-07,17125.03515625,17592.67674981226,17125.03515625,17592.67674981226,35
2022-01-11,17022.154296875,17125.03544921875,17022.154296875,17125.03544921875,253
2022-01-12,17022.154296875,17022.154296875,17022.154296875,17022.154296875,0
2022-01-13,17026.830078125,17026.830078125,17026.830078125,17026.830078125,2
2022-01-14,17026.830078125,17026.830078125,17026.830078125,17026.830078125,0
2022-01-17,17026.830078125,17026.830078125,17026.830078125,17026.830078125,0
2022-01-18,17026.830078125,17026.830078125,17026.830078125,17026.830078125,0
2022-01-19,16708.8359375,16708.8359375,16708.8359375,16708.8359375,3
2022-01-20,16563.865234375,16657.393553033242,15960.607579029325,15960.607579029325,7
2022-01-21,16376.810546875,16376.810546875,16358.104880916262,16358.104880916262,6000
2022-01-24,16404.8671875,16404.8671875,16404.8671875,16404.8671875,10
2022-01-25,16199.1064453125,16311.340439159932,16199.1064453125,16311.340439159932,4
2022-01-26,16344.0771484375,16344.0771484375,16344.0771484375,16344.0771484375,10
2022-01-27,15909.1669921875,15993.34247891865,15909.1669921875,15993.34247891865,18
2022-01-28,16030.75390625,16030.75390625,16030.75390625,16030.75390625,15
2022-01-31,16227.1630859375,16227.1630859375,16227.1630859375,16227.1630859375,2
2022-02-01,16409.544921875,16423.574170882017,16409.544921875,16423.574170882017,3
2022-02-02,16563.865234375,16563.865234375,16418.89634045472,16418.89634045472,22
2022-02-03,16451.630859375,16465.660106838935,16451.630859375,16451.630859375,5550
2022-02-04,16517.103515625,16517.103515625,16367.458183660108,16367.458183660108,1855
2022-02-07,16456.30859375,16479.690674730038,16446.955761357985,16479.690674730038,2839
2022-02-08,16591.923828125,16619.98232388846,16591.923828125,16619.98232388846,2816
2022-02-09,16722.861328125,16722.861328125,16704.155666684146,16704.155666684146,4297
2022-02-10,16816.390625,16816.390625,16774.302884281147,16816.390625,2810
2022-02-14,16409.544921875,16587.248742630556,16316.016595161549,16587.248742630556,155
2022-02-15,16571.052734375,16571.052734375,16571.052734375,16571.052734375,0
2022-02-16,16641.888671875,16660.778443352723,16641.888671875,16656.056000483295,2021
2022-02-17,16623.0,16670.22443181818,16623.0,16670.22443181818,21
2022-02-18,16500.216796875,16500.216796875,16405.767931409202,16405.767931409202,20
2022-02-21,16391.599609375,16410.489381324725,16216.869218840033,16216.869218840033,2003
2022-02-22,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-02-24,15938.244140625,16046.860322916666,15848.517729166666,16046.860322916666,16
2022-02-25,16037.41796875,16037.41796875,16037.41796875,16037.41796875,3
2022-02-28,16037.41796875,16037.41796875,16037.41796875,16037.41796875,0
2022-03-01,16339.650390625,16339.650390625,16221.589332889269,16221.589332889269,4
2022-03-02,15961.857421875,16046.86139631102,15961.857421875,16046.86139631102,11
2022-03-03,15961.857421875,15961.857421875,15961.857421875,15961.857421875,0
2022-03-04,15848.51953125,15872.131747476535,15848.51953125,15872.131747476535,79
2022-03-07,15461.27734375,15551.003754724727,15461.27734375,15551.003754724727,17
2022-03-08,15111.8173828125,15272.380442504884,15111.8173828125,15272.380442504884,38
2022-03-09,15116.5390625,15187.375702905341,15116.5390625,15187.375702905341,143
2022-03-10,15678.509765625,15678.509765625,15329.04900578878,15329.04900578878,140
2022-03-11,15678.509765625,15678.509765625,15678.509765625,15678.509765625,0
2022-03-14,15593.505859375,15607.673187533124,15560.448760339377,15560.448760339377,150
2022-03-15,15593.505859375,15593.505859375,15593.505859375,15593.505859375,0
2022-03-16,15895.7431640625,15895.7431640625,15848.51873398507,15848.51873398507,2002
2022-03-17,16297.1494140625,16306.594299263348,16027.970185838343,16027.970185838343,139
2022-03-18,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-03-22,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-03-23,17019.685546875,17019.685546875,16386.87814862826,16386.87814862826,9
2022-03-24,17019.685546875,17019.685546875,17019.685546875,17019.685546875,0
2022-03-25,17005.515625,17062.184935608162,16991.34829734796,17038.572722854762,8
2022-03-28,17014.9609375,17014.9609375,17014.9609375,17014.9609375,1
2022-03-29,17014.9609375,17014.9609375,17014.9609375,17014.9609375,0
2022-03-30,16996.072265625,16996.072265625,16967.737607777333,16967.737607777333,9
2022-03-31,16958.291015625,16967.735900623957,16958.291015625,16967.735900623957,2110
2022-04-01,16896.900390625,16896.900390625,16896.900390625,16896.900390625,1
2022-04-04,16896.900390625,16896.900390625,16896.900390625,16896.900390625,0
2022-04-05,17019.685546875,17071.632422850478,17019.685546875,17071.632422850478,10
2022-04-06,17019.685546875,17019.685546875,17019.685546875,17019.685546875,0
2022-04-07,17019.685546875,17019.685546875,17019.685546875,17019.685546875,0
2022-04-08,17019.685546875,17019.685546875,17019.685546875,17019.685546875,0
2022-04-11,17019.685546875,17019.685546875,17019.685546875,17019.685546875,0
2022-04-12,16193.2568359375,16193.2568359375,16193.2568359375,16193.2568359375,1
2022-04-13,16193.2568359375,16193.2568359375,16193.2568359375,16193.2568359375,0
2022-04-14,16523.828125,16523.828125,16523.828125,16523.828125,2000
2022-04-15,16443.546875,16443.546875,16443.546875,16443.546875,1
2022-04-18,16443.546875,16443.546875,16443.546875,16443.546875,0
2022-04-19,16443.546875,16443.546875,16443.546875,16443.546875,0
2022-04-20,16443.546875,16443.546875,16443.546875,16443.546875,0
2022-04-21,16443.546875,16443.546875,16443.546875,16443.546875,0
2022-04-22,16443.546875,16443.546875,16443.546875,16443.546875,0
2022-04-25,16443.546875,16443.546875,16443.546875,16443.546875,0
2022-04-26,16443.546875,16443.546875,16443.546875,16443.546875,0
2022-04-27,16117.697265625,16117.697265625,16089.362608843941,16089.362608843941,126
2022-04-28,16179.0869140625,16193.254240607213,16179.0869140625,16193.254240607213,18
2022-05-02,16391.599609375,16547.440227960244,16391.599609375,16462.436254186472,3
2022-05-06,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-09,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-10,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-11,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-12,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-13,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-16,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-17,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-18,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-19,16391.599609375,16391.599609375,16391.599609375,16391.599609375,0
2022-05-20,16268.81640625,16268.81640625,16268.81640625,16268.81640625,1
2022-05-23,16268.81640625,16268.81640625,16268.81640625,16268.81640625,0
2022-05-24,16268.81640625,16268.81640625,16268.81640625,16268.81640625,0
2022-05-25,16316.041015625,16316.041015625,16316.041015625,16316.041015625,1
2022-05-26,16316.041015625,16316.041015625,16316.041015625,16316.041015625,0
2022-05-27,16316.041015625,16316.041015625,16316.041015625,16316.041015625,0
2022-05-30,16726.892578125,16726.892578125,16726.892578125,16726.892578125,1
2022-05-31,16726.892578125,16726.892578125,16726.892578125,16726.892578125,0
2022-06-01,16726.892578125,16726.892578125,16726.892578125,16726.892578125,0
2022-06-02,16726.892578125,16726.892578125,16726.892578125,16726.892578125,0
2022-06-03,16726.892578125,16726.892578125,16726.892578125,16726.892578125,0
2022-06-06,16726.892578125,16726.892578125,16726.892578125,16726.892578125,0
2022-06-07,16726.892578125,16726.892578125,16726.892578125,16726.892578125,0
2022-06-08,17066.91015625,17066.91015625,16996.073506459255,16996.073506459255,601
2022-06-09,17066.91015625,17066.91015625,17066.91015625,17066.91015625,0
2022-06-10,17066.91015625,17066.91015625,17066.91015625,17066.91015625,0
2022-06-13,16467.15625,16467.15625,16467.15625,16467.15625,1
2022-06-14,16467.15625,16467.15625,16467.15625,16467.15625,0
2022-06-15,16467.15625,16467.15625,16467.15625,16467.15625,0
2022-06-16,16467.15625,16467.15625,16467.15625,16467.15625,0
2022-06-17,16467.15625,16467.15625,16467.15625,16467.15625,0
2022-06-20,16467.15625,16467.15625,16467.15625,16467.15625,0
2022-06-21,15957.134765625,15957.134765625,15957.134765625,15957.134765625,2
2022-06-22,16051.58203125,16051.58203125,16051.58203125,16051.58203125,1
2022-06-23,16051.58203125,16051.58203125,16051.58203125,16051.58203125,0
2022-06-24,16051.58203125,16051.58203125,16051.58203125,16051.58203125,0
2022-06-27,16051.58203125,16051.58203125,16051.58203125,16051.58203125,0
2022-06-28,16051.58203125,16051.58203125,16051.58203125,16051.58203125,0
2022-06-29,16051.58203125,16051.58203125,16051.58203125,16051.58203125,0
2022-06-30,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,2
2022-07-01,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-07-04,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-07-05,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-07-06,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-07-07,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-07-08,16297.1494140625,16297.1494140625,16297.1494140625,16297.1494140625,0
2022-07-11,16726.892578125,16726.892578125,16726.892578125,16726.892578125,1
2022-07-12,16726.892578125,16726.892578125,16726.892578125,16726.892578125,0
2022-07-13,16401.04296875,16401.04296875,16401.04296875,16401.04296875,1
2022-07-14,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-15,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-19,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-20,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-21,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-22,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-25,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-26,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-27,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-28,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-07-29,16401.04296875,16401.04296875,16401.04296875,16401.04296875,0
2022-08-01,16778.83984375,16778.83984375,16778.83984375,16778.83984375,1
2022-08-02,16708.001953125,16708.001953125,16708.001953125,16708.001953125,565
2022-08-03,16731.6171875,16736.339630962462,16712.727413650155,16736.339630962462,567
2022-08-04,16774.1171875,16774.1171875,16774.1171875,16774.1171875,561
