Price,Close,High,Low,Open,Volume
Ticker,2531.T,2531.T,2531.T,2531.T,2531.T
Date,,,,,
2022-01-04,1127.88525390625,1129.704423670615,1105.1456318516884,1121.518159730973,373300
2022-01-05,1136.071533203125,1141.5290425699934,1116.9702504190852,1120.6085899969976,456700
2022-01-06,1105.1456298828125,1140.61944022473,1105.1456298828125,1129.7044216579861,537400
2022-01-07,1101.5072021484375,1120.608483110549,1095.1401084944002,1106.0551261870355,452500
2022-01-11,1098.7784423828125,1104.2359512025946,1086.953839939951,1096.9592727762183,401400
2022-01-12,1106.9647216796875,1112.4222305786836,1098.7784583311936,1106.9647216796875,387700
2022-01-13,1086.9539794921875,1104.2360929736533,1082.4060548918017,1104.2360929736533,569100
2022-01-14,1057.84716796875,1066.9430163605707,1051.4800740944754,1064.2142618430246,719900
2022-01-17,1060.575927734375,1067.852606483839,1050.570494453862,1059.666342890692,418900
2022-01-18,1046.93212890625,1066.0334101460687,1046.93212890625,1060.5759012204062,387300
2022-01-19,1016.00634765625,1036.0172157390052,1008.72966835343,1023.2830269590701,545200
2022-01-20,1033.288330078125,1045.1129324469769,1007.8199557452134,1008.7295405428174,1178600
2022-01-21,1035.1075439453125,1039.655468127849,1007.8199988500934,1019.6446017246883,875200
2022-01-24,1036.9266357421875,1037.8362205103824,1019.6445251464844,1024.1924489874589,474000
2022-01-25,1017.8255004882812,1025.1021796696095,1001.4529723302928,1025.1021796696095,639800
2022-01-26,1005.0911865234375,1029.6499756964083,1005.0911865234375,1026.9212213438561,430500
2022-01-27,975.074951171875,1005.0912509747405,970.5270269593196,1001.4529116046962,706200
2022-01-28,992.3570556640625,993.266640499685,978.7132831297262,988.7187163215729,564200
2022-01-31,1006.0009155273438,1010.5488401002522,993.2667267232001,994.1763116377819,412300
2022-02-01,1014.1870727539062,1022.3733361214265,1002.3624701119325,1007.8199790236126,410000
2022-02-02,1025.1021728515625,1029.650097309644,1016.9159088270159,1025.1021728515625,376600
2022-02-03,1030.5596923828125,1030.5596923828125,1012.3679943707593,1018.7350886749779,348200
2022-02-04,1020.55419921875,1029.6500476966355,1011.4583507408645,1019.6446143709614,375100
2022-02-07,1013.277587890625,1018.7350973406643,1007.8200784405857,1015.0967577073047,278600
2022-02-08,1021.4638061523438,1033.288409429263,1018.7350515499778,1022.3733910197991,423400
2022-02-09,1034.1981201171875,1039.6556299858798,1021.4639304235722,1031.4693651828413,671700
2022-02-10,1036.9266357421875,1046.9320681923314,1026.0116185238487,1035.1074662057977,719300
2022-02-14,1062.3951416015625,1076.0389148241852,1042.3842742083823,1064.2143113645789,1250400
2022-02-15,1050.570556640625,1072.4005941812095,1042.3842925629058,1063.304745205966,629200
2022-02-16,1078.767578125,1079.67716292949,1055.1183732082632,1063.304636448672,569500
2022-02-17,1063.3046875,1076.0388753742516,1052.3896693220702,1073.310120829769,428000
2022-02-18,1070.5814208984375,1071.4910057929985,1043.293874061604,1046.0226287452872,329900
2022-02-21,1069.6717529296875,1069.6717529296875,1046.9321323316924,1062.395074338329,299400
2022-02-22,1045.1129150390625,1052.3895932986904,1032.3787280847137,1052.3895932986904,561600
2022-02-24,1020.55419921875,1039.6554810223095,1009.6391810452874,1038.7458961745208,722900
2022-02-25,1008.7296142578125,1029.6500661315092,1003.2721050733699,1026.011726675214,578400
2022-02-28,1037.83642578125,1038.7460107293493,1006.9105375458754,1006.9105375458754,627300
2022-03-01,1040.5650634765625,1053.2992513163108,1035.1075544023847,1036.017139248081,577500
2022-03-02,1003.2720336914062,1021.4637296785578,1003.2720336914062,1017.8253904811276,570900
2022-03-03,1014.1870727539062,1026.01167539588,1009.6391486608394,1012.3679031166795,434200
2022-03-04,1008.7296142578125,1011.4583688500338,988.7187472481895,1008.7296142578125,843800
2022-03-07,987.8091430664062,995.0858218366928,975.0749552184046,993.2666521441212,585000
2022-03-08,970.5270385742188,989.6283204955482,965.0695294538389,973.2557931344087,485200
2022-03-09,965.069580078125,991.4475422103263,962.3408253747938,973.2558441881185,770500
2022-03-10,1012.367919921875,1012.367919921875,982.3516204093665,986.8995445779284,913800
2022-03-11,992.3570556640625,999.6337343490419,987.8091314859504,999.6337343490419,801000
2022-03-14,1016.00634765625,1025.102196784775,1001.45298905061,1007.8200834405775,391600
2022-03-15,1026.92138671875,1036.017236025382,1016.0063675507917,1016.0063675507917,390600
2022-03-16,1011.4584350585938,1030.5597184544845,1011.4584350585939,1029.6501335308708,567400
2022-03-17,1026.92138671875,1031.469311372066,1014.1871976894653,1031.469311372066,563800
2022-03-18,1031.46923828125,1036.017162612296,1020.5542198867395,1029.6500685488315,722600
2022-03-22,1046.93212890625,1055.1183922947437,1037.8362806968125,1051.4800530109687,667700
2022-03-23,1066.0335693359375,1069.6719091630225,1051.480210027597,1057.8473047249959,601700
2022-03-24,1062.3951416015625,1066.0334811275952,1047.8417834974316,1064.2143113645789,549600
2022-03-25,1064.21435546875,1073.3102046607905,1056.0280911959135,1073.3102046607905,574900
2022-03-28,1054.2088623046875,1067.8526353284756,1053.299277436435,1066.0334655919705,521900
2022-03-29,1062.3951416015625,1064.2143113645789,1048.7513683789398,1060.5759718385461,550100
2022-03-30,1061.4556884765625,1068.0310776972137,1050.1835926697318,1058.6376645248547,575000
2022-03-31,1034.21484375,1050.1836469686648,1034.21484375,1046.4262815054494,655500
2022-04-01,1041.7296142578125,1046.426321265287,1019.1854206219357,1029.5181760383791,522700
2022-04-04,1039.8509521484375,1045.4870006695674,1034.2149036273079,1041.729634988814,329200
2022-04-05,1040.790283203125,1042.6689660247912,1033.2755519164598,1038.9116003814586,483400
2022-04-06,1015.4281005859375,1034.2149294589428,1015.4281005859375,1032.3362465716423,623100
2022-04-07,1020.124755859375,1027.6394870259267,998.5199037555393,1006.0346349220908,722100
2022-04-08,1025.7608642578125,1035.1542787656679,1018.2461326515281,1030.45757151174,760600
2022-04-11,1030.45751953125,1034.2148851448553,1018.2460812870328,1025.7608125142433,416100
2022-04-12,987.247802734375,1022.0034342293054,987.247802734375,1018.2460686622859,518200
2022-04-13,993.8231201171875,996.641144087274,979.7330002667547,990.0657548237388,501300
2022-04-14,1004.156005859375,1007.9133716436944,991.9445670603368,993.8232499524964,317200
2022-04-15,991.0051879882812,1007.9133333757591,987.2478223466196,1000.3986020924356,314200
2022-04-18,975.036376953125,981.6117667784351,962.8249387061205,981.6117667784351,401100
2022-04-19,983.4904174804688,990.065807091131,974.0970037509514,987.2477829722758,432100
2022-04-20,995.7018432617188,1001.3378914311247,984.4297469229069,990.0657950923128,322300
2022-04-21,1006.9739379882812,1009.7919620684723,1002.2772311879628,1003.2165725480264,330800
2022-04-22,995.7018432617188,999.4592087079894,986.3084296460422,993.8231605385835,431400
2022-04-25,988.1871948242188,997.5806092236886,981.61180474459,986.3085119443249,442700
2022-04-26,1010.7313232421875,1021.0640784054441,1005.0952749713204,1005.0952749713204,695200
2022-04-27,1002.2772827148438,1009.7920139816842,994.7625514480034,1007.9133311649741,1260100
2022-04-28,1029.5181884765625,1031.3968713022498,998.5199218527245,1000.3986046784116,481800
2022-05-02,1020.124755859375,1022.9427800468319,1006.0346349220908,1021.064097255194,345600
2022-05-06,1022.00341796875,1026.7001248527977,1011.6706628238454,1019.1853938383215,372200
2022-05-09,991.9444580078125,1013.5493088924524,988.1870926365707,1011.6706262068315,467000
2022-05-10,990.06591796875,994.7626253594935,976.9151372746679,986.3085520561551,405100
2022-05-11,1000.3986206054688,1001.3379620332673,985.3691577606918,986.3084991884904,299300
2022-05-12,976.9150390625,988.1871356670673,968.4609666090745,985.3691115159254,564700
2022-05-13,983.4904174804688,990.065807091131,953.4314935460131,974.0970037509514,742200
2022-05-16,950.6134643554688,991.0051431768968,950.6134643554688,990.0658018089566,742900
2022-05-17,929.947998046875,951.5528505267519,928.0693152225379,948.7348262902462,815400
2022-05-18,927.1299438476562,937.4626990475795,919.6152127931666,937.4626990475795,855800
2022-05-19,904.5857543945312,910.2218027085158,897.0710233092184,901.7677302375389,687100
2022-05-20,924.3118896484375,926.190572350975,895.1923077591066,898.9496731641816,801800
2022-05-23,929.0086059570312,935.5839954835218,922.4332164305406,935.5839954835218,590100
2022-05-24,911.1611938476562,931.8267054606958,905.5251452259182,930.8873640237396,628700
2022-05-25,870.7694702148438,914.9185156302674,869.8301288230263,911.1611500629973,1670100
