Price,Close,High,Low,Open,Volume
Ticker,2621.T,2621.T,2621.T,2621.T,2621.T
Date,,,,,
2022-01-04,2066.350341796875,2066.350341796875,2017.2165159681513,2023.5857156126156,31577
2022-01-05,2009.9371337890625,2022.6755311965078,1999.9283929689268,2003.5679350853397,18844
2022-01-06,1989.009765625,2004.4778196120196,1986.2801090390553,1999.9283919687787,19292
2022-01-07,1985.3701171875,1991.7393155469465,1984.460231707579,1989.9195445871046,14332
2022-01-11,1996.3438720703125,1996.3438720703125,1989.0279073536096,1990.8568985327854,23740
2022-01-12,2002.7451171875,2002.7451171875,1996.3436487763984,1996.3436487763984,3849
2022-01-13,1993.6004638671875,1994.5149594928148,1988.1134901134246,1991.7714726159334,7443
2022-01-14,2002.7451171875,2006.403099136701,1999.0871352382992,2002.7451171875,8858
2022-01-17,1970.7381591796875,1979.8831158348135,1966.1656808521243,1976.2251331727632,72588
2022-01-18,1963.422119140625,1974.39606670918,1956.1061540949217,1971.6525798170412,9465
2022-01-19,1950.6190185546875,1955.1914963290772,1946.9610363351755,1954.2770007741992,72737
2022-01-20,1962.5076904296875,1970.7381513867551,1959.7642034439982,1960.6786991058946,5955
2022-01-21,1988.1134033203125,1994.51487242024,1980.7974386346814,1980.7974386346814,28205
2022-01-24,1991.771728515625,1994.5152157449854,1989.942737029385,1993.6007200018653,68066
2022-01-25,1988.1134033203125,1990.8568900774244,1978.9684474632734,1985.3699165632008,6669
2022-01-26,1983.54150390625,1987.1994873159433,1978.9690246441332,1987.1994873159433,6903
2022-01-27,1967.0802001953125,1975.3106612839958,1961.5932261361904,1966.1657045187922,9964
2022-01-28,1986.2845458984375,1989.0280328402862,1982.626563309306,1985.3700502511547,158850
2022-01-31,1992.68603515625,1994.515026468922,1988.11355687457,1988.11355687457,21759
2022-02-01,1982.626708984375,1987.199187556756,1977.139734697518,1981.7122132698987,8219
2022-02-02,1981.712158203125,1984.455645270319,1978.9686711359311,1979.8831668249957,22253
2022-02-03,1985.3701171875,1992.6860826124196,1985.3701171875,1991.7715869343047,8538
2022-02-04,1964.3369140625,1968.9093929127384,1962.5079225224044,1968.9093929127384,11468
2022-02-07,1953.3629150390625,1953.3629150390625,1944.2179575716511,1944.2179575716511,174855
2022-02-08,1935.0728759765625,1943.3033371692793,1931.4148932242438,1943.3033371692793,14195
2022-02-09,1935.9871826171875,1935.9871826171875,1927.756722228168,1931.4147046232877,23690
2022-02-10,1935.0728759765625,1939.6453544169608,1928.6714061600048,1932.3293889123233,106932
2022-02-14,1921.355712890625,1923.1847045259326,1913.125250531741,1915.8687379847022,64082
2022-02-15,1915.8685302734375,1918.6120174289601,1914.0395388364223,1915.8685302734375,7211
2022-02-16,1887.5189208984375,1891.1769033032792,1883.8609384935955,1887.5189208984375,12339
2022-02-17,1903.9801025390625,1913.1250598038996,1888.4336751888397,1889.3481709153234,180997
2022-02-18,1903.0657958984375,1913.1252498892509,1897.5788209943576,1911.2962582545576,54640
2022-02-21,1919.5263671875,1932.3293062730763,1919.5263671874998,1925.9278367302882,91100
2022-02-22,1943.30322265625,1947.875700827206,1936.9017532169119,1938.7307444852943,10788
2022-02-24,1935.9871826171875,1938.7306694135275,1902.1508454623288,1911.2958014501285,427108
2022-02-25,1912.2105712890625,1924.0990157781864,1903.0656139897367,1924.0990157781864,16654
2022-02-28,1930.50048828125,1932.3294797433828,1920.4410352395191,1925.0135138948513,164537
2022-03-01,1941.4744873046875,1946.961461833104,1935.073017021535,1935.073017021535,4556
2022-03-02,1967.994873046875,1973.4818475999798,1956.1064281818149,1973.4818475999798,6546
2022-03-03,1923.1844482421875,1928.6714224169154,1919.5264654590353,1925.9279353295515,58205
2022-03-04,1941.4744873046875,1967.9948641920337,1921.3555807004939,1921.3555807004939,445196
2022-03-07,1959.76416015625,1971.6526034983085,1950.6192037392818,1950.6192037392818,11829
2022-03-08,1942.388916015625,1950.6193775241659,1935.9874459534267,1944.2179074619673,165172
2022-03-09,1925.9278564453125,1935.0728130286236,1922.2698738119882,1934.1583173702925,3432
2022-03-10,1893.006103515625,1897.5785820265323,1889.3481207068992,1893.006103515625,173375
2022-03-11,1879.2886962890625,1884.7756705847971,1875.6307134252395,1878.3742005731067,116917
2022-03-14,1870.143798828125,1876.5452690441625,1863.7423286120875,1876.5452690441625,183637
2022-03-15,1837.2215576171875,1851.8534863986088,1827.1621065799607,1851.8534863986088,205020
2022-03-16,1829.9058837890625,1837.2218493414425,1829.9058837890625,1830.8203794831102,123952
2022-03-17,1856.4261474609375,1861.9131212957975,1837.2217390389278,1837.2217390389278,199495
2022-03-18,1833.563720703125,1845.4521637800033,1828.9912425966336,1845.4521637800033,175142
2022-03-22,1804.2999267578125,1828.9913094351875,1803.3854311030948,1828.9913094351875,150283
2022-03-23,1782.35205078125,1799.727468413289,1776.8650767921852,1786.9245291054708,188539
2022-03-24,1815.273681640625,1824.4186372156407,1814.3591860831234,1824.4186372156407,191590
2022-03-25,1815.273681640625,1818.0171683131298,1807.9577171806125,1810.701203853117,167774
2022-03-28,1772.29248046875,1797.8983573795472,1769.5489936568788,1793.325879359762,223280
2022-03-29,1797.8985595703125,1809.7870037587224,1794.2405767431094,1807.0435166383202,121096
2022-03-30,1828.9913330078125,1836.3072983398438,1812.5304110107422,1812.5304110107422,134833
2022-03-31,1828.07666015625,1834.4781292013192,1823.5041822669145,1831.7346424677182,69837
2022-04-01,1827.162353515625,1847.2812583090904,1819.8463881361831,1847.2812583090904,61936
2022-04-04,1832.6492919921875,1842.7087441937415,1829.9058050281274,1834.478283301561,8554
2022-04-05,1823.5042724609375,1834.4782199381348,1821.6752812147379,1833.563724315035,66442
2022-04-06,1774.121826171875,1803.3856913458442,1766.8058598783828,1798.8132124124115,269468
2022-04-07,1780.5233154296875,1781.4378112260047,1774.1218448554666,1778.694323837053,5159
2022-04-08,1739.3707275390625,1746.686692744274,1734.7982492858052,1739.3707275390625,24816
2022-04-11,1723.634033203125,1747.7019627752416,1719.9312748074146,1743.0735147806038,152180
2022-04-12,1703.26904296875,1706.0461120605469,1694.9378356933594,1700.4919738769531,219924
2022-04-13,1704.1944580078125,1713.451353488572,1702.3430789116608,1713.451353488572,183975
2022-04-14,1712.5257568359375,1719.931273622255,1707.897308844489,1713.4514464342274,72905
