Price,Close,High,Low,Open,Volume
Ticker,2629.T,2629.T,2629.T,2629.T,2629.T
Date,,,,,
2022-01-04,2772.0,2830.0,2755.0,2791.0,422
2022-01-05,2758.0,2805.0,2758.0,2805.0,36
2022-01-06,2728.0,2747.0,2720.0,2747.0,222
2022-01-07,2757.0,2758.0,2748.0,2748.0,22
2022-01-11,2746.0,2770.0,2746.0,2757.0,213
2022-01-12,2773.0,2773.0,2754.0,2773.0,3018
2022-01-13,2733.0,2762.0,2733.0,2762.0,52
2022-01-14,2693.0,2732.0,2682.0,2732.0,1325
2022-01-17,2738.0,2738.0,2681.0,2681.0,61
2022-01-18,2735.0,2739.0,2735.0,2739.0,17
2022-01-19,2738.0,2741.0,2709.0,2709.0,155
2022-01-20,2776.0,2776.0,2701.0,2701.0,1284
2022-01-21,2763.0,2763.0,2732.0,2738.0,27
2022-01-24,2750.0,2789.0,2744.0,2789.0,18
2022-01-25,2711.0,2747.0,2711.0,2747.0,907
2022-01-26,2682.0,2714.0,2682.0,2711.0,46
2022-01-27,2676.0,2702.0,2662.0,2702.0,982
2022-01-28,2660.0,2701.0,2658.0,2701.0,636
2022-01-31,2642.0,2649.0,2639.0,2647.0,258
2022-02-01,2670.0,2695.0,2655.0,2693.0,217
2022-02-02,2668.0,2677.0,2640.0,2640.0,16
2022-02-03,2668.0,2671.0,2653.0,2665.0,42
2022-02-04,2687.0,2687.0,2641.0,2641.0,44
2022-02-07,2694.0,2711.0,2673.0,2711.0,1112
2022-02-08,2666.0,2683.0,2666.0,2674.0,19
2022-02-09,2701.0,2701.0,2692.0,2692.0,5
2022-02-10,2711.0,2722.0,2711.0,2721.0,245
2022-02-14,2659.0,2700.0,2659.0,2700.0,25
2022-02-15,2670.0,2681.0,2659.0,2659.0,74
2022-02-16,2705.0,2705.0,2705.0,2705.0,1
2022-02-17,2694.0,2718.0,2694.0,2716.0,16
2022-02-18,2711.0,2711.0,2691.0,2691.0,26
2022-02-21,2677.0,2687.0,2677.0,2679.0,14
2022-02-22,2616.0,2652.0,2615.0,2651.0,67
2022-02-24,2575.0,2643.0,2575.0,2643.0,74
2022-02-25,2610.0,2626.0,2593.0,2593.0,24
2022-02-28,2592.0,2627.0,2585.0,2627.0,1029
2022-03-01,2592.0,2642.0,2592.0,2642.0,19
2022-03-02,2568.0,2590.0,2563.0,2590.0,17
2022-03-03,2570.0,2573.0,2568.0,2573.0,532
2022-03-04,2507.0,2550.0,2505.0,2550.0,648
2022-03-07,2436.0,2472.0,2422.0,2472.0,2307
2022-03-08,2397.0,2442.0,2395.0,2420.0,92
2022-03-09,2314.0,2394.0,2304.0,2394.0,871
2022-03-10,2394.0,2395.0,2387.0,2394.0,457
2022-03-11,2375.0,2375.0,2326.0,2375.0,613
2022-03-14,2375.0,2375.0,2375.0,2375.0,0
2022-03-15,2254.0,2331.0,2222.0,2275.0,2541
2022-03-16,2246.0,2271.0,2234.0,2244.0,427
2022-03-17,2458.0,2506.0,2410.0,2465.0,2928
2022-03-18,2412.0,2460.0,2412.0,2460.0,561
2022-03-22,2480.0,2494.0,2465.0,2494.0,20
2022-03-23,2527.0,2543.0,2514.0,2543.0,625
2022-03-24,2506.0,2506.0,2484.0,2504.0,107
2022-03-25,2461.0,2507.0,2461.0,2504.0,150
2022-03-28,2479.0,2485.0,2463.0,2484.0,53
2022-03-29,2463.0,2503.0,2463.0,2486.0,1198
2022-03-30,2500.0,2500.0,2495.0,2500.0,526
2022-03-31,2500.0,2505.0,2500.0,2502.0,64
2022-04-01,2471.0,2506.0,2471.0,2506.0,4
2022-04-04,2530.0,2532.0,2520.0,2531.0,331
2022-04-05,2530.0,2530.0,2530.0,2530.0,0
2022-04-06,2543.0,2543.0,2529.0,2530.0,95
2022-04-07,2496.0,2520.0,2495.0,2520.0,13
2022-04-08,2497.0,2497.0,2495.0,2496.0,29
2022-04-11,2463.0,2498.0,2450.0,2497.0,721
2022-04-12,2481.0,2481.0,2462.0,2462.0,302
2022-04-13,2480.0,2482.0,2480.0,2482.0,2
2022-04-14,2511.0,2517.0,2480.0,2480.0,305
2022-04-15,2495.0,2505.0,2495.0,2505.0,7
2022-04-18,2496.0,2497.0,2484.0,2488.0,66
2022-04-19,2498.0,2498.0,2498.0,2498.0,11
2022-04-20,2485.0,2498.0,2480.0,2498.0,13
2022-04-21,2418.0,2449.0,2418.0,2449.0,50
2022-04-22,2411.0,2411.0,2352.0,2352.0,28
2022-04-25,2314.0,2370.0,2314.0,2370.0,129
2022-04-26,2303.0,2324.0,2266.0,2300.0,408
2022-04-27,2268.0,2268.0,2231.0,2231.0,1039
2022-04-28,2318.0,2319.0,2305.0,2319.0,105
2022-05-02,2371.0,2392.0,2350.0,2350.0,94
2022-05-06,2339.0,2417.0,2335.0,2417.0,941
2022-05-09,2289.0,2329.0,2289.0,2329.0,407
2022-05-10,2328.0,2330.0,2250.0,2250.0,478
2022-05-11,2388.0,2389.0,2328.0,2328.0,121
2022-05-12,2315.0,2381.0,2315.0,2381.0,105
2022-05-13,2329.0,2337.0,2293.0,2337.0,165
2022-05-16,2330.0,2350.0,2329.0,2350.0,4
2022-05-17,2372.0,2372.0,2339.0,2339.0,33
2022-05-18,2385.0,2398.0,2385.0,2398.0,13
2022-05-19,2342.0,2344.0,2323.0,2323.0,157
2022-05-20,2389.0,2403.0,2367.0,2388.0,181
2022-05-23,2381.0,2428.0,2375.0,2400.0,135
2022-05-24,2358.0,2400.0,2358.0,2384.0,36
2022-05-25,2309.0,2319.0,2309.0,2319.0,48
2022-05-26,2313.0,2361.0,2285.0,2361.0,167
2022-05-27,2310.0,2331.0,2310.0,2331.0,83
2022-05-30,2362.0,2379.0,2346.0,2348.0,264
2022-05-31,2421.0,2421.0,2360.0,2360.0,146
2022-06-01,2426.0,2454.0,2401.0,2421.0,145
2022-06-02,2458.0,2458.0,2458.0,2458.0,1
2022-06-03,2520.0,2535.0,2478.0,2478.0,188
2022-06-06,2509.0,2531.0,2490.0,2505.0,52
2022-06-07,2577.0,2578.0,2543.0,2548.0,723
2022-06-08,2605.0,2608.0,2595.0,2608.0,443
2022-06-09,2590.0,2650.0,2590.0,2640.0,1012
