Price,Close,High,Low,Open,Volume
Ticker,2642.T,2642.T,2642.T,2642.T,2642.T
Date,,,,,
2022-01-04,24788.755859375,24788.755859375,24788.755859375,24788.755859375,0
2022-01-05,25252.615234375,25252.615234375,25252.615234375,25252.615234375,1
2022-01-06,25252.615234375,25252.615234375,25252.615234375,25252.615234375,10
2022-01-07,24918.63671875,24974.300091911766,24918.63671875,24918.63671875,5
2022-01-11,24701.234375,24701.234375,24701.234375,24701.234375,1
2022-01-12,24930.818359375,24930.818359375,24888.650089268936,24888.650089268936,3
2022-01-13,24963.615234375,24963.615234375,24874.593333201366,24874.593333201366,6
2022-01-14,24312.34765625,24312.34765625,24312.34765625,24312.34765625,10
2022-01-17,24719.974609375,24719.974609375,24719.974609375,24719.974609375,1
2022-01-18,24551.302734375,24598.15636554747,24551.302734375,24598.15636554747,25
2022-01-19,24228.013671875,24228.013671875,24228.013671875,24228.013671875,1
2022-01-20,23881.294921875,23881.294921875,23881.294921875,23881.294921875,5
2022-01-21,23881.294921875,23881.294921875,23881.294921875,23881.294921875,0
2022-01-24,23881.294921875,23881.294921875,23881.294921875,23881.294921875,0
2022-01-25,23426.814453125,23426.814453125,23426.814453125,23426.814453125,2
2022-01-26,23501.78125,23501.78125,23501.78125,23501.78125,47
2022-01-27,23501.78125,23501.78125,23501.78125,23501.78125,0
2022-01-28,23215.97265625,23215.97265625,23215.97265625,23215.97265625,1
2022-01-31,23595.486328125,23595.486328125,23595.486328125,23595.486328125,1
2022-02-01,23736.048828125,23736.048828125,23736.048828125,23736.048828125,1
2022-02-02,23956.26171875,23956.26171875,23956.26171875,23956.26171875,1
2022-02-03,23829.755859375,23829.755859375,23829.755859375,23829.755859375,1
2022-02-04,23717.30859375,23717.30859375,23717.30859375,23717.30859375,4
2022-02-07,23717.30859375,23717.30859375,23717.30859375,23717.30859375,0
2022-02-08,24003.11328125,24003.11328125,24003.11328125,24003.11328125,1
2022-02-09,24157.728515625,24157.728515625,24157.728515625,24157.728515625,1
2022-02-10,24513.822265625,24513.822265625,24513.822265625,24513.822265625,2
2022-02-14,23989.05859375,23989.05859375,23989.05859375,23989.05859375,1
2022-02-15,23989.05859375,23989.05859375,23989.05859375,23989.05859375,0
2022-02-16,23989.05859375,23989.05859375,23989.05859375,23989.05859375,0
2022-02-17,23989.05859375,23989.05859375,23989.05859375,23989.05859375,0
2022-02-18,23651.712890625,23651.712890625,23651.712890625,23651.712890625,1
2022-02-21,23651.712890625,23651.712890625,23651.712890625,23651.712890625,0
2022-02-22,23651.712890625,23651.712890625,23651.712890625,23651.712890625,0
2022-02-24,23009.81640625,23145.691925651598,23009.81640625,23145.691925651598,4
2022-02-25,23009.81640625,23009.81640625,23009.81640625,23009.81640625,0
2022-02-28,23230.03125,23230.03125,23230.03125,23230.03125,1
2022-03-01,23230.03125,23230.03125,23230.03125,23230.03125,0
2022-03-02,23230.03125,23230.03125,23230.03125,23230.03125,0
2022-03-03,23230.03125,23230.03125,23230.03125,23230.03125,0
2022-03-04,22958.27734375,22958.27734375,22958.27734375,22958.27734375,1
2022-03-07,22077.43359375,22489.745596349745,22077.43359375,22489.745596349745,4
2022-03-08,21936.869140625,21936.869140625,21936.869140625,21936.869140625,1
2022-03-09,21852.53515625,21852.53515625,21852.53515625,21852.53515625,1
2022-03-10,21852.53515625,21852.53515625,21852.53515625,21852.53515625,0
2022-03-11,21852.53515625,21852.53515625,21852.53515625,21852.53515625,0
2022-03-14,21852.53515625,21852.53515625,21852.53515625,21852.53515625,0
2022-03-15,21852.53515625,21852.53515625,21852.53515625,21852.53515625,0
2022-03-16,21852.53515625,21852.53515625,21852.53515625,21852.53515625,0
2022-03-17,21852.53515625,21852.53515625,21852.53515625,21852.53515625,0
2022-03-18,21852.53515625,21852.53515625,21852.53515625,21852.53515625,0
2022-03-22,22794.291015625,23726.678253468654,22794.291015625,23726.678253468654,12
2022-03-23,22794.291015625,22794.291015625,22794.291015625,22794.291015625,0
2022-03-24,22794.291015625,22794.291015625,22794.291015625,22794.291015625,0
2022-03-25,24570.04296875,24668.43558933424,24551.301517210144,24668.43558933424,9
2022-03-28,24415.427734375,24541.93254128886,24415.427734375,24541.93254128886,4
2022-03-29,24532.560546875,24532.560546875,24532.560546875,24532.560546875,1
2022-03-30,24523.189453125,24523.189453125,24523.189453125,24523.189453125,10
2022-03-31,24443.5390625,24443.5390625,24443.5390625,24443.5390625,1
2022-04-01,24443.5390625,24443.5390625,24443.5390625,24443.5390625,0
2022-04-04,24401.369140625,24415.425228839646,24401.369140625,24415.425228839646,8
2022-04-05,24401.369140625,24401.369140625,24401.369140625,24401.369140625,0
2022-04-06,24157.728515625,24157.728515625,24157.728515625,24157.728515625,1
2022-04-07,23764.162109375,23764.162109375,23764.162109375,23764.162109375,1
2022-04-08,23576.74609375,23576.74609375,23576.74609375,23576.74609375,3
2022-04-11,23703.251953125,23703.251953125,23703.251953125,23703.251953125,1
2022-04-12,23445.556640625,23506.46636011503,23445.556640625,23506.46636011503,16
2022-04-13,23520.5234375,23520.5234375,23520.5234375,23520.5234375,2
2022-04-14,23520.5234375,23520.5234375,23520.5234375,23520.5234375,0
2022-04-15,23721.9921875,23721.9921875,23721.9921875,23721.9921875,1
2022-04-18,23426.814453125,23426.814453125,23426.814453125,23426.814453125,1
2022-04-19,23689.197265625,23689.197265625,23689.197265625,23689.197265625,1
2022-04-20,24054.65234375,24054.65234375,24054.65234375,24054.65234375,1
2022-04-21,24101.509765625,24101.509765625,24101.509765625,24101.509765625,1
2022-04-22,23909.408203125,23909.408203125,23909.408203125,23909.408203125,4
2022-04-25,23445.556640625,23445.556640625,23445.556640625,23445.556640625,1
2022-04-26,23632.970703125,23632.970703125,23632.970703125,23632.970703125,1
2022-04-27,23304.998046875,23304.998046875,23304.998046875,23304.998046875,1
2022-04-28,23670.453125,23670.453125,23670.453125,23670.453125,1
2022-05-02,23773.53125,23773.53125,23773.53125,23773.53125,1
2022-05-06,23881.294921875,23881.294921875,23848.49738127207,23876.609558931726,16
2022-05-09,23689.197265625,23689.197265625,23689.197265625,23689.197265625,1
2022-05-10,23258.142578125,23258.142578125,23258.142578125,23258.142578125,1
2022-05-11,23145.69140625,23253.454746805415,23145.69140625,23253.454746805415,12
2022-05-12,22934.8515625,22991.075917709397,22934.8515625,22991.075917709397,8
2022-05-13,23253.45703125,23253.45703125,23253.45703125,23253.45703125,1
2022-05-16,23408.072265625,23558.00387341123,23408.072265625,23558.00387341123,2
2022-05-17,23408.072265625,23408.072265625,23408.072265625,23408.072265625,0
2022-05-18,23548.6328125,23548.6328125,23548.6328125,23548.6328125,1
2022-05-19,23098.837890625,23098.837890625,23098.837890625,23098.837890625,1
2022-05-20,23379.9609375,23379.9609375,23276.882953406814,23276.882953406814,15
2022-05-23,23558.005859375,23558.005859375,23558.005859375,23558.005859375,1
2022-05-24,23558.005859375,23558.005859375,23558.005859375,23558.005859375,0
2022-05-25,23558.005859375,23558.005859375,23558.005859375,23558.005859375,0
2022-05-26,23558.005859375,23558.005859375,23558.005859375,23558.005859375,0
