Price,Close,High,Low,Open,Volume
Ticker,2644.T,2644.T,2644.T,2644.T,2644.T
Date,,,,,
2022-01-04,2652.769775390625,2696.7059696830715,2616.644460083502,2696.7059696830715,51817
2022-01-05,2619.572998046875,2644.9583495001807,2616.643919033032,2621.525717389437,24874
2022-01-06,2555.133544921875,2580.5188992084504,2530.724550415552,2570.7553014059213,41482
2022-01-07,2523.889892578125,2586.376915063618,2504.362698051408,2581.495116431939,25157
2022-01-11,2453.59228515625,2505.3393568288648,2450.6632056276117,2504.3629969859853,37135
2022-01-12,2512.173828125,2519.9847067200253,2477.0248744473865,2502.4102298812186,19231
2022-01-13,2495.57568359375,2532.677356511028,2489.7175247120745,2508.2683611707134,9814
2022-01-14,2470.1904296875,2485.812187345603,2441.875993932189,2485.812187345603,20675
2022-01-17,2474.095703125,2508.2682957095994,2474.095703125,2499.481057616417,13305
2022-01-18,2472.14306640625,2527.795576195016,2456.521309272561,2494.5993422859274,14350
2022-01-19,2346.192626953125,2440.8995286653403,2334.4763092155313,2440.8995286653403,44628
2022-01-20,2346.192626953125,2354.003505444854,2284.6819588307585,2343.2635475187267,42685
2022-01-21,2251.48583984375,2264.1785180388797,2199.738767202068,2199.738767202068,30946
2022-01-24,2268.084228515625,2284.682348138856,2196.8099501335155,2206.5735499118864,17121
2022-01-25,2188.022216796875,2279.8000340119156,2169.4713814023453,2265.1546376478136,23413
2022-01-26,2220.2421875,2230.0057855101145,2160.6842396383026,2196.8095522757258,21537
2022-01-27,2093.315185546875,2241.721859149079,2088.4333870731184,2235.8637009805707,27924
2022-01-28,2109.913818359375,2123.5828574417587,2050.35586235756,2062.0721815710317,21789
2022-01-31,2212.431396484375,2230.0058735967837,2113.819052686969,2157.7552454679912,15857
2022-02-01,2190.951416015625,2310.067312964781,2182.164177716097,2310.067312964781,92543
2022-02-02,2249.532958984375,2256.367477522956,2219.2658054563735,2236.840281698439,14893
2022-02-03,2195.833251953125,2230.9822057416145,2183.1405741961707,2225.124046776866,30280
2022-02-04,2207.54931640625,2209.50203583695,2158.7313306387523,2161.660409784802,6480
