Price,Close,High,Low,Open,Volume
Ticker,2702.T,2702.T,2702.T,2702.T,2702.T
Date,,,,,
2022-01-04,4962.1181640625,4981.6925946899655,4932.756518121301,4981.6925946899655,545200
2022-01-05,4981.693359375,5011.055009823183,4952.331708926818,4971.906142558939,685700
2022-01-06,5001.267578125,5011.054794520548,4942.544279751713,4962.118712542808,544800
2022-01-07,4981.693359375,4991.480576191061,4952.331708926818,4971.906142558939,425300
2022-01-11,5059.99072265625,5059.99072265625,4981.692993872401,5001.2674260683625,934100
2022-01-12,4874.0341796875,4942.544700285517,4815.3108763177715,4903.395831372365,2947700
2022-01-13,4829.9912109375,4903.39533268427,4820.203994704597,4903.39533268427,1334700
2022-01-14,4839.77880859375,4859.353242602218,4820.204374585282,4825.0979830873985,630200
2022-01-17,4834.884765625,4864.246413999241,4825.097549500253,4844.671981749747,648900
2022-01-18,4864.24658203125,4903.395447882608,4834.884932642732,4834.884932642732,561300
2022-01-19,4888.71484375,4903.395669106607,4849.565976132382,4864.246801488989,590500
2022-01-20,4888.71484375,4932.75731981982,4878.927626845596,4893.608452202202,835000
2022-01-21,4922.97021484375,4932.757431970676,4893.608563462973,4903.395780589898,674700
2022-01-24,4942.5439453125,4942.5439453125,4893.60786664604,4893.60786664604,359500
2022-01-25,4913.1826171875,4962.1186990319975,4893.608184449701,4942.544266294199,681500
2022-01-26,4903.39501953125,4922.969450746944,4888.71419611948,4893.6078039234035,325100
2022-01-27,4893.60791015625,4942.543989257812,4874.033478515626,4942.543989257812,594000
2022-01-28,4932.7568359375,4942.54405188182,4883.820756215898,4903.395188104539,410300
2022-01-31,4913.1826171875,4942.544266294199,4903.395400818601,4913.1826171875,414700
2022-02-01,4942.5439453125,4942.5439453125,4903.395082379332,4913.182298112624,321900
2022-02-02,4893.60791015625,4952.331205078125,4893.60791015625,4922.969557617188,780900
2022-02-03,4903.39501953125,4903.39501953125,4878.926980511633,4893.6078039234035,655500
2022-02-04,4922.97021484375,4922.97021484375,4888.714954899509,4922.97021484375,553200
2022-02-07,4888.71484375,4922.970102915416,4883.821235297798,4903.395669106607,608600
2022-02-08,4903.39501953125,4913.1822351390965,4883.820588315556,4888.71419611948,662400
2022-02-09,4883.82080078125,4913.182448882139,4844.671936646731,4913.182448882139,1128100
2022-02-10,4839.77880859375,4888.714893614921,4825.0979830873985,4888.714893614921,1426500
2022-02-14,4869.14013671875,4869.14013671875,4776.161581344221,4815.3104467650755,1151100
2022-02-15,4849.5654296875,4874.033469191473,4834.884605985117,4839.778213885911,668900
2022-02-16,4844.671875,4849.565482954546,4820.203835227273,4844.671875,639400
2022-02-17,4849.5654296875,4888.714292893857,4844.671821786706,4849.5654296875,552700
2022-02-18,4878.92724609375,4878.92724609375,4844.6719896016175,4854.459205742227,386600
2022-02-21,4844.671875,4869.139914772727,4844.671875,4869.139914772727,399600
2022-02-22,4815.310546875,4849.565804830412,4815.310546875,4844.672196551067,418500
2022-02-24,4790.84228515625,4805.52310931914,4761.480636830471,4800.629501264843,907100
2022-02-25,4800.62939453125,4820.203826313233,4776.161354803771,4776.161354803771,468500
2022-02-28,4834.884765625,4849.56558981212,4800.629509188386,4815.310333375506,492900
2022-03-01,4854.45947265625,4864.246689334993,4825.097822620023,4829.991430959394,321700
2022-03-02,4800.62939453125,4810.416610422241,4781.054962749267,4800.62939453125,567400
2022-03-03,4820.20361328125,4839.778044198128,4815.31000555203,4829.990828739689,368300
2022-03-04,4800.62939453125,4839.778258095215,4776.161354803771,4825.097434258729,503700
2022-03-07,4810.4169921875,4820.204208855226,4761.480908848868,4776.161733850458,788800
2022-03-08,4825.09765625,4849.565697103195,4805.523223567444,4810.416831738083,805100
2022-03-09,4776.16162109375,4810.416878622086,4776.16162109375,4800.629662185419,726000
2022-03-10,4795.73583984375,4805.523055843431,4761.4805838448665,4776.161407844388,709500
2022-03-11,4785.94873046875,4810.416771013069,4781.055122359886,4795.735946686477,394500
2022-03-14,4766.3740234375,4805.522886053003,4756.586807783625,4795.735670399127,504600
2022-03-15,4820.20361328125,4825.097221010469,4776.161143718274,4776.161143718274,549200
2022-03-16,4903.39501953125,4903.39501953125,4849.565333688092,4854.458941492016,991200
2022-03-17,4922.97021484375,4932.757431970676,4874.034129209121,4903.395780589898,594100
2022-03-18,4971.90576171875,4971.90576171875,4922.969681386873,4932.756897453248,642200
2022-03-22,4883.82080078125,4942.544096983029,4883.82080078125,4942.544096983029,496900
2022-03-23,4922.97021484375,4932.757431970676,4903.395780589898,4903.395780589898,273900
2022-03-24,4922.97021484375,4922.97021484375,4874.034129209121,4893.608563462973,389900
2022-03-25,4962.1181640625,4981.6925946899655,4922.969302807569,4932.756518121301,435800
2022-03-28,4991.47998046875,5011.054411764706,4962.118333524816,4971.905549172794,379000
2022-03-29,5001.267578125,5011.054794520548,4962.118712542808,4991.480361729452,274700
2022-03-30,4991.47998046875,5020.841627412684,4971.905549172794,5011.054411764706,320700
2022-03-31,4962.1181640625,5011.054240631163,4962.1181640625,5011.054240631163,365700
2022-04-01,4981.693359375,4991.480576191061,4962.118925742879,4991.480576191061,307100
2022-04-04,4981.693359375,4981.693359375,4962.118925742879,4971.906142558939,140600
2022-04-05,4981.693359375,5001.267793007122,4971.906142558939,4991.480576191061,288900
2022-04-06,5001.267578125,5030.629227311644,4991.480361729452,4991.480361729452,498400
2022-04-07,5050.20361328125,5069.778045890867,5001.267531757207,5020.841964366824,796200
2022-04-08,5030.62939453125,5079.56547813564,5011.054961089494,5079.56547813564,493600
2022-04-11,5001.267578125,5099.13974208048,4991.480361729452,5069.7780928938355,536400
2022-04-12,4971.90576171875,5001.267409917877,4971.90576171875,4991.480193851501,418400
2022-04-13,4971.90576171875,4991.480193851501,4932.756897453248,4971.90576171875,341500
2022-04-14,4952.33154296875,4991.480408921072,4952.33154296875,4962.11875945683,282800
2022-04-15,4991.47998046875,5001.267196116728,4952.331117876838,4952.331117876838,233300
2022-04-18,4991.47998046875,4991.47998046875,4962.118333524816,4971.905549172794,149400
2022-04-19,4971.90576171875,5001.267409917877,4962.118545652374,4991.480193851501,238600
2022-04-20,4991.47998046875,4991.47998046875,4962.118333524816,4962.118333524816,213400
2022-04-21,4971.90576171875,5001.267409917877,4971.90576171875,4991.480193851501,151600
2022-04-22,4981.693359375,4991.480576191061,4962.118925742879,4971.906142558939,347800
2022-04-25,5011.0546875,5011.0546875,4971.905822753906,4971.905822753906,271800
2022-04-26,5030.62939453125,5050.203827973006,5011.054961089494,5020.842177810372,359400
2022-04-27,5020.841796875,5030.629012853314,5001.267364918373,5020.841796875,293700
2022-04-28,5040.41650390625,5050.203720418689,4991.480421344054,4991.480421344054,484400
2022-05-02,5059.99072265625,5069.7779387542305,5030.629074362307,5050.203506558269,323700
2022-05-06,4991.47998046875,5040.41605870864,4981.692764820772,5020.841627412684,641000
2022-05-09,4942.5439453125,5011.054455445545,4942.5439453125,4981.692808245669,465900
2022-05-10,5020.841796875,5030.629012853314,4952.331285026803,4962.118501005117,495900
2022-05-11,5011.0546875,5040.41633605957,4981.69303894043,4981.69303894043,411900
2022-05-12,4952.33154296875,4991.480408921072,4922.969893504508,4981.693192432992,725400
2022-05-13,5030.62939453125,5059.991044693884,4913.182793880715,4913.182793880715,892000
2022-05-16,5050.20361328125,5079.565262195676,5020.841964366824,5059.990829586059,470200
2022-05-17,5011.0546875,5050.203552246094,5001.267471313477,5040.41633605957,367400
2022-05-18,5011.0546875,5040.41633605957,5001.267471313477,5011.0546875,336400
2022-05-19,5030.62939453125,5040.416611252128,4981.69331092686,4991.480527647738,329100
2022-05-20,5020.841796875,5050.203444809941,5020.841796875,5050.203444809941,540100
2022-05-23,5020.841796875,5059.990660788256,5020.841796875,5050.203444809941,366300
2022-05-24,4991.47998046875,5020.841627412684,4981.692764820772,5011.054411764706,462400
2022-05-25,4952.33154296875,4991.480408921072,4952.33154296875,4981.693192432992,475500
2022-05-26,4952.33154296875,4991.480408921072,4952.33154296875,4962.11875945683,289900
2022-05-27,4942.5439453125,4981.692808245669,4942.5439453125,4981.692808245669,1212800
2022-05-30,4932.7568359375,4962.118483770461,4932.7568359375,4952.331267826141,624500
2022-05-31,4903.39501953125,4952.331097570484,4903.39501953125,4942.543881962637,1690900
2022-06-01,4922.97021484375,4962.119083351454,4913.1829977168245,4932.757431970676,583300
2022-06-02,4913.1826171875,4932.757049925299,4913.1826171875,4922.9698335564,447000
2022-06-03,4932.7568359375,4952.331267826141,4922.96961999318,4922.96961999318,1731800
2022-06-06,4932.7568359375,4962.118483770461,4932.7568359375,4942.54405188182,678800
2022-06-07,4913.1826171875,4952.331482663098,4913.1826171875,4942.544266294199,583500
2022-06-08,4932.7568359375,4942.54405188182,4922.96961999318,4922.96961999318,454200
2022-06-09,4932.7568359375,4962.118483770461,4932.7568359375,4932.7568359375,636000
2022-06-10,4932.7568359375,4962.118483770461,4932.7568359375,4942.54405188182,1999200
2022-06-13,4942.5439453125,4942.5439453125,4913.182298112624,4922.969513845916,780800
2022-06-14,4903.39501953125,4922.969450746944,4893.6078039234035,4922.969450746944,803000
2022-06-15,4893.60791015625,4922.969557617188,4893.60791015625,4903.395125976563,673300
2022-06-16,4893.60791015625,4913.182341796875,4893.60791015625,4903.395125976563,685800
2022-06-17,4878.92724609375,4883.820854164055,4849.565597671922,4878.92724609375,2071300
2022-06-20,4903.39501953125,4913.1822351390965,4888.71419611948,4893.6078039234035,537800
2022-06-21,4932.7568359375,4932.7568359375,4893.607972160218,4893.607972160218,498100
2022-06-22,4913.1826171875,4932.757049925299,4913.1826171875,4922.9698335564,474200
2022-06-23,4913.1826171875,4942.544266294199,4913.1826171875,4932.757049925299,803700
2022-06-24,4962.1181640625,4962.1181640625,4932.756518121301,4932.756518121301,920300
2022-06-27,4952.33154296875,4981.693192432992,4942.544326480669,4981.693192432992,1124600
2022-06-28,4942.5439453125,4942.5439453125,4893.60786664604,4932.756729579208,2755300
2022-06-29,4888.71484375,4893.608452202202,4864.246801488989,4893.608452202202,2429000
2022-06-30,4834.884765625,4874.033630123988,4834.884765625,4864.246413999241,1219700
2022-07-01,4859.3525390625,4864.246146856118,4834.884500094411,4834.884500094411,591200
2022-07-04,4864.24658203125,4874.03379849409,4854.45936556841,4859.352973799831,343100
2022-07-05,4874.0341796875,4874.0341796875,4854.4597452309235,4859.353353845068,367200
2022-07-06,4849.5654296875,4874.033469191473,4844.671821786706,4874.033469191473,504100
2022-07-07,4820.20361328125,4844.671651927348,4815.31000555203,4839.778044198128,658700
2022-07-08,4849.5654296875,4869.139861290679,4829.990998084321,4839.778213885911,477400
2022-07-11,4888.71484375,4913.182886011011,4869.140409941191,4883.821235297798,462900
2022-07-12,4888.71484375,4913.182886011011,4874.034018393393,4903.395669106607,398600
2022-07-13,4893.60791015625,4893.60791015625,4883.820694335937,4893.60791015625,292600
2022-07-14,4913.1826171875,4913.1826171875,4888.714576265252,4903.395400818601,432900
2022-07-15,4932.7568359375,4932.7568359375,4913.182404048859,4922.96961999318,535100
2022-07-19,4893.60791015625,4932.7567734375,4883.820694335937,4932.7567734375,399700
2022-07-20,4893.60791015625,4903.395125976563,4878.927086425781,4903.395125976563,336800
2022-07-21,4893.60791015625,4903.395125976563,4878.927086425781,4893.60791015625,222700
2022-07-22,4903.39501953125,4903.39501953125,4883.820588315556,4893.6078039234035,221900
2022-07-25,4893.60791015625,4913.182341796875,4888.714302246094,4893.60791015625,147700
2022-07-26,4864.24658203125,4893.608231419768,4859.352973799831,4883.8210149569295,598200
2022-07-27,4888.71484375,4903.395669106607,4869.140409941191,4874.034018393393,427400
2022-07-28,4913.1826171875,4913.1826171875,4888.714576265252,4893.608184449701,357400
2022-07-29,4893.60791015625,4922.969557617188,4888.714302246094,4913.182341796875,253800
2022-08-01,4903.39501953125,4913.1822351390965,4893.6078039234035,4903.39501953125,196300
2022-08-02,4893.60791015625,4913.182341796875,4883.820694335937,4913.182341796875,306800
2022-08-03,4903.39501953125,4922.969450746944,4888.71419611948,4913.1822351390965,355000
2022-08-04,4893.60791015625,4913.182341796875,4893.60791015625,4913.182341796875,277500
2022-08-05,4913.1826171875,4922.9698335564,4903.395400818601,4903.395400818601,285200
2022-08-08,4888.71484375,4913.182886011011,4878.927626845596,4903.395669106607,359100
2022-08-09,4854.45947265625,4888.714731031849,4854.45947265625,4883.821122692478,683000
2022-08-10,4874.0341796875,4883.821396915789,4844.672528002636,4854.4597452309235,388700
2022-08-12,4854.45947265625,4883.821122692478,4854.45947265625,4869.140297674364,748900
2022-08-15,4878.92724609375,4878.92724609375,4864.246421882836,4874.033638023446,459300
2022-08-16,4874.0341796875,4883.821396915789,4864.246962459212,4878.927788301644,375200
2022-08-17,4883.82080078125,4888.714408798065,4864.246368713991,4878.927192764435,391100
2022-08-18,4883.82080078125,4883.82080078125,4869.139976730806,4874.033584747621,396400
2022-08-19,4883.82080078125,4893.60801681488,4878.927192764435,4878.927192764435,283100
2022-08-22,4878.92724609375,4883.820854164055,4874.033638023446,4883.820854164055,238600
2022-08-23,4893.60791015625,4893.60791015625,4878.927086425781,4883.820694335937,266100
2022-08-24,4874.0341796875,4903.395831372365,4869.140571073356,4883.821396915789,409800
2022-08-25,4864.24658203125,4878.927406725509,4864.24658203125,4874.03379849409,328700
2022-08-26,4874.0341796875,4874.0341796875,4854.4597452309235,4869.140571073356,304300
2022-08-29,4864.24658203125,4869.14019026267,4849.565757336991,4854.45936556841,315600
2022-08-30,4859.3525390625,4874.033362443353,4859.3525390625,4869.139754649736,274200
2022-08-31,4864.24658203125,4864.24658203125,4844.672149105571,4859.352973799831,578400
2022-09-01,4825.09765625,4859.3529134444725,4825.09765625,4854.459305273834,567300
2022-09-02,4825.09765625,4849.565697103195,4815.3104399087215,4844.672088932555,422800
2022-09-05,4810.4169921875,4825.09781718909,4805.523383853637,4825.09781718909,292500
