Price,Close,High,Low,Open,Volume
Ticker,2798.T,2798.T,2798.T,2798.T,2798.T
Date,,,,,
2022-01-04,1890.0,1905.0,1890.0,1899.0,1300
2022-01-05,1891.0,1902.0,1890.0,1890.0,1500
2022-01-06,1888.0,1901.0,1879.0,1879.0,800
2022-01-07,1900.0,1904.0,1892.0,1902.0,800
2022-01-11,1900.0,1900.0,1890.0,1895.0,2000
2022-01-12,1904.0,1904.0,1896.0,1900.0,800
2022-01-13,1900.0,1903.0,1897.0,1903.0,700
2022-01-14,1904.0,1904.0,1892.0,1904.0,800
2022-01-17,1907.0,1915.0,1907.0,1910.0,1700
2022-01-18,1919.0,1920.0,1910.0,1919.0,1600
2022-01-19,1920.0,1920.0,1915.0,1916.0,1500
2022-01-20,1907.0,1919.0,1907.0,1917.0,2000
2022-01-21,1915.0,1915.0,1906.0,1915.0,900
2022-01-24,1924.0,1924.0,1910.0,1915.0,1500
2022-01-25,1910.0,1925.0,1910.0,1925.0,600
2022-01-26,1922.0,1922.0,1910.0,1911.0,600
2022-01-27,1908.0,1921.0,1908.0,1921.0,800
2022-01-28,1895.0,1919.0,1889.0,1903.0,2900
2022-01-31,1896.0,1913.0,1895.0,1913.0,1400
2022-02-01,1913.0,1917.0,1910.0,1910.0,900
2022-02-02,1916.0,1918.0,1910.0,1916.0,1600
2022-02-03,1905.0,1915.0,1905.0,1915.0,1000
2022-02-04,1917.0,1917.0,1910.0,1911.0,1200
2022-02-07,1917.0,1917.0,1911.0,1917.0,1600
2022-02-08,1917.0,1917.0,1911.0,1916.0,1200
2022-02-09,1916.0,1917.0,1913.0,1917.0,700
2022-02-10,1917.0,1917.0,1909.0,1909.0,1500
2022-02-14,1918.0,1918.0,1917.0,1917.0,1500
2022-02-15,1918.0,1920.0,1917.0,1918.0,1900
2022-02-16,1917.0,1920.0,1915.0,1918.0,2100
2022-02-17,1918.0,1918.0,1915.0,1915.0,900
2022-02-18,1915.0,1917.0,1913.0,1916.0,2900
2022-02-21,1911.0,1918.0,1911.0,1915.0,2200
2022-02-22,1920.0,1920.0,1911.0,1911.0,2700
2022-02-24,1921.0,1933.0,1918.0,1920.0,8500
2022-02-25,1842.0,1849.0,1821.0,1841.0,7300
2022-02-28,1826.0,1839.0,1826.0,1839.0,2300
2022-03-01,1826.0,1826.0,1823.0,1824.0,1200
2022-03-02,1823.0,1828.0,1823.0,1826.0,700
2022-03-03,1832.0,1836.0,1830.0,1836.0,600
2022-03-04,1823.0,1830.0,1823.0,1830.0,800
2022-03-07,1823.0,1824.0,1812.0,1824.0,2800
2022-03-08,1819.0,1821.0,1814.0,1814.0,600
2022-03-09,1813.0,1817.0,1811.0,1812.0,1100
2022-03-10,1813.0,1818.0,1813.0,1813.0,700
2022-03-11,1810.0,1813.0,1810.0,1811.0,1100
2022-03-14,1804.0,1810.0,1801.0,1810.0,1300
2022-03-15,1814.0,1814.0,1802.0,1802.0,600
2022-03-16,1822.0,1823.0,1811.0,1815.0,1200
2022-03-17,1827.0,1827.0,1821.0,1822.0,500
2022-03-18,1829.0,1829.0,1826.0,1826.0,500
2022-03-22,1827.0,1831.0,1827.0,1829.0,1300
2022-03-23,1827.0,1830.0,1826.0,1830.0,800
2022-03-24,1824.0,1826.0,1824.0,1826.0,400
2022-03-25,1829.0,1829.0,1824.0,1824.0,800
2022-03-28,1834.0,1849.0,1824.0,1849.0,1900
2022-03-29,1840.0,1845.0,1836.0,1845.0,400
2022-03-30,1848.0,1849.0,1832.0,1832.0,500
2022-03-31,1849.0,1849.0,1843.0,1848.0,400
2022-04-01,1837.0,1850.0,1837.0,1841.0,800
2022-04-04,1847.0,1859.0,1838.0,1838.0,1200
2022-04-05,1861.0,1861.0,1850.0,1850.0,1000
2022-04-06,1873.0,1875.0,1864.0,1865.0,1200
2022-04-07,1864.0,1873.0,1864.0,1873.0,700
2022-04-08,1861.0,1864.0,1861.0,1864.0,400
2022-04-11,1869.0,1869.0,1854.0,1869.0,1000
2022-04-12,1863.0,1863.0,1861.0,1861.0,200
2022-04-13,1864.0,1872.0,1863.0,1863.0,300
2022-04-14,1873.0,1873.0,1860.0,1860.0,800
2022-04-15,1879.0,1879.0,1862.0,1870.0,1400
2022-04-18,1880.0,1880.0,1868.0,1869.0,700
2022-04-19,1873.0,1897.0,1865.0,1897.0,3500
2022-04-20,1860.0,1880.0,1860.0,1878.0,1000
2022-04-21,1853.0,1861.0,1853.0,1860.0,800
2022-04-22,1861.0,1861.0,1850.0,1853.0,800
2022-04-25,1857.0,1859.0,1853.0,1859.0,600
2022-04-26,1859.0,1862.0,1852.0,1852.0,800
2022-04-27,1854.0,1854.0,1854.0,1854.0,100
2022-04-28,1854.0,1854.0,1854.0,1854.0,300
2022-05-02,1861.0,1865.0,1853.0,1853.0,1900
2022-05-06,1863.0,1864.0,1854.0,1864.0,1300
2022-05-09,1853.0,1863.0,1853.0,1863.0,500
2022-05-10,1855.0,1855.0,1853.0,1853.0,400
2022-05-11,1855.0,1855.0,1855.0,1855.0,300
2022-05-12,1865.0,1865.0,1850.0,1855.0,1300
2022-05-13,1853.0,1868.0,1853.0,1868.0,700
2022-05-16,1851.0,1868.0,1851.0,1855.0,1200
2022-05-17,1850.0,1857.0,1850.0,1851.0,900
2022-05-18,1859.0,1859.0,1848.0,1850.0,600
2022-05-19,1851.0,1859.0,1851.0,1859.0,300
2022-05-20,1855.0,1860.0,1854.0,1857.0,700
2022-05-23,1859.0,1859.0,1856.0,1859.0,700
2022-05-24,1865.0,1865.0,1860.0,1860.0,700
2022-05-25,1867.0,1869.0,1867.0,1867.0,500
2022-05-26,1870.0,1870.0,1870.0,1870.0,800
2022-05-27,1870.0,1870.0,1864.0,1870.0,1100
2022-05-30,1871.0,1888.0,1870.0,1870.0,2600
2022-05-31,1893.0,1893.0,1871.0,1871.0,800
2022-06-01,1898.0,1900.0,1892.0,1893.0,1000
2022-06-02,1914.0,1915.0,1899.0,1914.0,1000
2022-06-03,1905.0,1919.0,1901.0,1901.0,1100
2022-06-06,1906.0,1917.0,1905.0,1910.0,1100
2022-06-07,1906.0,1906.0,1904.0,1906.0,1000
2022-06-08,1912.0,1918.0,1908.0,1908.0,600
2022-06-09,1907.0,1907.0,1906.0,1906.0,400
2022-06-10,1910.0,1910.0,1906.0,1906.0,400
2022-06-13,1914.0,1914.0,1906.0,1910.0,300
2022-06-14,1903.0,1908.0,1903.0,1908.0,800
2022-06-15,1899.0,1903.0,1899.0,1903.0,900
2022-06-16,1899.0,1899.0,1899.0,1899.0,200
2022-06-17,1885.0,1892.0,1881.0,1885.0,800
2022-06-20,1887.0,1911.0,1887.0,1911.0,1100
2022-06-21,1900.0,1900.0,1885.0,1885.0,500
2022-06-22,1900.0,1905.0,1900.0,1900.0,500
2022-06-23,1902.0,1903.0,1886.0,1900.0,800
2022-06-24,1897.0,1897.0,1894.0,1894.0,500
2022-06-27,1902.0,1905.0,1899.0,1899.0,900
2022-06-28,1900.0,1903.0,1900.0,1903.0,500
2022-06-29,1918.0,1918.0,1898.0,1898.0,1500
2022-06-30,1919.0,1919.0,1903.0,1914.0,600
2022-07-01,1911.0,1920.0,1911.0,1920.0,1500
2022-07-04,1920.0,1923.0,1911.0,1922.0,1300
2022-07-05,1929.0,1929.0,1929.0,1929.0,900
2022-07-06,1930.0,1934.0,1927.0,1930.0,1400
2022-07-07,1923.0,1935.0,1922.0,1930.0,800
2022-07-08,1930.0,1935.0,1923.0,1933.0,700
2022-07-11,1930.0,1936.0,1920.0,1925.0,1100
2022-07-12,1934.0,1934.0,1925.0,1930.0,700
2022-07-13,1933.0,1937.0,1933.0,1934.0,900
2022-07-14,1932.0,1932.0,1932.0,1932.0,100
2022-07-15,1929.0,1934.0,1928.0,1932.0,700
2022-07-19,1935.0,1935.0,1929.0,1931.0,1400
2022-07-20,1940.0,1940.0,1932.0,1935.0,1500
2022-07-21,1944.0,1944.0,1937.0,1940.0,800
2022-07-22,1941.0,1945.0,1940.0,1940.0,700
2022-07-25,1946.0,1946.0,1940.0,1941.0,1400
2022-07-26,1951.0,1955.0,1942.0,1945.0,1000
2022-07-27,1962.0,1962.0,1951.0,1951.0,800
2022-07-28,1970.0,1986.0,1970.0,1970.0,1000
2022-07-29,1975.0,1990.0,1969.0,1990.0,1900
2022-08-01,1970.0,1980.0,1970.0,1980.0,1600
2022-08-02,1970.0,1980.0,1970.0,1972.0,900
2022-08-03,1981.0,1989.0,1970.0,1970.0,900
