Price,Close,High,Low,Open,Volume
Ticker,2986.T,2986.T,2986.T,2986.T,2986.T
Date,,,,,
2022-01-04,1727.4334716796875,1755.993243506055,1704.9318332710343,1749.0696624572386,77700
2022-01-05,1659.928466796875,1730.0297211297984,1655.6012288750896,1726.56793079237,159900
2022-01-06,1667.7174072265625,1670.3137498428987,1618.3868975161763,1630.5031630590781,87700
2022-01-07,1710.12451171875,1718.7789879926304,1663.3903398397963,1667.7175779767365,76300
2022-01-11,1812.2471923828125,1829.5561435994582,1730.029674103745,1730.029674103745,151500
2022-01-12,1864.1741943359375,1869.366880114032,1815.709127073722,1835.6144225564176,105500
2022-01-13,1845.13427734375,1895.3302379844336,1821.7671922179145,1861.5777816915602,71200
2022-01-14,1872.8287353515625,1875.4250783303307,1810.5165038611221,1845.1344102447001,96000
2022-01-17,1832.1524658203125,1881.4829762368254,1828.690675615645,1870.2321580716557,59500
2022-01-18,1860.7122802734375,1869.3667559956396,1793.2073696402617,1831.2870628179508,96500
2022-01-19,1775.8985595703125,1858.1160854763455,1766.378635518035,1820.0363892672356,115000
2022-01-20,1798.4000244140625,1803.5927097588578,1731.7605624891912,1758.589436770633,58400
2022-01-21,1765.5130615234375,1765.5130615234375,1706.6626261393228,1750.8004526774089,86700
2022-01-24,1749.069580078125,1765.5130842945941,1715.3171240548459,1730.8951806809746,46700
2022-01-25,1720.509765625,1764.6475916043134,1718.7788704885563,1752.5313256492077,44600
2022-01-26,1782.822021484375,1787.1492594005992,1722.2406906572362,1722.2406906572362,46600
2022-01-27,1698.8736572265625,1794.0728942591259,1688.4882859139193,1787.1493133840304,149000
2022-01-28,1713.5863037109375,1748.2042088364108,1704.931827429569,1709.2590655702531,46700
2022-01-31,1795.8037109375,1820.036242940512,1717.913429499247,1717.913429499247,62400
2022-02-01,1817.43994140625,1839.076131184896,1800.1309895833333,1814.8435986328125,88900
2022-02-02,1848.5960693359375,1868.501364090023,1818.3054034058075,1830.4216697778595,68900
