Price,Close,High,Low,Open,Volume
Ticker,3045.T,3045.T,3045.T,3045.T,3045.T
Date,,,,,
2022-01-04,1101.0985107421875,1101.0985107421875,1096.567241150656,1096.567241150656,1000
2022-01-05,1087.504638671875,1102.0047005208332,1072.0983229573567,1101.0984466552734,2700
2022-01-06,1083.8798828125,1083.8798828125,1083.8798828125,1083.8798828125,200
2022-01-07,1083.8798828125,1083.8798828125,1083.8798828125,1083.8798828125,0
2022-01-11,1084.785888671875,1084.785888671875,1064.8483034164187,1079.348365420387,1600
2022-01-12,1087.504638671875,1087.504638671875,1087.504638671875,1087.504638671875,100
2022-01-13,1087.504638671875,1087.504638671875,1087.504638671875,1087.504638671875,0
2022-01-14,1087.504638671875,1087.504638671875,1087.504638671875,1087.504638671875,0
2022-01-17,1092.9422607421875,1095.6610225848299,1082.9734673191658,1082.9734673191658,1900
2022-01-18,1093.8485107421875,1093.8485107421875,1087.5047331322494,1087.5047331322494,1000
2022-01-19,1086.5982666015625,1092.942042970379,1072.098206329982,1092.942042970379,800
2022-01-20,1086.5982666015625,1086.5982666015625,1086.5982666015625,1086.5982666015625,0
2022-01-21,1084.785888671875,1084.785888671875,1059.4107801649307,1059.4107801649307,200
2022-01-24,1084.785888671875,1084.785888671875,1084.785888671875,1084.785888671875,0
2022-01-25,1084.785888671875,1084.785888671875,1084.785888671875,1084.785888671875,1000
2022-01-26,1087.504638671875,1087.504638671875,1087.504638671875,1087.504638671875,300
2022-01-27,1086.5982666015625,1086.5982666015625,1054.8793847574802,1070.2856987960345,700
2022-01-28,1086.5982666015625,1086.5982666015625,1086.5982666015625,1086.5982666015625,0
2022-01-31,1087.504638671875,1087.504638671875,1070.285815226237,1070.285815226237,400
2022-02-01,1096.567138671875,1096.567138671875,1082.9733311676782,1082.9733311676782,1100
2022-02-02,1087.504638671875,1096.567177327474,1083.8796232096354,1096.567177327474,1300
2022-02-03,1102.9110107421875,1102.9110107421875,1102.9110107421875,1102.9110107421875,100
2022-02-04,1092.9422607421875,1102.9110541652092,1092.9422607421875,1102.9110541652092,500
2022-02-07,1095.6610107421875,1095.6610107421875,1089.3172331779233,1089.3172331779233,300
2022-02-08,1095.6610107421875,1095.6610107421875,1094.7547568044354,1094.7547568044354,200
2022-02-09,1092.0360107421875,1097.4735344471278,1088.410994938894,1095.661026545481,2800
2022-02-10,1090.2235107421875,1090.2235107421875,1089.3172567847957,1089.3172567847957,300
2022-02-14,1096.567138671875,1096.567138671875,1096.567138671875,1096.567138671875,100
2022-02-15,1096.567138671875,1101.0984078399406,1096.567138671875,1101.0984078399406,300
2022-02-16,1092.9422607421875,1092.9422607421875,1091.1297528470927,1091.1297528470927,400
2022-02-17,1092.9422607421875,1092.9422607421875,1092.9422607421875,1092.9422607421875,0
2022-02-18,1105.6298828125,1105.6298828125,1096.5673427894467,1096.5673427894467,600
2022-02-21,1105.6298828125,1105.6298828125,1105.6298828125,1105.6298828125,100
2022-02-22,1110.1610107421875,1110.1610107421875,1092.0359330157844,1092.0359330157844,400
2022-02-24,1092.9422607421875,1113.7861015357782,1092.0360067946401,1113.7861015357782,900
2022-02-25,1122.431396484375,1127.039078735953,1119.6667871334282,1127.039078735953,1100
2022-02-28,1137.176025390625,1151.9206091882345,1120.5883686183145,1120.5883686183145,4200
2022-03-01,1148.2344970703125,1151.920643128323,1139.9406684397886,1139.9406684397886,2000
2022-03-02,1150.0775146484375,1161.1359522892878,1139.0190770075872,1161.1359522892878,4800
2022-03-03,1150.0775146484375,1152.8421240586501,1150.0775146484375,1150.0775146484375,2300
2022-03-04,1154.68505859375,1174.9588585052124,1151.9204495149143,1174.9588585052124,700
2022-03-07,1144.5482177734375,1151.9205090312375,1144.5482177734375,1151.9205090312375,4200
2022-03-08,1142.7052001953125,1143.626736647083,1141.783663743542,1143.626736647083,1700
2022-03-09,1138.0975341796875,1139.0190706446103,1138.0975341796875,1139.0190706446103,1100
2022-03-10,1135.332763671875,1139.018909008472,1135.332763671875,1139.018909008472,900
2022-03-11,1127.0390625,1146.3913276778414,1116.9021616925593,1146.3913276778414,1000
2022-03-14,1128.8822021484375,1128.8822021484375,1128.8822021484375,1128.8822021484375,200
2022-03-15,1133.4898681640625,1133.4898681640625,1133.4898681640625,1133.4898681640625,100
2022-03-16,1150.0775146484375,1150.0775146484375,1128.8821758368076,1133.4898581871619,900
2022-03-17,1150.0775146484375,1150.0775146484375,1150.0775146484375,1150.0775146484375,0
2022-03-18,1150.0775146484375,1150.0775146484375,1150.0775146484375,1150.0775146484375,0
2022-03-22,1141.7835693359375,1141.7835693359375,1136.2543510824946,1136.2543510824946,900
2022-03-23,1143.626708984375,1151.9205368496928,1142.7051725548952,1142.7051725548952,1500
2022-03-24,1164.8221435546875,1164.8221435546875,1143.6268039172207,1143.6268039172207,900
2022-03-25,1158.3712158203125,1161.1358249272823,1142.705097547484,1161.1358249272823,2700
2022-03-28,1150.0775146484375,1153.763660528721,1150.0775146484375,1153.763660528721,700
2022-03-29,1150.0775146484375,1150.0775146484375,1143.6267593579414,1143.6267593579414,400
2022-03-30,1150.0775146484375,1151.920587588579,1150.0775146484375,1150.9990511185083,1200
2022-03-31,1150.0775146484375,1151.920587588579,1148.2344417082957,1150.0775146484375,1100
2022-04-01,1151.92041015625,1151.92041015625,1151.92041015625,1151.92041015625,400
2022-04-04,1152.842041015625,1154.685113823004,1151.9205046119355,1152.842041015625,1100
2022-04-05,1156.5283203125,1167.58675843501,1152.8421742716635,1152.8421742716635,1100
2022-04-06,1169.4295654296875,1170.3511017302626,1167.5864928285375,1170.3511017302626,1500
2022-04-07,1164.8221435546875,1164.8221435546875,1160.2144610248033,1162.9790705427338,300
2022-04-08,1170.351318359375,1176.8020736574188,1170.351318359375,1176.8020736574188,1200
2022-04-11,1177.7235107421875,1177.7235107421875,1160.2143192679296,1161.1358556613116,1300
2022-04-12,1161.135986328125,1176.802106778584,1161.135986328125,1176.802106778584,1400
2022-04-13,1170.351318359375,1170.351318359375,1161.135953647884,1162.057490119033,2500
2022-04-14,1190.625244140625,1216.4282680074496,1180.4883419072296,1215.5067314407772,10400
2022-04-15,1183.2528076171875,1190.6250992534317,1181.4097347081265,1183.2528076171875,1300
2022-04-18,1195.2327880859375,1195.2327880859375,1191.5466422475847,1191.5466422475847,500
2022-04-19,1207.212646484375,1223.8003011688932,1197.9972827707538,1198.9188191421158,3400
2022-04-20,1200.761962890625,1211.8204000008993,1200.761962890625,1207.2127178716185,1500
2022-04-21,1203.5264892578125,1207.2126347073006,1199.8403438083246,1199.8403438083246,1300
2022-04-22,1216.4281005859375,1216.4281005859375,1199.8404446688564,1199.8404446688564,700
2022-04-25,1200.761962890625,1206.291181445762,1198.9188900389127,1199.8404264647688,1700
2022-04-26,1200.761962890625,1200.761962890625,1200.761962890625,1200.761962890625,0
2022-04-27,1216.4281005859375,1216.4281005859375,1214.5850277062618,1214.5850277062618,400
2022-04-28,1221.0357666015625,1221.0357666015625,1208.134256614829,1216.4280844634434,600
2022-05-02,1226.56494140625,1236.7018417484503,1217.349577458795,1217.349577458795,1200
2022-05-06,1244.07421875,1244.07421875,1227.4865625,1243.1526822916667,2700
2022-05-09,1253.28955078125,1261.5833786908318,1244.9957228716682,1261.5833786908318,2300
2022-05-10,1262.5048828125,1262.5048828125,1257.8972007584398,1262.5048828125,1700
2022-05-11,1266.191162109375,1266.191162109375,1255.1327240123499,1261.583479568948,1300
2022-05-12,1255.132568359375,1265.2694686912055,1255.132568359375,1265.2694686912055,900
2022-05-13,1256.0543212890625,1257.8973943944022,1254.2112481837228,1256.0543212890625,1100
2022-05-16,1258.8189697265625,1258.8189697265625,1257.8974331455036,1257.8974331455036,300
2022-05-17,1268.9556884765625,1267.1126155811717,1262.5049333426946,1262.5049333426946,700
2022-05-18,1275.4063720703125,1281.8571268423443,1272.6417628822987,1279.0925176543308,2200
2022-05-19,1276.3280029296875,1284.62183110757,1271.7203206086417,1275.4064664654784,2000
2022-05-20,1287.3863525390625,1290.150961742797,1275.4063793228793,1290.150961742797,1700
2022-05-23,1292.9156494140625,1292.9156494140625,1287.386430671023,1290.1510400425427,3000
2022-05-24,1323.326416015625,1323.326416015625,1299.3664669791306,1299.3664669791306,2000
2022-05-25,1295.6802978515625,1331.6202207649417,1280.9357140922275,1331.6202207649417,5300
2022-05-26,1290.151123046875,1294.7588056291852,1285.5434404645648,1285.5434404645648,1700
2022-05-27,1311.3463134765625,1312.2678498880007,1290.1509760134838,1290.1509760134838,800
2022-05-30,1326.0908203125,1330.6985021064977,1311.3462385717078,1311.3462385717078,2400
2022-05-31,1354.65869140625,1359.2663740300807,1340.8356435347575,1343.600253109056,2500
2022-06-01,1399.8138427734375,1409.0292071103265,1355.5800939563703,1372.1677497627704,5400
2022-06-02,1368.481689453125,1399.8139301544086,1368.481689453125,1399.8139301544086,2800
2022-06-03,1425.616943359375,1425.616943359375,1369.4032177324054,1369.4032177324054,3700
2022-06-06,1380.4615478515625,1383.2261570929206,1368.4815744723433,1383.2261570929206,3100
2022-06-07,1370.32470703125,1377.6969986628908,1370.32470703125,1370.32470703125,1800
2022-06-08,1339.9139404296875,1363.8738870948675,1335.3062583786912,1362.030814274469,3500
2022-06-09,1346.36474609375,1348.2078189836798,1337.1493816441007,1337.1493816441007,900
2022-06-10,1347.2861328125,1353.736887210371,1347.2861328125,1353.736887210371,800
