Price,Close,High,Low,Open,Volume
Ticker,3058.T,3058.T,3058.T,3058.T,3058.T
Date,,,,,
2022-01-04,916.0,916.0,916.0,916.0,100
2022-01-05,920.0,924.0,917.0,917.0,300
2022-01-06,923.0,924.0,915.0,920.0,800
2022-01-07,923.0,923.0,917.0,917.0,1000
2022-01-11,916.0,918.0,916.0,918.0,500
2022-01-12,917.0,923.0,917.0,923.0,500
2022-01-13,920.0,924.0,920.0,924.0,500
2022-01-14,917.0,920.0,916.0,920.0,500
2022-01-17,920.0,920.0,915.0,915.0,1200
2022-01-18,924.0,924.0,923.0,923.0,1000
2022-01-19,925.0,925.0,922.0,925.0,1600
2022-01-20,920.0,929.0,920.0,929.0,1700
2022-01-21,924.0,924.0,916.0,917.0,400
2022-01-24,918.0,920.0,918.0,920.0,500
2022-01-25,921.0,921.0,916.0,916.0,800
2022-01-26,930.0,930.0,930.0,930.0,1600
2022-01-27,915.0,915.0,912.0,912.0,3300
2022-01-28,915.0,915.0,915.0,915.0,600
2022-01-31,915.0,919.0,915.0,919.0,500
2022-02-01,922.0,922.0,915.0,916.0,700
2022-02-02,922.0,922.0,922.0,922.0,0
2022-02-03,924.0,924.0,917.0,917.0,300
2022-02-04,921.0,921.0,920.0,920.0,200
2022-02-07,925.0,925.0,920.0,924.0,800
2022-02-08,928.0,928.0,928.0,928.0,200
2022-02-09,921.0,928.0,921.0,928.0,300
2022-02-10,924.0,928.0,924.0,924.0,800
2022-02-14,923.0,923.0,923.0,923.0,300
2022-02-15,926.0,926.0,921.0,923.0,700
2022-02-16,926.0,926.0,922.0,922.0,500
2022-02-17,929.0,929.0,923.0,927.0,800
2022-02-18,929.0,929.0,923.0,929.0,1500
2022-02-21,930.0,930.0,924.0,924.0,1100
2022-02-22,930.0,930.0,929.0,930.0,1000
2022-02-24,928.0,928.0,923.0,923.0,1000
2022-02-25,930.0,930.0,926.0,929.0,1000
2022-02-28,930.0,930.0,930.0,930.0,500
2022-03-01,932.0,932.0,930.0,930.0,400
2022-03-02,932.0,932.0,932.0,932.0,0
2022-03-03,931.0,931.0,931.0,931.0,400
2022-03-04,927.0,931.0,927.0,931.0,600
2022-03-07,924.0,930.0,924.0,927.0,600
2022-03-08,928.0,928.0,925.0,925.0,600
2022-03-09,924.0,928.0,924.0,924.0,1100
2022-03-10,925.0,929.0,925.0,929.0,1100
2022-03-11,929.0,929.0,925.0,925.0,1200
2022-03-14,930.0,930.0,925.0,928.0,700
2022-03-15,927.0,927.0,925.0,926.0,400
2022-03-16,930.0,930.0,928.0,928.0,400
2022-03-17,937.0,937.0,927.0,930.0,1900
2022-03-18,939.0,945.0,932.0,945.0,2400
2022-03-22,940.0,943.0,934.0,943.0,1600
2022-03-23,937.0,944.0,936.0,944.0,1700
2022-03-24,937.0,937.0,937.0,937.0,200
2022-03-25,940.0,940.0,935.0,935.0,1100
2022-03-28,940.0,949.0,936.0,940.0,8600
2022-03-29,946.0,946.0,925.0,940.0,7200
2022-03-30,929.0,940.0,929.0,940.0,1700
2022-03-31,929.0,929.0,929.0,929.0,500
2022-04-01,930.0,930.0,923.0,923.0,400
2022-04-04,939.0,939.0,935.0,935.0,200
2022-04-05,931.0,938.0,930.0,938.0,500
2022-04-06,930.0,930.0,930.0,930.0,700
2022-04-07,927.0,927.0,926.0,927.0,500
2022-04-08,927.0,927.0,927.0,927.0,100
2022-04-11,925.0,930.0,925.0,930.0,500
2022-04-12,931.0,933.0,927.0,933.0,700
2022-04-13,935.0,935.0,935.0,935.0,500
2022-04-14,939.0,939.0,933.0,933.0,500
2022-04-15,940.0,940.0,932.0,932.0,400
2022-04-18,936.0,941.0,936.0,941.0,1300
2022-04-19,935.0,936.0,935.0,936.0,900
2022-04-20,940.0,941.0,938.0,941.0,1000
2022-04-21,941.0,941.0,941.0,941.0,200
2022-04-22,933.0,933.0,933.0,933.0,100
2022-04-25,940.0,940.0,931.0,931.0,300
2022-04-26,941.0,941.0,941.0,941.0,100
2022-04-27,933.0,933.0,933.0,933.0,500
2022-04-28,937.0,939.0,931.0,939.0,500
2022-05-02,941.0,941.0,941.0,941.0,400
2022-05-06,935.0,940.0,935.0,940.0,400
2022-05-09,942.0,942.0,939.0,939.0,400
2022-05-10,933.0,942.0,931.0,942.0,900
2022-05-11,934.0,935.0,934.0,934.0,400
2022-05-12,931.0,931.0,931.0,931.0,200
2022-05-13,931.0,931.0,930.0,931.0,400
2022-05-16,938.0,938.0,930.0,930.0,1000
2022-05-17,937.0,932.0,931.0,931.0,400
2022-05-18,935.0,944.0,935.0,944.0,2000
2022-05-19,935.0,935.0,934.0,934.0,1500
2022-05-20,938.0,939.0,935.0,939.0,1100
2022-05-23,931.0,935.0,931.0,935.0,800
2022-05-24,933.0,933.0,933.0,933.0,100
2022-05-25,930.0,931.0,930.0,931.0,500
2022-05-26,939.0,939.0,928.0,928.0,500
2022-05-27,933.0,933.0,931.0,932.0,300
2022-05-30,930.0,933.0,930.0,933.0,400
2022-05-31,939.0,939.0,936.0,936.0,500
2022-06-01,925.0,927.0,920.0,921.0,7400
2022-06-02,923.0,923.0,923.0,923.0,400
2022-06-03,930.0,930.0,922.0,922.0,300
2022-06-06,930.0,930.0,930.0,930.0,0
2022-06-07,927.0,930.0,922.0,930.0,600
2022-06-08,925.0,930.0,925.0,930.0,300
2022-06-09,927.0,930.0,927.0,930.0,300
2022-06-10,935.0,935.0,929.0,931.0,900
2022-06-13,938.0,938.0,930.0,930.0,300
2022-06-14,930.0,937.0,930.0,937.0,200
2022-06-15,930.0,930.0,930.0,930.0,100
2022-06-16,938.0,938.0,936.0,936.0,400
2022-06-17,934.0,936.0,934.0,936.0,300
2022-06-20,936.0,938.0,936.0,938.0,900
2022-06-21,933.0,937.0,933.0,937.0,1100
2022-06-22,935.0,935.0,926.0,935.0,1900
2022-06-23,914.0,927.0,914.0,927.0,3100
2022-06-24,929.0,929.0,929.0,929.0,500
2022-06-27,928.0,934.0,928.0,934.0,400
2022-06-28,935.0,945.0,921.0,934.0,3300
2022-06-29,942.0,942.0,936.0,936.0,700
2022-06-30,927.0,942.0,927.0,942.0,400
2022-07-01,928.0,929.0,928.0,929.0,200
2022-07-04,927.0,936.0,927.0,936.0,600
2022-07-05,936.0,936.0,930.0,930.0,200
2022-07-06,934.0,937.0,928.0,928.0,1000
2022-07-07,945.0,945.0,927.0,927.0,1000
2022-07-08,940.0,945.0,931.0,945.0,1200
2022-07-11,945.0,946.0,945.0,946.0,600
2022-07-12,935.0,935.0,935.0,935.0,500
2022-07-13,929.0,940.0,927.0,940.0,1900
2022-07-14,943.0,943.0,943.0,943.0,200
2022-07-15,942.0,942.0,937.0,937.0,300
2022-07-19,940.0,942.0,935.0,935.0,1600
2022-07-20,934.0,944.0,934.0,942.0,1700
2022-07-21,943.0,945.0,942.0,945.0,1200
2022-07-22,943.0,943.0,942.0,942.0,300
2022-07-25,939.0,939.0,939.0,939.0,100
2022-07-26,943.0,943.0,939.0,939.0,400
2022-07-27,943.0,943.0,940.0,940.0,800
2022-07-28,943.0,943.0,943.0,943.0,200
2022-07-29,940.0,946.0,940.0,946.0,400
2022-08-01,933.0,946.0,931.0,944.0,700
2022-08-02,940.0,940.0,936.0,939.0,700
2022-08-03,935.0,943.0,935.0,943.0,300
2022-08-04,935.0,935.0,935.0,935.0,0
2022-08-05,935.0,935.0,935.0,935.0,0
2022-08-08,935.0,943.0,935.0,943.0,500
2022-08-09,944.0,944.0,935.0,943.0,1400
2022-08-10,945.0,945.0,940.0,940.0,1100
2022-08-12,947.0,947.0,935.0,939.0,1300
2022-08-15,937.0,941.0,932.0,933.0,3500
2022-08-16,935.0,936.0,932.0,936.0,700
2022-08-17,934.0,935.0,934.0,935.0,800
2022-08-18,934.0,937.0,933.0,937.0,1500
2022-08-19,936.0,936.0,935.0,936.0,1500
2022-08-22,931.0,940.0,931.0,938.0,2200
2022-08-23,931.0,934.0,931.0,932.0,500
2022-08-24,940.0,940.0,940.0,940.0,500
2022-08-25,940.0,940.0,940.0,940.0,100
2022-08-26,940.0,940.0,939.0,940.0,300
2022-08-29,943.0,944.0,940.0,940.0,1100
2022-08-30,939.0,940.0,939.0,940.0,600
2022-08-31,937.0,939.0,934.0,936.0,1500
2022-09-01,937.0,937.0,937.0,937.0,0
2022-09-02,935.0,937.0,935.0,937.0,600
2022-09-05,940.0,940.0,935.0,935.0,600
2022-09-06,934.0,935.0,934.0,935.0,500
2022-09-07,934.0,937.0,934.0,934.0,500
2022-09-08,934.0,940.0,934.0,940.0,500
2022-09-09,935.0,940.0,935.0,938.0,700
2022-09-12,935.0,935.0,933.0,935.0,1000
2022-09-13,936.0,936.0,934.0,934.0,200
2022-09-14,940.0,940.0,938.0,938.0,300
2022-09-15,935.0,937.0,935.0,937.0,800
2022-09-16,939.0,939.0,935.0,936.0,1100
2022-09-20,940.0,940.0,938.0,940.0,2600
2022-09-21,938.0,940.0,938.0,940.0,2400
2022-09-22,940.0,940.0,938.0,940.0,1600
2022-09-26,943.0,943.0,940.0,940.0,1500
2022-09-27,939.0,948.0,939.0,940.0,5500
2022-09-28,942.0,944.0,938.0,944.0,6900
2022-09-29,934.0,936.0,915.0,936.0,3200
2022-09-30,931.0,933.0,916.0,933.0,500
2022-10-03,915.0,930.0,915.0,930.0,1000
2022-10-04,916.0,922.0,915.0,915.0,1600
2022-10-05,922.0,922.0,915.0,915.0,600
2022-10-06,920.0,924.0,915.0,919.0,2200
2022-10-07,914.0,915.0,914.0,915.0,900
2022-10-11,914.0,919.0,914.0,919.0,400
2022-10-12,918.0,918.0,918.0,918.0,300
2022-10-13,920.0,920.0,914.0,918.0,600
2022-10-14,916.0,920.0,916.0,920.0,200
2022-10-17,919.0,919.0,916.0,916.0,400
2022-10-18,916.0,920.0,916.0,920.0,1300
2022-10-19,923.0,924.0,918.0,924.0,1500
2022-10-20,917.0,923.0,917.0,923.0,1000
2022-10-21,916.0,917.0,916.0,917.0,400
2022-10-24,918.0,918.0,916.0,916.0,300
2022-10-25,918.0,918.0,915.0,918.0,500
2022-10-26,917.0,917.0,916.0,916.0,300
2022-10-27,917.0,917.0,917.0,917.0,100
2022-10-28,917.0,917.0,915.0,915.0,700
2022-10-31,913.0,919.0,911.0,919.0,1200
2022-11-01,913.0,913.0,913.0,913.0,400
2022-11-02,910.0,910.0,910.0,910.0,900
2022-11-04,909.0,910.0,909.0,909.0,500
2022-11-07,896.0,906.0,883.0,906.0,2200
2022-11-08,899.0,899.0,899.0,899.0,300
2022-11-09,899.0,899.0,899.0,899.0,600
2022-11-10,890.0,899.0,890.0,899.0,1000
2022-11-11,894.0,894.0,890.0,890.0,1100
2022-11-14,889.0,890.0,889.0,890.0,900
2022-11-15,889.0,890.0,889.0,889.0,800
2022-11-16,886.0,891.0,886.0,888.0,1000
2022-11-17,888.0,894.0,885.0,887.0,1900
2022-11-18,894.0,894.0,884.0,894.0,1800
2022-11-21,895.0,895.0,892.0,895.0,1500
2022-11-22,895.0,895.0,895.0,895.0,1000
2022-11-24,890.0,895.0,885.0,895.0,600
2022-11-25,889.0,889.0,886.0,886.0,700
2022-11-28,886.0,890.0,886.0,890.0,1000
2022-11-29,890.0,890.0,890.0,890.0,500
2022-11-30,895.0,895.0,891.0,891.0,200
2022-12-01,890.0,893.0,885.0,893.0,1600
2022-12-02,885.0,890.0,885.0,890.0,800
2022-12-05,888.0,889.0,884.0,885.0,1500
2022-12-06,884.0,887.0,884.0,885.0,700
2022-12-07,885.0,885.0,881.0,884.0,1400
2022-12-08,880.0,885.0,880.0,885.0,2000
2022-12-09,879.0,882.0,873.0,875.0,3000
2022-12-12,876.0,882.0,870.0,871.0,2600
2022-12-13,871.0,878.0,870.0,872.0,800
2022-12-14,877.0,877.0,870.0,871.0,1700
2022-12-15,880.0,880.0,877.0,877.0,1300
2022-12-16,880.0,881.0,880.0,881.0,600
2022-12-19,879.0,879.0,877.0,879.0,1500
2022-12-20,879.0,880.0,876.0,880.0,1800
2022-12-21,877.0,880.0,870.0,880.0,1800
2022-12-22,870.0,874.0,870.0,874.0,900
2022-12-23,876.0,876.0,875.0,875.0,500
2022-12-26,870.0,876.0,861.0,865.0,2600
2022-12-27,864.0,867.0,862.0,863.0,1700
2022-12-28,870.0,870.0,856.0,863.0,4400
2022-12-29,865.0,870.0,860.0,870.0,1300
2022-12-30,852.0,865.0,851.0,865.0,500
2023-01-04,852.0,853.0,850.0,852.0,1200
2023-01-05,860.0,860.0,855.0,855.0,800
2023-01-06,850.0,869.0,850.0,869.0,1400
2023-01-10,851.0,862.0,851.0,862.0,400
2023-01-11,851.0,860.0,851.0,860.0,900
2023-01-12,855.0,865.0,855.0,860.0,1600
2023-01-13,867.0,867.0,853.0,860.0,300
2023-01-16,883.0,883.0,860.0,868.0,1300
2023-01-17,880.0,880.0,876.0,876.0,200
2023-01-18,879.0,880.0,879.0,880.0,900
2023-01-19,883.0,885.0,883.0,884.0,1100
2023-01-20,881.0,884.0,881.0,884.0,1000
2023-01-23,881.0,881.0,881.0,881.0,200
2023-01-24,875.0,881.0,875.0,880.0,3400
2023-01-25,880.0,880.0,879.0,879.0,500
2023-01-26,884.0,884.0,884.0,884.0,1800
2023-01-27,882.0,882.0,882.0,882.0,100
2023-01-30,886.0,888.0,886.0,886.0,1000
2023-01-31,889.0,890.0,889.0,890.0,600
2023-02-01,883.0,891.0,883.0,891.0,700
2023-02-02,888.0,892.0,888.0,892.0,500
2023-02-03,893.0,893.0,886.0,893.0,1600
2023-02-06,893.0,893.0,893.0,893.0,400
2023-02-07,893.0,893.0,893.0,893.0,100
2023-02-08,890.0,893.0,888.0,888.0,1200
2023-02-09,890.0,896.0,890.0,896.0,1300
2023-02-10,895.0,895.0,888.0,895.0,700
2023-02-13,893.0,893.0,886.0,886.0,200
2023-02-14,901.0,908.0,900.0,908.0,2000
2023-02-15,901.0,907.0,901.0,907.0,900
2023-02-16,911.0,911.0,905.0,906.0,3100
2023-02-17,905.0,911.0,904.0,911.0,1600
2023-02-20,909.0,909.0,905.0,906.0,1400
2023-02-21,910.0,911.0,904.0,909.0,1600
2023-02-22,917.0,917.0,901.0,911.0,4900
2023-02-24,910.0,917.0,910.0,917.0,200
2023-02-27,910.0,910.0,910.0,910.0,500
2023-02-28,912.0,919.0,910.0,910.0,2400
2023-03-01,910.0,915.0,910.0,915.0,400
2023-03-02,911.0,911.0,910.0,910.0,300
2023-03-03,911.0,916.0,911.0,911.0,700
2023-03-06,907.0,910.0,902.0,910.0,900
2023-03-07,900.0,900.0,899.0,900.0,2800
2023-03-08,902.0,903.0,900.0,903.0,600
2023-03-09,899.0,899.0,893.0,893.0,1500
2023-03-10,900.0,906.0,896.0,906.0,1000
2023-03-13,895.0,895.0,894.0,894.0,800
2023-03-14,893.0,893.0,893.0,893.0,900
2023-03-15,891.0,898.0,886.0,887.0,1900
2023-03-16,881.0,885.0,880.0,885.0,4900
2023-03-17,878.0,878.0,874.0,874.0,2200
2023-03-20,878.0,878.0,875.0,875.0,2200
2023-03-22,880.0,880.0,877.0,877.0,1600
2023-03-23,880.0,883.0,880.0,883.0,2300
2023-03-24,882.0,882.0,876.0,876.0,700
2023-03-27,881.0,882.0,870.0,870.0,3800
2023-03-28,873.0,880.0,873.0,874.0,2700
2023-03-29,893.0,893.0,872.0,872.0,6200
2023-03-30,864.0,868.0,848.0,848.0,7400
2023-03-31,857.0,871.0,856.0,871.0,1400
2023-04-03,854.0,855.0,851.0,855.0,2900
2023-04-04,850.0,855.0,850.0,855.0,3000
2023-04-05,851.0,857.0,850.0,850.0,2400
2023-04-06,851.0,851.0,851.0,851.0,400
2023-04-07,867.0,867.0,852.0,852.0,700
