Price,Close,High,Low,Open,Volume
Ticker,3192.T,3192.T,3192.T,3192.T,3192.T
Date,,,,,
2022-01-04,273.0,280.0,269.0,269.0,10100
2022-01-05,276.0,280.0,272.0,279.0,14100
2022-01-06,267.0,277.0,262.0,272.0,35900
2022-01-07,272.0,273.0,266.0,269.0,12000
2022-01-11,273.0,273.0,267.0,272.0,13300
2022-01-12,269.0,276.0,269.0,273.0,20800
2022-01-13,270.0,281.0,270.0,271.0,24900
2022-01-14,252.0,271.0,252.0,262.0,64500
2022-01-17,260.0,261.0,254.0,254.0,8800
2022-01-18,258.0,261.0,257.0,261.0,9000
2022-01-19,249.0,259.0,249.0,259.0,28200
2022-01-20,253.0,255.0,241.0,241.0,33900
2022-01-21,246.0,255.0,242.0,248.0,19400
2022-01-24,246.0,246.0,237.0,238.0,9100
2022-01-25,240.0,248.0,240.0,246.0,5400
2022-01-26,244.0,244.0,240.0,240.0,5300
2022-01-27,231.0,242.0,231.0,242.0,12800
2022-01-28,237.0,238.0,225.0,226.0,9300
2022-01-31,236.0,240.0,226.0,240.0,20000
2022-02-01,234.0,240.0,229.0,229.0,20600
2022-02-02,239.0,242.0,235.0,235.0,7400
2022-02-03,240.0,241.0,234.0,236.0,17400
2022-02-04,264.0,292.0,237.0,237.0,446000
2022-02-07,290.0,310.0,271.0,272.0,599200
2022-02-08,263.0,303.0,263.0,282.0,160100
2022-02-09,251.0,276.0,241.0,276.0,87700
2022-02-10,257.0,257.0,247.0,250.0,14200
2022-02-14,250.0,256.0,247.0,255.0,15800
2022-02-15,252.0,257.0,250.0,250.0,7800
2022-02-16,253.0,256.0,250.0,256.0,9800
2022-02-17,247.0,257.0,246.0,253.0,17800
2022-02-18,261.0,261.0,237.0,240.0,33800
2022-02-21,253.0,258.0,248.0,258.0,4300
2022-02-22,244.0,255.0,244.0,250.0,16300
2022-02-24,241.0,245.0,236.0,245.0,9200
2022-02-25,247.0,247.0,236.0,236.0,5000
2022-02-28,253.0,253.0,244.0,245.0,14000
2022-03-01,250.0,253.0,243.0,253.0,11300
2022-03-02,247.0,251.0,246.0,251.0,4600
2022-03-03,248.0,254.0,240.0,247.0,17600
2022-03-04,244.0,247.0,243.0,247.0,3800
2022-03-07,242.0,243.0,240.0,243.0,6000
2022-03-08,250.0,286.0,241.0,241.0,118700
2022-03-09,250.0,270.0,246.0,250.0,94300
2022-03-10,248.0,259.0,248.0,252.0,7000
2022-03-11,246.0,250.0,245.0,248.0,3900
2022-03-14,246.0,250.0,243.0,246.0,3400
2022-03-15,248.0,249.0,242.0,242.0,5600
2022-03-16,254.0,258.0,249.0,249.0,11200
2022-03-17,254.0,260.0,253.0,255.0,8600
2022-03-18,255.0,262.0,254.0,254.0,8200
2022-03-22,250.0,257.0,250.0,257.0,3200
2022-03-23,254.0,256.0,247.0,249.0,15200
2022-03-24,253.0,255.0,251.0,251.0,4500
2022-03-25,258.0,260.0,253.0,255.0,11600
2022-03-28,260.0,263.0,255.0,258.0,5000
2022-03-29,261.0,287.0,261.0,276.0,77100
2022-03-30,257.0,262.0,254.0,260.0,6500
2022-03-31,259.0,265.0,254.0,263.0,4400
2022-04-01,256.0,257.0,254.0,255.0,1400
2022-04-04,259.0,267.0,257.0,258.0,4800
2022-04-05,264.0,266.0,261.0,263.0,7200
2022-04-06,261.0,268.0,258.0,268.0,6600
2022-04-07,258.0,261.0,250.0,259.0,7400
2022-04-08,261.0,261.0,257.0,257.0,2500
2022-04-11,260.0,268.0,255.0,268.0,8000
2022-04-12,262.0,262.0,258.0,261.0,2300
2022-04-13,260.0,265.0,260.0,262.0,15500
2022-04-14,259.0,263.0,254.0,256.0,17600
2022-04-15,262.0,263.0,256.0,259.0,5900
2022-04-18,259.0,264.0,252.0,264.0,10500
2022-04-19,249.0,260.0,249.0,260.0,16400
2022-04-20,297.0,321.0,253.0,253.0,1560900
2022-04-21,286.0,294.0,273.0,282.0,271700
2022-04-22,263.0,282.0,263.0,280.0,72400
2022-04-25,259.0,261.0,258.0,260.0,22500
2022-04-26,256.0,263.0,256.0,257.0,22500
2022-04-27,252.0,258.0,250.0,254.0,27800
2022-04-28,252.0,256.0,250.0,253.0,16500
2022-05-02,252.0,260.0,251.0,251.0,15000
2022-05-06,253.0,258.0,251.0,251.0,14500
2022-05-09,252.0,255.0,252.0,253.0,6700
2022-05-10,253.0,255.0,252.0,252.0,6600
2022-05-11,254.0,256.0,252.0,253.0,5900
2022-05-12,252.0,256.0,252.0,252.0,6100
2022-05-13,256.0,258.0,253.0,254.0,10700
2022-05-16,258.0,260.0,252.0,254.0,12500
2022-05-17,258.0,260.0,255.0,258.0,6800
2022-05-18,265.0,280.0,256.0,259.0,91900
2022-05-19,263.0,268.0,260.0,261.0,25400
2022-05-20,264.0,266.0,262.0,262.0,12200
2022-05-23,265.0,270.0,260.0,270.0,16700
2022-05-24,262.0,266.0,260.0,265.0,18700
2022-05-25,260.0,263.0,256.0,263.0,7000
2022-05-26,260.0,262.0,257.0,258.0,6700
2022-05-27,257.0,263.0,246.0,260.0,43400
2022-05-30,260.0,260.0,258.0,260.0,4100
2022-05-31,259.0,262.0,257.0,259.0,16000
2022-06-01,261.0,261.0,257.0,259.0,10000
2022-06-02,257.0,259.0,257.0,259.0,2000
2022-06-03,262.0,263.0,259.0,260.0,17800
2022-06-06,265.0,265.0,261.0,262.0,6800
2022-06-07,265.0,275.0,265.0,268.0,31700
