Price,Close,High,Low,Open,Volume
Ticker,3299.T,3299.T,3299.T,3299.T,3299.T
Date,,,,,
2022-01-04,426.9588623046875,428.71228679053837,423.45201333298576,425.20543781883663,35100
2022-01-05,435.7259826660156,435.7259826660156,427.8355725171341,429.5889969946633,40500
2022-01-06,423.4519958496094,434.84925453707297,423.4519958496094,434.84925453707297,39800
2022-01-07,424.3287048339844,428.7122658343355,422.57528043384394,427.83555363426524,18100
2022-01-11,420.8218688964844,424.3287178039551,418.19173221588136,424.3287178039551,40500
2022-01-12,428.7122497558594,428.7122497558594,422.5752645855301,425.20540108709974,15600
2022-01-13,427.8355712890625,428.71228352531057,425.2054345803183,428.71228352531057,11700
2022-01-14,424.3287048339844,427.83555363426524,421.69856823377376,423.4519926339142,26300
2022-01-17,421.6985778808594,426.95885120161853,421.6985778808594,423.4520023211124,12300
2022-01-18,420.8218688964844,423.4520055770874,419.9451566696167,421.6985811233521,17100
2022-01-19,417.3150329589844,421.69859422956193,416.43832070486883,419.9451697213309,36400
2022-01-20,415.5615539550781,423.4519632073897,415.5615539550781,417.3149782333696,32800
2022-01-21,421.6985778808594,421.6985778808594,412.05474345946755,412.9314556795941,25900
2022-01-24,424.3287048339844,424.3287048339844,418.1917194334929,419.9451438336333,13200
2022-01-25,421.6985778808594,424.3287145412389,418.19172900035323,424.3287145412389,21800
2022-01-26,418.19171142578125,422.57527234219407,416.4382870592161,421.6985601589115,36100
2022-01-27,410.3013000488281,419.9451340243347,410.3013000488281,419.9451340243347,54000
2022-01-28,419.9451599121094,420.82187214574634,413.8081742766506,414.6848865102876,27700
2022-01-31,424.3287048339844,425.2054170340546,419.0684316335631,419.9451438336333,20600
2022-02-01,425.2054138183594,425.2054138183594,421.6985650445997,421.6985650445997,15800
2022-02-02,427.8355712890625,430.46570799780676,426.08214681656636,426.95885905281443,47200
2022-02-03,429.5889587402344,430.4656709009287,427.83553441884567,427.83553441884567,26900
2022-02-04,425.2054138183594,428.71226259211903,423.45198943147955,426.9588382052392,18200
2022-02-07,427.8355712890625,429.5889957615587,424.3287223440702,425.2054345803183,22400
2022-02-08,425.2054138183594,429.58897478555895,425.2054138183594,427.8355503986791,15200
2022-02-09,425.2054138183594,427.8355503986791,425.2054138183594,426.0821260117993,15600
2022-02-10,428.7122497558594,428.7122497558594,424.3286889199099,428.7122497558594,13700
2022-02-14,426.9588623046875,430.46571127638924,424.3287255759112,428.71228679053837,29200
2022-02-15,421.6985778808594,428.71227564187154,421.6985778808594,427.83556342174506,30900
2022-02-16,422.5752868652344,426.0821357188878,419.068438011581,422.5752868652344,30900
2022-02-17,424.3287048339844,426.95884143419505,421.69856823377376,422.57528043384394,17800
2022-02-18,420.8218688964844,424.3287178039551,420.8218688964844,421.6985811233521,15700
2022-02-21,420.8218688964844,422.57529335021974,419.068444442749,420.8218688964844,14800
2022-02-22,416.4383239746094,419.9451730186061,416.4383239746094,419.9451730186061,14200
2022-02-24,416.4383239746094,419.06846075760694,412.0547626696135,419.06846075760694,59600
2022-02-25,413.80816650390625,419.9451520240913,413.80816650390625,419.9451520240913,33500
