Price,Close,High,Low,Open,Volume
Ticker,3353.T,3353.T,3353.T,3353.T,3353.T
Date,,,,,
2022-01-04,2377.078857421875,2377.078857421875,2377.078857421875,2377.078857421875,0
2022-01-05,2424.506591796875,2424.506591796875,2424.506591796875,2424.506591796875,400
2022-01-06,2424.506591796875,2424.506591796875,2424.506591796875,2424.506591796875,0
2022-01-07,2424.506591796875,2424.506591796875,2424.506591796875,2424.506591796875,0
2022-01-11,2424.506591796875,2424.506591796875,2424.506591796875,2424.506591796875,0
2022-01-12,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,100
2022-01-13,2390.358642578125,2390.358642578125,2390.358642578125,2390.358642578125,100
2022-01-14,2398.8955078125,2398.8955078125,2398.8955078125,2398.8955078125,100
2022-01-17,2399.843994140625,2399.843994140625,2399.843994140625,2399.843994140625,100
2022-01-18,2399.843994140625,2399.843994140625,2399.843994140625,2399.843994140625,0
2022-01-19,2371.38720703125,2371.38720703125,2371.38720703125,2371.38720703125,100
2022-01-20,2371.38720703125,2371.38720703125,2371.38720703125,2371.38720703125,0
2022-01-21,2333.445556640625,2414.072740508289,2333.445556640625,2414.072740508289,200
2022-01-24,2304.98876953125,2304.98876953125,2304.98876953125,2304.98876953125,100
2022-01-25,2304.98876953125,2309.731544777199,2304.98876953125,2309.731544777199,200
2022-01-26,2304.98876953125,2304.98876953125,2304.98876953125,2304.98876953125,0
2022-01-27,2304.98876953125,2315.422875072338,2304.98876953125,2315.422875072338,400
2022-01-28,2305.937255859375,2367.5933322192514,2305.937255859375,2352.4164518845123,1700
2022-01-31,2305.937255859375,2305.937255859375,2305.937255859375,2305.937255859375,0
2022-02-01,2348.622314453125,2353.3650897246375,2348.622314453125,2353.3650897246375,400
2022-02-02,2367.593505859375,2378.027611854749,2352.4166244115586,2352.4166244115586,300
2022-02-03,2393.204345703125,2393.204345703125,2393.204345703125,2393.204345703125,100
2022-02-04,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,200
2022-02-07,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,0
2022-02-08,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,0
2022-02-09,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,0
2022-02-10,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,0
2022-02-14,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,0
2022-02-15,2437.7861328125,2437.7861328125,2437.7861328125,2437.7861328125,0
2022-02-16,2437.7861328125,2437.7861328125,2410.278040263254,2437.7861328125,400
2022-02-17,2418.8154296875,2418.8154296875,2418.8154296875,2418.8154296875,100
2022-02-18,2418.8154296875,2418.8154296875,2418.8154296875,2418.8154296875,100
2022-02-21,2418.8154296875,2418.8154296875,2418.8154296875,2418.8154296875,200
2022-02-22,2418.8154296875,2418.8154296875,2418.8154296875,2418.8154296875,400
2022-02-24,2431.146240234375,2431.146240234375,2431.146240234375,2431.146240234375,100
2022-02-25,2437.838623046875,2437.838623046875,2437.838623046875,2437.838623046875,100
2022-02-28,2437.838623046875,2437.838623046875,2437.838623046875,2437.838623046875,200
2022-03-01,2514.31982421875,2514.31982421875,2485.639369950095,2485.639369950095,500
2022-03-02,2600.361328125,2600.361328125,2562.120720358456,2562.120720358456,400
2022-03-03,2648.162109375,2648.162109375,2648.162109375,2648.162109375,100
2022-03-04,2659.634033203125,2740.895317467059,2659.634033203125,2740.895317467059,900
2022-03-07,2659.634033203125,2659.634033203125,2659.634033203125,2659.634033203125,0
2022-03-08,2447.399169921875,2465.5634606361386,2396.7303589820863,2465.5634606361386,600
2022-03-09,2447.399169921875,2447.399169921875,2447.399169921875,2447.399169921875,0
2022-03-10,2447.399169921875,2447.399169921875,2447.399169921875,2447.399169921875,0
2022-03-11,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,100
2022-03-14,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,0
2022-03-15,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,100
2022-03-16,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-03-17,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,100
2022-03-18,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,100
2022-03-22,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,0
2022-03-23,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,0
2022-03-24,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,0
2022-03-25,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,0
2022-03-28,2399.59814453125,2399.59814453125,2399.59814453125,2399.59814453125,0
2022-03-29,2456.958740234375,2456.958740234375,2456.958740234375,2456.958740234375,200
2022-03-30,2456.958740234375,2456.958740234375,2456.958740234375,2456.958740234375,0
2022-03-31,2456.958740234375,2456.958740234375,2456.958740234375,2456.958740234375,0
2022-04-01,2721.775146484375,2721.775146484375,2695.962737297484,2695.962737297484,1200
2022-04-04,2503.803955078125,2619.4818010362974,2503.803955078125,2619.4818010362974,1900
2022-04-05,2570.72509765625,2570.72509765625,2570.72509765625,2570.72509765625,100
2022-04-06,2570.72509765625,2570.72509765625,2570.72509765625,2570.72509765625,0
2022-04-07,2570.72509765625,2570.72509765625,2570.72509765625,2570.72509765625,0
2022-04-08,2570.72509765625,2570.72509765625,2570.72509765625,2570.72509765625,0
2022-04-11,2570.72509765625,2570.72509765625,2570.72509765625,2570.72509765625,0
2022-04-12,2521.968017578125,2521.968017578125,2521.968017578125,2521.968017578125,200
2022-04-13,2521.968017578125,2521.968017578125,2521.968017578125,2521.968017578125,0
2022-04-14,2400.55419921875,2474.1673706006072,2400.55419921875,2474.1673706006072,300
2022-04-15,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-04-18,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-04-19,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-04-20,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-04-21,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-04-22,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-04-25,2400.55419921875,2400.55419921875,2400.55419921875,2400.55419921875,0
2022-04-26,2433.05859375,2433.05859375,2400.5540781556974,2428.2785179273083,1600
2022-04-27,2393.86181640625,2445.486631935778,2393.86181640625,2433.058435604595,1600
2022-04-28,2393.86181640625,2393.86181640625,2393.86181640625,2393.86181640625,0
