Price,Close,High,Low,Open,Volume
Ticker,3436.T,3436.T,3436.T,3436.T,3436.T
Date,,,,,
2022-01-04,2262.737060546875,2268.260421963995,2182.6483199986333,2188.1716814157535,7610600
2022-01-05,2248.00830078125,2266.419507175855,2230.5176547063757,2241.5643785431384,4074900
2022-01-06,2163.31640625,2219.4705767952128,2153.190244348404,2205.6621742021275,6001900
2022-01-07,2166.99853515625,2190.9330984162593,2132.937810517006,2188.1714180401045,4399600
2022-01-11,2106.24169921875,2145.825787097424,2104.4005788523,2144.905226914199,5429500
2022-01-12,2218.55029296875,2241.5643001572225,2165.157796291494,2180.807321179655,9127200
2022-01-13,2259.975830078125,2268.260873854379,2211.186127840186,2218.550611196856,5388000
2022-01-14,2255.372802734375,2271.9428886320156,2217.6298293008613,2259.9756043726084,5297700
2022-01-17,2221.31201171875,2246.167139906237,2189.0924011053407,2246.167139906237,6248500
2022-01-18,2202.900634765625,2253.531447516193,2192.774472215511,2213.947357547567,5053500
2022-01-19,2129.255859375,2162.39602839251,2120.9708171206225,2137.5409016293775,6440400
2022-01-20,2099.79833984375,2150.4291634699694,2078.625449963695,2102.5600211324527,6450600
2022-01-21,2038.1204833984375,2043.6438451420647,1980.125185090352,2033.517681945415,8386100
2022-01-24,2071.260498046875,2085.0689013671877,2006.8212825520834,2012.3446438802084,6412100
2022-01-25,2009.5830078125,2076.783905462666,1983.8073210425734,2064.8166223194858,6815800
2022-01-26,1996.6951904296875,2019.709196773967,1951.5877379948997,1998.53631093723,5307300
2022-01-27,1868.7374267578125,2037.1999632586399,1861.372944287831,2008.6625936874616,13077000
2022-01-28,1889.9102783203125,1903.7186826918685,1846.6439446227698,1883.466356280253,6594700
2022-01-31,1912.0037841796875,1945.1439556917092,1857.6907253127633,1857.6907253127633,5633500
2022-02-01,1926.732421875,1999.4566747790252,1920.2885007316054,1984.7277121655518,5641100
2022-02-02,2008.6624755859375,2021.5503191506502,1949.746619290108,1953.4288603085972,7463700
2022-02-03,1956.190673828125,1993.9336468290442,1935.0177865349265,1965.396276999081,7253900
2022-02-04,1969.9989013671875,1976.4428230071735,1922.1297691844334,1924.8914498872846,4375600
2022-02-07,1826.3916015625,1868.7373745825982,1784.0458285424018,1859.531771752142,20210500
2022-02-08,1847.5643310546875,1895.4334617048337,1841.1204096210138,1850.326011669119,8355100
2022-02-09,1917.52685546875,1918.4474156490037,1862.2932446535194,1868.7371659152964,8514200
2022-02-10,1995.77490234375,2134.779519619537,1989.330979688581,2109.003828998861,20501600
2022-02-14,1954.3494873046875,1987.4896576028357,1921.209317006539,1933.176600725315,10166400
2022-02-15,1919.3681640625,1974.6017802945144,1915.6859229803656,1965.3961775891787,6084700
2022-02-16,1949.74658203125,1976.4428289051434,1936.8587387128186,1976.4428289051434,5828000
2022-02-17,1933.176513671875,1956.1905197870165,1912.0036280459449,1933.176513671875,5637000
2022-02-18,1901.87744140625,1909.2419232703594,1851.246628590498,1881.6251162799492,7065300
2022-02-21,1802.4569091796875,1825.4709146595098,1763.7933799735858,1824.550354440317,11460500
2022-02-22,1719.6065673828125,1749.9850559928943,1681.863596685438,1735.2560918183092,12959500
2022-02-24,1661.6112060546875,1710.400897977623,1644.1205617804276,1694.7513741532853,10679300
2022-02-25,1709.4803466796875,1715.0037080582972,1671.7373772591882,1703.0364250713096,9123500
2022-02-28,1737.09716796875,1753.667252241902,1693.8308368110759,1706.7186801346384,8201300
2022-03-01,1771.157958984375,1806.1392492345863,1758.2701152079815,1800.6158876161319,7650500
2022-03-02,1752.746826171875,1759.1907483269185,1723.2888963202467,1724.2094566281103,5684800
2022-03-03,1747.223388671875,1779.4429980520204,1736.1766654558253,1773.9196364439954,4387100
2022-03-04,1672.6578369140625,1731.573688076693,1657.0083139489886,1726.0503270301965,9055400
2022-03-07,1552.064697265625,1612.8216782973755,1531.8123702550415,1599.0132735174323,12410400
2022-03-08,1562.1907958984375,1594.4104057136676,1507.8777393527641,1518.9244627179858,10389800
2022-03-09,1588.886962890625,1610.0598482593875,1557.5879149541931,1580.6019207898048,6663100
2022-03-10,1646.8822021484375,1667.1345266019118,1635.8354797192696,1662.5317255897587,6385900
2022-03-11,1631.23291015625,1638.5973928206124,1612.8217034953443,1625.7095481579784,5779400
2022-03-14,1645.9617919921875,1674.4991608690095,1632.153387696951,1632.153387696951,4151700
2022-03-15,1650.564453125,1665.2934164546152,1612.8214845928612,1629.3915683386783,4339400
2022-03-16,1682.7841796875,1695.6720235144282,1659.7701728536995,1693.8309029677243,6426200
2022-03-17,1727.8916015625,1760.1112105420884,1716.844878483784,1730.653282332179,7527600
2022-03-18,1749.985107421875,1750.9056677098404,1718.6860576310578,1725.1299796468143,4716300
2022-03-22,1756.428955078125,1772.9990395599941,1743.5411115922268,1758.2700755761105,4597100
2022-03-23,1813.503662109375,1819.0270235168148,1770.2373310844305,1771.157891319004,6112900
2022-03-24,1837.438232421875,1837.438232421875,1772.9990158539736,1778.5223772740794,4406100
2022-03-25,1865.0550537109375,1900.0363429710637,1855.8494512740622,1874.2606561478128,6794000
2022-03-28,1828.232666015625,1853.0877928949915,1822.7093044868768,1841.1205095827038,4595700
2022-03-29,1832.83544921875,1853.0877746244819,1808.9008828301576,1850.3260938873366,5602900
2022-03-30,1867.81689453125,1887.1486613056002,1844.8028864665475,1869.6580151764263,6936500
2022-03-31,1865.9757080078125,1878.8635520690407,1855.8495448168476,1865.0551477177248,3746100
2022-04-01,1839.2791748046875,1845.723095837537,1811.6623703781909,1841.1202950997874,5175800
2022-04-04,1819.9476318359375,1825.4709933893091,1796.9336253635558,1818.1065113181469,3724500
2022-04-05,1810.741943359375,1863.213875627542,1806.13914228322,1850.326032614308,3731000
2022-04-06,1768.3961181640625,1779.4428404014227,1759.1905162995959,1765.6344376047225,5705900
2022-04-07,1710.40087890625,1728.8120832001816,1700.2747165445876,1718.6859208385192,6973300
2022-04-08,1692.9102783203125,1742.6205311910558,1680.9429952218004,1726.9710071391553,5556200
2022-04-11,1688.3076171875,1702.1160219082265,1673.5786521520583,1682.7842552992092,3450500
2022-04-12,1671.7374267578125,1698.433674211544,1670.8168665007872,1683.7047100991404,3213200
2022-04-13,1721.4476318359375,1721.4476318359375,1685.5457828297335,1690.1485839843751,4065600
2022-04-14,1775.7607421875,1775.7607421875,1741.7000125550803,1749.9850548981015,5049600
2022-04-15,1737.09716796875,1747.2233305801205,1714.083162033817,1726.0504451199822,3913100
2022-04-18,1740.7794189453125,1745.3822201588114,1716.8448526351178,1722.3682140913165,3330900
2022-04-19,1779.44287109375,1788.6484731169974,1768.396148665853,1777.6017506891003,5038500
2022-04-20,1755.5084228515625,1797.8541949811754,1750.9056215331261,1796.0130744538008,4978000
2022-04-21,1790.4896240234375,1807.059707947562,1759.1905766112027,1759.1905766112027,5040200
2022-04-22,1776.681396484375,1782.2047583387307,1763.7935521575453,1770.2374743209602,3045700
2022-04-25,1745.382080078125,1766.5549639609294,1738.938158896402,1749.0643207533954,3756600
2022-04-26,1761.03173828125,1776.6812623537965,1747.2233346878268,1767.4756599581808,3680300
2022-04-27,1742.6204833984375,1742.6204833984375,1708.559755513735,1724.209279136436,6588900
2022-04-28,1746.3028564453125,1750.905657859243,1715.9243671133697,1744.4617358797402,5592700
2022-05-02,1739.85888671875,1762.8728931568287,1717.7654405381945,1755.5084110966436,4184400
2022-05-06,1795.092529296875,1796.9336498397436,1703.9570624248797,1730.6533102964743,6291600
2022-05-09,1779.44287109375,1809.8213577704669,1772.9989496774767,1776.6811904867757,5313600
2022-05-10,1767.475830078125,1772.0786317189534,1721.4478136698406,1766.5552697499593,5177900
2022-05-11,1790.4896240234375,1801.5363466395206,1760.1111368292095,1785.886822933403,5726800
2022-05-12,1784.0458984375,1803.377665138835,1737.097322162829,1753.6674079068305,6429500
2022-05-13,1779.44287109375,1805.218556758843,1742.6204630007596,1799.6951955448944,10398800
2022-05-16,1829.1531982421875,1861.3728066661818,1805.2186319843634,1805.2186319843634,10039600
2022-05-17,1788.6485595703125,1791.4102403107709,1731.5738242675027,1777.6018366084784,7450300
2022-05-18,1822.709228515625,1845.7232339261757,1813.5036263514046,1830.0737102470011,6755200
2022-05-19,1807.0599365234375,1809.8216175267846,1755.508557794292,1761.0319198009863,4277000
2022-05-20,1832.83544921875,1842.961611921616,1792.3307984072858,1811.6625635673029,4437000
2022-05-23,1834.676513671875,1845.7232362830453,1826.3914717134971,1844.8026760654477,3722300
2022-05-24,1804.298095703125,1838.3588250607859,1801.5364149443956,1836.5177045549665,3449400
2022-05-25,1838.35888671875,1846.6439292728155,1810.7420782051986,1820.868241326834,4682900
2022-05-26,1827.31201171875,1856.7699383560298,1826.3914515113352,1835.597053585485,3560400
2022-05-27,1874.2606201171875,1890.8307041850212,1858.6110962753446,1878.8634212471413,4842100
2022-05-30,1898.1951904296875,1919.3680756769634,1894.5129495171177,1910.162473395539,8247900
2022-05-31,1930.414794921875,1944.2231983190272,1902.7979881275708,1910.1624699393851,7966200
2022-06-01,1912.0037841796875,1929.4944302554766,1895.4336984236768,1929.4944302554766,6143300
2022-06-02,1924.8914794921875,1937.7793229703752,1907.4008347717897,1923.9709192437454,3531500
2022-06-03,1958.0316162109375,1974.6017004101839,1951.5876945778973,1951.5876945778973,4603500
2022-06-06,1955.270263671875,1971.8403506521452,1927.6534520380915,1932.2562539770554,3184900
2022-06-07,1952.50830078125,1958.9522225660066,1935.9382161918759,1943.3026982315976,3081800
2022-06-08,1955.270263671875,1969.9992298765594,1948.8263409573256,1968.158109100974,2767200
2022-06-09,1947.905517578125,1983.8073678548485,1931.335432835022,1979.2045665373198,5119000
2022-06-10,1926.732421875,1935.0174633450788,1916.606260078237,1928.5735422016842,3312400
2022-06-13,1877.9429931640625,1893.5925181070963,1870.578510837929,1877.9429931640625,3815600
