Price,Close,High,Low,Open,Volume
Ticker,3496.T,3496.T,3496.T,3496.T,3496.T
Date,,,,,
2022-01-04,2959.079345703125,3048.148623667433,2929.389586381689,3048.148623667433,53800
2022-01-05,2825.4755859375,2949.1829233253065,2810.6307054509634,2929.3897493432573,85600
2022-01-06,2771.04443359375,2894.7517743791855,2756.199552699498,2795.785901750837,60200
2022-01-07,2840.3203125,2904.648124455575,2736.4061547256097,2785.889086999129,65200
2022-01-11,2761.14794921875,2840.3206502716175,2726.5098925081206,2820.527475008401,52400
2022-01-12,2924.441162109375,2944.234334103347,2845.2684741334865,2845.2684741334865,62400
2022-01-13,2800.734130859375,3018.459045625828,2795.7858373419554,2939.2863493471177,74400
2022-01-14,2825.4755859375,2825.4755859375,2731.458009522767,2751.2511835048163,47400
2022-01-17,2899.699951171875,2978.8726460844177,2855.1653102835694,2855.1653102835694,73800
2022-01-18,2810.630615234375,2988.769175354864,2800.734028561015,2934.337948651381,89400
2022-01-19,2721.561279296875,2840.3203169389203,2696.819813121449,2795.7856778231535,59200
2022-01-20,2775.992431640625,2800.7338971632685,2612.6987591911766,2672.078276445521,66200
2022-01-21,2662.181884765625,2726.5096998250174,2622.5955370367683,2721.5614063589105,68400
2022-01-24,2617.647216796875,2647.336977289845,2508.784761655984,2632.49209704336,89000
2022-01-25,2414.76708984375,2686.9232167728615,2390.0256237592853,2632.491991387039,160000
2022-01-26,2454.353515625,2488.9915692729332,2350.4393546811993,2427.1379020444806,84800
2022-01-27,2300.95654296875,2474.1468203965055,2229.206285177251,2474.1468203965055,144600
2022-01-28,2266.318359375,2318.275439666348,2199.5163990004094,2305.9047062636464,93600
2022-01-31,2422.189697265625,2449.405311841643,2293.534064724448,2300.956505063362,153800
2022-02-01,2771.04443359375,2771.04443359375,2771.04443359375,2771.04443359375,13000
2022-02-02,2795.785888671875,2820.527356713219,2627.5439059907353,2721.5614845478426,354200
2022-02-03,2548.37109375,2706.7164820995145,2538.474506978155,2696.8198953276697,149400
