Price,Close,High,Low,Open,Volume
Ticker,3667.T,3667.T,3667.T,3667.T,3667.T
Date,,,,,
2022-01-04,388.0,389.0,369.0,375.0,184500
2022-01-05,376.0,390.0,371.0,390.0,191000
2022-01-06,366.0,376.0,365.0,376.0,77300
2022-01-07,378.0,380.0,369.0,370.0,151800
2022-01-11,390.0,392.0,374.0,379.0,204900
2022-01-12,389.0,394.0,384.0,392.0,130600
2022-01-13,384.0,387.0,381.0,385.0,120900
2022-01-14,377.0,393.0,372.0,382.0,239900
2022-01-17,378.0,382.0,373.0,377.0,106300
2022-01-18,376.0,384.0,375.0,380.0,137600
2022-01-19,360.0,376.0,360.0,373.0,148200
2022-01-20,369.0,371.0,356.0,360.0,144300
2022-01-21,370.0,370.0,360.0,364.0,75400
2022-01-24,368.0,371.0,359.0,367.0,87800
2022-01-25,353.0,368.0,349.0,366.0,169000
2022-01-26,351.0,356.0,349.0,353.0,85900
2022-01-27,339.0,355.0,333.0,355.0,302000
2022-01-28,342.0,344.0,333.0,343.0,146800
2022-01-31,352.0,353.0,343.0,344.0,168500
2022-02-01,346.0,357.0,342.0,353.0,127300
2022-02-02,358.0,361.0,345.0,346.0,372600
2022-02-03,363.0,365.0,354.0,363.0,133300
2022-02-04,375.0,385.0,364.0,384.0,448600
2022-02-07,361.0,371.0,358.0,371.0,176900
2022-02-08,358.0,364.0,355.0,360.0,114200
2022-02-09,359.0,361.0,351.0,360.0,160500
2022-02-10,357.0,362.0,354.0,359.0,92200
2022-02-14,341.0,347.0,336.0,341.0,187700
2022-02-15,336.0,345.0,335.0,343.0,128900
2022-02-16,339.0,345.0,332.0,336.0,178000
2022-02-17,341.0,343.0,337.0,338.0,104100
2022-02-18,339.0,343.0,332.0,336.0,104700
2022-02-21,337.0,340.0,332.0,335.0,75700
2022-02-22,333.0,340.0,332.0,334.0,96800
2022-02-24,314.0,334.0,312.0,330.0,395500
2022-02-25,330.0,330.0,313.0,313.0,207300
2022-02-28,333.0,337.0,327.0,330.0,176000
2022-03-01,336.0,337.0,329.0,330.0,182100
2022-03-02,330.0,336.0,328.0,330.0,101600
2022-03-03,326.0,335.0,322.0,332.0,120900
2022-03-04,318.0,323.0,312.0,323.0,173500
2022-03-07,298.0,315.0,296.0,315.0,311300
2022-03-08,283.0,301.0,283.0,290.0,305000
2022-03-09,284.0,288.0,276.0,278.0,289300
2022-03-10,294.0,294.0,285.0,289.0,163600
2022-03-11,286.0,294.0,284.0,292.0,83900
2022-03-14,288.0,294.0,286.0,286.0,86100
2022-03-15,294.0,295.0,283.0,287.0,95900
2022-03-16,296.0,298.0,293.0,294.0,81600
2022-03-17,305.0,306.0,300.0,302.0,129800
2022-03-18,313.0,314.0,305.0,307.0,139600
2022-03-22,309.0,313.0,307.0,310.0,83100
2022-03-23,318.0,321.0,313.0,313.0,135800
2022-03-24,320.0,320.0,309.0,316.0,124700
2022-03-25,316.0,323.0,314.0,321.0,215800
2022-03-28,311.0,320.0,308.0,320.0,94200
2022-03-29,309.0,313.0,305.0,311.0,125700
2022-03-30,319.0,319.0,308.0,313.0,237500
2022-03-31,314.0,317.0,311.0,316.0,104500
2022-04-01,317.0,320.0,309.0,320.0,226700
2022-04-04,315.0,315.0,310.0,311.0,96000
2022-04-05,324.0,324.0,313.0,315.0,165500
2022-04-06,324.0,327.0,318.0,321.0,106900
2022-04-07,314.0,323.0,312.0,322.0,73300
2022-04-08,312.0,315.0,307.0,315.0,94900
2022-04-11,306.0,312.0,302.0,312.0,102400
2022-04-12,296.0,306.0,296.0,306.0,90100
2022-04-13,299.0,301.0,296.0,297.0,80000
2022-04-14,299.0,303.0,295.0,303.0,51700
2022-04-15,298.0,300.0,294.0,300.0,56200
2022-04-18,290.0,297.0,288.0,297.0,76700
2022-04-19,292.0,294.0,289.0,292.0,39700
2022-04-20,294.0,296.0,286.0,288.0,147900
2022-04-21,292.0,296.0,289.0,294.0,108000
2022-04-22,290.0,293.0,283.0,288.0,105600
2022-04-25,296.0,303.0,284.0,286.0,168100
2022-04-26,304.0,307.0,297.0,300.0,197000
2022-04-27,315.0,315.0,296.0,297.0,178900
2022-04-28,304.0,314.0,299.0,314.0,171700
2022-05-02,305.0,314.0,281.0,288.0,340900
2022-05-06,316.0,320.0,304.0,304.0,180900
2022-05-09,306.0,315.0,304.0,313.0,108700
2022-05-10,313.0,316.0,301.0,301.0,134600
2022-05-11,309.0,318.0,307.0,312.0,124100
2022-05-12,297.0,309.0,297.0,309.0,100800
2022-05-13,316.0,316.0,299.0,299.0,260800
2022-05-16,332.0,341.0,314.0,318.0,670000
2022-05-17,355.0,355.0,332.0,342.0,740300
2022-05-18,351.0,362.0,346.0,361.0,600400
2022-05-19,353.0,359.0,336.0,340.0,402800
2022-05-20,352.0,355.0,345.0,350.0,232000
2022-05-23,349.0,357.0,347.0,356.0,222800
2022-05-24,325.0,350.0,324.0,349.0,409000
2022-05-25,318.0,323.0,311.0,322.0,237000
2022-05-26,319.0,326.0,318.0,319.0,143800
2022-05-27,308.0,322.0,303.0,321.0,331500
2022-05-30,324.0,326.0,308.0,308.0,318000
2022-05-31,322.0,327.0,318.0,322.0,142800
2022-06-01,332.0,332.0,319.0,322.0,226700
2022-06-02,313.0,382.0,312.0,325.0,1781100
2022-06-03,316.0,318.0,306.0,316.0,526100
2022-06-06,312.0,319.0,308.0,312.0,201400
2022-06-07,317.0,319.0,308.0,311.0,187300
2022-06-08,328.0,330.0,318.0,320.0,287800
2022-06-09,332.0,343.0,323.0,328.0,562400
2022-06-10,335.0,342.0,323.0,329.0,290800
2022-06-13,335.0,336.0,323.0,329.0,267600
2022-06-14,331.0,336.0,323.0,332.0,268900
2022-06-15,314.0,330.0,311.0,330.0,318900
2022-06-16,308.0,319.0,303.0,317.0,253800
2022-06-17,299.0,304.0,295.0,300.0,241100
2022-06-20,298.0,307.0,291.0,307.0,142500
2022-06-21,308.0,310.0,301.0,301.0,184900
2022-06-22,388.0,388.0,298.0,320.0,11713800
2022-06-23,365.0,420.0,350.0,380.0,21212300
2022-06-24,350.0,389.0,347.0,385.0,4675600
2022-06-27,356.0,370.0,345.0,358.0,2034600
2022-06-28,367.0,375.0,347.0,351.0,1639100
2022-06-29,402.0,435.0,363.0,374.0,8070900
2022-06-30,393.0,465.0,391.0,434.0,4391100
2022-07-01,358.0,397.0,351.0,395.0,2487800
2022-07-04,374.0,381.0,352.0,366.0,1333700
2022-07-05,397.0,398.0,362.0,374.0,1596300
2022-07-06,406.0,421.0,392.0,402.0,2066000
2022-07-07,383.0,410.0,373.0,409.0,1439500
2022-07-08,400.0,405.0,378.0,383.0,1636300
2022-07-11,394.0,414.0,394.0,406.0,979500
2022-07-12,376.0,391.0,374.0,388.0,657000
2022-07-13,376.0,380.0,367.0,371.0,450300
2022-07-14,380.0,390.0,369.0,372.0,565300
2022-07-15,364.0,379.0,364.0,374.0,698500
2022-07-19,367.0,376.0,362.0,365.0,338600
2022-07-20,376.0,381.0,365.0,370.0,444100
2022-07-21,368.0,389.0,367.0,380.0,722400
2022-07-22,354.0,368.0,350.0,368.0,872900
2022-07-25,351.0,365.0,348.0,355.0,436700
2022-07-26,351.0,356.0,345.0,351.0,351900
2022-07-27,340.0,347.0,337.0,346.0,425600
2022-07-28,347.0,349.0,340.0,343.0,345800
2022-07-29,357.0,358.0,343.0,347.0,406900
2022-08-01,388.0,393.0,358.0,360.0,2104100
2022-08-02,388.0,403.0,379.0,382.0,1351400
2022-08-03,394.0,402.0,381.0,381.0,821000
2022-08-04,396.0,406.0,385.0,387.0,860200
2022-08-05,405.0,414.0,392.0,396.0,804900
2022-08-08,417.0,433.0,400.0,405.0,1428800
2022-08-09,404.0,432.0,403.0,414.0,956100
2022-08-10,403.0,408.0,390.0,400.0,702500
2022-08-12,412.0,419.0,399.0,406.0,610000
2022-08-15,445.0,451.0,410.0,414.0,1740500
2022-08-16,472.0,472.0,441.0,445.0,1228300
2022-08-17,488.0,512.0,468.0,471.0,2127100
2022-08-18,474.0,506.0,471.0,483.0,1260600
2022-08-19,461.0,478.0,452.0,475.0,1072600
2022-08-22,438.0,455.0,435.0,452.0,782800
2022-08-23,441.0,454.0,437.0,440.0,644700
2022-08-24,429.0,445.0,428.0,442.0,526800
2022-08-25,419.0,434.0,416.0,428.0,476700
2022-08-26,406.0,438.0,400.0,431.0,1058100
2022-08-29,408.0,409.0,395.0,395.0,547000
2022-08-30,426.0,427.0,408.0,408.0,587700
2022-08-31,404.0,433.0,401.0,424.0,1102900
2022-09-01,407.0,412.0,399.0,404.0,773900
2022-09-02,419.0,419.0,400.0,409.0,639800
2022-09-05,440.0,453.0,421.0,431.0,1964300
2022-09-06,440.0,452.0,427.0,442.0,957100
2022-09-07,430.0,441.0,410.0,432.0,1852200
2022-09-08,421.0,441.0,420.0,432.0,853200
2022-09-09,403.0,417.0,395.0,415.0,1582900
2022-09-12,418.0,421.0,404.0,404.0,862800
2022-09-13,434.0,434.0,407.0,419.0,1019100
2022-09-14,437.0,453.0,418.0,418.0,1528200
2022-09-15,429.0,450.0,428.0,440.0,886200
2022-09-16,424.0,431.0,420.0,430.0,534600
2022-09-20,425.0,431.0,407.0,423.0,1092900
2022-09-21,424.0,428.0,413.0,421.0,670000
2022-09-22,458.0,460.0,419.0,422.0,1701500
2022-09-26,463.0,477.0,451.0,452.0,1315800
2022-09-27,476.0,479.0,448.0,477.0,1007300
2022-09-28,456.0,477.0,442.0,475.0,1784500
2022-09-29,489.0,502.0,460.0,460.0,1976600
2022-09-30,500.0,502.0,478.0,497.0,1338100
2022-10-03,478.0,495.0,464.0,490.0,1815400
2022-10-04,509.0,511.0,479.0,481.0,1566800
2022-10-05,499.0,517.0,490.0,512.0,1130100
2022-10-06,471.0,501.0,468.0,494.0,1324000
2022-10-07,467.0,489.0,465.0,469.0,978900
2022-10-11,470.0,480.0,457.0,472.0,957900
2022-10-12,468.0,475.0,459.0,462.0,677000
2022-10-13,444.0,472.0,441.0,470.0,1096500
2022-10-14,464.0,491.0,463.0,468.0,1700000
2022-10-17,463.0,483.0,461.0,464.0,1162300
2022-10-18,480.0,482.0,463.0,466.0,677300
2022-10-19,480.0,494.0,477.0,484.0,819800
2022-10-20,470.0,488.0,467.0,478.0,931200
2022-10-21,461.0,471.0,457.0,469.0,647200
2022-10-24,434.0,463.0,432.0,461.0,1555900
2022-10-25,438.0,449.0,425.0,428.0,852300
2022-10-26,434.0,446.0,431.0,446.0,664800
2022-10-27,440.0,446.0,429.0,431.0,412100
2022-10-28,432.0,439.0,428.0,438.0,675500
2022-10-31,472.0,483.0,441.0,450.0,2273700
2022-11-01,482.0,489.0,470.0,472.0,1226100
2022-11-02,468.0,479.0,456.0,477.0,1326700
2022-11-04,475.0,488.0,460.0,461.0,932000
2022-11-07,476.0,482.0,466.0,474.0,591000
2022-11-08,474.0,481.0,468.0,475.0,631200
2022-11-09,478.0,486.0,467.0,475.0,846000
2022-11-10,491.0,506.0,475.0,477.0,1369600
2022-11-11,496.0,505.0,487.0,493.0,910500
2022-11-14,493.0,496.0,473.0,488.0,847600
2022-11-15,507.0,513.0,486.0,497.0,825600
2022-11-16,516.0,521.0,498.0,509.0,1181000
2022-11-17,568.0,569.0,513.0,514.0,2201700
2022-11-18,541.0,579.0,539.0,566.0,1805500
2022-11-21,514.0,542.0,513.0,532.0,1213600
2022-11-22,507.0,528.0,501.0,518.0,1027000
2022-11-24,510.0,514.0,494.0,507.0,761800
2022-11-25,414.0,517.0,411.0,512.0,8505200
2022-11-28,411.0,427.0,403.0,420.0,2274700
2022-11-29,410.0,415.0,398.0,407.0,1872200
2022-11-30,424.0,430.0,411.0,416.0,2308600
2022-12-01,419.0,429.0,409.0,426.0,1311200
2022-12-02,417.0,423.0,411.0,416.0,703900
2022-12-05,407.0,416.0,405.0,414.0,677700
2022-12-06,401.0,408.0,399.0,403.0,504600
2022-12-07,401.0,403.0,382.0,400.0,1077700
2022-12-08,393.0,401.0,389.0,397.0,695700
2022-12-09,400.0,403.0,391.0,391.0,609400
2022-12-12,403.0,407.0,392.0,395.0,367800
2022-12-13,402.0,407.0,400.0,400.0,350800
2022-12-14,400.0,406.0,395.0,403.0,330700
