Price,Close,High,Low,Open,Volume
Ticker,3753.T,3753.T,3753.T,3753.T,3753.T
Date,,,,,
2022-01-04,413.0,419.0,407.0,419.0,24800
2022-01-05,402.0,415.0,397.0,415.0,36200
2022-01-06,392.0,396.0,390.0,396.0,46700
2022-01-07,385.0,395.0,376.0,393.0,57100
2022-01-11,383.0,385.0,377.0,385.0,30600
2022-01-12,393.0,397.0,387.0,388.0,26100
2022-01-13,386.0,392.0,386.0,392.0,7700
2022-01-14,380.0,385.0,377.0,382.0,23900
2022-01-17,381.0,384.0,377.0,380.0,26300
2022-01-18,381.0,387.0,377.0,385.0,18200
2022-01-19,364.0,376.0,361.0,376.0,61000
2022-01-20,369.0,371.0,361.0,364.0,22600
2022-01-21,370.0,371.0,362.0,363.0,28100
2022-01-24,365.0,368.0,360.0,360.0,23000
2022-01-25,354.0,370.0,351.0,364.0,36400
2022-01-26,364.0,364.0,351.0,351.0,34500
2022-01-27,334.0,365.0,334.0,362.0,91400
2022-01-28,334.0,343.0,329.0,339.0,27000
2022-01-31,356.0,361.0,340.0,340.0,33700
2022-02-01,365.0,369.0,357.0,362.0,32000
2022-02-02,373.0,373.0,364.0,365.0,12800
2022-02-03,370.0,376.0,369.0,373.0,13200
2022-02-04,370.0,373.0,363.0,369.0,14600
2022-02-07,364.0,377.0,363.0,377.0,14700
2022-02-08,363.0,368.0,363.0,364.0,7600
2022-02-09,365.0,369.0,360.0,367.0,19800
2022-02-10,391.0,393.0,374.0,380.0,86700
2022-02-14,350.0,356.0,340.0,348.0,86500
2022-02-15,345.0,354.0,344.0,351.0,25900
2022-02-16,334.0,351.0,330.0,350.0,76600
2022-02-17,333.0,339.0,332.0,338.0,17200
2022-02-18,329.0,337.0,328.0,333.0,24700
2022-02-21,317.0,329.0,317.0,329.0,32800
2022-02-22,314.0,323.0,313.0,314.0,16200
2022-02-24,303.0,316.0,300.0,313.0,58100
2022-02-25,326.0,327.0,312.0,316.0,44100
2022-02-28,343.0,343.0,327.0,329.0,29000
2022-03-01,370.0,423.0,338.0,338.0,324800
2022-03-02,364.0,367.0,352.0,362.0,69000
2022-03-03,362.0,364.0,353.0,364.0,32900
2022-03-04,346.0,361.0,343.0,357.0,38400
2022-03-07,344.0,347.0,333.0,340.0,30300
2022-03-08,349.0,365.0,333.0,333.0,50700
2022-03-09,351.0,354.0,340.0,341.0,40000
2022-03-10,361.0,365.0,357.0,365.0,20800
2022-03-11,381.0,383.0,360.0,360.0,50100
2022-03-14,378.0,381.0,369.0,373.0,37300
2022-03-15,370.0,379.0,369.0,379.0,29600
2022-03-16,372.0,380.0,363.0,371.0,59700
2022-03-17,383.0,383.0,371.0,371.0,19500
2022-03-18,393.0,395.0,381.0,383.0,44100
2022-03-22,373.0,391.0,373.0,391.0,44100
2022-03-23,375.0,381.0,367.0,375.0,34100
2022-03-24,377.0,382.0,367.0,367.0,12100
2022-03-25,378.0,383.0,372.0,377.0,16600
2022-03-28,399.0,458.0,385.0,385.0,1141900
2022-03-29,407.0,407.0,385.0,402.0,142000
2022-03-30,416.0,421.0,398.0,407.0,127300
2022-03-31,423.0,427.0,407.0,413.0,71600
2022-04-01,416.0,420.0,407.0,419.0,32200
2022-04-04,414.0,421.0,411.0,418.0,31300
2022-04-05,413.0,418.0,409.0,418.0,31700
2022-04-06,406.0,411.0,398.0,408.0,50500
2022-04-07,391.0,402.0,389.0,401.0,44800
2022-04-08,397.0,402.0,389.0,389.0,25700
2022-04-11,389.0,401.0,387.0,401.0,13600
2022-04-12,376.0,386.0,374.0,382.0,24000
2022-04-13,386.0,388.0,381.0,383.0,11200
2022-04-14,396.0,398.0,387.0,390.0,12800
2022-04-15,413.0,430.0,395.0,415.0,150100
2022-04-18,411.0,411.0,402.0,402.0,23800
2022-04-19,407.0,410.0,400.0,407.0,26000
2022-04-20,387.0,406.0,386.0,403.0,55800
2022-04-21,390.0,393.0,384.0,392.0,17200
2022-04-22,389.0,391.0,382.0,388.0,19700
2022-04-25,382.0,386.0,381.0,384.0,10900
2022-04-26,389.0,392.0,378.0,384.0,23000
2022-04-27,397.0,397.0,379.0,387.0,13900
2022-04-28,404.0,409.0,392.0,407.0,53800
2022-05-02,402.0,405.0,397.0,401.0,17200
2022-05-06,413.0,415.0,398.0,402.0,22300
2022-05-09,406.0,413.0,402.0,410.0,22500
2022-05-10,406.0,413.0,397.0,412.0,33000
2022-05-11,422.0,423.0,406.0,406.0,37800
2022-05-12,416.0,422.0,409.0,417.0,29300
2022-05-13,430.0,432.0,416.0,416.0,31400
2022-05-16,433.0,438.0,425.0,430.0,24600
2022-05-17,430.0,430.0,420.0,426.0,19000
2022-05-18,442.0,444.0,427.0,427.0,35300
2022-05-19,441.0,445.0,431.0,431.0,38000
2022-05-20,432.0,444.0,431.0,442.0,53700
2022-05-23,453.0,454.0,435.0,441.0,108900
2022-05-24,453.0,464.0,449.0,461.0,62000
2022-05-25,457.0,460.0,442.0,454.0,37000
2022-05-26,466.0,477.0,462.0,464.0,77200
2022-05-27,460.0,475.0,457.0,469.0,32600
2022-05-30,498.0,538.0,451.0,459.0,755400
2022-05-31,510.0,516.0,481.0,490.0,155500
2022-06-01,491.0,515.0,490.0,510.0,105800
2022-06-02,505.0,523.0,490.0,498.0,113600
2022-06-03,510.0,511.0,497.0,510.0,56900
