Price,Close,High,Low,Open,Volume
Ticker,3803.T,3803.T,3803.T,3803.T,3803.T
Date,,,,,
2022-01-04,549.0,564.0,513.0,535.0,144300
2022-01-05,504.0,546.0,504.0,519.0,76000
2022-01-06,503.0,504.0,483.0,497.0,27600
2022-01-07,480.0,519.0,468.0,503.0,53800
2022-01-11,470.0,478.0,456.0,470.0,12400
2022-01-12,463.0,470.0,455.0,464.0,9500
2022-01-13,455.0,469.0,455.0,461.0,4800
2022-01-14,454.0,455.0,451.0,453.0,4700
2022-01-17,447.0,454.0,447.0,454.0,3700
2022-01-18,440.0,450.0,440.0,450.0,4400
2022-01-19,431.0,439.0,431.0,437.0,7800
2022-01-20,443.0,443.0,432.0,436.0,4500
2022-01-21,440.0,440.0,436.0,440.0,1400
2022-01-24,445.0,445.0,431.0,438.0,1300
2022-01-25,437.0,445.0,437.0,445.0,1800
2022-01-26,432.0,437.0,432.0,437.0,400
2022-01-27,419.0,432.0,418.0,432.0,4700
2022-01-28,419.0,419.0,416.0,416.0,1700
2022-01-31,416.0,423.0,411.0,415.0,3200
2022-02-01,415.0,416.0,415.0,416.0,900
2022-02-02,435.0,435.0,416.0,425.0,3500
2022-02-03,422.0,422.0,422.0,422.0,100
2022-02-04,425.0,427.0,425.0,425.0,1400
2022-02-07,418.0,419.0,418.0,419.0,400
2022-02-08,418.0,418.0,417.0,418.0,900
2022-02-09,422.0,422.0,417.0,421.0,1000
2022-02-10,425.0,434.0,425.0,428.0,1200
2022-02-14,434.0,434.0,420.0,420.0,1100
2022-02-15,407.0,420.0,389.0,420.0,6700
2022-02-16,404.0,406.0,401.0,406.0,1200
2022-02-17,401.0,406.0,401.0,406.0,1000
2022-02-18,398.0,402.0,395.0,401.0,1600
2022-02-21,399.0,399.0,397.0,397.0,200
2022-02-22,389.0,391.0,387.0,391.0,2500
2022-02-24,369.0,390.0,369.0,390.0,2900
2022-02-25,367.0,375.0,366.0,369.0,2700
2022-02-28,382.0,382.0,375.0,380.0,3500
2022-03-01,380.0,384.0,380.0,384.0,600
2022-03-02,383.0,383.0,383.0,383.0,200
2022-03-03,383.0,386.0,382.0,383.0,800
2022-03-04,383.0,384.0,383.0,383.0,900
2022-03-07,366.0,387.0,358.0,387.0,5500
2022-03-08,366.0,366.0,366.0,366.0,0
2022-03-09,359.0,359.0,359.0,359.0,100
2022-03-10,363.0,363.0,360.0,360.0,700
2022-03-11,360.0,367.0,360.0,360.0,600
2022-03-14,360.0,360.0,360.0,360.0,600
2022-03-15,365.0,365.0,352.0,360.0,900
2022-03-16,368.0,368.0,360.0,365.0,1000
2022-03-17,376.0,378.0,369.0,369.0,600
2022-03-18,380.0,380.0,376.0,376.0,300
2022-03-22,380.0,380.0,380.0,380.0,100
2022-03-23,393.0,393.0,380.0,380.0,1400
2022-03-24,391.0,393.0,387.0,393.0,1500
2022-03-25,385.0,391.0,379.0,391.0,1400
2022-03-28,377.0,377.0,371.0,377.0,800
2022-03-29,382.0,390.0,381.0,382.0,2100
2022-03-30,395.0,395.0,388.0,388.0,2100
2022-03-31,388.0,389.0,384.0,388.0,3200
2022-04-01,394.0,394.0,383.0,388.0,800
2022-04-04,394.0,394.0,394.0,394.0,500
2022-04-05,392.0,397.0,392.0,397.0,500
2022-04-06,393.0,393.0,392.0,392.0,200
2022-04-07,391.0,391.0,391.0,391.0,100
2022-04-08,456.0,471.0,392.0,398.0,22500
2022-04-11,457.0,530.0,448.0,530.0,71200
2022-04-12,439.0,447.0,422.0,447.0,10900
2022-04-13,431.0,442.0,431.0,433.0,1700
2022-04-14,437.0,437.0,427.0,428.0,400
2022-04-15,429.0,432.0,429.0,432.0,900
2022-04-18,429.0,429.0,429.0,429.0,100
2022-04-19,429.0,429.0,429.0,429.0,0
2022-04-20,436.0,436.0,423.0,425.0,500
2022-04-21,436.0,436.0,436.0,436.0,0
2022-04-22,427.0,431.0,425.0,431.0,1100
2022-04-25,421.0,422.0,421.0,422.0,700
2022-04-26,423.0,454.0,423.0,454.0,1400
2022-04-27,423.0,423.0,422.0,422.0,300
2022-04-28,425.0,425.0,422.0,423.0,2400
2022-05-02,424.0,424.0,424.0,424.0,1000
2022-05-06,425.0,425.0,425.0,425.0,1800
2022-05-09,430.0,430.0,430.0,430.0,100
2022-05-10,406.0,422.0,406.0,422.0,1000
2022-05-11,430.0,440.0,414.0,414.0,800
2022-05-12,417.0,426.0,402.0,420.0,2300
2022-05-13,401.0,409.0,401.0,409.0,2800
2022-05-16,398.0,400.0,390.0,399.0,4600
2022-05-17,391.0,391.0,387.0,387.0,400
2022-05-18,387.0,388.0,382.0,385.0,2600
2022-05-19,450.0,467.0,394.0,404.0,66200
2022-05-20,412.0,472.0,409.0,464.0,29700
2022-05-23,406.0,410.0,405.0,409.0,3300
2022-05-24,408.0,408.0,406.0,406.0,800
2022-05-25,426.0,468.0,405.0,408.0,21000
2022-05-26,445.0,451.0,442.0,442.0,2900
2022-05-27,436.0,450.0,436.0,450.0,1300
2022-05-30,438.0,438.0,436.0,436.0,600
2022-05-31,441.0,446.0,440.0,446.0,700
2022-06-01,423.0,441.0,402.0,433.0,8600
2022-06-02,416.0,429.0,416.0,429.0,1000
2022-06-03,428.0,428.0,428.0,428.0,100
2022-06-06,416.0,416.0,415.0,415.0,300
2022-06-07,424.0,424.0,413.0,420.0,1800
2022-06-08,424.0,424.0,424.0,424.0,400
2022-06-09,419.0,424.0,419.0,424.0,700
2022-06-10,421.0,421.0,419.0,419.0,700
2022-06-13,421.0,421.0,413.0,417.0,1100
2022-06-14,410.0,417.0,410.0,416.0,1300
2022-06-15,416.0,419.0,411.0,415.0,1000
2022-06-16,411.0,416.0,403.0,416.0,2600
2022-06-17,405.0,410.0,404.0,409.0,2700
2022-06-20,418.0,421.0,411.0,421.0,4900
2022-06-21,412.0,419.0,411.0,418.0,2700
2022-06-22,410.0,412.0,410.0,411.0,2200
2022-06-23,425.0,428.0,410.0,410.0,2800
2022-06-24,433.0,435.0,425.0,425.0,1200
2022-06-27,432.0,432.0,432.0,432.0,200
2022-06-28,421.0,432.0,421.0,424.0,900
2022-06-29,417.0,418.0,417.0,418.0,1800
2022-06-30,420.0,420.0,412.0,412.0,2900
2022-07-01,405.0,420.0,404.0,420.0,3100
2022-07-04,410.0,411.0,407.0,407.0,1700
2022-07-05,415.0,415.0,405.0,405.0,800
2022-07-06,413.0,415.0,413.0,415.0,300
2022-07-07,414.0,415.0,413.0,413.0,2100
2022-07-08,412.0,415.0,412.0,412.0,500
2022-07-11,413.0,413.0,413.0,413.0,100
2022-07-12,416.0,421.0,416.0,421.0,2700
2022-07-13,414.0,414.0,414.0,414.0,100
2022-07-14,420.0,420.0,419.0,420.0,500
2022-07-15,425.0,431.0,423.0,423.0,2100
2022-07-19,428.0,428.0,428.0,428.0,400
2022-07-20,422.0,423.0,422.0,423.0,200
2022-07-21,432.0,434.0,423.0,423.0,800
2022-07-22,430.0,430.0,430.0,430.0,500
2022-07-25,433.0,433.0,431.0,431.0,400
2022-07-26,432.0,433.0,432.0,433.0,200
2022-07-27,434.0,434.0,433.0,433.0,800
2022-07-28,435.0,437.0,423.0,437.0,2300
2022-07-29,438.0,438.0,434.0,434.0,200
2022-08-01,438.0,439.0,438.0,438.0,1900
2022-08-02,438.0,438.0,438.0,438.0,0
2022-08-03,440.0,440.0,438.0,438.0,300
2022-08-04,433.0,446.0,433.0,437.0,1100
2022-08-05,435.0,439.0,435.0,439.0,1100
2022-08-08,414.0,438.0,413.0,438.0,6500
2022-08-09,418.0,422.0,413.0,413.0,4100
2022-08-10,424.0,428.0,417.0,417.0,1800
2022-08-12,443.0,443.0,427.0,428.0,1900
2022-08-15,424.0,424.0,422.0,423.0,3000
2022-08-16,424.0,429.0,422.0,423.0,2500
2022-08-17,425.0,431.0,425.0,430.0,1000
2022-08-18,427.0,429.0,427.0,428.0,700
2022-08-19,427.0,434.0,427.0,431.0,1000
2022-08-22,429.0,430.0,427.0,430.0,800
2022-08-23,431.0,431.0,427.0,427.0,600
2022-08-24,435.0,441.0,433.0,441.0,1600
2022-08-25,440.0,441.0,438.0,439.0,3900
2022-08-26,450.0,450.0,440.0,444.0,2400
2022-08-29,459.0,524.0,443.0,457.0,130500
2022-08-30,460.0,473.0,440.0,470.0,30000
