Price,Close,High,Low,Open,Volume
Ticker,3848.T,3848.T,3848.T,3848.T,3848.T
Date,,,,,
2022-01-04,772.5882568359375,788.4123536626977,769.7957691606268,788.4123536626977,1000
2022-01-05,772.1228637695312,772.5882783950705,760.9529127565904,760.9529127565904,1400
2022-01-06,783.7582397460938,783.7582397460938,771.6574593224605,772.1228739541388,8200
2022-01-07,766.537841796875,782.3619381059787,766.0724271995484,782.3619381059787,800
2022-01-11,766.537841796875,766.537841796875,766.537841796875,766.537841796875,0
2022-01-12,773.5191040039062,773.5191040039062,766.5378846536905,766.5378846536905,800
2022-01-13,779.1040649414062,779.5694795560667,779.1040649414062,779.5694795560667,400
2022-01-14,767.4686279296875,779.1039922100042,754.4370199357328,779.1039922100042,2000
2022-01-17,770.2611694335938,772.1228278491433,758.6258043364096,762.8145357713959,800
2022-01-18,754.4370727539062,779.56946135891,754.4370727539062,779.56946135891,3000
2022-01-19,757.6950073242188,758.6258365715458,735.3551053883696,744.6633978616401,7000
2022-01-20,757.6950073242188,770.2612021631339,745.1288124853036,745.1288124853036,2400
2022-01-21,766.537841796875,768.8649147835079,747.9212579038119,747.9212579038119,4000
2022-01-24,753.9716796875,766.0724597318673,753.9716796875,766.0724597318673,400
2022-01-25,757.6950073242188,757.6950073242188,745.5942271089671,753.9716903349106,1400
2022-01-26,749.7828979492188,757.6949459101975,744.6633375038796,744.6633375038796,1800
2022-01-27,739.5437622070312,762.814491036705,726.512154062414,762.814491036705,3600
2022-01-28,742.3362426757812,749.3174612589391,742.3362426757812,749.3174612589391,2200
2022-01-31,746.0595703125,746.0595703125,729.3046454645586,732.562547518325,1400
2022-02-01,753.9716796875,766.0724597318673,749.3175335165895,749.3175335165895,1400
2022-02-02,758.6257934570312,758.6257934570312,758.6257934570312,758.6257934570312,200
2022-02-03,761.8836669921875,765.6069836299014,760.9528378327591,765.6069836299014,600
2022-02-04,762.8145141601562,762.8145141601562,750.2483202112091,750.2483202112091,2000
2022-02-07,754.4370727539062,782.3619489816881,750.248341319739,767.003267056408,16800
2022-02-08,744.1979370117188,753.5062289067997,729.7700845743434,735.8204743061459,6000
2022-02-09,756.76416015625,758.6258186068188,744.19796561491,744.19796561491,1000
2022-02-10,753.5062255859375,757.2295423275605,753.5062255859375,757.2295423275605,600
2022-02-14,747.9212646484375,751.1791668591027,730.2355097905404,736.7513142118709,4600
2022-02-15,758.6257934570312,769.7957437901409,743.2671117490055,746.9904285267087,2000
2022-02-16,744.6633911132812,758.6258296966553,744.6633911132812,758.6258296966553,1800
2022-02-17,740.474609375,749.3174865454117,740.0091947870836,743.2670969024985,1800
2022-02-18,738.1475830078125,745.1288022670288,738.1475830078125,738.1475830078125,2400
2022-02-21,753.5062255859375,758.625786105669,737.2167148413373,737.2167148413373,1000
2022-02-22,743.26708984375,753.5062106806708,723.7196773369012,753.5062106806708,3600
2022-02-24,743.7325439453125,752.5754215016084,729.7701056985294,741.4054709041819,3400
2022-02-25,742.3362426757812,752.1099486922022,705.1030768989395,752.1099486922022,6000
2022-02-28,747.455810546875,753.506200046943,742.8016647775918,744.1979085083767,3000
2022-03-01,750.7137451171875,752.5754035055747,750.7137451171875,752.5754035055747,400
2022-03-02,753.5062255859375,753.9716401786404,743.7325191391774,750.7137380297204,6000
2022-03-03,754.4370727539062,754.4370727539062,753.5062435463135,753.9716581501099,1600
2022-03-04,741.4054565429688,754.9024799200849,740.4746273445469,741.4054565429688,1000
2022-03-07,751.64453125,751.64453125,741.4054107004644,741.4054107004644,600
2022-03-08,735.8204956054688,746.9904462028952,735.8204956054688,746.9904462028952,800
2022-03-09,744.6633911132812,748.8521226882934,731.1663671493529,731.6317817687988,1800
2022-03-10,753.0408325195312,758.1603931856097,744.663369611403,753.9716617315455,1400
2022-03-11,752.575439453125,752.575439453125,752.575439453125,752.575439453125,200
2022-03-14,741.4054565429688,752.5754069240304,731.1663353603288,752.5754069240304,1000
2022-03-15,744.6633911132812,749.3175373077393,736.2859279632568,736.2859279632568,2600
2022-03-16,749.7828979492188,749.7828979492188,741.4054354023001,741.4054354023001,400
2022-03-17,749.3175048828125,753.9716508758735,739.0783836980785,739.0783836980785,1200
2022-03-18,753.9716796875,753.9716796875,745.12880196277,745.594216579861,1400
2022-03-22,751.64453125,765.6069683630031,741.4054107004644,753.9716041021671,4200
2022-03-23,753.5062255859375,753.5062255859375,742.3362753610688,742.3362753610688,1000
2022-03-24,751.1791381835938,753.971625686135,750.24830901608,750.24830901608,3000
2022-03-25,755.3678588867188,758.6257609275117,752.5753714231819,752.5753714231819,3600
2022-03-28,748.8521118164062,754.4370871686727,747.9212825910284,754.4370871686727,2000
2022-03-29,756.2987060546875,758.1603644080528,756.2987060546875,758.1603644080528,1400
2022-03-30,770.6406860351562,773.9871406271203,753.9084130753358,753.9084130753358,1400
2022-03-31,770.6406860351562,770.6406860351562,770.6406860351562,770.6406860351562,400
2022-04-01,771.1187133789062,772.0748432157059,757.7328956637114,770.6406484605064,1000
2022-04-04,770.6406860351562,771.1187509768654,770.6406860351562,771.1187509768654,800
2022-04-05,772.0748291015625,772.0748291015625,771.596764191902,771.596764191902,1400
2022-04-06,771.5968017578125,771.5968017578125,771.5968017578125,771.5968017578125,400
2022-04-07,770.16259765625,770.16259765625,770.16259765625,770.16259765625,600
2022-04-08,773.5090942382812,773.5090942382812,770.1626395660514,770.1626395660514,1000
2022-04-11,774.4652099609375,774.4652099609375,764.4258461281106,774.4652099609375,1400
2022-04-12,773.031005859375,773.5090707980636,771.5968110433093,771.5968110433093,800
2022-04-13,773.031005859375,781.1581098170802,758.6890576987187,771.5968110433093,1600
2022-04-14,781.1581420898438,783.5484668820403,764.903933502907,764.903933502907,1400
2022-04-15,781.1581420898438,781.1581420898438,781.1581420898438,781.1581420898438,0
2022-04-18,776.8555297851562,776.8555297851562,776.8555297851562,776.8555297851562,400
2022-04-19,776.8555297851562,776.8555297851562,776.8555297851562,776.8555297851562,0
2022-04-20,776.8555297851562,776.8555297851562,776.8555297851562,776.8555297851562,200
