Price,Close,High,Low,Open,Volume
Ticker,3908.T,3908.T,3908.T,3908.T,3908.T
Date,,,,,
2022-01-04,441.0,484.0,409.0,410.0,41400
2022-01-05,446.0,461.0,440.0,461.0,8900
2022-01-06,433.0,436.0,431.0,431.0,3300
2022-01-07,424.0,439.0,406.0,431.0,4200
2022-01-11,433.0,440.0,420.0,440.0,4200
2022-01-12,429.0,441.0,426.0,441.0,1900
2022-01-13,445.0,445.0,429.0,429.0,500
2022-01-14,430.0,430.0,428.0,429.0,1300
2022-01-17,426.0,440.0,425.0,430.0,2100
2022-01-18,409.0,428.0,409.0,425.0,2500
2022-01-19,401.0,411.0,400.0,410.0,11300
2022-01-20,409.0,412.0,401.0,405.0,5300
2022-01-21,409.0,424.0,407.0,424.0,2800
2022-01-24,407.0,413.0,402.0,413.0,1400
2022-01-25,390.0,403.0,390.0,402.0,14700
2022-01-26,400.0,406.0,394.0,406.0,2900
2022-01-27,406.0,406.0,390.0,401.0,3800
2022-01-28,392.0,406.0,392.0,406.0,1900
2022-01-31,397.0,404.0,391.0,391.0,2600
2022-02-01,426.0,427.0,399.0,399.0,8300
2022-02-02,436.0,482.0,434.0,458.0,62300
2022-02-03,433.0,441.0,431.0,440.0,10600
2022-02-04,422.0,439.0,422.0,439.0,3800
2022-02-07,426.0,435.0,425.0,434.0,4100
2022-02-08,420.0,438.0,420.0,428.0,4400
2022-02-09,424.0,436.0,420.0,421.0,4400
2022-02-10,429.0,448.0,425.0,448.0,7900
2022-02-14,432.0,432.0,421.0,421.0,2900
2022-02-15,430.0,432.0,426.0,432.0,3000
2022-02-16,420.0,438.0,416.0,430.0,7300
2022-02-17,425.0,435.0,418.0,428.0,3700
2022-02-18,429.0,433.0,426.0,433.0,2200
2022-02-21,435.0,435.0,429.0,429.0,1800
2022-02-22,432.0,443.0,432.0,435.0,3600
2022-02-24,425.0,435.0,425.0,433.0,2100
2022-02-25,434.0,438.0,423.0,438.0,1800
2022-02-28,421.0,438.0,420.0,434.0,2100
2022-03-01,436.0,437.0,422.0,422.0,7600
2022-03-02,438.0,439.0,433.0,439.0,2000
2022-03-03,445.0,445.0,439.0,439.0,2900
2022-03-04,447.0,447.0,422.0,447.0,2700
2022-03-07,436.0,441.0,436.0,441.0,2200
2022-03-08,429.0,436.0,429.0,436.0,1200
2022-03-09,435.0,437.0,435.0,437.0,2200
2022-03-10,432.0,437.0,429.0,434.0,2800
2022-03-11,417.0,437.0,417.0,433.0,4200
2022-03-14,421.0,422.0,421.0,422.0,1500
2022-03-15,408.0,422.0,406.0,421.0,2200
2022-03-16,418.0,421.0,415.0,415.0,1600
2022-03-17,423.0,426.0,419.0,419.0,1300
2022-03-18,417.0,426.0,417.0,420.0,3100
2022-03-22,423.0,426.0,416.0,416.0,2600
2022-03-23,433.0,439.0,426.0,439.0,1600
2022-03-24,423.0,433.0,423.0,433.0,1300
2022-03-25,429.0,431.0,423.0,423.0,1600
2022-03-28,427.0,436.0,427.0,436.0,1700
2022-03-29,427.0,430.0,424.0,424.0,600
2022-03-30,418.0,435.0,418.0,435.0,2400
2022-03-31,430.0,430.0,410.0,410.0,900
2022-04-01,432.0,432.0,432.0,432.0,400
2022-04-04,442.0,442.0,436.0,436.0,1000
2022-04-05,447.0,449.0,439.0,449.0,1400
2022-04-06,438.0,450.0,423.0,423.0,1000
2022-04-07,436.0,449.0,425.0,425.0,1000
2022-04-08,450.0,460.0,450.0,450.0,2700
2022-04-11,448.0,450.0,426.0,426.0,1100
2022-04-12,451.0,451.0,447.0,448.0,500
2022-04-13,450.0,451.0,441.0,451.0,2600
2022-04-14,468.0,470.0,445.0,445.0,5300
2022-04-15,452.0,457.0,435.0,444.0,3700
2022-04-18,445.0,452.0,444.0,451.0,2500
2022-04-19,449.0,455.0,447.0,455.0,800
2022-04-20,459.0,463.0,449.0,449.0,1900
2022-04-21,445.0,453.0,445.0,453.0,300
2022-04-22,445.0,445.0,445.0,445.0,0
2022-04-25,456.0,456.0,445.0,453.0,1000
2022-04-26,452.0,456.0,448.0,456.0,1500
2022-04-27,448.0,458.0,448.0,448.0,1600
2022-04-28,448.0,449.0,448.0,449.0,800
2022-05-02,444.0,449.0,437.0,449.0,1700
2022-05-06,427.0,436.0,426.0,436.0,3000
2022-05-09,436.0,436.0,428.0,428.0,1900
2022-05-10,443.0,443.0,431.0,443.0,1700
2022-05-11,435.0,444.0,431.0,435.0,5300
2022-05-12,409.0,420.0,396.0,420.0,4400
2022-05-13,400.0,406.0,394.0,400.0,5200
2022-05-16,406.0,407.0,406.0,407.0,600
2022-05-17,404.0,405.0,396.0,405.0,500
2022-05-18,404.0,404.0,404.0,404.0,0
2022-05-19,384.0,395.0,383.0,395.0,4500
2022-05-20,390.0,393.0,386.0,387.0,1800
2022-05-23,394.0,394.0,386.0,387.0,400
2022-05-24,389.0,390.0,386.0,386.0,1400
2022-05-25,394.0,394.0,387.0,387.0,1200
2022-05-26,400.0,405.0,400.0,404.0,2500
2022-05-27,400.0,400.0,399.0,399.0,300
2022-05-30,398.0,400.0,395.0,396.0,1200
2022-05-31,403.0,404.0,401.0,403.0,1400
2022-06-01,398.0,405.0,398.0,404.0,1800
2022-06-02,420.0,427.0,400.0,400.0,8700
2022-06-03,420.0,420.0,420.0,420.0,0
2022-06-06,408.0,419.0,406.0,406.0,700
2022-06-07,417.0,417.0,410.0,410.0,1500
2022-06-08,416.0,416.0,410.0,415.0,700
2022-06-09,416.0,416.0,415.0,415.0,300
2022-06-10,419.0,419.0,416.0,417.0,2400
2022-06-13,406.0,411.0,405.0,411.0,1100
2022-06-14,418.0,418.0,406.0,406.0,600
2022-06-15,418.0,418.0,418.0,418.0,100
2022-06-16,418.0,418.0,418.0,418.0,100
2022-06-17,406.0,416.0,406.0,416.0,600
2022-06-20,403.0,406.0,403.0,406.0,900
2022-06-21,411.0,411.0,402.0,402.0,1100
2022-06-22,404.0,405.0,404.0,405.0,400
2022-06-23,403.0,403.0,400.0,400.0,2200
2022-06-24,397.0,400.0,395.0,400.0,1400
2022-06-27,408.0,415.0,405.0,415.0,6400
2022-06-28,402.0,408.0,387.0,408.0,6700
2022-06-29,402.0,410.0,399.0,410.0,700
2022-06-30,411.0,414.0,411.0,414.0,1400
2022-07-01,400.0,403.0,400.0,403.0,1500
2022-07-04,407.0,407.0,398.0,398.0,3400
2022-07-05,401.0,407.0,399.0,399.0,800
2022-07-06,401.0,403.0,401.0,401.0,1800
2022-07-07,404.0,412.0,404.0,412.0,400
2022-07-08,400.0,411.0,400.0,411.0,2100
2022-07-11,405.0,405.0,400.0,402.0,700
2022-07-12,401.0,401.0,401.0,401.0,200
2022-07-13,406.0,414.0,406.0,409.0,800
2022-07-14,406.0,406.0,406.0,406.0,500
2022-07-15,408.0,408.0,401.0,401.0,200
2022-07-19,403.0,404.0,403.0,404.0,200
2022-07-20,413.0,413.0,403.0,403.0,900
2022-07-21,409.0,412.0,409.0,412.0,1100
2022-07-22,412.0,412.0,408.0,408.0,300
2022-07-25,413.0,413.0,412.0,412.0,300
2022-07-26,418.0,419.0,412.0,419.0,1200
2022-07-27,429.0,429.0,418.0,418.0,1300
2022-07-28,421.0,429.0,416.0,429.0,4600
2022-07-29,410.0,421.0,410.0,421.0,3600
2022-08-01,414.0,426.0,411.0,426.0,5200
2022-08-02,426.0,426.0,414.0,414.0,3000
2022-08-03,402.0,413.0,402.0,413.0,5900
2022-08-04,410.0,410.0,409.0,410.0,600
2022-08-05,405.0,408.0,405.0,405.0,1000
2022-08-08,402.0,407.0,402.0,407.0,900
2022-08-09,407.0,407.0,402.0,402.0,300
2022-08-10,393.0,408.0,390.0,408.0,10400
2022-08-12,401.0,401.0,395.0,401.0,1000
2022-08-15,395.0,401.0,395.0,399.0,1600
2022-08-16,403.0,403.0,395.0,398.0,1200
2022-08-17,398.0,403.0,397.0,403.0,600
2022-08-18,401.0,401.0,397.0,398.0,800
