Price,Close,High,Low,Open,Volume
Ticker,3915.T,3915.T,3915.T,3915.T,3915.T
Date,,,,,
2022-01-04,1753.0,1776.0,1731.0,1765.0,52600
2022-01-05,1663.0,1735.0,1651.0,1735.0,142000
2022-01-06,1590.0,1640.0,1574.0,1625.0,145100
2022-01-07,1591.0,1628.0,1540.0,1600.0,130300
2022-01-11,1579.0,1600.0,1553.0,1586.0,65400
2022-01-12,1638.0,1648.0,1598.0,1600.0,66200
2022-01-13,1577.0,1633.0,1569.0,1633.0,58600
2022-01-14,1509.0,1548.0,1481.0,1541.0,158500
2022-01-17,1530.0,1614.0,1494.0,1495.0,191800
2022-01-18,1561.0,1604.0,1493.0,1531.0,128000
2022-01-19,1467.0,1551.0,1462.0,1524.0,110500
2022-01-20,1480.0,1506.0,1450.0,1467.0,131100
2022-01-21,1520.0,1520.0,1448.0,1485.0,117900
2022-01-24,1518.0,1518.0,1445.0,1486.0,86300
2022-01-25,1446.0,1532.0,1430.0,1512.0,79600
2022-01-26,1475.0,1496.0,1434.0,1444.0,68100
2022-01-27,1335.0,1465.0,1330.0,1451.0,152000
2022-01-28,1318.0,1370.0,1302.0,1338.0,135100
2022-01-31,1418.0,1438.0,1339.0,1339.0,148900
2022-02-01,1461.0,1516.0,1439.0,1448.0,151500
2022-02-02,1552.0,1553.0,1487.0,1491.0,105000
2022-02-03,1501.0,1534.0,1481.0,1510.0,129000
2022-02-04,1519.0,1525.0,1468.0,1474.0,83800
2022-02-07,1469.0,1518.0,1452.0,1508.0,70400
2022-02-08,1495.0,1531.0,1468.0,1468.0,49700
2022-02-09,1532.0,1537.0,1494.0,1505.0,39500
2022-02-10,1583.0,1583.0,1548.0,1572.0,68500
2022-02-14,1500.0,1538.0,1492.0,1513.0,83900
2022-02-15,1464.0,1508.0,1452.0,1490.0,60300
2022-02-16,1477.0,1515.0,1466.0,1508.0,53200
2022-02-17,1429.0,1489.0,1422.0,1465.0,57200
2022-02-18,1428.0,1434.0,1367.0,1385.0,89400
2022-02-21,1428.0,1438.0,1360.0,1374.0,77500
2022-02-22,1433.0,1458.0,1388.0,1398.0,69700
2022-02-24,1472.0,1612.0,1441.0,1463.0,1503300
2022-02-25,1482.0,1558.0,1443.0,1516.0,418700
2022-02-28,1490.0,1523.0,1447.0,1470.0,162500
2022-03-01,1643.0,1661.0,1495.0,1520.0,318400
2022-03-02,1622.0,1637.0,1580.0,1607.0,169000
2022-03-03,1624.0,1670.0,1592.0,1650.0,102000
2022-03-04,1530.0,1585.0,1501.0,1580.0,133100
2022-03-07,1442.0,1495.0,1429.0,1495.0,124300
2022-03-08,1445.0,1491.0,1402.0,1415.0,98800
2022-03-09,1412.0,1477.0,1412.0,1450.0,79300
2022-03-10,1487.0,1507.0,1470.0,1472.0,69300
2022-03-11,1436.0,1478.0,1418.0,1457.0,80300
2022-03-14,1411.0,1465.0,1410.0,1420.0,63300
2022-03-15,1391.0,1402.0,1365.0,1393.0,74700
2022-03-16,1407.0,1431.0,1378.0,1421.0,49000
2022-03-17,1469.0,1486.0,1444.0,1450.0,73200
2022-03-18,1511.0,1514.0,1451.0,1451.0,50100
2022-03-22,1468.0,1510.0,1452.0,1510.0,67000
2022-03-23,1532.0,1545.0,1493.0,1497.0,63700
2022-03-24,1550.0,1550.0,1485.0,1492.0,51100
2022-03-25,1541.0,1582.0,1516.0,1577.0,60000
2022-03-28,1489.0,1505.0,1482.0,1505.0,46600
2022-03-29,1532.0,1544.0,1485.0,1488.0,69000
2022-03-30,1578.0,1583.0,1543.0,1543.0,80700
2022-03-31,1568.0,1590.0,1524.0,1524.0,70100
2022-04-01,1566.0,1568.0,1502.0,1544.0,98800
2022-04-04,1657.0,1685.0,1585.0,1591.0,131000
2022-04-05,1706.0,1731.0,1662.0,1731.0,92900
2022-04-06,1668.0,1670.0,1621.0,1670.0,88500
2022-04-07,1580.0,1665.0,1569.0,1628.0,100200
2022-04-08,1596.0,1615.0,1565.0,1593.0,53700
2022-04-11,1530.0,1596.0,1528.0,1596.0,72400
2022-04-12,1507.0,1537.0,1480.0,1491.0,87600
2022-04-13,1584.0,1588.0,1494.0,1499.0,65000
2022-04-14,1556.0,1598.0,1550.0,1584.0,94700
2022-04-15,1461.0,1481.0,1370.0,1395.0,339000
2022-04-18,1503.0,1514.0,1435.0,1461.0,125800
2022-04-19,1463.0,1500.0,1450.0,1493.0,92000
2022-04-20,1416.0,1454.0,1401.0,1454.0,117900
2022-04-21,1414.0,1460.0,1390.0,1420.0,117800
2022-04-22,1374.0,1400.0,1351.0,1394.0,128600
2022-04-25,1343.0,1371.0,1333.0,1335.0,87900
2022-04-26,1364.0,1375.0,1348.0,1360.0,77500
2022-04-27,1349.0,1355.0,1297.0,1334.0,155300
2022-04-28,1334.0,1352.0,1312.0,1335.0,61200
2022-05-02,1298.0,1326.0,1296.0,1297.0,96800
2022-05-06,1292.0,1309.0,1276.0,1299.0,88400
2022-05-09,1254.0,1280.0,1253.0,1272.0,128900
2022-05-10,1263.0,1264.0,1209.0,1232.0,115300
2022-05-11,1268.0,1285.0,1241.0,1249.0,131200
2022-05-12,1156.0,1245.0,1156.0,1243.0,157100
2022-05-13,1228.0,1230.0,1165.0,1167.0,135500
2022-05-16,1229.0,1265.0,1216.0,1256.0,102100
2022-05-17,1247.0,1244.0,1200.0,1225.0,55100
2022-05-18,1264.0,1284.0,1248.0,1268.0,58400
2022-05-19,1283.0,1290.0,1215.0,1222.0,59000
2022-05-20,1340.0,1346.0,1295.0,1298.0,94800
2022-05-23,1362.0,1378.0,1339.0,1347.0,51200
2022-05-24,1321.0,1340.0,1300.0,1340.0,49400
2022-05-25,1329.0,1350.0,1258.0,1293.0,96800
2022-05-26,1333.0,1375.0,1318.0,1318.0,55000
2022-05-27,1377.0,1385.0,1350.0,1354.0,89500
2022-05-30,1424.0,1425.0,1380.0,1383.0,100200
2022-05-31,1391.0,1434.0,1385.0,1416.0,89600
2022-06-01,1402.0,1421.0,1389.0,1421.0,112500
2022-06-02,1388.0,1389.0,1353.0,1385.0,47600
2022-06-03,1433.0,1438.0,1402.0,1414.0,77700
2022-06-06,1443.0,1443.0,1392.0,1407.0,43900
2022-06-07,1444.0,1458.0,1418.0,1441.0,45900
2022-06-08,1477.0,1477.0,1431.0,1445.0,48600
2022-06-09,1499.0,1512.0,1450.0,1465.0,60400
2022-06-10,1474.0,1481.0,1440.0,1469.0,48600
2022-06-13,1427.0,1442.0,1411.0,1425.0,70500
2022-06-14,1423.0,1428.0,1390.0,1396.0,45600
2022-06-15,1403.0,1453.0,1394.0,1430.0,40800
2022-06-16,1435.0,1457.0,1423.0,1433.0,45200
2022-06-17,1388.0,1394.0,1359.0,1375.0,59900
2022-06-20,1397.0,1406.0,1355.0,1388.0,53000
2022-06-21,1506.0,1519.0,1416.0,1427.0,155400
2022-06-22,1386.0,1495.0,1370.0,1488.0,127500
2022-06-23,1400.0,1426.0,1376.0,1378.0,56700
2022-06-24,1490.0,1508.0,1446.0,1446.0,92700
2022-06-27,1479.0,1507.0,1460.0,1500.0,43600
2022-06-28,1514.0,1514.0,1450.0,1450.0,54200
2022-06-29,1524.0,1524.0,1468.0,1497.0,52600
2022-06-30,1464.0,1524.0,1464.0,1524.0,50200
2022-07-01,1461.0,1481.0,1435.0,1462.0,52000
2022-07-04,1482.0,1490.0,1450.0,1465.0,35000
2022-07-05,1470.0,1503.0,1468.0,1484.0,49000
2022-07-06,1495.0,1513.0,1476.0,1500.0,47300
2022-07-07,1495.0,1519.0,1485.0,1502.0,47100
2022-07-08,1509.0,1544.0,1478.0,1495.0,109000
2022-07-11,1524.0,1570.0,1519.0,1549.0,47500
2022-07-12,1567.0,1572.0,1497.0,1510.0,81200
2022-07-13,1561.0,1587.0,1545.0,1560.0,56100
2022-07-14,1591.0,1591.0,1546.0,1577.0,46300
2022-07-15,1567.0,1594.0,1562.0,1568.0,74500
2022-07-19,1584.0,1678.0,1540.0,1540.0,164800
2022-07-20,1550.0,1627.0,1545.0,1610.0,67700
