Price,Close,High,Low,Open,Volume
Ticker,3926.T,3926.T,3926.T,3926.T,3926.T
Date,,,,,
2022-01-04,1871.0,1875.0,1821.0,1855.0,271400
2022-01-05,1789.0,1880.0,1764.0,1879.0,410700
2022-01-06,1671.0,1741.0,1658.0,1737.0,449500
2022-01-07,1627.0,1673.0,1601.0,1666.0,371000
2022-01-11,1632.0,1635.0,1583.0,1600.0,328600
2022-01-12,1657.0,1709.0,1636.0,1709.0,325300
2022-01-13,1567.0,1667.0,1563.0,1657.0,416000
2022-01-14,1553.0,1571.0,1526.0,1550.0,233500
2022-01-17,1561.0,1594.0,1536.0,1563.0,237900
2022-01-18,1631.0,1679.0,1529.0,1529.0,479300
2022-01-19,1572.0,1627.0,1560.0,1598.0,369300
2022-01-20,1655.0,1665.0,1555.0,1567.0,321600
2022-01-21,1748.0,1769.0,1601.0,1641.0,667700
2022-01-24,1619.0,1726.0,1601.0,1711.0,737000
2022-01-25,1448.0,1595.0,1430.0,1595.0,833300
2022-01-26,1423.0,1484.0,1417.0,1451.0,474400
2022-01-27,1409.0,1460.0,1380.0,1416.0,431000
2022-01-28,1436.0,1453.0,1362.0,1401.0,367000
2022-01-31,1507.0,1513.0,1437.0,1446.0,482300
2022-02-01,1498.0,1564.0,1488.0,1547.0,359900
2022-02-02,1617.0,1629.0,1541.0,1546.0,457800
2022-02-03,1620.0,1647.0,1574.0,1593.0,405200
2022-02-04,1632.0,1669.0,1541.0,1597.0,551800
2022-02-07,1658.0,1689.0,1532.0,1552.0,749800
2022-02-08,1788.0,1818.0,1670.0,1676.0,748900
2022-02-09,1806.0,1866.0,1740.0,1850.0,605900
2022-02-10,1857.0,1896.0,1807.0,1860.0,535500
2022-02-14,1832.0,1875.0,1770.0,1777.0,614600
2022-02-15,1907.0,2043.0,1865.0,1886.0,1114300
2022-02-16,2030.0,2030.0,1965.0,2000.0,650900
2022-02-17,2080.0,2159.0,2042.0,2043.0,921000
2022-02-18,2049.0,2062.0,1989.0,2025.0,531700
2022-02-21,1944.0,1999.0,1891.0,1999.0,517800
2022-02-22,1810.0,1918.0,1794.0,1866.0,726200
2022-02-24,1629.0,1785.0,1600.0,1755.0,828800
2022-02-25,1827.0,1835.0,1731.0,1789.0,709900
2022-02-28,1919.0,1929.0,1760.0,1850.0,862900
2022-03-01,1937.0,1996.0,1899.0,1959.0,456500
2022-03-02,1865.0,1903.0,1814.0,1877.0,432400
2022-03-03,1874.0,1979.0,1856.0,1945.0,415200
2022-03-04,1757.0,1846.0,1726.0,1794.0,553100
2022-03-07,1613.0,1673.0,1584.0,1643.0,553200
2022-03-08,1660.0,1728.0,1527.0,1550.0,853900
2022-03-09,1715.0,1774.0,1682.0,1734.0,546600
2022-03-10,1782.0,1830.0,1753.0,1795.0,479400
2022-03-11,1767.0,1840.0,1721.0,1780.0,413500
2022-03-14,1999.0,2015.0,1870.0,1886.0,1017300
2022-03-15,2098.0,2127.0,1966.0,2048.0,1056100
2022-03-16,2122.0,2192.0,2020.0,2190.0,837500
2022-03-17,2038.0,2165.0,1966.0,2148.0,966800
2022-03-18,2047.0,2070.0,1974.0,1988.0,491400
2022-03-22,2022.0,2058.0,1961.0,2025.0,299000
2022-03-23,1997.0,2053.0,1990.0,2028.0,305300
2022-03-24,2006.0,2020.0,1961.0,1983.0,275800
