Price,Close,High,Low,Open,Volume
Ticker,3985.T,3985.T,3985.T,3985.T,3985.T
Date,,,,,
2022-01-04,474.0,485.0,468.0,485.0,32900
2022-01-05,457.0,471.0,454.0,469.0,30100
2022-01-06,436.0,452.0,432.0,452.0,72100
2022-01-07,440.0,455.0,430.0,440.0,44100
2022-01-11,446.0,449.0,435.0,448.0,23000
2022-01-12,465.0,465.0,448.0,448.0,32100
2022-01-13,448.0,465.0,448.0,458.0,23300
2022-01-14,429.0,440.0,424.0,440.0,50800
2022-01-17,409.0,429.0,409.0,429.0,34300
2022-01-18,405.0,418.0,401.0,406.0,37600
2022-01-19,401.0,413.0,399.0,403.0,64200
2022-01-20,410.0,415.0,395.0,400.0,33500
2022-01-21,411.0,411.0,397.0,405.0,24600
2022-01-24,418.0,418.0,396.0,404.0,40900
2022-01-25,398.0,412.0,390.0,410.0,63100
2022-01-26,403.0,410.0,392.0,392.0,27100
2022-01-27,374.0,408.0,374.0,400.0,67200
2022-01-28,382.0,389.0,373.0,376.0,41800
2022-01-31,448.0,448.0,381.0,381.0,148400
2022-02-01,444.0,479.0,437.0,454.0,111800
2022-02-02,454.0,460.0,437.0,437.0,26500
2022-02-03,442.0,450.0,440.0,450.0,13300
2022-02-04,450.0,450.0,431.0,439.0,22300
2022-02-07,425.0,449.0,425.0,448.0,32700
2022-02-08,421.0,425.0,413.0,422.0,33000
2022-02-09,423.0,429.0,416.0,429.0,19100
2022-02-10,435.0,438.0,418.0,418.0,24600
2022-02-14,417.0,420.0,401.0,419.0,61900
2022-02-15,415.0,421.0,407.0,418.0,24700
2022-02-16,426.0,427.0,412.0,420.0,29100
2022-02-17,401.0,422.0,398.0,419.0,38500
2022-02-18,398.0,404.0,391.0,397.0,29300
2022-02-21,385.0,390.0,379.0,388.0,25700
2022-02-22,376.0,387.0,373.0,380.0,32700
2022-02-24,356.0,373.0,351.0,372.0,48600
2022-02-25,376.0,380.0,356.0,356.0,51100
2022-02-28,373.0,381.0,362.0,372.0,32300
2022-03-01,400.0,406.0,376.0,389.0,45000
2022-03-02,389.0,396.0,384.0,392.0,27900
2022-03-03,378.0,390.0,377.0,389.0,28900
2022-03-04,368.0,378.0,363.0,378.0,16900
2022-03-07,354.0,363.0,350.0,363.0,37600
2022-03-08,352.0,363.0,345.0,350.0,40100
2022-03-09,345.0,353.0,343.0,345.0,33100
2022-03-10,358.0,360.0,350.0,351.0,31000
2022-03-11,341.0,352.0,337.0,347.0,53900
2022-03-14,339.0,348.0,335.0,340.0,29800
2022-03-15,340.0,344.0,331.0,336.0,50700
2022-03-16,343.0,344.0,337.0,338.0,15000
2022-03-17,361.0,365.0,347.0,347.0,32500
2022-03-18,373.0,374.0,355.0,355.0,24900
2022-03-22,367.0,380.0,364.0,378.0,16200
2022-03-23,378.0,380.0,372.0,374.0,26700
2022-03-24,376.0,379.0,366.0,373.0,25300
2022-03-25,368.0,378.0,364.0,378.0,23300
2022-03-28,365.0,369.0,364.0,369.0,22400
2022-03-29,385.0,385.0,365.0,365.0,47900
2022-03-30,442.0,448.0,398.0,401.0,247100
2022-03-31,460.0,482.0,440.0,482.0,265200
2022-04-01,434.0,460.0,428.0,460.0,82800
2022-04-04,438.0,443.0,429.0,432.0,50900
2022-04-05,446.0,455.0,439.0,444.0,75200
2022-04-06,430.0,442.0,417.0,442.0,62700
2022-04-07,405.0,414.0,396.0,414.0,130100
2022-04-08,417.0,428.0,400.0,407.0,173600
2022-04-11,405.0,425.0,400.0,425.0,145000
2022-04-12,381.0,400.0,376.0,400.0,111700
2022-04-13,384.0,392.0,376.0,380.0,86000
2022-04-14,385.0,388.0,382.0,383.0,37500
2022-04-15,387.0,391.0,366.0,380.0,82500
2022-04-18,390.0,392.0,373.0,388.0,74200
2022-04-19,388.0,396.0,386.0,387.0,51900
2022-04-20,406.0,440.0,391.0,393.0,130400
2022-04-21,409.0,417.0,402.0,410.0,126100
2022-04-22,400.0,407.0,393.0,407.0,68800
2022-04-25,401.0,407.0,397.0,397.0,40000
2022-04-26,417.0,423.0,402.0,407.0,111900
2022-04-27,411.0,413.0,406.0,409.0,65600
2022-04-28,408.0,415.0,406.0,415.0,30100
2022-05-02,410.0,415.0,404.0,406.0,63000
2022-05-06,411.0,413.0,404.0,413.0,92200
2022-05-09,377.0,409.0,376.0,407.0,133500
2022-05-10,368.0,376.0,360.0,370.0,55700
2022-05-11,361.0,372.0,359.0,368.0,45200
2022-05-12,340.0,360.0,340.0,360.0,62800
2022-05-13,353.0,359.0,342.0,342.0,56300
2022-05-16,368.0,369.0,350.0,350.0,54200
2022-05-17,371.0,373.0,361.0,366.0,26900
2022-05-18,368.0,379.0,367.0,371.0,25100
2022-05-19,364.0,367.0,358.0,360.0,24200
2022-05-20,368.0,372.0,361.0,372.0,27000
2022-05-23,381.0,384.0,371.0,373.0,40000
2022-05-24,380.0,386.0,373.0,385.0,38800
2022-05-25,365.0,377.0,365.0,377.0,27400
2022-05-26,368.0,380.0,366.0,366.0,20200
2022-05-27,374.0,377.0,371.0,376.0,19700
2022-05-30,387.0,392.0,377.0,379.0,62100
2022-05-31,389.0,393.0,383.0,390.0,24500
2022-06-01,389.0,392.0,385.0,387.0,17200
2022-06-02,379.0,388.0,379.0,388.0,23700
2022-06-03,381.0,388.0,380.0,387.0,17800
2022-06-06,385.0,392.0,377.0,379.0,15900
2022-06-07,382.0,390.0,381.0,387.0,10400
2022-06-08,388.0,391.0,385.0,390.0,13700
2022-06-09,393.0,395.0,389.0,390.0,31600
2022-06-10,385.0,388.0,380.0,388.0,25800
2022-06-13,357.0,380.0,354.0,380.0,112000
2022-06-14,368.0,368.0,354.0,358.0,24100
2022-06-15,374.0,374.0,362.0,372.0,25200
2022-06-16,365.0,380.0,365.0,374.0,27100
2022-06-17,352.0,363.0,347.0,363.0,54700
2022-06-20,346.0,359.0,344.0,357.0,40100
2022-06-21,361.0,363.0,350.0,350.0,37200
2022-06-22,358.0,363.0,356.0,363.0,14100
2022-06-23,359.0,365.0,354.0,358.0,24600
2022-06-24,361.0,380.0,361.0,363.0,73900
2022-06-27,368.0,371.0,364.0,370.0,13600
2022-06-28,371.0,371.0,365.0,368.0,15100
2022-06-29,366.0,373.0,363.0,367.0,31000
2022-06-30,364.0,370.0,361.0,368.0,38200
2022-07-01,364.0,368.0,358.0,363.0,47700
2022-07-04,364.0,371.0,359.0,369.0,18100
2022-07-05,364.0,369.0,362.0,363.0,10000
2022-07-06,366.0,368.0,363.0,363.0,11100
2022-07-07,360.0,368.0,359.0,366.0,28300
2022-07-08,362.0,366.0,359.0,361.0,21500
2022-07-11,359.0,366.0,359.0,366.0,20200
2022-07-12,356.0,361.0,354.0,360.0,21600
2022-07-13,362.0,362.0,357.0,357.0,8100
2022-07-14,361.0,362.0,358.0,362.0,15200
2022-07-15,355.0,365.0,355.0,365.0,20500
2022-07-19,323.0,353.0,319.0,353.0,247700
2022-07-20,322.0,324.0,320.0,323.0,74000
2022-07-21,325.0,328.0,317.0,317.0,106000
2022-07-22,326.0,330.0,324.0,327.0,36500
2022-07-25,324.0,330.0,322.0,330.0,34200
2022-07-26,321.0,324.0,318.0,323.0,43300
2022-07-27,318.0,323.0,317.0,320.0,41200
2022-07-28,322.0,322.0,316.0,319.0,35000
2022-07-29,325.0,326.0,320.0,320.0,51200
2022-08-01,327.0,332.0,322.0,325.0,52500
2022-08-02,326.0,330.0,324.0,326.0,39300
2022-08-03,326.0,329.0,324.0,329.0,18100
2022-08-04,328.0,329.0,324.0,324.0,16500
2022-08-05,323.0,329.0,322.0,326.0,19600
2022-08-08,323.0,323.0,316.0,323.0,33300
2022-08-09,320.0,323.0,318.0,323.0,15900
2022-08-10,316.0,320.0,314.0,320.0,37200
2022-08-12,325.0,325.0,316.0,316.0,26000
2022-08-15,327.0,334.0,324.0,328.0,52600
2022-08-16,328.0,330.0,326.0,328.0,16100
2022-08-17,332.0,335.0,328.0,329.0,34000
2022-08-18,330.0,332.0,327.0,332.0,18500
2022-08-19,323.0,331.0,323.0,331.0,18400
2022-08-22,319.0,321.0,316.0,321.0,19800
2022-08-23,318.0,320.0,314.0,320.0,20200
2022-08-24,324.0,328.0,318.0,320.0,27900
2022-08-25,326.0,329.0,325.0,325.0,13500
2022-08-26,327.0,332.0,325.0,326.0,24400
2022-08-29,321.0,326.0,321.0,325.0,14000
2022-08-30,326.0,328.0,321.0,321.0,12200
2022-08-31,324.0,326.0,323.0,326.0,6900
2022-09-01,318.0,324.0,318.0,323.0,22000
2022-09-02,314.0,319.0,311.0,319.0,47400
2022-09-05,318.0,319.0,313.0,313.0,19100
2022-09-06,313.0,319.0,313.0,315.0,23500
2022-09-07,314.0,318.0,311.0,318.0,34300
2022-09-08,314.0,316.0,313.0,316.0,15500
2022-09-09,315.0,318.0,314.0,314.0,26700
