Price,Close,High,Low,Open,Volume
Ticker,3992.T,3992.T,3992.T,3992.T,3992.T
Date,,,,,
2022-01-04,139.95196533203125,139.95196533203125,137.87689500585617,138.7991484841562,146400
2022-01-05,136.26296997070312,139.95198438615364,135.8018431687718,139.95198438615364,240800
2022-01-06,132.11282348632812,135.3407109711599,132.11282348632812,134.8795841876125,240000
2022-01-07,134.18789672851562,134.18789672851562,130.03775559258216,132.5739529534304,149600
2022-01-11,133.0350799560547,134.87958713048872,132.80451655925043,134.18789694007594,126000
2022-01-12,145.25494384765625,145.25494384765625,138.10747835673985,139.26029537140377,830400
2022-01-13,143.41043090820312,146.17719163312023,141.56592375825838,145.25493805814787,388800
2022-01-14,144.79380798339844,144.79380798339844,141.3353571557695,142.25761070980388,226000
2022-01-17,141.10479736328125,145.94662864535462,141.10479736328125,145.2549384622013,176400
2022-01-18,139.49085998535156,142.94931105936854,139.02973317548262,140.87424041495836,163600
2022-01-19,134.41845703125,139.2602882450686,134.41845703125,138.33803468053173,294000
2022-01-20,139.95196533203125,140.64365544075628,135.57126131010605,135.57126131010605,201200
2022-01-21,140.1825408935547,140.1825408935547,136.49352665951378,138.33803377653422,127600
2022-01-24,139.26028442382812,139.9519745782511,137.41577734536682,139.72141119344343,111200
2022-01-25,135.11013793945312,140.413095571889,133.72675768751333,140.413095571889,252400
2022-01-26,134.41845703125,136.26296416032375,133.03507668444468,134.41845703125,115200
2022-01-27,130.7294464111328,134.6490241694913,129.57662942338033,133.7267705792893,240800
2022-01-28,131.8822479248047,133.72675488878798,130.0377409608214,132.3433746658005,130400
2022-01-31,135.34071350097656,136.72409387747717,133.26564293622565,133.26564293622565,151200
2022-02-01,135.80184936523438,138.79917371455196,134.4184688963186,136.95466642266422,153200
2022-02-02,139.02972412109375,139.26028751101265,135.57127327231032,136.7240902219048,108000
2022-02-03,137.64634704589844,138.56860062744548,136.03240327819108,137.8769104412852,160800
2022-02-04,141.10479736328125,141.10479736328125,136.26296608120788,138.10747323628345,147200
2022-02-07,140.87423706054688,141.1048004599913,138.79916646554702,141.1048004599913,132000
2022-02-08,140.1825408935547,141.79648462094758,139.49085072467201,141.1047944520649,130800
2022-02-09,138.79916381835938,141.10479776883045,137.1852200530296,141.10479776883045,118400
2022-02-10,141.33535766601562,142.02704783403854,139.0297237726059,140.41310410865174,138800
2022-02-14,143.6409912109375,146.17718848753512,143.1798644333743,145.2549349324087,350400
2022-02-15,141.10479736328125,143.64099470151015,140.8742339688968,143.64099470151015,169200
2022-02-16,142.2576141357422,143.41043110604804,141.3353605594975,143.41043110604804,110400
2022-02-17,139.72142028808594,141.79649088642384,139.2602934884553,141.10480068697788,160400
2022-02-18,140.1825408935547,140.87423106243736,137.18521682839645,137.18521682839645,137200
2022-02-21,140.1825408935547,141.33535784169246,138.33803377653422,139.0297239454169,90000
2022-02-22,139.26028442382812,141.33535488709708,138.33803088459746,139.9519745782511,126400
2022-02-24,135.34071350097656,139.72141802656185,134.64902331272626,139.26029123439497,230400
2022-02-25,141.10479736328125,142.02705094081904,137.4157830531301,137.64634644751456,228000
2022-02-28,141.79647827148438,142.48816840939406,140.18253461636178,141.1047881335747,140400
2022-03-01,145.48550415039062,145.48550415039062,142.48817997613534,142.48817997613534,280000
2022-03-02,146.1772003173828,146.8688905397048,143.64100283553546,145.48551009506082,223200
2022-03-03,143.41043090820312,146.17719163312023,142.48817733323077,146.17719163312023,178800
2022-03-04,142.71875,144.1021304523425,140.41311591276252,143.41044022617123,129600
2022-03-07,141.10479736328125,142.71874112397236,138.3380366306679,139.72141699697457,222000
2022-03-08,136.49354553222656,140.87425054086222,135.34072842469087,137.64636263976226,271200
2022-03-09,138.33802795410156,140.8742251332601,136.49352091471354,136.49352091471354,202400
2022-03-10,143.17987060546875,143.4104340041893,140.413109820822,140.413109820822,210000
2022-03-11,147.7911376953125,148.48282788733425,140.87423577509506,140.87423577509506,415600
2022-03-14,147.0994415283203,152.40239945175506,146.8688781403449,148.71338524414827,340000
2022-03-15,153.78578186035156,153.78578186035156,144.5632462165524,145.94662656312227,338400
2022-03-16,154.70803833007812,158.62761605230068,153.78578474837872,154.47747493465326,323600
2022-03-17,155.6302947998047,157.93592879683882,152.17184380425348,157.01367519802517,242800
2022-03-18,154.4774627685547,155.1691529003542,151.9412656186232,153.3246458822222,155200
2022-03-22,155.16915893554688,155.16915893554688,153.09408845944,154.93859554931277,118800
2022-03-23,154.9385986328125,156.32197897774833,154.01634506952195,155.63028880528043,247200
2022-03-24,156.5525360107422,156.7830993922013,153.09408528885538,153.09408528885538,128800
2022-03-25,155.86085510253906,156.78310868302745,153.55522115131805,156.78310868302745,135600
2022-03-28,154.4774627685547,155.8608430321537,153.5552092594887,155.8608430321537,77200
2022-03-29,151.4801483154297,156.0914161484717,151.4801483154297,155.3997259735154,148000
2022-03-30,155.6302947998047,156.09142159921151,151.94128040455007,151.94128040455007,146800
2022-03-31,153.78578186035156,156.32197916239636,153.3246550781616,155.39972559801643,140000
2022-04-01,157.24423217773438,157.70535895831424,153.09409115251557,154.01634471367532,146000
2022-04-04,162.54718017578125,162.54718017578125,156.5525323962489,157.24422252465646,194800
2022-04-05,162.31663513183594,163.70001554489136,160.70269131660461,162.31663513183594,217200
2022-04-06,162.31663513183594,163.00832533836365,159.3193109035492,161.85550832748413,166400
2022-04-07,160.01100158691406,161.85550880981796,159.3193113783251,160.01100158691406,166000
2022-04-08,160.93324279785156,163.23887664882363,160.24155264255992,160.24155264255992,168800
2022-04-11,157.24423217773438,160.47211964179346,157.01366878744446,159.78042947092365,104800
2022-04-12,156.3219757080078,158.85817295400796,154.93859539200776,156.78310248000784,104400
2022-04-13,154.24691772460938,156.7831151759856,153.09410070125654,156.3219883666445,190000
2022-04-14,158.62762451171875,158.85818791943927,155.16917339591095,156.55255384223406,96400
2022-04-15,157.4748077392578,157.93593455547818,155.63030047437633,157.93593455547818,85600
2022-04-18,156.3219757080078,158.85817295400796,155.39972216400776,155.86084893600778,112800
2022-04-19,156.5525360107422,157.24422615511955,154.93859234052834,157.01366277366043,71200
2022-04-20,154.016357421875,157.47480856158776,153.09410378461826,156.55255492433102,142800
2022-04-21,149.63563537597656,154.0163396473842,149.63563537597656,154.0163396473842,154000
2022-04-22,150.09677124023438,150.55789803359914,147.33001048004573,147.5605738767281,176000
2022-04-25,151.2495880126953,151.94127820177775,147.79113706728307,149.6356442381696,93600
2022-04-26,152.6329803466797,153.55523400436354,151.2495998601539,152.17185351783775,104000
2022-04-27,156.3219757080078,156.3219757080078,149.40507412800747,150.78845444400753,280400
2022-04-28,157.4748077392578,157.4748077392578,154.24692002571518,155.8608638824865,137200
2022-05-02,157.013671875,158.6276156387665,155.16916471640968,157.24423526982378,104000
2022-05-06,157.93592834472656,158.39705514281337,156.7831113495096,158.39705514281337,74000
2022-05-09,153.5552215576172,157.24423588933172,153.5552215576172,155.63029211920662,96400
2022-05-10,156.3219757080078,157.01366586600784,151.94127137400758,152.63296153200764,100400
