Price,Close,High,Low,Open,Volume
Ticker,4082.T,4082.T,4082.T,4082.T,4082.T
Date,,,,,
2022-01-04,1180.2940673828125,1182.1368371991791,1157.25944467823,1171.0802183009796,94100
2022-01-05,1170.1588134765625,1180.294047294076,1158.1808098740466,1177.5298926165724,65900
2022-01-06,1144.3602294921875,1162.7879304501937,1136.989149108985,1143.438844444287,68200
2022-01-07,1128.6966552734375,1158.1809760642539,1114.8758799027423,1144.3602006935587,71900
2022-01-11,1106.5833740234375,1121.3255338772053,1093.6839841513909,1112.1116839686003,66500
2022-01-12,1139.7530517578125,1144.3599759767203,1121.3253548821808,1121.3253548821808,75400
2022-01-13,1137.9105224609375,1154.495453152676,1123.168361846059,1136.0677523840777,59000
2022-01-14,1110.2689208984375,1124.0896958473807,1097.3695309460904,1115.7972308780147,90000
2022-01-17,1087.2342529296875,1117.6399566133143,1084.4700980493578,1110.2688769324352,54600
2022-01-18,1076.1776123046875,1100.1336207977713,1071.570687594479,1087.2342316091876,65500
2022-01-19,1016.28759765625,1058.6713052647608,1014.4448277602278,1054.0643805247053,100200
2022-01-20,1036.5579833984375,1043.929062391493,1012.6019766710069,1016.2875161675347,85600
2022-01-21,1030.108642578125,1030.108642578125,1006.1526276344476,1018.1306351062864,68200
2022-01-24,1034.71533203125,1042.0864118676259,1004.3096277061999,1015.3662474607636,77700
2022-01-25,990.4888305664062,1041.1650032930597,984.9605208144077,1040.2436183343932,77900
2022-01-26,1001.5455322265625,1020.894617945751,987.7247567128566,988.6461417471036,64300
2022-01-27,958.2403564453125,1011.6806840163011,947.1837369478666,1011.6806840163011,83400
2022-01-28,997.8599243164062,997.8599243164062,964.6900653363596,966.5328352796955,60300
2022-01-31,997.8599243164062,1012.6020838630938,987.7246896280586,998.7813092880742,61300
2022-02-01,992.3316040039062,1027.344232557433,986.8032942322967,1020.8945378238886,68300
2022-02-02,1038.4010009765625,1043.0079264467336,999.7028270271254,999.7028270271254,68200
2022-02-03,1017.208984375,1038.4008382161458,1008.9165198284647,1038.4008382161458,62300
2022-02-04,1037.4796142578125,1043.0079248133604,1010.7594465726646,1015.3663720356211,46600
2022-02-07,1050.37890625,1063.2782963267543,1040.243671189693,1050.37890625,89000
2022-02-08,1036.5579833984375,1061.435375,1022.7372102864583,1054.0642960069445,125800
2022-02-09,1057.75,1065.121080139373,1031.9512195121952,1054.9858449477354,83900
2022-02-10,1068.806640625,1078.9418760102371,1053.1430950296337,1070.6494106950431,127300
2022-02-14,962.847412109375,984.0392690266149,950.8694060257178,973.9040331096741,247200
2022-02-15,928.756103515625,965.6115044487848,927.834718492296,963.7687344021267,186600
2022-02-16,961.9258422851562,971.1396913491903,945.340913969895,952.7119932211223,134300
2022-02-17,934.2843627929688,968.3756068002073,934.2843627929688,964.6900669075328,69300
2022-02-18,926.9132690429688,935.205733676554,914.0138796129473,925.9918840836815,85200
2022-02-21,910.3283081054688,916.7780025960946,896.5075341969849,915.8566176688623,82000
2022-02-22,886.3723754882812,901.1145355795625,882.686835465461,894.664840539627,102800
2022-02-24,898.3504028320312,898.3504028320312,878.0799322040265,879.9227022611178,86200
2022-02-25,939.8126831054688,942.5768380557789,907.564208685183,925.9919083539177,118000
2022-02-28,933.3629150390625,938.8912245062238,918.6207564599657,938.8912245062238,91900
2022-03-01,916.7780151367188,927.8346344147495,916.7780151367188,921.3849398358982,122100
2022-03-02,888.215087890625,902.9572470257391,887.2937029446804,899.2717072419606,93800
2022-03-03,921.3849487304688,926.9132584228515,901.1144798583985,902.0358648071289,111400
2022-03-04,891.900634765625,926.9132629898954,890.9792498123547,925.9918780366252,125900
2022-03-07,839.3817138671875,878.0798828928976,829.2464791223587,874.3943429856871,149400
2022-03-08,808.0545654296875,839.3816523448636,801.6048710647983,811.740105066767,133900
2022-03-09,830.1678466796875,853.2024706164158,807.1332227429592,807.1332227429592,111500
2022-03-10,876.2371215820312,876.2371215820312,853.2024969347644,857.8094218642178,108500
2022-03-11,852.2811279296875,873.4729830025337,843.0672778980152,861.4949779613597,71600
2022-03-14,860.5735473632812,875.3157066328878,847.6741580023756,866.1018570893838,75900
2022-03-15,891.900634765625,903.8786391581386,867.0232410273277,874.3943206534899,93400
2022-03-16,893.7434692382812,903.8787044564473,887.2937740994482,902.957319436614,84100
2022-03-17,916.7780151367188,924.1490946554059,903.8786259790161,914.9352452570469,114300
2022-03-18,935.2057495117188,942.5768293108259,912.171125139509,921.3849748883929,184800
2022-03-22,926.9132690429688,940.7340434322774,919.5421893686708,921.3849592872452,98800
2022-03-23,934.2843627929688,949.0265223636665,923.2277431149455,949.0265223636665,105800
2022-03-24,950.8693237304688,950.8693237304688,916.7780785967212,921.3850036147952,78200
2022-03-25,963.768798828125,966.5329540828902,945.3410971296905,961.9260286582816,127900
2022-03-28,935.2057495117188,959.1617588588169,931.5202096121652,959.1617588588169,51500
2022-03-29,944.4196166992188,944.4196166992188,925.9919168611851,944.4196166992188,61600
2022-03-30,962.098388671875,966.7507019633251,942.5586728477847,953.7242247472649,72200
2022-03-31,941.6282348632812,956.5156377860209,938.8368468152676,950.0023990073223,63700
2022-04-01,936.04541015625,939.7672606936505,922.0884706409978,939.7672606936505,48000
2022-04-04,948.1414794921875,950.9328675574245,933.2540764775898,940.6977779848887,45900
2022-04-05,947.2109375,958.3764888261296,941.6281618369352,955.5851009945973,41400
2022-04-06,925.810302734375,942.558629819017,925.810302734375,940.6977045873901,55200
2022-04-07,906.2706298828125,915.5752564729852,896.0355406336226,915.5752564729852,69600
2022-04-08,927.6712646484375,929.53218995365,898.8269224176436,907.2010862910998,82900
2022-04-11,895.1051025390625,908.1315801227911,883.009087639886,907.2011174382391,167900
2022-04-12,855.09521484375,881.1481702470415,855.09521484375,881.1481702470415,165300
2022-04-13,880.2177124023438,880.2177124023438,855.0952195536511,855.0952195536511,96000
