Price,Close,High,Low,Open,Volume
Ticker,4170.T,4170.T,4170.T,4170.T,4170.T
Date,,,,,
2022-01-04,610.0,614.0,582.0,605.0,189600
2022-01-05,574.0,615.0,560.0,610.0,277400
2022-01-06,534.0,559.0,518.0,558.0,254700
2022-01-07,524.0,548.0,510.0,540.0,209600
2022-01-11,518.0,523.0,501.0,521.0,95600
2022-01-12,521.0,537.0,512.0,518.0,156000
2022-01-13,478.0,515.0,475.0,512.0,378200
2022-01-14,458.0,468.0,445.0,460.0,291200
2022-01-17,447.0,467.0,447.0,454.0,178700
2022-01-18,448.0,466.0,435.0,445.0,234600
2022-01-19,434.0,453.0,426.0,443.0,167500
2022-01-20,445.0,458.0,426.0,426.0,132500
2022-01-21,437.0,441.0,423.0,433.0,155200
2022-01-24,445.0,448.0,423.0,435.0,104100
2022-01-25,419.0,456.0,415.0,453.0,169100
2022-01-26,423.0,429.0,410.0,418.0,162800
2022-01-27,399.0,432.0,393.0,423.0,200000
2022-01-28,390.0,405.0,377.0,402.0,193100
2022-01-31,411.0,414.0,396.0,396.0,193500
2022-02-01,424.0,446.0,415.0,427.0,141400
2022-02-02,434.0,442.0,420.0,421.0,162500
2022-02-03,423.0,433.0,413.0,428.0,150400
2022-02-04,423.0,426.0,408.0,420.0,84500
2022-02-07,410.0,428.0,409.0,426.0,104800
2022-02-08,408.0,427.0,408.0,417.0,116300
2022-02-09,425.0,427.0,409.0,414.0,92400
2022-02-10,429.0,439.0,423.0,433.0,91200
2022-02-14,397.0,426.0,395.0,426.0,257600
2022-02-15,410.0,442.0,402.0,402.0,349900
2022-02-16,409.0,434.0,400.0,434.0,194500
2022-02-17,388.0,404.0,382.0,404.0,300700
2022-02-18,377.0,387.0,368.0,380.0,305400
2022-02-21,357.0,369.0,352.0,369.0,239600
2022-02-22,337.0,357.0,330.0,350.0,443300
2022-02-24,326.0,338.0,326.0,335.0,305900
2022-02-25,358.0,359.0,340.0,342.0,364200
2022-02-28,359.0,371.0,349.0,355.0,299200
2022-03-01,399.0,400.0,370.0,373.0,430300
2022-03-02,377.0,392.0,368.0,387.0,305900
2022-03-03,369.0,396.0,365.0,391.0,273200
2022-03-04,353.0,365.0,349.0,359.0,273600
2022-03-07,337.0,345.0,330.0,342.0,247500
2022-03-08,337.0,358.0,329.0,330.0,275400
2022-03-09,341.0,364.0,340.0,342.0,205100
2022-03-10,350.0,361.0,348.0,361.0,191900
2022-03-11,331.0,345.0,328.0,343.0,178400
2022-03-14,335.0,341.0,327.0,335.0,140400
2022-03-15,325.0,330.0,313.0,327.0,246800
2022-03-16,345.0,355.0,331.0,341.0,311100
2022-03-17,372.0,372.0,356.0,360.0,330100
2022-03-18,375.0,378.0,367.0,367.0,189100
2022-03-22,363.0,385.0,359.0,383.0,266000
2022-03-23,391.0,398.0,371.0,371.0,420300
2022-03-24,390.0,391.0,370.0,380.0,352400
2022-03-25,389.0,410.0,382.0,398.0,237400
2022-03-28,390.0,465.0,390.0,413.0,3375600
2022-03-29,470.0,470.0,396.0,396.0,4118900
2022-03-30,550.0,550.0,483.0,520.0,5923600
2022-03-31,650.0,650.0,600.0,610.0,4153100
2022-04-01,630.0,700.0,578.0,651.0,12566600
2022-04-04,530.0,604.0,530.0,600.0,3163900
2022-04-05,630.0,630.0,533.0,560.0,4468100
2022-04-06,730.0,730.0,656.0,670.0,7886300
2022-04-07,609.0,730.0,605.0,725.0,3794100
2022-04-08,610.0,683.0,606.0,609.0,2285100
2022-04-11,555.0,588.0,542.0,580.0,966000
2022-04-12,554.0,588.0,547.0,573.0,930500
2022-04-13,549.0,574.0,542.0,557.0,408800
2022-04-14,590.0,633.0,560.0,565.0,2091100
2022-04-15,576.0,598.0,560.0,562.0,487800
2022-04-18,573.0,585.0,547.0,557.0,362700
2022-04-19,579.0,602.0,569.0,597.0,385800
2022-04-20,590.0,613.0,575.0,589.0,599800
2022-04-21,566.0,584.0,552.0,582.0,450900
2022-04-22,500.0,562.0,495.0,562.0,1072400
2022-04-25,491.0,508.0,485.0,485.0,491700
2022-04-26,454.0,486.0,444.0,483.0,858500
2022-04-27,447.0,467.0,434.0,454.0,484500
2022-04-28,440.0,445.0,427.0,437.0,306000
2022-05-02,430.0,439.0,425.0,432.0,193500
2022-05-06,414.0,427.0,413.0,423.0,130100
2022-05-09,397.0,415.0,393.0,414.0,188800
2022-05-10,410.0,416.0,394.0,395.0,194100
2022-05-11,401.0,425.0,398.0,413.0,176700
2022-05-12,366.0,395.0,365.0,395.0,337100
2022-05-13,395.0,411.0,376.0,381.0,256900
2022-05-16,475.0,475.0,440.0,456.0,661700
2022-05-17,498.0,520.0,420.0,452.0,2338000
2022-05-18,493.0,535.0,484.0,515.0,1863600
2022-05-19,454.0,475.0,450.0,469.0,661000
2022-05-20,445.0,460.0,433.0,453.0,290900
2022-05-23,447.0,464.0,438.0,445.0,407500
2022-05-24,420.0,447.0,420.0,443.0,320500
2022-05-25,402.0,415.0,400.0,407.0,275700
2022-05-26,482.0,482.0,400.0,400.0,338400
2022-05-27,457.0,549.0,455.0,526.0,5122300
2022-05-30,537.0,537.0,457.0,465.0,1556100
2022-05-31,546.0,635.0,522.0,539.0,7497200
2022-06-01,559.0,587.0,523.0,541.0,2407300
2022-06-02,514.0,580.0,507.0,558.0,1346100
2022-06-03,500.0,545.0,498.0,529.0,827400
2022-06-06,486.0,509.0,485.0,501.0,432100
2022-06-07,505.0,530.0,488.0,490.0,630800
2022-06-08,514.0,518.0,493.0,506.0,362000
2022-06-09,499.0,532.0,498.0,511.0,594100
2022-06-10,479.0,495.0,475.0,495.0,327500
2022-06-13,450.0,472.0,450.0,467.0,359500
2022-06-14,457.0,461.0,429.0,443.0,378100
2022-06-15,450.0,457.0,443.0,455.0,228900
2022-06-16,425.0,471.0,425.0,466.0,346300
2022-06-17,416.0,428.0,412.0,414.0,244800
2022-06-20,410.0,424.0,400.0,421.0,192500
2022-06-21,424.0,444.0,414.0,417.0,177200
2022-06-22,408.0,454.0,408.0,428.0,300500
2022-06-23,419.0,426.0,403.0,403.0,107900
2022-06-24,426.0,438.0,420.0,425.0,121800
