Price,Close,High,Low,Open,Volume
Ticker,4173.T,4173.T,4173.T,4173.T,4173.T
Date,,,,,
2022-01-04,1252.0,1289.0,1223.0,1289.0,39700
2022-01-05,1192.0,1232.0,1191.0,1231.0,53000
2022-01-06,1124.0,1169.0,1122.0,1169.0,61100
2022-01-07,1146.0,1202.0,1109.0,1154.0,59300
2022-01-11,1130.0,1176.0,1111.0,1176.0,90400
2022-01-12,1199.0,1212.0,1079.0,1100.0,122500
2022-01-13,1128.0,1183.0,1120.0,1183.0,43600
2022-01-14,1074.0,1109.0,1059.0,1102.0,77700
2022-01-17,1026.0,1082.0,1026.0,1064.0,56700
2022-01-18,1034.0,1073.0,1008.0,1043.0,36800
2022-01-19,964.0,1025.0,960.0,1004.0,71800
2022-01-20,1007.0,1021.0,959.0,964.0,65100
2022-01-21,986.0,996.0,958.0,969.0,57700
2022-01-24,962.0,970.0,934.0,958.0,64300
2022-01-25,874.0,946.0,874.0,940.0,102100
2022-01-26,889.0,902.0,844.0,876.0,83000
2022-01-27,810.0,893.0,801.0,893.0,121700
2022-01-28,803.0,830.0,793.0,825.0,62300
2022-01-31,867.0,883.0,805.0,805.0,57500
2022-02-01,901.0,935.0,882.0,882.0,52300
2022-02-02,961.0,969.0,903.0,905.0,50200
2022-02-03,916.0,943.0,909.0,931.0,41700
2022-02-04,948.0,955.0,905.0,905.0,33400
2022-02-07,923.0,948.0,922.0,938.0,18800
2022-02-08,880.0,922.0,875.0,916.0,53900
2022-02-09,921.0,939.0,884.0,887.0,42100
2022-02-10,955.0,973.0,920.0,936.0,34500
2022-02-14,888.0,905.0,885.0,895.0,43200
2022-02-15,850.0,893.0,846.0,887.0,36300
2022-02-16,835.0,894.0,820.0,865.0,37200
2022-02-17,810.0,868.0,809.0,843.0,44300
2022-02-18,833.0,848.0,776.0,780.0,56400
2022-02-21,797.0,819.0,791.0,819.0,35800
2022-02-22,777.0,805.0,763.0,775.0,53100
2022-02-24,731.0,768.0,726.0,762.0,71000
2022-02-25,790.0,823.0,746.0,746.0,91000
2022-02-28,862.0,867.0,789.0,790.0,95400
2022-03-01,932.0,948.0,865.0,870.0,83400
2022-03-02,910.0,927.0,876.0,910.0,65400
2022-03-03,881.0,946.0,876.0,940.0,73200
2022-03-04,854.0,881.0,830.0,880.0,45100
2022-03-07,803.0,844.0,790.0,843.0,65500
2022-03-08,788.0,850.0,785.0,791.0,42400
2022-03-09,788.0,810.0,778.0,805.0,38800
2022-03-10,817.0,834.0,805.0,818.0,41300
2022-03-11,778.0,817.0,765.0,805.0,48800
2022-03-14,800.0,807.0,778.0,793.0,32400
2022-03-15,800.0,806.0,777.0,785.0,32500
2022-03-16,815.0,821.0,795.0,815.0,51600
2022-03-17,854.0,870.0,830.0,830.0,62100
2022-03-18,912.0,920.0,857.0,860.0,55200
2022-03-22,893.0,929.0,891.0,925.0,59700
2022-03-23,927.0,956.0,904.0,908.0,51400
2022-03-24,936.0,949.0,902.0,907.0,38700
2022-03-25,934.0,968.0,919.0,938.0,37500
2022-03-28,894.0,931.0,890.0,931.0,55500
2022-03-29,927.0,972.0,895.0,895.0,139500
2022-03-30,1015.0,1049.0,930.0,942.0,111800
2022-03-31,1006.0,1028.0,980.0,986.0,72900
2022-04-01,1009.0,1039.0,969.0,986.0,74800
2022-04-04,1050.0,1082.0,1017.0,1017.0,158600
2022-04-05,1115.0,1175.0,1010.0,1050.0,806800
2022-04-06,1120.0,1168.0,1051.0,1095.0,545500
2022-04-07,1018.0,1090.0,1013.0,1090.0,251800
2022-04-08,994.0,1029.0,955.0,1029.0,242600
2022-04-11,984.0,1030.0,971.0,1009.0,181800
2022-04-12,1031.0,1047.0,951.0,972.0,298900
2022-04-13,890.0,916.0,833.0,836.0,844900
2022-04-14,854.0,904.0,839.0,875.0,272200
2022-04-15,806.0,841.0,806.0,840.0,180200
2022-04-18,782.0,806.0,766.0,785.0,145500
2022-04-19,765.0,790.0,761.0,789.0,95600
2022-04-20,757.0,782.0,752.0,780.0,70300
2022-04-21,767.0,780.0,756.0,760.0,47400
2022-04-22,753.0,769.0,750.0,769.0,80800
2022-04-25,718.0,733.0,713.0,730.0,84800
2022-04-26,726.0,738.0,714.0,730.0,55600
2022-04-27,704.0,704.0,683.0,702.0,87100
2022-04-28,699.0,713.0,688.0,708.0,50600
2022-05-02,691.0,704.0,680.0,689.0,64200
2022-05-06,706.0,724.0,685.0,692.0,59900
2022-05-09,686.0,706.0,679.0,700.0,75700
2022-05-10,663.0,678.0,631.0,678.0,92900
2022-05-11,679.0,692.0,649.0,658.0,61700
2022-05-12,610.0,662.0,610.0,659.0,145400
2022-05-13,647.0,654.0,619.0,620.0,86900
2022-05-16,661.0,688.0,645.0,674.0,106300
2022-05-17,682.0,700.0,653.0,670.0,60000
2022-05-18,700.0,713.0,683.0,700.0,71100
2022-05-19,690.0,693.0,665.0,665.0,61400
2022-05-20,701.0,701.0,670.0,681.0,24600
2022-05-23,726.0,732.0,704.0,705.0,58600
2022-05-24,695.0,725.0,695.0,720.0,50200
2022-05-25,688.0,706.0,680.0,705.0,51900
2022-05-26,701.0,711.0,688.0,688.0,39300
2022-05-27,687.0,710.0,682.0,710.0,23000
2022-05-30,739.0,741.0,697.0,700.0,81400
2022-05-31,734.0,745.0,708.0,731.0,34900
2022-06-01,758.0,762.0,741.0,742.0,40700
2022-06-02,741.0,763.0,732.0,763.0,36000
2022-06-03,769.0,769.0,747.0,759.0,38500
2022-06-06,774.0,776.0,750.0,754.0,19900
2022-06-07,769.0,789.0,762.0,774.0,48700
2022-06-08,793.0,793.0,769.0,771.0,54500
2022-06-09,815.0,823.0,786.0,787.0,66500
2022-06-10,792.0,805.0,788.0,796.0,52100
2022-06-13,737.0,768.0,736.0,768.0,53400
2022-06-14,708.0,721.0,692.0,717.0,68200
2022-06-15,695.0,720.0,678.0,714.0,31700
2022-06-16,700.0,719.0,683.0,714.0,40200
2022-06-17,667.0,675.0,655.0,670.0,36100
2022-06-20,635.0,677.0,633.0,677.0,29900
2022-06-21,676.0,684.0,632.0,632.0,42900
2022-06-22,660.0,683.0,648.0,679.0,21000
