Price,Close,High,Low,Open,Volume
Ticker,4393.T,4393.T,4393.T,4393.T,4393.T
Date,,,,,
2022-01-04,1793.0,1804.0,1711.0,1711.0,38300
2022-01-05,1740.0,1787.0,1725.0,1768.0,28900
2022-01-06,1661.0,1740.0,1660.0,1724.0,53800
2022-01-07,1586.0,1700.0,1568.0,1669.0,97900
2022-01-11,1590.0,1620.0,1556.0,1561.0,31200
2022-01-12,1636.0,1648.0,1560.0,1605.0,37200
2022-01-13,1574.0,1625.0,1563.0,1624.0,37800
2022-01-14,1861.0,1974.0,1513.0,1542.0,787800
2022-01-17,1688.0,1891.0,1680.0,1821.0,214900
2022-01-18,1670.0,1731.0,1636.0,1688.0,68200
2022-01-19,1551.0,1670.0,1548.0,1630.0,81300
2022-01-20,1603.0,1630.0,1535.0,1544.0,56900
2022-01-21,1656.0,1679.0,1540.0,1580.0,59900
2022-01-24,1653.0,1690.0,1626.0,1651.0,35700
2022-01-25,1560.0,1656.0,1552.0,1652.0,44300
2022-01-26,1582.0,1626.0,1555.0,1565.0,26400
2022-01-27,1489.0,1618.0,1464.0,1599.0,64400
2022-01-28,1485.0,1540.0,1450.0,1519.0,40200
2022-01-31,1534.0,1577.0,1479.0,1479.0,34500
2022-02-01,1552.0,1604.0,1526.0,1534.0,29500
2022-02-02,1601.0,1612.0,1547.0,1547.0,20100
2022-02-03,1534.0,1600.0,1512.0,1600.0,31800
2022-02-04,1564.0,1750.0,1495.0,1510.0,88000
2022-02-07,1571.0,1628.0,1539.0,1564.0,25800
2022-02-08,1583.0,1612.0,1575.0,1580.0,12200
2022-02-09,1606.0,1626.0,1583.0,1601.0,17500
2022-02-10,1631.0,1650.0,1608.0,1622.0,21900
2022-02-14,1541.0,1584.0,1536.0,1570.0,35100
2022-02-15,1607.0,1619.0,1550.0,1581.0,35000
2022-02-16,1665.0,1698.0,1635.0,1635.0,41400
2022-02-17,1671.0,1684.0,1620.0,1659.0,19900
2022-02-18,1785.0,1819.0,1631.0,1648.0,69900
2022-02-21,1840.0,1885.0,1720.0,1721.0,56600
2022-02-22,1945.0,1950.0,1793.0,1844.0,78400
2022-02-24,1702.0,1945.0,1702.0,1939.0,107900
2022-02-25,1890.0,1899.0,1811.0,1822.0,51500
2022-02-28,1891.0,1968.0,1853.0,1867.0,46900
2022-03-01,2073.0,2082.0,1915.0,1927.0,137400
2022-03-02,2139.0,2160.0,2051.0,2097.0,125600
2022-03-03,2222.0,2306.0,2171.0,2239.0,154800
2022-03-04,2336.0,2400.0,2076.0,2161.0,190100
2022-03-07,2430.0,2463.0,2261.0,2301.0,165800
2022-03-08,2800.0,2843.0,2391.0,2480.0,292400
2022-03-09,2757.0,3080.0,2571.0,2998.0,412500
2022-03-10,2743.0,2878.0,2655.0,2707.0,184200
2022-03-11,2369.0,2762.0,2325.0,2665.0,372100
2022-03-14,2526.0,2600.0,2265.0,2280.0,210100
2022-03-15,2699.0,2714.0,2390.0,2496.0,223800
2022-03-16,2719.0,2775.0,2637.0,2720.0,134600
2022-03-17,2870.0,2880.0,2650.0,2713.0,185400
2022-03-18,2950.0,3050.0,2821.0,2858.0,240400
2022-03-22,2962.0,3010.0,2881.0,2900.0,98900
2022-03-23,3155.0,3200.0,2966.0,3015.0,189800
2022-03-24,3290.0,3435.0,3120.0,3125.0,250700
2022-03-25,3585.0,3600.0,3325.0,3325.0,308000
2022-03-28,3245.0,3555.0,3200.0,3525.0,288100
2022-03-29,3760.0,3920.0,3300.0,3385.0,456200
2022-03-30,4005.0,4100.0,3695.0,3830.0,559300
2022-03-31,4265.0,4280.0,3850.0,4005.0,310800
2022-04-01,3565.0,4550.0,3565.0,4235.0,989500
2022-04-04,3340.0,3890.0,3115.0,3585.0,684900
2022-04-05,3460.0,3565.0,3205.0,3345.0,332600
2022-04-06,3830.0,3895.0,3460.0,3500.0,452900
2022-04-07,3845.0,4050.0,3670.0,3850.0,488500
2022-04-08,3615.0,3930.0,3210.0,3800.0,437900
2022-04-11,3345.0,3650.0,3330.0,3650.0,182800
2022-04-12,3290.0,3525.0,3250.0,3275.0,157700
2022-04-13,3035.0,3300.0,3010.0,3220.0,292800
2022-04-14,2866.0,3195.0,2700.0,3030.0,607200
2022-04-15,3190.0,3200.0,2950.0,2966.0,469300
2022-04-18,3085.0,3225.0,3025.0,3100.0,278900
2022-04-19,2850.0,3045.0,2835.0,2984.0,161100
2022-04-20,2840.0,2948.0,2821.0,2888.0,106500
2022-04-21,3030.0,3050.0,2761.0,2876.0,162800
2022-04-22,2834.0,3130.0,2812.0,2960.0,143700
2022-04-25,2768.0,2835.0,2720.0,2734.0,116900
2022-04-26,2655.0,2800.0,2633.0,2787.0,96000
2022-04-27,3155.0,3155.0,2614.0,2638.0,200200
2022-04-28,2737.0,3120.0,2720.0,3090.0,414400
2022-05-02,2788.0,2820.0,2700.0,2784.0,87900
2022-05-06,2958.0,3085.0,2733.0,2788.0,131700
2022-05-09,2819.0,2956.0,2791.0,2911.0,92800
2022-05-10,2802.0,2833.0,2701.0,2800.0,70200
2022-05-11,2847.0,2888.0,2750.0,2752.0,41500
2022-05-12,2717.0,2890.0,2717.0,2797.0,77500
2022-05-13,2681.0,2787.0,2679.0,2720.0,78300
2022-05-16,2541.0,2760.0,2420.0,2731.0,205400
2022-05-17,2500.0,2578.0,2487.0,2562.0,43900
2022-05-18,2613.0,2720.0,2478.0,2533.0,156700
2022-05-19,2716.0,2815.0,2559.0,2581.0,130100
2022-05-20,2754.0,2820.0,2630.0,2747.0,86600
2022-05-23,2921.0,2980.0,2746.0,2784.0,133400
2022-05-24,2936.0,3170.0,2865.0,2903.0,239300
2022-05-25,3065.0,3100.0,2930.0,2939.0,144400
2022-05-26,2999.0,3175.0,2988.0,3065.0,150000
2022-05-27,2955.0,3020.0,2930.0,2989.0,62900
2022-05-30,2967.0,3020.0,2951.0,2991.0,39900
2022-05-31,2919.0,3070.0,2905.0,2995.0,80700
2022-06-01,2869.0,2917.0,2850.0,2901.0,50100
2022-06-02,2996.0,3050.0,2855.0,2879.0,147300
2022-06-03,2941.0,3025.0,2926.0,3025.0,63400
2022-06-06,2885.0,2926.0,2863.0,2900.0,60600
2022-06-07,2772.0,2868.0,2763.0,2868.0,73200
2022-06-08,2838.0,2900.0,2726.0,2772.0,80600
2022-06-09,2934.0,2935.0,2795.0,2836.0,62400
2022-06-10,2998.0,3025.0,2865.0,2929.0,91500
2022-06-13,2825.0,2944.0,2801.0,2917.0,81000
2022-06-14,2687.0,2763.0,2639.0,2725.0,96300
2022-06-15,2600.0,2665.0,2581.0,2645.0,74200
2022-06-16,2328.0,2506.0,2296.0,2470.0,230300
2022-06-17,2518.0,2585.0,2318.0,2318.0,231500
2022-06-20,2971.0,2983.0,2587.0,2615.0,302600
2022-06-21,3015.0,3115.0,2900.0,3060.0,266500
2022-06-22,2785.0,3080.0,2776.0,3020.0,168600
2022-06-23,2922.0,3030.0,2777.0,2777.0,161700
2022-06-24,2950.0,3005.0,2915.0,2930.0,66300
2022-06-27,2904.0,3000.0,2904.0,2951.0,59700
2022-06-28,3145.0,3245.0,2852.0,2885.0,339900
2022-06-29,3405.0,3525.0,3050.0,3125.0,329300
2022-06-30,3140.0,3500.0,3125.0,3460.0,244000
2022-07-01,3165.0,3300.0,3040.0,3210.0,170800
2022-07-04,3045.0,3165.0,3010.0,3160.0,77400
2022-07-05,3140.0,3225.0,2960.0,3060.0,71000
2022-07-06,3015.0,3185.0,3015.0,3170.0,66800
2022-07-07,3020.0,3090.0,2965.0,3000.0,60700
2022-07-08,3030.0,3085.0,2990.0,3025.0,52700
2022-07-11,3060.0,3160.0,3060.0,3070.0,42600
2022-07-12,3055.0,3240.0,3055.0,3150.0,129600
2022-07-13,3120.0,3180.0,3065.0,3065.0,59800
2022-07-14,3205.0,3225.0,3120.0,3120.0,73400
