Price,Close,High,Low,Open,Volume
Ticker,4629.T,4629.T,4629.T,4629.T,4629.T
Date,,,,,
2022-01-04,1217.4169921875,1217.4169921875,1217.4169921875,1217.4169921875,100
2022-01-05,1220.1900634765625,1220.1900634765625,1220.1900634765625,1220.1900634765625,400
2022-01-06,1202.626708984375,1203.5510953863613,1194.3072313664968,1203.5510953863613,1700
2022-01-07,1193.3829345703125,1210.9462775268082,1193.3829345703125,1210.9462775268082,1300
2022-01-11,1193.3829345703125,1193.3829345703125,1193.3829345703125,1193.3829345703125,0
2022-01-12,1209.0975341796875,1209.0975341796875,1209.0975341796875,1209.0975341796875,100
2022-01-13,1219.2657470703125,1219.2657470703125,1201.7024042391254,1209.0974959575199,1100
2022-01-14,1219.2657470703125,1219.2657470703125,1219.2657470703125,1219.2657470703125,0
2022-01-17,1211.87060546875,1211.87060546875,1211.87060546875,1211.87060546875,200
2022-01-18,1202.626708984375,1217.4168914161583,1202.626708984375,1217.4168914161583,300
2022-01-19,1201.7022705078125,1220.1899977463943,1201.7022705078125,1209.0973614032453,1100
2022-01-20,1204.4755859375,1204.4755859375,1204.4755859375,1204.4755859375,100
2022-01-21,1197.08056640625,1201.7024990950772,1197.08056640625,1201.7024990950772,400
2022-01-24,1197.08056640625,1197.08056640625,1197.08056640625,1197.08056640625,200
2022-01-25,1198.9293212890625,1220.190211335052,1198.9293212890625,1210.9463460976654,1300
2022-01-26,1198.9293212890625,1198.9293212890625,1198.9293212890625,1198.9293212890625,0
2022-01-27,1199.853515625,1199.853515625,1198.9291292493258,1198.9291292493258,500
2022-01-28,1215.5682373046875,1215.5682373046875,1215.5682373046875,1215.5682373046875,100
2022-01-31,1217.4169921875,1217.4169921875,1217.4169921875,1217.4169921875,100
2022-02-01,1217.4169921875,1217.4169921875,1217.4169921875,1217.4169921875,0
2022-02-02,1205.4000244140625,1205.4000244140625,1205.4000244140625,1205.4000244140625,100
2022-02-03,1216.4925537109375,1218.3413265889176,1202.6267571260864,1218.3413265889176,300
2022-02-04,1201.7022705078125,1201.7022705078125,1201.7022705078125,1201.7022705078125,300
2022-02-07,1201.7022705078125,1201.7022705078125,1201.7022705078125,1201.7022705078125,200
2022-02-08,1201.7022705078125,1201.7022705078125,1201.7022705078125,1201.7022705078125,0
2022-02-09,1192.45849609375,1192.45849609375,1192.45849609375,1192.45849609375,1500
2022-02-10,1180.4415283203125,1192.4585524927197,1180.4415283203125,1192.4585524927197,1600
2022-02-14,1180.4415283203125,1180.4415283203125,1180.4415283203125,1180.4415283203125,0
2022-02-15,1180.4415283203125,1180.4415283203125,1180.4415283203125,1180.4415283203125,0
2022-02-16,1192.45849609375,1192.45849609375,1183.2146317829458,1183.2146317829458,200
2022-02-17,1198.9293212890625,1198.9293212890625,1198.9293212890625,1198.9293212890625,600
