Price,Close,High,Low,Open,Volume
Ticker,4650.T,4650.T,4650.T,4650.T,4650.T
Date,,,,,
2022-01-04,347.0,349.0,343.0,349.0,8100
2022-01-05,355.0,357.0,350.0,350.0,12500
2022-01-06,352.0,357.0,350.0,352.0,6000
2022-01-07,352.0,357.0,352.0,355.0,4500
2022-01-11,344.0,362.0,342.0,362.0,23500
2022-01-12,348.0,349.0,344.0,344.0,3700
2022-01-13,346.0,350.0,345.0,349.0,5400
2022-01-14,348.0,348.0,344.0,346.0,4000
2022-01-17,345.0,348.0,343.0,344.0,3600
2022-01-18,346.0,350.0,344.0,345.0,2400
2022-01-19,339.0,346.0,339.0,346.0,11200
2022-01-20,344.0,345.0,337.0,338.0,3500
2022-01-21,339.0,344.0,339.0,344.0,3200
2022-01-24,339.0,343.0,337.0,339.0,6400
2022-01-25,342.0,344.0,337.0,344.0,3200
2022-01-26,340.0,342.0,338.0,342.0,11800
2022-01-27,336.0,341.0,335.0,340.0,4200
2022-01-28,336.0,342.0,336.0,336.0,10000
2022-01-31,338.0,338.0,334.0,334.0,2800
2022-02-01,338.0,340.0,338.0,338.0,2200
2022-02-02,341.0,341.0,338.0,338.0,2400
2022-02-03,340.0,341.0,337.0,337.0,2200
2022-02-04,344.0,344.0,341.0,343.0,5700
2022-02-07,346.0,346.0,342.0,344.0,2800
2022-02-08,343.0,346.0,342.0,346.0,1100
2022-02-09,343.0,346.0,343.0,344.0,2200
2022-02-10,345.0,345.0,341.0,343.0,3800
2022-02-14,345.0,347.0,341.0,341.0,3400
2022-02-15,344.0,349.0,343.0,349.0,2000
2022-02-16,345.0,348.0,344.0,345.0,1500
2022-02-17,344.0,346.0,343.0,345.0,1500
2022-02-18,347.0,348.0,343.0,346.0,3200
2022-02-21,349.0,349.0,347.0,347.0,4300
2022-02-22,348.0,349.0,347.0,349.0,1900
2022-02-24,344.0,349.0,342.0,349.0,7200
2022-02-25,350.0,350.0,347.0,348.0,6000
2022-02-28,354.0,356.0,350.0,351.0,9000
2022-03-01,358.0,358.0,354.0,354.0,4400
2022-03-02,353.0,358.0,352.0,355.0,4100
2022-03-03,354.0,357.0,353.0,357.0,1900
2022-03-04,353.0,354.0,353.0,354.0,2100
2022-03-07,352.0,354.0,344.0,354.0,9300
2022-03-08,343.0,350.0,343.0,350.0,2900
2022-03-09,342.0,343.0,341.0,343.0,4800
2022-03-10,343.0,347.0,342.0,342.0,2300
2022-03-11,345.0,346.0,343.0,346.0,2500
2022-03-14,348.0,349.0,345.0,347.0,2900
2022-03-15,345.0,349.0,341.0,345.0,14300
2022-03-16,342.0,345.0,341.0,345.0,17000
2022-03-17,342.0,344.0,340.0,343.0,11200
2022-03-18,341.0,343.0,340.0,343.0,9600
2022-03-22,339.0,342.0,339.0,341.0,15300
2022-03-23,339.0,342.0,338.0,340.0,14900
2022-03-24,339.0,340.0,336.0,338.0,16600
2022-03-25,334.0,338.0,333.0,337.0,21700
2022-03-28,338.0,338.0,330.0,336.0,37500
2022-03-29,334.0,338.0,331.0,337.0,40500
2022-03-30,310.0,316.0,298.0,302.0,70600
2022-03-31,311.0,316.0,308.0,313.0,10100
2022-04-01,312.0,312.0,308.0,312.0,7600
2022-04-04,310.0,313.0,310.0,312.0,7800
2022-04-05,309.0,312.0,307.0,312.0,9800
2022-04-06,308.0,309.0,306.0,307.0,8000
2022-04-07,308.0,308.0,305.0,308.0,7300
2022-04-08,306.0,309.0,304.0,309.0,2900
2022-04-11,304.0,306.0,303.0,304.0,6300
2022-04-12,300.0,304.0,300.0,304.0,11400
2022-04-13,302.0,302.0,300.0,301.0,8300
2022-04-14,301.0,302.0,300.0,302.0,5100
2022-04-15,302.0,303.0,302.0,303.0,2100
2022-04-18,301.0,303.0,301.0,303.0,2400
2022-04-19,302.0,303.0,301.0,302.0,1500
2022-04-20,301.0,302.0,301.0,302.0,3500
2022-04-21,301.0,302.0,300.0,301.0,6800
2022-04-22,300.0,301.0,299.0,301.0,4700
2022-04-25,298.0,300.0,297.0,300.0,6600
2022-04-26,298.0,298.0,296.0,298.0,10700
2022-04-27,301.0,301.0,295.0,297.0,9400
2022-04-28,299.0,300.0,295.0,300.0,5100
2022-05-02,299.0,301.0,296.0,297.0,4400
2022-05-06,300.0,302.0,299.0,302.0,4200
2022-05-09,301.0,301.0,299.0,300.0,2900
2022-05-10,301.0,301.0,299.0,299.0,3000
2022-05-11,300.0,302.0,299.0,301.0,3700
2022-05-12,298.0,303.0,298.0,302.0,11900
2022-05-13,297.0,299.0,297.0,299.0,3200
2022-05-16,297.0,298.0,296.0,298.0,1900
2022-05-17,295.0,297.0,294.0,296.0,4600
2022-05-18,296.0,297.0,295.0,296.0,4000
2022-05-19,295.0,296.0,293.0,293.0,2800
2022-05-20,295.0,298.0,294.0,298.0,3100
2022-05-23,296.0,296.0,294.0,295.0,2600
2022-05-24,294.0,296.0,293.0,294.0,3200
2022-05-25,293.0,296.0,293.0,296.0,3600
2022-05-26,294.0,297.0,292.0,293.0,4800
2022-05-27,296.0,296.0,292.0,294.0,3300
2022-05-30,295.0,296.0,294.0,294.0,1500
2022-05-31,294.0,297.0,291.0,291.0,17600
2022-06-01,295.0,295.0,293.0,294.0,6700
2022-06-02,293.0,295.0,293.0,295.0,5600
2022-06-03,294.0,294.0,292.0,293.0,5300
2022-06-06,294.0,296.0,294.0,294.0,2600
2022-06-07,293.0,298.0,291.0,298.0,11900
