Price,Close,High,Low,Open,Volume
Ticker,4659.T,4659.T,4659.T,4659.T,4659.T
Date,,,,,
2022-01-04,2886.571533203125,2922.7101439474523,2832.3636170866343,2832.3636170866343,3500
2022-01-05,2945.296875,2967.883507476994,2836.8810391104294,2949.8142014953987,5200
2022-01-06,2945.296875,2963.366180981595,2882.054304064417,2882.054304064417,3800
2022-01-07,2945.296875,2972.400833972393,2900.1236100460123,2945.296875,3000
2022-01-11,3035.643310546875,3049.1952896118164,2882.054214477539,2882.054214477539,15600
2022-01-12,3031.1259765625,3053.7126082805516,2954.331428721125,3035.6433029061104,15200
2022-01-13,3004.022216796875,3022.0915233640744,2967.8836036624766,3022.0915233640744,1300
2022-01-14,2976.91796875,2990.4699473634296,2868.5021398425642,2990.4699473634296,12500
2022-01-17,2931.744873046875,3013.056749340933,2909.15824074297,2976.9181376546853,3000
2022-01-18,2557.710205078125,2854.9502818957526,2557.710205078125,2854.9502818957526,31700
2022-01-19,2445.6806640625,2565.84155372645,2439.356406711766,2531.5098709653216,22900
2022-01-20,2425.804443359375,2466.460383750873,2420.383651307175,2420.383651307175,2600
2022-01-21,2470.977783203125,2518.8614477405167,2401.410949818613,2424.9010494029935,4100
2022-01-24,2502.598876953125,2502.598876953125,2426.7077918758464,2426.7077918758464,1900
2022-01-25,2449.29443359375,2511.6335394284856,2431.225127554696,2502.5988864089586,3300
2022-01-26,2421.286865234375,2449.2942879292505,2382.4378595608387,2449.2942879292505,5700
2022-01-27,2414.962890625,2425.80447487023,2382.43813788931,2382.43813788931,4700
2022-01-28,2412.252197265625,2412.252197265625,2374.3066570839187,2382.437844265713,5700
2022-01-31,2355.333984375,2412.252297000863,2355.333984375,2412.252297000863,4600
2022-02-01,2364.36865234375,2400.507263766658,2364.36865234375,2400.507263766658,1600
2022-02-02,2385.148193359375,2385.148193359375,2340.8783973462655,2355.3338409423827,3700
2022-02-03,2358.94775390625,2404.1210161411454,2358.94775390625,2404.1210161411454,1100
2022-02-04,2367.0791015625,2367.0791015625,2357.1409831971614,2358.947913809041,500
2022-02-07,2361.658203125,2375.210182102381,2359.8512725946825,2367.0789947159524,2800
2022-02-08,2352.623779296875,2375.21041312269,2351.7203139438425,2353.5272446499075,1700
2022-02-09,2331.843994140625,2367.07914166929,2330.940528819377,2338.1682513893597,4600
2022-02-10,2331.843994140625,2375.2103295605207,2330.940528819377,2331.843994140625,2100
2022-02-14,2290.284423828125,2321.9057077863044,2290.284423828125,2321.9057077863044,5600
2022-02-15,2292.091552734375,2321.905908761271,2290.2846220660786,2290.2846220660786,4100
2022-02-16,2272.215087890625,2311.967558613165,2272.215087890625,2303.836371419918,3700
2022-02-17,2271.311767578125,2301.126122522468,2262.277114564688,2262.277114564688,2000
2022-02-18,2231.55908203125,2258.663038493168,2223.4278950926746,2258.663038493168,6100
2022-02-21,2223.427978515625,2236.0764920057586,2223.427978515625,2231.559165759282,1600
2022-02-22,2189.0966796875,2221.621434317607,2186.3862834683246,2221.621434317607,1700
2022-02-24,2166.509765625,2229.7523359309844,2166.509765625,2184.57907142671,4900
2022-02-25,2145.730224609375,2190.0000271381577,2142.116363178454,2168.3168585526314,6800
2022-02-28,2150.247314453125,2199.937903652672,2123.1433567079175,2145.729988162257,6500
2022-03-01,2148.4404296875,2168.3166657905804,2148.4404296875,2168.3166657905804,3700
2022-03-02,2167.413330078125,2168.3167954095456,2149.344023449712,2149.344023449712,2100
