Price,Close,High,Low,Open,Volume
Ticker,4687.T,4687.T,4687.T,4687.T,4687.T
Date,,,,,
2022-01-04,536.7255249023438,539.9615961119187,527.0173112736192,539.9615961119187,53600
2022-01-05,510.83685302734375,537.187713319252,508.98766984896423,536.7254175246571,121800
2022-01-06,502.05328369140625,511.29920051813565,498.3549169607145,503.44017121541566,73000
2022-01-07,490.4959411621094,506.2140014821016,482.63691100211327,503.9025220232792,122200
2022-01-11,488.1844177246094,491.88278452555335,483.09916337331134,490.49589697519934,59600
2022-01-12,503.4401550292969,505.2893383351896,490.4958718880477,491.88275936746726,41000
2022-01-13,491.4205017089844,504.3647858555992,490.95820584660527,504.3647858555992,50800
2022-01-14,499.2795715332031,500.66645923190646,486.79758224487307,490.0336535418475,60800
2022-01-17,492.3450927734375,508.0631520732468,490.9582051881602,504.82708104093314,44400
2022-01-18,493.2696838378906,505.2893762275674,491.4205003933249,498.3549383104462,32200
2022-01-19,472.00408935546875,490.49592439388084,468.30572234778634,490.03362851792053,102000
2022-01-20,483.0992126464844,489.57135520825545,478.0139577765214,485.87298803010054,59400
2022-01-21,480.3254089355469,481.7122965455629,470.1548997954294,478.93852132553087,61600
2022-01-24,477.08935546875,480.32542667832485,465.9942541787791,478.9385390170785,74600
2022-01-25,461.83355712890625,475.240136865381,458.13519030505114,475.240136865381,92400
2022-01-26,465.9942321777344,473.3909660218254,461.8335693904332,461.8335693904332,41000
2022-01-27,447.04010009765625,467.381118095895,447.04010009765625,465.994230505106,122800
2022-01-28,473.3909606933594,475.7024399936199,458.5974931716919,458.5974931716919,88600
2022-01-31,484.0237731933594,485.4106607956326,474.31555997744675,474.31555997744675,55000
2022-02-01,470.1549072265625,485.8729670551792,469.230315471938,484.02378354593014,60400
2022-02-02,492.3450927734375,492.3450927734375,470.61718727076,470.61718727076,46400
2022-02-03,472.46636962890625,489.1090206138775,471.54177790751896,489.1090206138775,59600
2022-02-04,477.08935546875,479.8631307912427,471.07950893668243,472.4663965979288,48800
2022-02-07,482.6368713378906,483.09916719166256,474.315545969996,481.71227963034676,32600
2022-02-08,476.62701416015625,487.7221143927884,474.3155349450245,482.63686011949864,43200
2022-02-09,496.96807861328125,497.8926703874455,485.41068143622823,489.1090485328852,125600
2022-02-10,516.8467407226562,519.62051571759,496.968019925631,496.968019925631,141200
2022-02-14,515.9221801757812,521.0074346398795,502.05330436460434,510.8369257116831,105200
2022-02-15,511.2992248535156,533.0271304304733,508.06315381013894,524.2435090270224,70200
2022-02-16,516.8467407226562,518.6959240526121,509.9123032353218,511.76148656527766,55200
2022-02-17,510.37457275390625,524.2434470135232,507.13850209332895,516.8467140750608,42400
2022-02-18,516.8467407226562,516.8467407226562,505.28934491043225,507.60082407287706,42800
2022-02-21,510.83685302734375,513.1483320003182,500.66634554625637,512.6860362057233,46800
2022-02-22,497.43035888671875,508.9877557010012,496.96806301414745,502.0533176124317,54200
2022-02-24,482.6368713378906,498.81722621990804,471.54177084736443,495.1188593897326,137000
2022-02-25,507.60089111328125,508.5254829003728,487.2598717972663,487.2598717972663,118000
2022-02-28,513.1484375,520.5451717342343,507.60088682432433,513.1484375,179400
2022-03-01,541.348388671875,541.348388671875,521.9319648254029,522.3942606312713,100000
2022-03-02,508.9877624511719,533.0271481436887,508.98776245117193,533.0271481436887,126200
2022-03-03,502.5155944824219,517.7713577003796,497.43034007643604,513.1483991494832,78200
2022-03-04,480.3254089355469,501.59101895579244,480.3254089355469,501.59101895579244,59000
2022-03-07,467.8434143066406,474.3155564017918,459.522088755732,471.54178121815556,89400
2022-03-08,468.30572509765625,478.47623442850363,463.2204704322325,463.2204704322325,82000
2022-03-09,463.2204284667969,477.0893035705932,459.5220617724512,470.61716185548823,94200
2022-03-10,493.2696838378906,493.2696838378906,474.777849392234,475.2401452533754,92000
2022-03-11,487.7221374511719,493.26968782976337,480.32540361304984,485.87295399164134,62400
2022-03-14,489.1090393066406,496.5057733604272,487.25985579319394,489.5713351850023,44800
2022-03-15,498.8172607421875,498.8172607421875,487.7221594837885,489.10904714108835,32600
2022-03-16,499.7418518066406,501.5910353470907,490.4959341043901,500.2041476917531,70800
2022-03-17,519.1582641601562,520.0828559039855,499.27954166782615,505.28938800271663,133200
2022-03-18,525.63037109375,525.63037109375,510.83690418521877,513.6106792305684,98800
2022-03-22,531.6401977539062,536.2631559952446,522.8565770953635,534.876268522843,127200
2022-03-23,552.4435424804688,555.2173175891572,533.951708422545,534.8763001254413,117200
2022-03-24,560.3026123046875,560.3026123046875,542.2730727998337,543.1976645693134,70600
2022-03-25,565.3878784179688,570.9354291465179,559.3780317953738,564.925582523923,93000
2022-03-28,560.764892578125,568.6239223999124,557.991117346906,568.6239223999124,128400
2022-03-29,562.6140747070312,570.0108086390875,551.5189738089468,563.5386664485383,168200
2022-03-30,565.4578857421875,576.8334006271938,551.7124719228049,576.8334006271938,80600
