Price,Close,High,Low,Open,Volume
Ticker,4777.T,4777.T,4777.T,4777.T,4777.T
Date,,,,,
2022-01-04,232.0,232.0,224.0,224.0,109600
2022-01-05,223.0,236.0,223.0,235.0,129000
2022-01-06,219.0,222.0,215.0,222.0,205600
2022-01-07,213.0,222.0,212.0,217.0,173000
2022-01-11,214.0,216.0,210.0,213.0,92900
2022-01-12,218.0,222.0,216.0,217.0,107100
2022-01-13,208.0,218.0,205.0,218.0,207100
2022-01-14,208.0,213.0,205.0,207.0,132400
2022-01-17,203.0,210.0,203.0,208.0,143800
2022-01-18,204.0,208.0,201.0,202.0,83300
2022-01-19,197.0,204.0,197.0,202.0,129500
2022-01-20,205.0,205.0,197.0,197.0,62500
2022-01-21,208.0,208.0,199.0,201.0,88400
2022-01-24,205.0,205.0,199.0,203.0,75700
2022-01-25,201.0,205.0,196.0,201.0,113700
2022-01-26,200.0,203.0,198.0,200.0,52200
2022-01-27,190.0,201.0,187.0,200.0,176000
2022-01-28,186.0,191.0,184.0,190.0,98500
2022-01-31,194.0,195.0,185.0,185.0,76800
2022-02-01,195.0,201.0,193.0,194.0,95900
2022-02-02,203.0,204.0,195.0,195.0,94500
2022-02-03,200.0,205.0,197.0,205.0,59300
2022-02-04,202.0,205.0,197.0,201.0,76300
2022-02-07,202.0,203.0,198.0,200.0,68800
2022-02-08,198.0,204.0,198.0,204.0,38300
2022-02-09,202.0,203.0,198.0,199.0,55500
2022-02-10,200.0,204.0,199.0,203.0,67300
2022-02-14,197.0,198.0,192.0,198.0,81300
2022-02-15,195.0,201.0,195.0,197.0,46700
2022-02-16,197.0,201.0,197.0,197.0,48700
2022-02-17,197.0,201.0,195.0,201.0,50900
2022-02-18,195.0,198.0,185.0,188.0,166700
2022-02-21,192.0,195.0,190.0,194.0,68900
2022-02-22,188.0,193.0,187.0,189.0,60400
2022-02-24,177.0,189.0,177.0,188.0,108500
2022-02-25,191.0,194.0,177.0,177.0,115900
2022-02-28,197.0,197.0,186.0,186.0,46700
2022-03-01,200.0,201.0,196.0,196.0,64600
2022-03-02,197.0,200.0,196.0,199.0,37600
2022-03-03,193.0,199.0,193.0,198.0,32700
2022-03-04,187.0,192.0,176.0,191.0,204600
2022-03-07,180.0,187.0,176.0,185.0,140500
2022-03-08,180.0,189.0,176.0,176.0,76100
2022-03-09,181.0,185.0,178.0,180.0,70000
2022-03-10,184.0,190.0,184.0,185.0,104700
2022-03-11,184.0,188.0,181.0,188.0,46800
2022-03-14,184.0,189.0,181.0,187.0,52000
2022-03-15,186.0,188.0,181.0,181.0,39800
2022-03-16,189.0,193.0,185.0,189.0,50500
2022-03-17,198.0,198.0,191.0,191.0,78700
2022-03-18,195.0,198.0,194.0,195.0,39700
2022-03-22,194.0,196.0,192.0,195.0,46400
2022-03-23,198.0,200.0,195.0,197.0,40100
2022-03-24,201.0,201.0,196.0,200.0,37900
2022-03-25,198.0,201.0,197.0,201.0,39900
2022-03-28,196.0,199.0,196.0,198.0,33600
2022-03-29,198.0,199.0,196.0,197.0,18600
