Price,Close,High,Low,Open,Volume
Ticker,4934.T,4934.T,4934.T,4934.T,4934.T
Date,,,,,
2022-01-04,9090.0,9340.0,8800.0,9260.0,256700
2022-01-05,8610.0,8950.0,8520.0,8900.0,285600
2022-01-06,8310.0,8750.0,8310.0,8420.0,328000
2022-01-07,8310.0,8510.0,8120.0,8460.0,194600
2022-01-11,8100.0,8180.0,7930.0,8160.0,198900
2022-01-12,8180.0,8390.0,8120.0,8240.0,132300
2022-01-13,7840.0,8080.0,7740.0,8030.0,187400
2022-01-14,7680.0,7810.0,7540.0,7660.0,171600
2022-01-17,7310.0,7640.0,7300.0,7640.0,201400
2022-01-18,7260.0,7490.0,7160.0,7310.0,273400
2022-01-19,6880.0,7140.0,6800.0,7110.0,301200
2022-01-20,7000.0,7130.0,6810.0,6880.0,223800
2022-01-21,7150.0,7170.0,6840.0,6850.0,210000
2022-01-24,7130.0,7160.0,6940.0,7000.0,166300
2022-01-25,7030.0,7330.0,6920.0,7270.0,214400
2022-01-26,7120.0,7320.0,6990.0,7080.0,199800
2022-01-27,6720.0,7100.0,6650.0,7060.0,237200
2022-01-28,6830.0,6920.0,6530.0,6800.0,220200
2022-01-31,7120.0,7270.0,6880.0,6930.0,136800
2022-02-01,7180.0,7630.0,7080.0,7500.0,162000
2022-02-02,7320.0,7430.0,7230.0,7330.0,117000
2022-02-03,7070.0,7260.0,7030.0,7130.0,117900
2022-02-04,7070.0,7070.0,6850.0,7000.0,85600
2022-02-07,6750.0,7130.0,6740.0,7110.0,97200
2022-02-08,6630.0,6900.0,6610.0,6840.0,96700
2022-02-09,6930.0,6950.0,6610.0,6710.0,115100
2022-02-10,7120.0,7140.0,6880.0,7030.0,133700
2022-02-14,6720.0,6900.0,6670.0,6840.0,156600
2022-02-15,6710.0,6860.0,6660.0,6730.0,83400
2022-02-16,6720.0,6910.0,6650.0,6870.0,81700
2022-02-17,6480.0,6720.0,6390.0,6700.0,140600
2022-02-18,6570.0,6580.0,6280.0,6310.0,141500
2022-02-21,6450.0,6480.0,6330.0,6370.0,74000
2022-02-22,6170.0,6420.0,6130.0,6280.0,127900
2022-02-24,5850.0,6090.0,5800.0,6070.0,184200
2022-02-25,6250.0,6270.0,6070.0,6100.0,127400
2022-02-28,6450.0,6480.0,6080.0,6170.0,121800
2022-03-01,6950.0,7030.0,6520.0,6610.0,220800
2022-03-02,6650.0,6800.0,6520.0,6750.0,163700
2022-03-03,6460.0,6850.0,6420.0,6810.0,154300
2022-03-04,6240.0,6440.0,6100.0,6440.0,132600
2022-03-07,5880.0,6020.0,5760.0,5960.0,126900
2022-03-08,5660.0,6010.0,5600.0,5780.0,218000
2022-03-09,5530.0,5780.0,5460.0,5750.0,190200
2022-03-10,5810.0,5970.0,5770.0,5830.0,169900
2022-03-11,5520.0,5680.0,5330.0,5640.0,171800
2022-03-14,5800.0,5870.0,5430.0,5600.0,383700
2022-03-15,4800.0,4800.0,4800.0,4800.0,11700
2022-03-16,4100.0,4200.0,4100.0,4170.0,610300
2022-03-17,3900.0,4130.0,3810.0,4070.0,1591000
2022-03-18,3800.0,3955.0,3785.0,3930.0,700000
2022-03-22,3685.0,3850.0,3645.0,3840.0,488300
2022-03-23,3835.0,3925.0,3720.0,3755.0,445000
2022-03-24,3755.0,3820.0,3670.0,3765.0,278300
2022-03-25,3600.0,3800.0,3555.0,3765.0,435700
2022-03-28,3445.0,3540.0,3415.0,3510.0,319900
2022-03-29,3595.0,3615.0,3495.0,3500.0,392700
2022-03-30,3760.0,3760.0,3650.0,3660.0,284000
2022-03-31,3750.0,3825.0,3655.0,3690.0,276100
2022-04-01,3695.0,3755.0,3565.0,3755.0,277600
2022-04-04,3985.0,4035.0,3795.0,3795.0,478200
2022-04-05,4435.0,4630.0,4055.0,4195.0,1520700
2022-04-06,4220.0,4340.0,4125.0,4290.0,807700
2022-04-07,3985.0,4330.0,3965.0,4100.0,874000
2022-04-08,3980.0,4150.0,3910.0,4070.0,522500
2022-04-11,3950.0,3965.0,3700.0,3940.0,457100
2022-04-12,4155.0,4180.0,3890.0,3925.0,471500
2022-04-13,4320.0,4395.0,4215.0,4340.0,621500
2022-04-14,4155.0,4365.0,4085.0,4340.0,470800
2022-04-15,4305.0,4330.0,4095.0,4130.0,376900
2022-04-18,4220.0,4550.0,4155.0,4295.0,686600
2022-04-19,4085.0,4315.0,4040.0,4290.0,300700
2022-04-20,3930.0,4145.0,3855.0,4145.0,426300
2022-04-21,4135.0,4135.0,3800.0,3895.0,388100
2022-04-22,3930.0,4075.0,3890.0,4010.0,285400
2022-04-25,3895.0,4045.0,3810.0,3860.0,343000
2022-04-26,4010.0,4045.0,3900.0,3995.0,255000
2022-04-27,3930.0,4050.0,3850.0,3970.0,274200
2022-04-28,3770.0,3955.0,3755.0,3940.0,179400
2022-05-02,3810.0,3880.0,3730.0,3750.0,153400
2022-05-06,4020.0,4060.0,3820.0,3880.0,215700
2022-05-09,3765.0,4080.0,3765.0,3955.0,177400
2022-05-10,3765.0,3795.0,3575.0,3730.0,240300
2022-05-11,3735.0,3820.0,3630.0,3705.0,173000
2022-05-12,3465.0,3700.0,3455.0,3700.0,208900
2022-05-13,3575.0,3645.0,3535.0,3590.0,136300
2022-05-16,3610.0,3735.0,3610.0,3695.0,135100
2022-05-17,3520.0,3645.0,3485.0,3615.0,70300
2022-05-18,3595.0,3725.0,3565.0,3565.0,128700
2022-05-19,3535.0,3580.0,3480.0,3490.0,93200
2022-05-20,3705.0,3720.0,3505.0,3575.0,84700
2022-05-23,3895.0,3905.0,3775.0,3805.0,112700
2022-05-24,3805.0,3995.0,3770.0,3895.0,148600
2022-05-25,3775.0,3810.0,3690.0,3805.0,65300
2022-05-26,3725.0,3850.0,3720.0,3765.0,83500
2022-05-27,3815.0,3870.0,3795.0,3835.0,51100
2022-05-30,4105.0,4125.0,3870.0,3900.0,165500
2022-05-31,3975.0,4105.0,3965.0,4050.0,259500
2022-06-01,4080.0,4140.0,3980.0,4030.0,131800
2022-06-02,3940.0,3990.0,3915.0,3985.0,76200
2022-06-03,3910.0,4055.0,3875.0,4000.0,84400
2022-06-06,3955.0,3970.0,3835.0,3850.0,53000
2022-06-07,3900.0,4000.0,3880.0,3950.0,119300
2022-06-08,4090.0,4115.0,3905.0,3970.0,134200
2022-06-09,4215.0,4300.0,4060.0,4075.0,174300
2022-06-10,4045.0,4140.0,4020.0,4120.0,97200
2022-06-13,3810.0,3990.0,3810.0,3950.0,119400
2022-06-14,3110.0,3110.0,3110.0,3110.0,11700
2022-06-15,2410.0,2410.0,2410.0,2410.0,12400
2022-06-16,2068.0,2499.0,2055.0,2449.0,3106800
2022-06-17,2028.0,2061.0,1915.0,2018.0,563000
2022-06-20,1886.0,2084.0,1886.0,2039.0,342100
2022-06-21,1869.0,1944.0,1857.0,1893.0,394300
2022-06-22,1806.0,1886.0,1792.0,1872.0,333900
2022-06-23,1868.0,1878.0,1777.0,1820.0,325500
2022-06-24,1947.0,1951.0,1843.0,1874.0,340500
2022-06-27,2084.0,2085.0,1920.0,1966.0,357200
2022-06-28,2134.0,2150.0,2035.0,2054.0,306500
2022-06-29,2148.0,2150.0,2050.0,2102.0,290000
2022-06-30,2015.0,2148.0,1935.0,2138.0,417400
2022-07-01,1958.0,2065.0,1938.0,2020.0,219200
2022-07-04,1906.0,1994.0,1891.0,1994.0,122900
2022-07-05,1989.0,2019.0,1886.0,1910.0,142100
2022-07-06,2073.0,2118.0,1998.0,1999.0,197100
2022-07-07,2023.0,2102.0,2015.0,2079.0,115000
2022-07-08,2104.0,2141.0,2028.0,2041.0,161300
2022-07-11,2124.0,2140.0,2075.0,2116.0,113100
2022-07-12,2060.0,2129.0,2050.0,2090.0,114900
2022-07-13,1999.0,2060.0,1992.0,2060.0,82800
2022-07-14,1990.0,2023.0,1958.0,1998.0,89700
2022-07-15,2026.0,2066.0,1975.0,1990.0,107900
2022-07-19,1980.0,2040.0,1950.0,2040.0,104500
2022-07-20,2047.0,2068.0,1993.0,2020.0,137000
2022-07-21,2119.0,2160.0,2051.0,2064.0,130800
2022-07-22,2126.0,2200.0,2085.0,2121.0,107100
2022-07-25,2010.0,2094.0,2005.0,2090.0,133900
2022-07-26,2007.0,2043.0,1985.0,2010.0,78800
2022-07-27,2011.0,2050.0,2004.0,2007.0,45800
2022-07-28,1988.0,2046.0,1983.0,2046.0,81000
