Price,Close,High,Low,Open,Volume
Ticker,5021.T,5021.T,5021.T,5021.T,5021.T
Date,,,,,
2022-01-04,1957.855224609375,1987.3749929626872,1954.382310685456,1982.1656220768086,216700
2022-01-05,2017.76318359375,2017.76318359375,1977.8246696327722,1994.3210123557847,330200
2022-01-06,1984.7701416015625,2028.1815620215443,1972.6149438839677,2023.8404199795461,283800
2022-01-07,1985.6385498046875,2009.0807189541088,1960.459923681235,1994.3208346748436,345500
2022-01-11,2009.08056640625,2010.8170232484333,1955.2504042985631,1986.506627457865,283000
2022-01-12,2066.3837890625,2075.0660738904935,2043.8098485097162,2052.49213333771,364000
2022-01-13,2085.48486328125,2089.826005794325,2049.8874946740348,2065.5156077211045,412100
2022-01-14,2055.96484375,2069.856498099662,2014.2898807010133,2060.305985734269,437800
2022-01-17,2074.197998046875,2112.4000541013174,2068.120398220032,2099.3766259009394,322900
2022-01-18,2079.406982421875,2098.5080068950615,2062.0424147189783,2085.484581117889,324000
2022-01-19,2072.46142578125,2095.9035952391864,2040.3369713388931,2071.593197282808,452400
2022-01-20,2036.864013671875,2063.779096546482,2016.8947586358763,2062.910868066656,429500
2022-01-21,1989.9798583984375,1996.9256868745229,1923.9944878756273,1969.1423729701817,588700
2022-01-24,2023.8406982421875,2029.9182979366083,1949.1730448535868,1976.088129214594,378000
2022-01-25,1998.661865234375,2008.2123780569545,1973.4832405203017,2003.871235864873,312400
2022-01-26,1967.4056396484375,2043.8097421590564,1965.669182773196,2027.3134018442638,410600
2022-01-27,1956.987060546875,2005.6078570822012,1941.358947374806,2000.3984860248447,459000
2022-01-28,1997.7938232421875,1997.7938232421875,1968.2740535810688,1993.4526806449642,392600
2022-01-31,1993.452880859375,2009.9492243856503,1975.2200801198076,1979.5612231530379,293700
2022-02-01,1970.0101318359375,1999.529895821139,1967.4054467784197,1990.8476122960797,323900
2022-02-02,2029.0498046875,2029.9180331020004,1975.2196429884734,1976.0878714029739,368200
2022-02-03,2053.3603515625,2053.3603515625,2022.10412633787,2022.10412633787,333200
2022-02-04,2058.56982421875,2077.670851689358,2034.2594256197938,2063.779195347098,308800
2022-02-07,2062.910888671875,2088.9577433268228,2048.1510043674043,2067.252031114366,324800
2022-02-08,2072.46142578125,2077.6707967719026,2046.4145708279877,2064.6473692952713,266000
2022-02-09,2039.4686279296875,2064.6472529658563,2033.391028783026,2063.7790245163333,470100
2022-02-10,2030.7864990234375,2052.4922119245,2022.1042138630123,2045.5463837961602,291100
2022-02-14,2244.37060546875,2272.153916638963,2109.795191988032,2117.609248254654,1641100
2022-02-15,2163.625244140625,2237.4246605739927,2155.811188282974,2226.1376910018307,604800
2022-02-16,2139.31494140625,2161.0206530682453,2121.950372076654,2160.1524246017652,467700
2022-02-17,2203.56396484375,2213.9827069943112,2148.865568553302,2151.4702540909425,518100
2022-02-18,2183.5947265625,2213.1144962257704,2167.966613211357,2188.804097679548,459800
2022-02-21,2187.06787109375,2224.4017013664898,2175.7808991508286,2181.8584994277862,439200
2022-02-22,2204.43212890625,2213.1144137778774,2174.912360342716,2197.486301008948,529800
2022-02-24,2279.9677734375,2286.045372224272,2194.013162024586,2224.4011559584446,641300
2022-02-25,2197.486572265625,2263.4719454351975,2175.7808574072133,2256.5261166805058,699200
2022-02-28,2253.921142578125,2267.812798310502,2219.192003247183,2234.820115946107,602200
2022-03-01,2261.73486328125,2275.6265169520752,2231.34687087632,2263.4713199901034,640500
2022-03-02,2369.3955078125,2422.357444777162,2266.0763193076677,2287.7820311784308,1122600
2022-03-03,2493.552001953125,2590.7935842019933,2424.9619573311556,2431.03955622171,1396400
2022-03-04,2490.947509765625,2537.831847697777,2452.7454566357233,2484.001681923825,776800
2022-03-07,2588.189208984375,2617.708978560178,2535.2272694513167,2603.817322289212,1112100
2022-03-08,2463.164306640625,2630.7324106877313,2451.009107383322,2617.7089829120496,1007200
2022-03-09,2538.7001953125,2609.0267055109653,2505.707511515689,2506.575740036658,1074100
2022-03-10,2237.425048828125,2237.425048828125,2106.322533355464,2108.0589905140423,9538600
2022-03-11,2220.92822265625,2279.099524813392,2183.5944018688306,2194.013142553692,3079600
2022-03-14,2216.587158203125,2272.1537771318363,2205.3001887332307,2225.2694424107362,2822600
2022-03-15,2160.15283203125,2193.1455199802804,2151.4705457288733,2178.3856332662403,2372100
2022-03-16,2231.34716796875,2242.6341380790977,2147.1290063761553,2148.8654633162087,1495200
2022-03-17,2281.704833984375,2286.0459771236146,2215.7194582679317,2221.797058662867,912200
2022-03-18,2228.74267578125,2320.7749015828913,2228.74267578125,2309.4879304940105,1643900
2022-03-22,2382.4189453125,2407.5975711922606,2312.9606670235057,2332.9299220315916,1419500
2022-03-23,2399.783203125,2404.124344954097,2356.3717848340266,2380.682179076972,836600
2022-03-24,2391.101318359375,2431.9080583604245,2345.9534358050223,2408.4658885725876,945900
2022-03-25,2399.783203125,2400.6514314908195,2370.263438687138,2377.209265613694,750500
2022-03-28,2406.7294921875,2450.140918814259,2404.99303512243,2425.830519903274,1426800
2022-03-29,2391.101318359375,2425.8304587858,2340.7440647410585,2364.1862345288955,1482400
2022-03-30,2366.776123046875,2405.5166534203104,2335.243133208032,2384.7949743833565,1437200
2022-03-31,2369.478515625,2381.1907668429185,2319.0257411478137,2378.4879396387832,1173900
2022-04-01,2380.289794921875,2386.5963916533105,2339.7473873626454,2351.4596384353117,782000
2022-04-04,2454.1669921875,2474.888666497453,2385.695372728524,2399.209508148059,998300
2022-04-05,2493.80859375,2506.421787504516,2455.0680700754156,2466.7803214188943,1572900
2022-04-06,2828.959228515625,2941.577032198572,2752.379122011221,2910.044047167347,5525100
2022-04-07,2815.44482421875,2869.5013648437503,2651.47331765625,2720.845878125,2637100
2022-04-08,2914.548828125,2968.6053751690497,2815.445158544243,2837.9687198125966,2122600
2022-04-11,2910.0439453125,2959.595777198626,2878.510961384965,2937.072217250387,874500
2022-04-12,2892.025390625,2946.081939982477,2828.9594163746106,2878.511253285631,947000
2022-04-13,2892.025390625,2941.5772275360205,2855.987691053349,2905.5395279643694,1051200
2022-04-14,2923.558349609375,2950.5866240279515,2883.01593798151,2910.0442124000865,977500
2022-04-15,2959.595458984375,3018.1567085533197,2950.586035973768,2968.604881994982,731000
2022-04-18,2964.100830078125,2991.12910512443,2937.0725550318202,2973.11025509356,527400
2022-04-19,3072.2138671875,3085.728004433193,2973.1101940524195,2986.6243312981123,1086000
2022-04-20,3031.671142578125,3072.2135501311755,2982.119311124396,3063.2041262304974,820900
2022-04-21,2995.633544921875,3045.1853779957705,2959.5958481408597,3031.67124170289,662100
2022-04-22,2919.053466796875,2964.1005881980614,2910.0440425166375,2914.548754656756,897500
2022-04-25,2824.45458984375,2892.025273811304,2801.9310285212323,2828.9593021082537,898100
2022-04-26,2770.39794921875,2833.4639187944617,2716.3414038681403,2806.4356461191564,717900
2022-04-27,2846.978271484375,2869.5018337587767,2765.893447296529,2770.3981597514094,1867500
2022-04-28,2892.025390625,2901.034815517913,2824.4547039281542,2842.47355371398,636600
2022-05-02,2901.034423828125,2905.539135666367,2801.9307633867916,2828.959034416246,533300
2022-05-06,2914.548828125,2995.633648691074,2905.5394036176585,2964.100662915379,925200
2022-05-09,2937.072265625,3000.1382345187885,2919.053417369632,2955.091113880368,633900
2022-05-10,2815.44482421875,2869.5013648437503,2765.8929953125003,2860.49194140625,824500
2022-05-11,2747.8740234375,2792.9211385758194,2729.855177382172,2770.39758100666,843000
2022-05-12,2788.416748046875,2824.454444305962,2752.379051787788,2761.3884758525596,691200
2022-05-13,3139.784423828125,3166.812697203977,3004.6430569488657,3040.680754783335,2902800
2022-05-16,3148.79345703125,3216.364132074839,3067.708646978943,3153.2981687008223,1116300
2022-05-17,3171.3173828125,3301.9540363658557,3162.30795842951,3198.34565596147,947300
2022-05-18,3157.80322265625,3166.81264697196,3094.737252446282,3148.7937983405404,906500
2022-05-19,3180.326904296875,3193.841041283972,3027.1666851097734,3058.699671413,880100
2022-05-20,3193.840576171875,3234.3829812290637,3153.2981711146863,3175.821729479791,734300
2022-05-23,3162.307861328125,3202.8502698066904,3139.784301062255,3198.3455577535165,541300
