Price,Close,High,Low,Open,Volume
Ticker,6201.T,6201.T,6201.T,6201.T,6201.T
Date,,,,,
2022-01-04,8870.302734375,8898.343733535301,8683.362739972998,8730.097738573499,324200
2022-01-05,9244.181640625,9253.528639250506,9019.853673612866,9029.200672238372,523100
2022-01-06,9085.2841796875,9234.836182645318,9075.937179502636,9169.407181351273,446900
2022-01-07,9075.935546875,9206.793525923662,9038.547552861097,9169.405531909759,329100
2022-01-11,8786.1787109375,9057.241671168551,8776.831712308844,8991.812680767953,364900
2022-01-12,8898.34375,8935.73174894958,8758.138753939074,8786.17975315126,311200
2022-01-13,8888.99609375,8935.731088985278,8832.914099467665,8926.384089938223,273500
2022-01-14,8860.9541015625,8982.465075529075,8814.219111575356,8945.07708353936,364100
2022-01-17,9094.6298828125,9150.711875923369,8963.77189888714,8973.118897738952,250000
2022-01-18,9057.2421875,9262.876169053148,9029.20119001548,9206.794174084107,320300
2022-01-19,8758.1376953125,8982.465661894677,8711.402702274547,8898.342674426362,537200
2022-01-20,8776.83203125,8851.60802299654,8608.586049820287,8683.362041566827,414600
2022-01-21,8402.9521484375,8617.93312665114,8281.44116075153,8617.93312665114,437000
2022-01-24,8440.3408203125,8477.728819516542,8262.7478240933,8290.788823496332,220500
2022-01-25,8365.564453125,8421.646449458798,8262.747459846369,8421.646449458798,320300
2022-01-26,8169.2763671875,8374.910326086956,8131.888374660326,8346.869331691576,352200
2022-01-27,7944.94873046875,8262.7466796875,7870.17274241728,8225.358685661764,418600
2022-01-28,8290.7880859375,8346.870079754439,8047.766112730764,8085.154108608724,485200
2022-01-31,8318.828125,8337.522120786518,8066.459181882023,8178.623156601124,360000
2022-02-01,8216.0126953125,8412.299688033276,8197.31869600576,8365.564689766425,366400
2022-02-02,8524.462890625,8580.54488332648,8216.01193076686,8300.134919819078,760900
2022-02-03,8328.17578125,8374.910774410775,8141.2358086069025,8244.052793560606,499600
2022-02-04,8393.60546875,8487.075462834076,8272.094476440701,8477.728463425668,368600
2022-02-07,8318.828125,8337.522120786518,8187.970154494383,8253.399139747191,242100
2022-02-08,8459.0341796875,8477.728177874655,8318.82919328384,8318.82919328384,319000
2022-02-09,8571.1982421875,8617.933238055479,8430.99325458356,8524.46324631952,389000
2022-02-10,8739.443359375,8767.484354110962,8580.544389204546,8711.402364639038,552800
2022-02-14,8580.544921875,8627.279916002859,8468.380935968136,8561.850924223856,432800
2022-02-15,8515.1162109375,8636.627199677552,8477.7282144021,8599.239203142151,391000
2022-02-16,8674.0146484375,8804.87262804755,8636.6266542632,8739.443638242525,214600
2022-02-17,8571.1982421875,8692.709231444247,8524.46324631952,8636.627236402672,294900
2022-02-18,8561.8515625,8589.89256106714,8430.993569186681,8487.07556632096,211700
2022-02-21,8496.4228515625,8552.504850582714,8365.564853848666,8468.381852052393,239600
2022-02-22,8206.6650390625,8374.911019362187,8178.624042345886,8356.21702155111,320900
2022-02-24,8113.1943359375,8216.01131484915,8010.377357025849,8103.847337854622,377500
2022-02-25,8309.482421875,8346.870419273762,8057.113439433352,8057.113439433352,420900
2022-02-28,8169.2763671875,8244.052352241848,8066.459387737772,8244.052352241848,544300
2022-03-01,8141.23681640625,8309.48281261212,8122.5428168278195,8290.788813033689,323000
2022-03-02,7683.2333984375,8047.766369896214,7683.2333984375,7972.990375750836,485000
2022-03-03,7786.0498046875,7879.51979033801,7748.661810427296,7776.702806122449,390600
2022-03-04,7496.29345703125,7664.539444844919,7384.129465155471,7645.845446198956,599400
2022-03-07,7038.291015625,7187.843015957005,6813.963015126992,7131.761015832503,790600
2022-03-08,6842.0029296875,7010.2489033683405,6832.655931149676,6898.084920914447,804700
2022-03-09,6935.4736328125,7047.637626874158,6832.65663825598,6851.350637266257,757600
2022-03-10,7328.04736328125,7365.435360032685,7234.577371402663,7253.27136977838,503900
2022-03-11,7113.06640625,7206.536398447766,7019.596414052234,7103.719407030223,585900
2022-03-14,7243.9248046875,7328.047802419354,7150.454807207661,7150.454807207661,447200
2022-03-15,7281.31298828125,7365.43598814586,7206.536988401596,7243.924988341423,402300
2022-03-16,7449.5576171875,7496.29260851239,7318.699641477808,7328.046639742785,503800
2022-03-17,7832.78466796875,7954.295647304781,7636.497701349009,7870.172661610606,763800
2022-03-18,7683.2333984375,7916.908380141804,7645.845401364812,7804.744388923738,1081600
2022-03-22,7898.21435546875,7972.99034936668,7786.050364621857,7786.050364621857,712400
2022-03-23,8103.84814453125,8103.84814453125,7954.296160318448,7963.6431593317475,666800
2022-03-24,8131.88916015625,8141.236159190913,7860.826188151042,8019.725171740302,516900
2022-03-25,7954.2958984375,8122.541875137706,7870.172910087397,8122.541875137706,797800
2022-03-28,8001.03125,8085.154242114487,7916.908257885514,8038.419246495328,563700
2022-03-29,8094.5009765625,8253.399956471925,8047.765982471492,8103.847975380701,631300
2022-03-30,8066.166015625,8236.178882464872,7971.714422936183,8217.288563927108,476700
2022-03-31,8000.04931640625,8188.952487986091,7971.713840669274,8047.27510930121,532200
2022-04-01,7971.71435546875,8037.830469791358,7763.920853311982,7886.707922768254,554500
2022-04-04,7981.1591796875,8028.384973650148,7830.036639007027,7830.036639007027,337400
