Price,Close,High,Low,Open,Volume
Ticker,6227.T,6227.T,6227.T,6227.T,6227.T
Date,,,,,
2022-01-04,1294.0430908203125,1312.948030058009,1264.7404350018833,1309.1670422104696,196900
2022-01-05,1284.590576171875,1325.2361941081447,1260.9594029531136,1298.769280103132,138800
2022-01-06,1231.6566162109375,1260.9592678629244,1228.8208757284872,1242.999578140739,112100
2022-01-07,1199.518310546875,1242.9996677455797,1181.5586195300186,1235.4376925805875,103700
2022-01-11,1200.4635009765625,1225.0399191067913,1193.8467730184238,1225.0399191067913,44100
2022-01-12,1239.2186279296875,1260.0140587568828,1225.0399250929634,1228.8209125160897,56700
2022-01-13,1223.1494140625,1257.1783003888138,1215.5874393233191,1241.1091040680546,34600
2022-01-14,1204.244384765625,1214.642099233774,1170.2155010516826,1202.3538912259614,78900
2022-01-17,1173.0513916015625,1220.3137361463475,1173.0513916015625,1207.0802796738076,44900
2022-01-18,1167.3798828125,1214.6422262462045,1157.927414125759,1177.7775983679148,63800
2022-01-19,1110.6650390625,1157.927381150266,1100.2673238031914,1151.3106532579786,138100
2022-01-20,1135.2415771484375,1135.2415771484375,1091.7602178238512,1110.6651566606279,57000
2022-01-21,1115.391357421875,1120.1175919872219,1078.526727812169,1095.541172247418,58600
2022-01-24,1122.9532470703125,1134.2962091619318,1089.8696076364229,1093.6505950002959,24000
2022-01-25,1096.4864501953125,1124.8438583900188,1090.8149685563712,1123.8986114501954,40100
2022-01-26,1164.544189453125,1190.0658559427634,1092.7054245193283,1093.650671426352,40900
2022-01-27,1115.391357421875,1182.5038882498013,1104.0483944650423,1182.5038882498013,45900
2022-01-28,1099.3221435546875,1139.0225133133263,1096.486402857642,1134.2962788182501,42600
2022-01-31,1123.8984375,1147.5296073380991,1101.2125144554248,1101.2125144554248,59800
2022-02-01,1148.4749755859375,1184.3943575384196,1139.0225066510739,1180.613369964474,54000
2022-02-02,1182.50390625,1198.5731040167866,1155.091745353717,1163.5989677008395,31100
2022-02-03,1154.1463623046875,1181.5585199679438,1141.858153697021,1181.5585199679438,28300
2022-02-04,1190.0657958984375,1191.011042757769,1144.6939466505225,1146.5844403691856,15500
2022-02-07,1133.3509521484375,1161.7083571229605,1116.3365091637238,1161.7083571229605,46300
2022-02-08,1120.1175537109375,1143.7487257301557,1115.391319307094,1133.3510100416997,37700
2022-02-09,1165.4892578125,1171.1607383857968,1123.8984002749899,1124.843647037206,43700
2022-02-10,1168.3251953125,1186.2848868262033,1156.0369853294396,1156.0369853294396,43600
2022-02-14,1118.2269287109375,1124.8436560997595,1083.2527982271633,1084.1980449969951,75500
2022-02-15,1080.4171142578125,1118.2269870227403,1077.5813738004429,1118.2269870227403,77100
2022-02-16,1080.4171142578125,1117.2817402036171,1073.80038652395,1117.2817402036171,56900
2022-02-17,1060.5670166015625,1082.3076951949993,1047.3335600664273,1082.3076951949993,52700
2022-02-18,1048.27880859375,1058.6765244589722,1035.9905989348513,1040.716833419043,50600
2022-02-21,1075.69091796875,1075.69091796875,1018.9761068280427,1028.428575351494,28400
2022-02-22,1047.33349609375,1070.9646670344935,1039.7715213927122,1070.9646670344935,26400
2022-02-24,1024.6475830078125,1063.402703767333,1010.4688802909146,1032.209557790158,40200
2022-02-25,1046.3883056640625,1063.4027496586,1029.3738616695248,1029.3738616695248,31100
2022-02-28,1070.964599609375,1072.8550931656139,1040.7167027095516,1059.6216382719413,18200
2022-03-01,1095.5411376953125,1096.4863845785699,1064.3479905478187,1078.5266937966794,31800
2022-03-02,1165.4892578125,1195.7371542034164,1140.9128419948804,1152.255803141474,231400
2022-03-03,1172.106201171875,1184.394411345451,1144.694040015436,1184.394411345451,64400
2022-03-04,1121.0628662109375,1153.2012620382325,1104.99366829729,1150.3655212299418,58000
2022-03-07,1104.04833984375,1163.5988924209385,1076.636180720917,1163.5988924209385,62000
2022-03-08,1056.7860107421875,1105.9388484511264,1056.7860107421875,1075.6909483225486,57600
2022-03-09,1061.51220703125,1093.650599764164,1039.7715295942787,1039.7715295942787,51100
2022-03-10,1119.1722412109375,1133.3509435911437,1096.4863174026077,1096.4863174026077,27100
2022-03-11,1122.008056640625,1133.3510193025352,1098.376884428312,1115.3913284211774,27200
2022-03-14,1087.979248046875,1127.6796202605751,1069.074308897494,1120.1176446008226,46600
2022-03-15,1106.884033203125,1120.1174887666125,1067.1836665126627,1067.1836665126627,22100
2022-03-16,1143.748779296875,1148.4750139220687,1113.5008776956354,1129.570075421294,62200
2022-03-17,1167.3798828125,1174.9418577618926,1151.3106860450405,1153.2011797823886,45000
2022-03-18,1211.8065185546875,1214.6422592377328,1159.817939365524,1159.817939365524,85000
2022-03-22,1192.9014892578125,1241.1090771755212,1164.5440846003366,1240.1638303536054,57200
2022-03-23,1225.985107421875,1238.2733159002748,1205.1896776891988,1221.2588733917214,52100
2022-03-24,1271.3570556640625,1275.138043190201,1205.1897739566393,1217.4779834165893,64100
2022-03-25,1292.1524658203125,1296.8787001503063,1252.4520974483644,1276.0832690983334,69300
2022-03-28,1253.3973388671875,1296.878694514164,1241.1091296626073,1294.9882007903823,28100
2022-03-29,1262.849853515625,1276.0833100644415,1239.2186811070242,1241.1091748997123,29500
2022-03-30,1384.78662109375,1389.5128552954352,1289.31669021971,1290.261937060047,177400
2022-03-31,1400.8558349609375,1450.9539181275566,1346.9767643855168,1380.0604042125294,136400
2022-04-01,1433.939453125,1436.7751936387608,1371.5531618222644,1380.0603833635464,79600
2022-04-04,1411.2535400390625,1451.89915438714,1403.6915652766295,1436.775204862274,69300
2022-04-05,1388.5677490234375,1430.1586142086187,1380.060526599196,1417.8704040402697,59800
2022-04-06,1356.42919921875,1369.6626548208842,1334.688522158101,1369.6626548208842,39500
2022-04-07,1311.057373046875,1341.305272064539,1296.878670382345,1314.838360424083,51800
2022-04-08,1322.400390625,1336.5790938840241,1301.604959178431,1313.8931686695853,15200
2022-04-11,1294.9881591796875,1334.6885261034442,1290.2619250220973,1322.40031729371,21100
2022-04-12,1295.9334716796875,1332.7980999769215,1280.8095216090273,1294.9882248002714,18600
2022-04-13,1354.53857421875,1368.717275274773,1316.7287047360214,1324.290678632567,43400
2022-04-14,1363.0458984375,1398.9652771757974,1339.4147282149358,1368.7173792909155,59400
2022-04-15,1342.25048828125,1386.6770889497138,1329.0170327629842,1386.6770889497138,39400
2022-04-18,1357.37451171875,1380.0604367056928,1318.6193898660558,1351.7030304720142,35900
2022-04-19,1449.0634765625,1453.7897109935584,1358.319775486179,1361.155516144814,125000
2022-04-20,1401.8011474609375,1449.0634922843003,1389.5129378068632,1449.0634922843003,68500
2022-04-21,1404.6368408203125,1419.7607906541787,1382.89616293413,1403.691593955696,32600
2022-04-22,1385.7318115234375,1417.8702027866004,1366.8268754862827,1383.8413179197219,41600
2022-04-25,1365.8817138671875,1394.2391196914198,1328.0718394348778,1357.374492119918,37600
2022-04-26,1354.53857421875,1395.184183912683,1340.3598731627267,1375.3340024342506,39500
2022-04-27,1312.9478759765625,1333.7433066975734,1286.4809641498211,1324.2908381880231,64600
2022-04-28,1305.3858642578125,1318.6193197969938,1292.1524087186312,1294.988149191313,21000
2022-05-02,1293.09765625,1307.2763586211622,1282.6999411778143,1299.714384023209,36600
2022-05-06,1265.685546875,1293.0977058439134,1250.5615970990477,1293.0977058439134,30800
2022-05-09,1251.5068359375,1291.2072038448828,1245.8353548078737,1267.5760324714406,26100
2022-05-10,1242.054443359375,1258.1236408762009,1217.4780236277586,1238.273455708357,33700
2022-05-11,1252.4521484375,1263.7951112912735,1230.7114696344338,1242.0544324882076,33000
2022-05-12,1222.2041015625,1264.7402071853248,1219.368361187645,1230.711322687065,36800
2022-05-13,1246.78076171875,1248.6712556713182,1215.587611501374,1218.4233524302265,39200
2022-05-16,1105.9388427734375,1181.5585927066638,1101.2126084026108,1168.3251364683492,122000
2022-05-17,1115.391357421875,1126.7343203787077,1096.4864191604872,1110.6651228565281,29000
2022-05-18,1137.1319580078125,1151.3106607261145,1115.3912805064163,1115.3912805064163,35700
2022-05-19,1188.17529296875,1206.1349831568218,1124.843753884497,1135.2414692565385,84100
2022-05-20,1216.53271484375,1252.4520957016073,1162.6536435569637,1244.8901207841636,175000
