Price,Close,High,Low,Open,Volume
Ticker,6254.T,6254.T,6254.T,6254.T,6254.T
Date,,,,,
2022-01-04,1292.0904541015625,1308.2127948835785,1273.6649217792585,1308.2127948835785,712800
2022-01-05,1236.8140869140625,1282.8779262777148,1236.8140869140625,1278.2715423413497,508800
2022-01-06,1195.3565673828125,1216.0852939848266,1186.1438000041396,1213.7821021401585,497200
2022-01-07,1174.627685546875,1213.7819417317708,1165.4149193857231,1211.4787501914827,391600
2022-01-11,1133.17041015625,1163.1119047335492,1129.7156223204079,1163.1119047335492,602000
2022-01-12,1202.2659912109375,1202.2659912109375,1163.1117347921904,1167.7181179002785,520800
2022-01-13,1181.5372314453125,1209.175529256899,1179.2340399610137,1197.6595718354044,267200
2022-01-14,1190.7501220703125,1197.659697246736,1150.444266874509,1160.808629639144,566400
2022-01-17,1172.3245849609375,1199.9628855887004,1167.718201522977,1199.9628855887004,264000
2022-01-18,1183.84033203125,1218.3882016430568,1163.1116102641658,1172.324375493981,600400
2022-01-19,1096.3193359375,1174.6278599330358,1089.409760290835,1160.8087086397059,929600
2022-01-20,1073.2872314453125,1091.7127633156183,1042.1941464141714,1080.1968058966772,928000
2022-01-21,1038.7392578125,1046.8004272190271,1012.2525583339108,1041.0424490715077,636400
2022-01-24,1030.67822265625,1045.6489677898044,1011.1010944046787,1020.3138606407123,486000
2022-01-25,953.5213623046875,1043.3458384638247,947.7633830637171,1043.3458384638247,995200
2022-01-26,985.7659301757812,998.4334830168251,945.4600802270052,945.4600802270052,582800
2022-01-27,899.3964233398438,997.2820776085847,895.9416355421234,982.3113304851303,994000
2022-01-28,928.1861572265625,936.2473273265451,889.0319024552186,930.4893486837004,621200
2022-01-31,958.1277465820312,969.6437050746038,928.1862545013428,928.1862545013428,476400
2022-02-01,977.704833984375,1011.1011121770098,965.0372801871688,993.8271751808194,713200
2022-02-02,1028.375,1028.375,980.0079787234043,993.8271276595746,498000
2022-02-03,996.1304321289062,1022.6171372606575,984.6144733759709,1012.2527743830157,474000
2022-02-04,1013.4044189453125,1018.0108026677912,985.7661166104403,994.9788840553977,367200
2022-02-07,961.58251953125,1003.0399694751122,955.8245403723802,1001.8883736433382,430800
2022-02-08,950.0665283203125,984.6144020774148,950.0665283203125,967.3404651988636,356400
2022-02-09,1007.6463012695312,1008.7978970424107,962.7340661272322,962.7340661272322,480800
2022-02-10,1019.1622924804688,1042.1942086947165,1000.7367595090703,1024.9202715340307,451200
