Price,Close,High,Low,Open,Volume
Ticker,6406.T,6406.T,6406.T,6406.T,6406.T
Date,,,,,
2022-01-04,2374.79296875,2393.3460388183594,2347.8910171508787,2384.0695037841797,134800
2022-01-05,2398.912109375,2408.1886449874323,2368.2995418539736,2397.0568022525135,122200
2022-01-06,2327.482666015625,2395.201372519866,2325.6273589881116,2383.1418768410285,94400
2022-01-07,2329.33837890625,2370.1551406234444,2312.640612749216,2349.7467597648474,101900
2022-01-11,2269.04052734375,2328.4103530796456,2253.270417382653,2323.7720854440286,85300
2022-01-12,2371.082763671875,2375.7210319889173,2295.9428169357943,2304.29169990647,122000
2022-01-13,2372.937744140625,2399.8396966738846,2358.0952875705507,2399.8396966738846,130900
2022-01-14,2336.75927734375,2356.2400017678146,2299.653135583627,2356.2400017678146,181200
2022-01-17,2462.920166015625,2468.4860872947565,2363.6612365377828,2387.780228747352,253000
2022-01-18,2461.06494140625,2487.039241579403,2431.3800269226467,2475.9073986480516,169200
2022-01-19,2478.6904296875,2494.460540954224,2444.3672463422763,2449.005514361901,291700
2022-01-20,2504.66455078125,2513.941086154514,2460.137180989583,2479.6179052734374,295800
2022-01-21,2498.1708984375,2507.4474335226746,2459.209451079767,2490.7496703693605,258500
2022-01-24,2504.66455078125,2522.2899679904513,2479.6179052734374,2485.183826497396,183000
2022-01-25,2493.532958984375,2498.171227137248,2424.886590321859,2465.7033500671387,226100
2022-01-26,2470.341552734375,2516.724233033556,2464.7756310984732,2504.664736155769,83600
2022-01-27,2472.197021484375,2513.941436481297,2446.2227188196234,2505.5925534819125,235400
2022-01-28,2491.677490234375,2538.9878223274327,2476.835033107141,2513.9411759252257,175400
2022-01-31,2511.158447265625,2525.0732521082496,2486.111798548901,2505.5925253285754,150200
2022-02-01,2507.44775390625,2564.0346251560763,2506.5201002792037,2541.7709381069644,161800
2022-02-02,2515.79638671875,2529.7111897426366,2493.532701880531,2513.9410796488983,227500
2022-02-03,2496.31591796875,2527.856141384186,2480.5458062610323,2507.4477615271394,135100
2022-02-04,2504.66455078125,2516.724046766493,2471.2690234375,2504.66455078125,120800
2022-02-07,2504.66455078125,2521.362314453125,2479.6179052734374,2485.183826497396,123000
2022-02-08,2456.426513671875,2505.5921500860027,2456.426513671875,2476.834891051324,158600
2022-02-09,2378.503662109375,2411.8991893464804,2348.818749009726,2411.8991893464804,181400
2022-02-10,2422.103515625,2431.3800514948775,2397.984522363319,2411.899326168135,339300
2022-02-14,2476.8349609375,2498.1709924362126,2413.7545199847846,2421.175748332163,165700
2022-02-15,2401.6953125,2511.1584437765546,2387.7805076767095,2490.7500633690615,223200
2022-02-16,2476.8349609375,2486.1114963717228,2416.5374806150517,2416.5374806150517,99300
2022-02-17,2497.243408203125,2509.3029046023225,2470.341454697222,2494.4604474956177,130400
2022-02-18,2465.703125,2467.5584320917983,2419.3204477050413,2462.9201643623023,139100
2022-02-21,2498.1708984375,2507.4474335226746,2438.801073892383,2438.801073892383,128900
2022-02-22,2491.677490234375,2499.0987187979918,2446.2224652822215,2446.2224652822215,104200
2022-02-24,2468.486083984375,2501.8816116143776,2446.222398897706,2485.1838477993765,152600
2022-02-25,2504.66455078125,2510.2304720052084,2443.4394173177084,2501.881590169271,423500
2022-02-28,2546.4091796875,2606.706664816712,2516.72426393158,2525.0731464879327,392500
2022-03-01,2557.541015625,2584.4429704502177,2526.928446341132,2571.45581984494,175400
2022-03-02,2628.042724609375,2707.8209365106836,2608.561998447428,2684.6295958416986,477900
2022-03-03,2643.812744140625,2667.0040840015076,2631.753247412966,2643.812744140625,222300
2022-03-04,2604.851318359375,2671.642377804487,2583.5152854810754,2644.7404233057614,441900
2022-03-07,2572.383544921875,2596.502539573144,2546.409242989739,2559.396393955807,390400
2022-03-08,2500.026611328125,2572.383596739477,2487.9671137595665,2542.6986796476403,195400
2022-03-09,2474.980224609375,2560.3243702855602,2465.7036870358766,2511.1587211460187,226400
2022-03-10,2586.29833984375,2591.8642616655084,2532.494428900085,2532.494428900085,254100
2022-03-11,2570.5283203125,2603.923852442146,2513.9414464261545,2580.7325106854473,530200
2022-03-14,2631.75341796875,2652.1617983689307,2577.9495060046374,2590.9366571683886,275000
2022-03-15,2580.732421875,2658.655327495956,2548.264544532935,2631.7533719839594,291500
2022-03-16,2621.549072265625,2647.523373052404,2572.3834314906503,2586.2982354835676,210100
2022-03-17,2718.952880859375,2731.940032115612,2644.740587966591,2667.931929495586,235900
2022-03-18,2692.978515625,2714.31454933474,2668.8595209965983,2714.31454933474,574300
2022-03-22,2747.709716796875,2753.2756378977465,2684.629277653665,2691.1228522713486,258300
2022-03-23,2824.705322265625,2838.6201268088053,2761.624875003207,2776.4673331825993,278500
2022-03-24,2847.896484375,2861.8112880445847,2778.3224660270766,2782.9607339169384,265700
2022-03-25,2908.19384765625,2936.023453853917,2871.08770605936,2885.002509158194,728300
2022-03-28,2917.470703125,2931.3855077503977,2885.0028256657392,2903.555898499603,483500
2022-03-29,2996.321044921875,3000.959312793271,2903.555687493953,2931.3852947223295,557200
2022-03-30,2939.87548828125,3005.72869921875,2911.6526835937498,3001.0248984375,372500
2022-03-31,2963.394287109375,3019.8398925781253,2916.3562825520835,2944.5790852864584,313600
2022-04-01,2925.763916015625,2944.57911804788,2864.614509410797,2925.763916015625,256900
2022-04-04,3001.02490234375,3005.7287031311225,2921.060288958415,2925.7640897457877,190100
2022-04-05,3048.06298828125,3057.470590096933,3001.0249792028353,3019.840182834201,278800
2022-04-06,2939.87548828125,3048.0629062499997,2930.46788671875,3043.35910546875,357200
2022-04-07,2878.72607421875,2906.948878867953,2859.9108711192807,2897.541277318219,199900
2022-04-08,2821.339599609375,2878.7259669238706,2785.590715052804,2869.318365724773,937500
2022-04-11,2822.28076171875,2906.9491845703124,2818.5177207031247,2855.2073706054684,349200
2022-04-12,2763.953125,2831.687851004084,2664.2325561606535,2822.2802501701835,486400
2022-04-13,2836.391845703125,2836.391845703125,2763.9533143203257,2775.242436094268,245700
2022-04-14,2814.754150390625,2859.910634086731,2800.6427492355915,2845.799232931698,181900
2022-04-15,2801.583740234375,2814.7543823980022,2758.308773125315,2770.5386551343972,133100
2022-04-18,2725.3818359375,2751.723117058056,2678.3438339365075,2733.8486762976786,154100
2022-04-19,2770.538818359375,2788.4132623487903,2740.4344916403597,2772.4203387793136,164600
2022-04-20,2756.42724609375,2815.695135685527,2746.0788844189956,2810.0505747720244,174700
2022-04-21,2775.242431640625,2793.1168744206834,2738.5527859341896,2752.6641881289725,173300
2022-04-22,2772.420166015625,2775.242446469662,2720.6783576916146,2775.242446469662,291700
2022-04-25,2731.96728515625,2765.834648195377,2711.270563299006,2748.900966675814,213400
