Price,Close,High,Low,Open,Volume
Ticker,6430.T,6430.T,6430.T,6430.T,6430.T
Date,,,,,
2022-01-04,1159.1214599609375,1159.1214599609375,1145.928207571138,1157.2367096195376,18500
2022-01-05,1164.7755126953125,1167.6026377261264,1157.2365126131422,1159.1212626336849,12500
2022-01-06,1153.467041015625,1162.89079135072,1151.582290948606,1162.89079135072,12800
2022-01-07,1156.2940673828125,1162.890692054108,1148.7550677584748,1153.4669425236857,14500
2022-01-11,1162.8907470703125,1162.8907470703125,1140.2737471272917,1156.2941220869313,15700
2022-01-12,1170.4298095703125,1177.026434906055,1158.1789339467907,1159.121308994754,23100
2022-01-13,1161.9483642578125,1170.4297391794023,1159.1212392839493,1170.4297391794023,10100
2022-01-14,1152.524658203125,1161.948408474614,1149.6975331216784,1161.948408474614,16200
2022-01-17,1161.9483642578125,1161.9483642578125,1150.6398643623593,1152.524614344935,10200
2022-01-18,1141.2159423828125,1165.7176884620471,1139.3311926844099,1163.8329387636445,29900
2022-01-19,1123.31103515625,1144.043285805107,1122.3686601267564,1141.2161607166265,37900
2022-01-20,1122.3685302734375,1140.2736537622666,1118.5990305915789,1127.080404875761,22900
2022-01-21,1148.755126953125,1148.755126953125,1121.4262519066601,1123.3110019098647,21800
2022-01-24,1168.5447998046875,1168.5447998046875,1134.6193056168095,1141.2159294866747,20400
2022-01-25,1148.755126953125,1168.545001986772,1142.1585019419094,1168.545001986772,17800
2022-01-26,1147.812744140625,1158.1788690877079,1142.158494169489,1158.1788690877079,10400
2022-01-27,1114.8294677734375,1144.985463520479,1112.9447180392474,1144.985463520479,31900
2022-01-28,1127.08056640625,1135.5619419059626,1114.829690684443,1119.541565962061,14000
2022-01-31,1133.6771240234375,1134.6194990226256,1127.08049902912,1133.6771240234375,8600
2022-02-01,1137.4466552734375,1144.98565547409,1128.9652800477033,1144.98565547409,8200
2022-02-02,1160.063720703125,1161.9484708586135,1135.5619686817754,1144.9857194592175,13000
2022-02-03,1161.9483642578125,1170.4297391794023,1158.1788642926615,1159.1212392839493,15600
2022-02-04,1166.6602783203125,1169.48740338894,1161.0060281830574,1167.6026533431884,11000
2022-02-07,1172.3145751953125,1173.2569502557587,1161.0060744699558,1169.4874500139733,13800
2022-02-08,1168.5447998046875,1172.3142991588961,1162.8905507733743,1168.5447998046875,15700
2022-02-09,1189.2772216796875,1189.2772216796875,1168.5449721733855,1168.5449721733855,26400
2022-02-10,1196.8160400390625,1196.8160400390625,1186.4499168576217,1195.873665204386,21500
2022-02-14,1182.6806640625,1188.334914249253,1167.602663564492,1168.5450385956176,19500
2022-02-15,1162.8907470703125,1196.8162469848435,1162.8907470703125,1196.8162469848435,18100
2022-02-16,1168.5447998046875,1184.5651720600742,1165.717675289031,1184.5651720600742,11300
2022-02-17,1176.083984375,1178.91110933744,1164.7754845252405,1168.5449844751602,11800
2022-02-18,1176.083984375,1177.02635936248,1165.7178595127205,1169.4873594626401,12500
2022-02-21,1171.3721923828125,1178.9111928164912,1168.545067220183,1168.545067220183,7500
2022-02-22,1155.3516845703125,1166.6601839298914,1149.697434890523,1164.7754340366282,25100
2022-02-24,1149.6973876953125,1162.8906364065701,1141.2160135237896,1155.3516371429944,27200
2022-02-25,1175.1416015625,1176.083976543705,1149.6974770699678,1149.6974770699678,37600
2022-02-28,1176.083984375,1182.6806092873599,1169.4873594626401,1179.85348432492,20500
2022-03-01,1176.083984375,1192.1043591621594,1168.5449844751602,1192.1043591621594,23800
2022-03-02,1168.5447998046875,1179.8532978673134,1168.5447998046875,1174.1990488360004,16600
2022-03-03,1161.0059814453125,1175.141606219403,1161.0059814453125,1169.487356309767,16900
2022-03-04,1159.1214599609375,1175.1418378628366,1159.1214599609375,1161.0062103023374,18700
2022-03-07,1136.5045166015625,1162.8910227913168,1132.7350157173119,1157.2367714649408,31800
2022-03-08,1106.3482666015625,1133.6771420116522,1102.5787665449984,1130.8500169692293,43600
2022-03-09,1098.809326171875,1127.0805781317003,1098.809326171875,1107.2907017598227,27200
2022-03-10,1145.9278564453125,1152.5244806189287,1128.0227336883545,1129.9074834522448,29000
2022-03-11,1140.273681640625,1144.9855563581482,1122.3685577140368,1122.3685577140368,20600
2022-03-14,1135.56201171875,1155.3518891014005,1135.56201171875,1151.5823886475623,10800
2022-03-15,1152.524658203125,1155.3517832845719,1136.5042827415934,1136.5042827415934,8400
2022-03-16,1170.4298095703125,1173.256934714202,1150.639933563085,1159.121308994754,15500
2022-03-17,1171.3721923828125,1178.9111928164912,1161.0060667865043,1177.9688177622813,19800
2022-03-18,1178.9111328125,1178.9111328125,1165.71788272507,1170.429757756295,28400
2022-03-22,1171.3721923828125,1195.873943792268,1165.7179420575535,1191.1620685212188,32700
2022-03-23,1197.7586669921875,1203.4129171904196,1179.8535413644522,1180.7959163974908,30400
2022-03-24,1198.7010498046875,1198.7010498046875,1179.853549021595,1190.2196744522957,19600
2022-03-25,1198.7010498046875,1205.2976750787698,1193.9891746089143,1201.5281749221513,23700
2022-03-28,1203.412841796875,1208.1247166668707,1198.7009669268793,1202.470466822876,23900
2022-03-29,1206.2401123046875,1206.2401123046875,1190.219735813141,1203.4129870414733,34100
2022-03-30,1198.489013671875,1206.2399531297367,1182.9871347561516,1206.2399531297367,38600
2022-03-31,1175.236328125,1196.551414043178,1175.236328125,1182.987268458883,39400
2022-04-01,1199.4580078125,1202.364610416246,1172.3297168442043,1176.2051869825323,18400
2022-04-04,1206.239990234375,1210.1154600825175,1196.5513156140184,1207.2088576964106,13100
