Price,Close,High,Low,Open,Volume
Ticker,6565.T,6565.T,6565.T,6565.T,6565.T
Date,,,,,
2022-01-04,1192.43994140625,1234.6762819997168,1176.7240937435647,1234.6762819997168,15900
2022-01-05,1161.990478515625,1180.6530474858675,1151.1858333223267,1178.6885665416314,19500
2022-01-06,1132.523193359375,1152.1680015702923,1112.878385148458,1134.4876741804667,15500
2022-01-07,1128.59423828125,1151.1857678552,1105.020468291041,1147.2568061901652,15600
2022-01-11,1132.523193359375,1143.3278378753794,1106.002702274637,1143.3278378753794,17000
2022-01-12,1139.3988037109375,1155.1146492793641,1119.7539967504042,1129.5764002306707,32700
2022-01-13,1139.3988037109375,1152.1679282352843,1134.4876019708042,1138.416563362911,4700
2022-01-14,1125.6474609375,1130.558662774051,1101.0914517547449,1130.558662774051,13200
2022-01-17,1137.434326171875,1166.9015366944625,1125.64744196284,1125.64744196284,27500
2022-01-18,1129.576416015625,1168.8660304857337,1126.629694930367,1163.95482867697,37800
2022-01-19,1092.2513427734375,1133.5054402522903,1088.3223811087848,1128.5942381714747,36800
2022-01-20,1113.8604736328125,1113.8604736328125,1088.3222264419367,1088.3222264419367,11400
2022-01-21,1145.292236328125,1146.2744766680291,1096.1802193329224,1096.1802193329224,8100
2022-01-24,1130.5587158203125,1133.5054370605046,1120.7363116863394,1129.5764754069153,26500
2022-01-25,1112.87841796875,1129.5765054404787,1100.109292255075,1129.5765054404787,14600
2022-01-26,1106.9849853515625,1120.7363516292216,1101.0915426611373,1101.0915426611373,6000
2022-01-27,1069.659912109375,1114.8429754307995,1060.8197475464876,1114.8429754307995,20200
2022-01-28,1046.0860595703125,1070.642070358348,1044.1215787072697,1047.068300001834,27800
2022-01-31,1106.002685546875,1106.002685546875,1050.9972233882381,1050.9972233882381,29600
2022-02-01,1154.1324462890625,1194.4043018617022,1131.5409175531915,1194.4043018617022,50300
2022-02-02,1224.853759765625,1232.7116828435119,1184.5819039914545,1187.528625145662,25400
2022-02-03,1222.8892822265625,1242.5340899731739,1190.4753494446536,1203.2444744799511,25100
2022-02-04,1285.752685546875,1287.7171663498498,1226.8182614576372,1231.7294634650736,44300
2022-02-07,1282.8060302734375,1326.0246101601383,1271.019144849792,1274.9481066576736,33600
2022-02-08,1266.10791015625,1293.61064210689,1262.1789484490157,1268.072391009867,10100
2022-02-09,1238.6051025390625,1265.1255924427537,1227.8004585042254,1248.4275062070963,28300
2022-02-10,1266.10791015625,1276.9125548511443,1230.7472547911414,1254.3210250345471,28300
2022-02-14,1214.0491943359375,1234.6762437542666,1197.3511067115758,1232.7117628572828,37500
2022-02-15,1178.6885986328125,1214.0492565917968,1150.203624165853,1210.1202945963541,57900
2022-02-16,1189.4930419921875,1208.155608299249,1157.0791110378175,1208.155608299249,70300
2022-02-17,1200.2977294921875,1244.4985460446821,1173.7772395606908,1183.599643239023,81600
2022-02-18,1225.8360595703125,1228.7827808673565,1179.6707592499563,1179.6707592499563,22500
2022-02-21,1224.853759765625,1224.853759765625,1182.6174232219828,1217.978077072474,23000
2022-02-22,1203.2445068359375,1213.0669109733738,1170.830573182398,1202.262266422194,43800
2022-02-24,1113.8604736328125,1181.6350527162906,1091.2689472716531,1173.7771305037134,94800
2022-02-25,1159.0435791015625,1168.8659823142875,1129.5763694633872,1137.4342920335673,35200
2022-02-28,1150.20361328125,1165.9194611142987,1125.6476010421113,1135.4700059377667,24000
2022-03-01,1156.0970458984375,1165.9194507064105,1146.2746410904645,1147.2568815712616,11100
2022-03-02,1120.736328125,1136.4521749698729,1115.8251259859774,1129.576491975241,15900
2022-03-03,1126.6297607421875,1129.5764819995777,1107.9671927787163,1124.6652799039273,14200
2022-03-04,1099.1270751953125,1125.6475676262985,1089.3046705912436,1125.6475676262985,25300
2022-03-07,1108.949462890625,1108.949462890625,1055.9084788373975,1085.3756922003017,24300
2022-03-08,1055.908447265625,1106.9849489007995,1052.9617260174418,1084.3934193313953,34800
2022-03-09,1051.9794921875,1073.588781476132,1050.0150113430789,1066.7130985206581,33800
2022-03-10,1101.091552734375,1112.878438223057,1080.4645031291816,1110.9139573082766,14000
2022-03-11,1109.931640625,1109.931640625,1063.7663422981195,1072.6065058075221,11700
2022-03-14,1151.1856689453125,1170.8304755826045,1124.6651799849683,1124.6651799849683,27400
2022-03-15,1137.434326171875,1159.043613888439,1124.665201612087,1144.3100086271454,12200
2022-03-16,1185.564208984375,1185.564208984375,1145.2923510155604,1162.9726789043082,28000
2022-03-17,1179.6707763671875,1208.1557493186017,1166.901650561381,1198.3333448525968,24500
2022-03-18,1181.6351318359375,1191.4575352593451,1164.9370460161444,1177.7061704665743,8000
2022-03-22,1177.7061767578125,1190.4753012764543,1152.167927720529,1190.4753012764543,12300
2022-03-23,1174.7596435546875,1188.511010619709,1158.0615549757329,1178.688605573265,15400
2022-03-24,1164.93701171875,1173.7771745395498,1154.1323682711056,1154.1323682711056,3200
2022-03-25,1178.6885986328125,1191.4577251180012,1165.9194721476238,1191.4577251180012,7000
2022-03-28,1153.150146484375,1181.6351160312634,1152.167906155172,1179.6706353728573,16000
2022-03-29,1126.6297607421875,1153.1502520586994,1108.9494331978462,1153.1502520586994,33000
2022-03-30,1183.799072265625,1197.5985618673892,1141.414925631635,1141.414925631635,21600
2022-03-31,1179.8563232421875,1182.813356633772,1152.2573449207327,1182.813356633772,13000
2022-04-01,1177.885009765625,1177.885009765625,1150.2860304573092,1168.0282314412264,15100
2022-04-04,1175.91357421875,1177.8849297497118,1154.2286633781696,1177.8849297497118,6300
2022-04-05,1188.7275390625,1194.64160642102,1175.9137264523736,1175.9137264523736,10800
2022-04-06,1222.240478515625,1226.183189736643,1177.884977279171,1180.8420106949345,17500
2022-04-07,1195.627197265625,1219.2834649773934,1184.7847412310646,1219.2834649773934,14300
2022-04-08,1196.6129150390625,1206.469693581394,1164.085545849368,1191.6845257678967,16000
2022-04-11,1196.6129150390625,1201.5413043102283,1177.8850358086322,1194.641559330596,18700
2022-04-12,1190.6988525390625,1205.4840204099946,1185.7704632487519,1185.7704632487519,13400
2022-04-13,1220.2691650390625,1222.2405207176394,1190.69882986041,1190.69882986041,11800
2022-04-14,1288.2808837890625,1307.0087619772737,1232.0972492244284,1232.0972492244284,87200
2022-04-15,1279.4097900390625,1301.0947017346398,1271.5243676043071,1275.4670788216847,18500
2022-04-18,1287.2952880859375,1298.1377445705816,1261.6676636676875,1279.4098651880145,25300
2022-04-19,1284.338134765625,1285.3238125359746,1264.6245793586315,1285.3238125359746,18800
2022-04-20,1276.4527587890625,1294.1949592973274,1276.4527587890625,1284.3381812371804,9500
2022-04-21,1299.1234130859375,1302.0804466513835,1280.395533838113,1280.395533838113,15200
2022-04-22,1281.3812255859375,1290.2523263784556,1257.7249568058894,1290.2523263784556,19700
2022-04-25,1260.681884765625,1260.681884765625,1241.9540068840404,1242.9396846672817,11700
2022-04-26,1260.681884765625,1280.3954404304511,1246.8823958002467,1280.3954404304511,5900
2022-04-27,1227.1688232421875,1258.7105118717056,1222.2404343938254,1244.9110230962915,20400
2022-04-28,1247.8681640625,1247.8681640625,1225.1975734041766,1228.1546069683056,5700
2022-05-02,1258.7105712890625,1270.5387050834781,1251.8108265756534,1259.6962491052639,6800
2022-05-06,1307.0087890625,1313.9085338011407,1258.7105758920154,1267.5816762702677,26400
2022-05-09,1264.6246337890625,1314.8942022405374,1246.8824331591302,1262.6532781635144,42500
2022-05-10,1257.724853515625,1273.4956980738145,1214.3550309806035,1264.6245980098329,42600
2022-05-11,1151.2716064453125,1258.7104806769385,1131.558051540427,1258.7104806769385,185800
2022-05-12,1157.1856689453125,1157.1856689453125,1118.744237012717,1151.271602494144,29100
2022-05-13,1158.17138671875,1180.8419755651596,1154.2286756150265,1154.2286756150265,20600
2022-05-16,1176.8992919921875,1182.8133587861182,1164.085480605338,1182.8133587861182,8100
2022-05-17,1179.8563232421875,1179.8563232421875,1164.0854784870705,1176.899289850603,5000
2022-05-18,1177.885009765625,1191.684499419783,1177.885009765625,1184.7847545927038,6200
2022-05-19,1163.0997314453125,1185.770319431111,1148.314565367618,1166.0567646608515,15000
2022-05-20,1172.95654296875,1172.95654296875,1158.1713764607405,1170.9851874343487,6900
2022-05-23,1217.3121337890625,1217.3121337890625,1183.7990871908212,1183.7990871908212,17100
2022-05-24,1202.5269775390625,1217.3121452956902,1188.7274876328765,1217.3121452956902,10400
2022-05-25,1175.91357421875,1201.5411961212542,1173.9422186877882,1188.7273851700022,29000
2022-05-26,1219.283447265625,1232.0972587566946,1158.171423231293,1197.5985355115072,48600
2022-05-27,1232.0972900390625,1241.954068359375,1208.4410220703126,1241.954068359375,25400
2022-05-30,1240.9683837890625,1260.6819403226457,1232.09728334895,1260.6819403226457,23000
2022-05-31,1231.111572265625,1248.8537726665706,1231.111572265625,1238.9969946660453,16000
2022-06-01,1225.197509765625,1238.9969990147954,1225.197509765625,1228.1545431761615,7900
2022-06-02,1232.0972900390625,1241.954068359375,1212.3837333984375,1222.24051171875,12200
2022-06-03,1266.595947265625,1271.5243361654911,1238.996969426374,1244.9110361062135,31400
2022-06-06,1301.0947265625,1313.9085382634944,1271.5243918678977,1276.4527809836648,30700
2022-06-07,1271.5244140625,1301.0947492732557,1271.5244140625,1301.0947492732557,32300
2022-06-08,1284.338134765625,1294.1949124691218,1271.5243237510792,1271.5243237510792,11600
2022-06-09,1284.338134765625,1284.338134765625,1272.5100015214289,1281.381101454576,6100
2022-06-10,1284.338134765625,1291.2378791580727,1272.5100015214289,1281.381101454576,13400
2022-06-13,1250.8250732421875,1291.237861266561,1248.8537177288035,1263.638884079184,36300
2022-06-14,1244.9110107421875,1244.9110107421875,1203.5125448267704,1225.1974555443699,40200
2022-06-15,1215.3406982421875,1232.0972204401737,1194.6414649387925,1232.0972204401737,22900
2022-06-16,1211.3980712890625,1249.8395072372102,1211.3980712890625,1223.226205426954,29900
2022-06-17,1224.2119140625,1224.2119140625,1166.0569197551831,1192.6702222348028,25200
