Price,Close,High,Low,Open,Volume
Ticker,6676.T,6676.T,6676.T,6676.T,6676.T
Date,,,,,
2022-01-04,3660.78564453125,3696.3272527305826,3576.374325057835,3678.5564486309163,22000
2022-01-05,3616.3583984375,3660.785405789312,3580.81679255605,3643.014602848587,15500
2022-01-06,3500.848388671875,3589.7024086889273,3496.405687671022,3589.7024086889273,21800
2022-01-07,3500.848388671875,3567.4889036846644,3447.535976661643,3514.176491674433,20300
2022-01-11,3456.42138671875,3509.7337988532295,3425.3224796403038,3509.7337988532295,17700
2022-01-12,3540.832763671875,3554.160866922836,3438.6506387478435,3438.6506387478435,23300
2022-01-13,3563.04638671875,3589.702594100686,3527.504776876169,3585.2598928703633,25700
2022-01-14,3451.978759765625,3576.3743907481703,3434.2079553395474,3576.3743907481703,35900
2022-01-17,3367.567138671875,3443.0930507529065,3358.681737250577,3434.2076493316085,40200
2022-01-18,3296.48388671875,3389.780600493809,3283.1557847508843,3367.567097214033,22000
2022-01-19,3207.630126953125,3340.9111571589337,3203.1874259462647,3287.59874507661,32500
2022-01-20,3278.71337890625,3305.369585238821,3216.5155641302504,3216.5155641302504,20900
2022-01-21,3340.911376953125,3345.354078252265,3225.4011431754907,3269.828156166888,45800
2022-01-24,3403.109130859375,3420.8799357202593,3318.6978077701738,3340.911313846279,30800
2022-01-25,3363.124755859375,3429.7652728182793,3332.0258479452195,3367.5674569899684,42600
2022-01-26,3403.109130859375,3456.421545442028,3345.3540150615004,3345.3540150615004,41500
2022-01-27,3358.681884765625,3483.077510127315,3318.6975766136534,3411.994295634921,57000
2022-01-28,3176.531005859375,3243.1715164718094,3052.1353860494974,3180.9737065668705,241800
2022-01-31,3216.515625,3278.713440953039,3087.67729195442,3140.989705628453,71100
2022-02-01,3243.171630859375,3314.25484468643,3220.9581265384204,3269.8278360445206,52400
2022-02-02,3292.04150390625,3305.369607160931,3216.5155854630566,3260.942596311994,42700
2022-02-03,3349.796630859375,3380.8955385729237,3300.926918738084,3305.36961984002,26600
2022-02-04,3354.2392578125,3367.5673608236757,3274.270639745447,3332.0257527938743,21100
2022-02-07,3363.124755859375,3376.4528592511556,3265.3853309863152,3336.468549075813,25400
2022-02-08,3265.385498046875,3363.1249279203867,3256.500095331101,3336.4687197730655,18300
2022-02-09,3354.2392578125,3376.452762831126,3234.2863307119205,3287.598742756623,26400
2022-02-10,3420.879638671875,3469.7493477957587,3372.009929547991,3380.895331206879,15700
2022-02-14,3411.994384765625,3443.0932919184365,3336.4684673945108,3385.3381786346436,21400
2022-02-15,3385.338134765625,3478.634855015071,3385.338134765625,3403.108938622662,22900
2022-02-16,3363.124755859375,3447.5360773406537,3354.239353598188,3443.09337621006,14900
2022-02-17,3420.879638671875,3451.9785444779827,3376.452630377435,3385.338032036323,18000
2022-02-18,3416.437255859375,3451.978865803296,3363.1248409434943,3407.551853373395,18500
2022-02-21,3314.255126953125,3425.3226580172377,3314.255126953125,3363.1248406213344,12500
2022-02-22,3234.286376953125,3283.1560886928014,3216.5155726841517,3269.8279854910716,10400
2022-02-24,3283.156005859375,3305.369510635149,3207.6300896217435,3220.958192487208,26000
2022-02-25,3292.04150390625,3309.812308245825,3256.4998952271003,3287.5988028213565,16500
2022-02-28,3411.994384765625,3411.994384765625,3269.827952067057,3287.5987561543784,28000
2022-03-01,3483.077392578125,3518.6189986248405,3411.9941804846935,3411.9941804846935,22000
2022-03-02,3278.71337890625,3438.6506169016766,3278.71337890625,3380.895503181106,60200
2022-03-03,3305.369384765625,3340.9109910534276,3265.3850776918475,3340.9109910534276,27600
2022-03-04,3300.9267578125,3327.5829631245792,3278.713253385767,3287.59865515646,25300
2022-03-07,3314.255126953125,3323.140529438254,3265.3854132849156,3300.9270232254316,32400
2022-03-08,3158.760498046875,3323.140439576741,3140.98969355716,3256.4999227403086,22200
