Price,Close,High,Low,Open,Volume
Ticker,6849.T,6849.T,6849.T,6849.T,6849.T
Date,,,,,
2022-01-04,1516.451416015625,1535.5262765944378,1506.9139857262185,1521.2201311603283,670600
2022-01-05,1516.451416015625,1523.6044887326798,1504.529628153867,1511.6827008709217,542400
2022-01-06,1480.68603515625,1511.6826832352053,1480.68603515625,1502.145253057065,558800
2022-01-07,1459.226806640625,1492.6078120212928,1447.3050190046722,1487.8390969669117,673200
2022-01-11,1499.760986328125,1504.5297017059568,1483.0704825057135,1492.6079132613772,548000
2022-01-12,1518.8358154296875,1518.8358154296875,1485.454808497167,1490.2235237732414,366000
2022-01-13,1568.9073486328125,1604.6727137232263,1545.06377190587,1583.213494668978,1282200
2022-01-14,1506.9140625,1559.3699317642404,1504.529704806171,1554.6012163765822,869000
2022-01-17,1461.6112060546875,1497.37656998751,1456.8424908636443,1497.37656998751,378800
2022-01-18,1456.842529296875,1490.2235365148067,1447.3050986631802,1490.2235365148067,472800
2022-01-19,1425.368896484375,1442.536270279436,1418.215824069766,1426.7995109672968,604600
2022-01-20,1456.842529296875,1468.7643175889934,1425.8458797373669,1426.7996228007364,473600
2022-01-21,1475.9173583984375,1478.301716004897,1449.6894247273829,1452.0737823338422,370000
2022-01-24,1490.2236328125,1490.2236328125,1461.6113390625,1475.9174859375,478400
2022-01-25,1466.3800048828125,1485.4548667349466,1452.073858493712,1485.4548667349466,408600
2022-01-26,1452.07373046875,1463.9955180752258,1442.5363003835694,1452.07373046875,447600
2022-01-27,1392.9417724609375,1440.1520550606062,1381.973727008489,1440.1520550606062,683200
2022-01-28,1406.7708740234375,1432.998805573027,1401.0484162307998,1408.201488471597,931400
2022-01-31,1442.5364990234375,1444.920856873063,1408.20174598883,1423.4616362264335,912600
2022-02-01,1444.9207763671875,1459.2269226678527,1430.6146300665223,1432.9989877832998,799400
2022-02-02,1475.9173583984375,1478.301716004897,1449.6894247273829,1454.4581399403019,872400
2022-02-03,1473.532958984375,1535.5262549934264,1459.226813751517,1509.29832206652,1117600
2022-02-04,1471.1485595703125,1506.9139216344206,1437.767554977145,1447.304984860907,752400
2022-02-07,1478.3017578125,1494.9922615297378,1471.1486847908266,1483.0704731602823,498800
2022-02-08,1468.7642822265625,1480.6860702316483,1463.995567024528,1463.995567024528,463400
2022-02-09,1478.3017578125,1494.9922615297378,1466.3799694430443,1468.7643271169354,464000
2022-02-10,1483.0704345703125,1499.7609378532582,1480.6860769584632,1499.7609378532582,453400
2022-02-14,1478.3017578125,1485.4548308341734,1447.3051080519153,1454.4581810735888,577600
2022-02-15,1511.6827392578125,1514.0670968907111,1475.917374764331,1475.917374764331,550600
2022-02-16,1514.0670166015625,1540.294949172613,1506.913944082185,1535.526234159695,476200
2022-02-17,1516.451416015625,1521.2201311603283,1497.3765554368122,1511.6827008709217,562400
2022-02-18,1502.145263671875,1506.9139787946428,1473.532972935268,1483.0704031808036,512000
2022-02-21,1497.3765869140625,1540.2950241186056,1490.2235140466387,1521.2201631388086,675800
2022-02-22,1497.3765869140625,1504.5296597814863,1449.68943446457,1449.68943446457,568600
2022-02-24,1468.7642822265625,1502.1452886408026,1459.226851822494,1497.3765734387682,577200
2022-02-25,1471.1485595703125,1485.4547043959556,1459.2267722156098,1485.4547043959556,331200
