Price,Close,High,Low,Open,Volume
Ticker,6875.T,6875.T,6875.T,6875.T,6875.T
Date,,,,,
2022-01-04,4994.7294921875,5052.472029669436,4975.481979693521,5023.600760928468,49700
2022-01-05,4956.234375,5023.600667475728,4908.115594660195,5013.976911407767,50600
2022-01-06,4696.39306640625,4869.6206795113985,4696.39306640625,4859.996923227779,175100
2022-01-07,4681.95751953125,4768.571327703462,4648.274371908723,4749.323814776304,122000
2022-01-11,4672.33349609375,4686.7691299642765,4595.343448784275,4681.957252007434,115700
2022-01-12,4706.01708984375,4754.135873993482,4672.333940938938,4720.4527250886695,87900
2022-01-13,4667.521484375,4706.016506926547,4643.462095280283,4706.016506926547,84300
2022-01-14,4648.27392578125,4686.768947940929,4600.1551480816515,4614.590781391531,105100
2022-01-17,4633.83837890625,4691.580913222839,4604.967111747956,4677.1452796436915,72400
2022-01-18,4614.5908203125,4662.709598417949,4576.095797828141,4633.83833155468,97100
2022-01-19,4417.3037109375,4576.095674402573,4407.679955575981,4576.095674402573,184100
2022-01-20,4426.927734375,4450.987124235734,4297.007029127038,4335.502052904212,184300
2022-01-21,4186.33447265625,4301.819561557112,4056.41374764278,4297.007682852909,361600
2022-01-24,4277.75927734375,4292.194910450647,4143.02670167938,4167.0860901908745,145900
2022-01-25,4152.650390625,4229.640432629635,4094.907859121524,4215.204799753766,215300
2022-01-26,4032.354248046875,4152.651212487414,4008.2948551587674,4152.651212487414,111300
2022-01-27,3873.56201171875,4080.472777562112,3859.1263768924687,4061.2252644604037,160200
2022-01-28,3916.86865234375,3931.3042861975964,3825.4429712693873,3921.680530295032,106300
2022-01-31,3979.423095703125,4003.482485640871,3936.116193815183,3984.2349736906745,141500
2022-02-01,4041.977783203125,4200.769767543247,4032.354026576451,4138.215349469866,191200
2022-02-02,4046.78955078125,4090.0964544162453,3960.1757435112586,4027.542038054585,119800
2022-02-03,3955.36376953125,4090.096355354699,3916.868745010265,4090.096355354699,97200
2022-02-04,4003.482177734375,4027.541565821721,3887.9971149151143,3887.9971149151143,123800
2022-02-07,3998.67041015625,4080.472331904332,3950.551632657378,4027.541676655573,209500
2022-02-08,3902.43310546875,3955.3637641125924,3811.0074223566585,3854.3143248834385,138600
