Price,Close,High,Low,Open,Volume
Ticker,7242.T,7242.T,7242.T,7242.T,7242.T
Date,,,,,
2022-01-04,1298.2994384765625,1322.5667177004234,1298.2994384765625,1316.4998978944582,199800
2022-01-05,1344.811767578125,1346.8340409128289,1306.38857421875,1314.4776675575658,451600
2022-01-06,1338.7447509765625,1346.8338431274783,1314.477474523815,1330.6556588256467,371200
2022-01-07,1320.5443115234375,1371.1011381514404,1316.4997653931973,1350.8784075002393,290200
2022-01-11,1342.7894287109375,1344.811701946948,1298.2994175187077,1312.4553301707808,244000
2022-01-12,1363.01220703125,1377.1681201606548,1358.9676604228487,1371.1013002480527,265800
2022-01-13,1375.145751953125,1377.168025117762,1348.8562008128447,1363.0121129653032,181600
2022-01-14,1360.9898681640625,1383.2348734386608,1352.9007753369358,1383.2348734386608,164400
2022-01-17,1346.833984375,1371.1012633727478,1342.7894378753754,1356.9453506240616,129800
2022-01-18,1306.3885498046875,1346.834015742913,1298.2994566170423,1346.834015742913,190000
2022-01-19,1243.6981201171875,1296.277227634337,1239.6535733850992,1280.0990407059833,240600
2022-01-20,1257.85400390625,1272.0099171334907,1239.6535440426549,1239.6535440426549,225000
2022-01-21,1217.4085693359375,1235.6090296748469,1203.6571104132058,1235.6090296748469,340000
2022-01-24,1221.453125,1233.5867653145694,1204.0615738824504,1213.3640314569536,178400
2022-01-25,1205.27490234375,1221.4530889523908,1186.2655330785967,1219.4308156263107,336000
2022-01-26,1206.4884033203125,1221.4532276323646,1197.994854386445,1212.5552239873607,163400
2022-01-27,1166.042724609375,1213.3639173874872,1159.5714503833085,1208.106007078808,435400
2022-01-28,1196.7813720703125,1200.4214641110807,1174.9408198257038,1177.772002524079,219600
2022-01-31,1199.2081298828125,1217.4085905387067,1185.052216039339,1185.052216039339,266600
2022-02-01,1198.3992919921875,1229.5423043051806,1195.5681090546427,1219.4309366710918,199000
2022-02-02,1221.453125,1239.6535854718543,1205.2749379139073,1205.2749379139073,270000
2022-02-03,1243.6981201171875,1243.6981201171875,1215.3862929925688,1225.4976598227897,189800
2022-02-04,1255.8316650390625,1261.8984846769324,1227.5198400623365,1243.6980257633227,205600
2022-02-07,1237.63134765625,1253.8095352073121,1223.4754335490707,1253.8095352073121,211400
2022-02-08,1235.609130859375,1241.6759514691591,1223.4754896398067,1229.5423102495909,204600
2022-02-09,1251.7869873046875,1284.1433553125632,1243.6978953027187,1274.031990310102,455600
2022-02-10,1231.564453125,1263.9208262777095,1227.5199064809115,1253.8094596674878,320600
2022-02-14,1215.38623046875,1223.475323516795,1202.8481362442803,1213.3639572067389,251400
2022-02-15,1219.430908203125,1241.6759164788039,1210.5329048928536,1235.6090960399824,214000
2022-02-16,1302.343994140625,1302.343994140625,1255.8317086356026,1261.8985284840837,516000
2022-02-17,1253.8094482421875,1310.4331007434475,1253.8094482421875,1306.3885541362147,315800
2022-02-18,1243.6981201171875,1253.8094869474087,1225.4976598227897,1227.5199331888339,170400
2022-02-21,1251.7869873046875,1263.9206253076409,1233.5865303002574,1241.6756223022264,185000
2022-02-22,1217.4085693359375,1239.6535764168266,1207.7016571551858,1225.4976628198972,222600
2022-02-24,1199.6124267578125,1217.4084303914415,1189.0966064288498,1209.723792458738,319400
2022-02-25,1215.38623046875,1217.4085037307611,1196.7813164582467,1197.9946804154533,222600
2022-02-28,1243.6981201171875,1249.7649402153202,1211.7462009336891,1217.408566358613,238200
2022-03-01,1215.38623046875,1249.764875922941,1215.38623046875,1245.7203293989185,183600
2022-03-02,1179.389892578125,1203.2527196227443,1178.1765284911105,1202.8482649270727,377200
2022-03-03,1182.62548828125,1201.230403623568,1180.6032148744764,1197.1858568100206,208800
2022-03-04,1162.8072509765625,1182.221076384171,1158.762704016644,1180.6032576002037,312000
2022-03-07,1086.365234375,1131.2597023629469,1081.9162330428612,1131.2597023629469,687200
2022-03-08,1046.32421875,1080.7028652879783,1040.2573987727096,1071.8048626546192,592400
2022-03-09,1039.448486328125,1067.3558581400475,1036.6173036805387,1051.5821262463521,327200
2022-03-10,1103.7567138671875,1104.9700777886244,1079.8938900789265,1085.9607096861116,274800
2022-03-11,1089.600830078125,1094.4542858913906,1072.20928008059,1092.0275579847578,225000
2022-03-14,1117.5081787109375,1128.8329087159705,1092.0275361996132,1092.43199084265,250600
2022-03-15,1146.224609375,1153.504793908786,1104.9702303502118,1109.823686706069,263000
2022-03-16,1151.077880859375,1159.166973486637,1140.9665150752976,1153.1001540161906,246800
